N	2gram	Vinokur_Ku_3	VrazhdaK
258	могут быть	6	1
259	ли не	1	1
260	отличается от	2	1
261	не есть	3	1
262	уже на	1	1
263	не совсем	1	1
264	у себя	1	1
265	свою очередь	1	1
266	это будет	1	1
267	в ее	4	1
268	не могло	1	1
269	знать этого	1	1
270	на той	1	1
271	но мы	2	1
272	то время	1	1
273	в печати	2	1
274	так и	6	1
275	не с	2	1
276	ясно что	4	1
277	так называемую	2	1
278	может в	1	1
279	во всяком	2	1
280	в фельетоне	1	1
281	здесь заключается	2	1
282	до сих	8	1
283	не стоит	1	1
284	нас в	3	1
285	затем в	1	1
286	к нему	1	1
287	доходит до	2	1
288	от них	1	1
289	последнего в	1	1
290	говорить об	1	1
291	крайней мере	1	1
292	вслед за	1	1
293	также в	1	1
294	в свете	2	1
295	не знаю	1	1
296	если это	2	1
297	тех пор	4	1
298	имеется в	1	1
299	этом смысле	1	1
300	один из	4	1
301	но с	1	1
302	сразу же	2	1
303	оказалось что	1	1
304	за исключением	1	1
305	проникнуть в	1	1
306	во всем	1	1
307	то он	3	1
308	это же	1	1
309	в качестве	2	1
310	сколько в	1	1
311	своим собственным	1	1
312	тем чтобы	2	1
313	целого ряда	1	1
314	что для	1	1
315	с различными	1	1
316	никто не	1	1
317	в известной	1	1
318	мы находим	3	1
319	в одном	2	1
320	каждый из	1	1
321	не просто	2	1
322	от того	5	1
323	остается за	1	1
324	в особенности	2	1
325	так не	1	1
326	с другой	7	1
327	именно в	3	1
328	что тот	1	1
329	все равно	1	1
330	труд и	1	1
331	такое же	1	1
332	прежде всего	9	1
333	выше и	1	1
334	на этот	2	1
335	и самый	2	1
336	не об	1	1
337	мнение о	1	1
338	с помощью	6	1
339	в частности	2	1
340	из которых	1	1
341	п и	4	1
342	не знал	1	1
343	и такую	1	1
344	того что	11	1
345	к русскому	1	1
346	указанием на	1	1
347	в свое	2	1
348	еще раз	2	1
349	известном смысле	2	1
350	в условиях	2	1
351	сих пор	8	1
352	между прочим	8	1
353	об одном	1	1
354	но для	3	1
355	не любил	1	1
356	к вопросу	2	1
357	более того	1	1
358	которых он	1	1
359	и от	1	1
360	но на	3	1
361	котором он	1	1
362	это можно	1	1
363	о котором	1	1
364	это во	1	1
365	хотя и	5	1
366	еще более	2	1
367	у которого	1	1
368	только что	2	1
369	но вот	1	1
370	отношении к	1	1
371	нам не	1	1
372	а о	1	1
373	быть и	1	1
374	было считать	1	1
375	только как	4	1
376	другой стороны	3	1
377	они как	1	1
378	больших и	1	1
379	только о	2	1
380	к этой	1	1
381	помощью которых	1	1
382	который не	1	1
383	как на	8	1
384	в таком	4	1
385	все что	1	1
386	они не	3	1
