N	2gram	Losev_Prob_5	Poddanst
190	в народе	1	1
191	должен быть	1	1
192	и такое	1	1
193	духа в	2	1
194	в самом	5	1
195	настоящую минуту	1	1
196	в которой	5	1
197	во времени	1	1
198	бы и	1	1
199	что это	1	1
200	формы в	1	1
201	могли бы	1	1
202	чуть ли	1	1
203	из этих	1	1
204	если мы	1	1
205	именно на	2	1
206	и мудрости	3	1
207	xx в	1	1
208	что его	3	1
209	уже в	2	1
210	говорить об	1	1
211	в большинстве	1	1
212	только на	1	1
213	на то	2	1
214	если он	2	1
215	но на	1	1
216	в мир	2	1
217	т д	1	1
218	связывается с	1	1
219	из этой	1	1
220	прикасается к	1	1
221	есть как	1	1
222	при виде	1	1
223	одно из	1	1
224	нужно говорить	1	1
225	не как	1	1
226	свои собственные	1	1
227	в существе	1	1
228	богов и	4	1
229	к ним	1	1
230	чтобы в	1	1
231	мы можем	5	1
232	чтобы это	1	1
233	и только	2	1
234	и по	1	1
235	прежде чем	2	1
236	от нее	1	1
237	из двух	1	1
238	в число	1	1
239	не были	1	1
240	в н	12	1
241	или иной	1	1
242	из всех	2	1
243	на этой	1	1
244	большинстве случаев	1	1
245	она получила	1	1
246	ясно что	4	1
247	его в	6	1
248	в душе	1	1
249	а имеют	1	1
250	например с	1	1
251	весь мир	1	1
252	было и	1	1
253	а с	4	1
254	из недр	1	1
255	в природе	1	1
256	были в	1	1
257	что не	2	1
258	в это	2	1
259	по всему	2	1
260	с богом	1	1
261	на свои	1	1
262	к более	1	1
263	в настоящую	1	1
264	к науке	1	1
265	где он	1	1
266	далеко не	4	1
267	в этой	10	1
268	черты в	1	1
269	как и	7	1
270	говорится о	4	1
271	нисколько не	5	1
272	когда в	1	1
273	в одно	1	1
274	но до	1	1
275	что если	1	1
276	и при	1	1
277	не дается	2	1
278	так же	5	1
279	всяком случае	2	1
280	все основные	1	1
281	на плечи	2	1
282	что именно	2	1
283	в положительном	1	1
284	в данном	2	1
285	вопрос о	1	1
286	только идея	1	1
287	в сборнике	1	1
288	любовь и	2	1
289	совершенно новое	1	1
290	науки и	1	1
291	думается что	1	1
292	что было	1	1
293	и более	2	1
294	поиски и	1	1
295	там где	1	1
296	и судьбы	1	1
297	того кто	1	1
298	чувство и	1	1
299	ни были	1	1
300	xix в	4	1
301	стремления к	1	1
302	в древней	1	1
303	и очень	1	1
304	от тех	1	1
305	нет никакого	3	1
306	xviii века	1	1
307	что эта	1	1
308	с которой	1	1
309	она не	1	1
310	иной раз	2	1
311	но для	2	1
312	более раннего	1	1
313	которые были	1	1
314	тогда когда	4	1
315	этом смысле	3	1
316	противоречии с	1	1
317	р м	1	1
318	г а	1	1
319	можно судить	1	1
320	того чтобы	2	1
321	не имеет	1	1
322	никогда не	7	1
323	гомеровских поэм	1	1
324	в результате	7	1
325	о котором	3	1
326	в настоящее	3	1
327	более резкую	1	1
328	мудрости в	1	1
329	это сделать	1	1
330	и притом	5	1
331	и которая	3	1
332	как она	1	1
333	что по	1	1
334	в г	1	1
335	другой стороны	6	1
336	только что	1	1
337	пусть в	2	1
338	на фоне	1	1
339	из тех	2	1
340	только как	1	1
341	именно о	2	1
342	по одному	1	1
343	некоторые ее	1	1
344	ли не	2	1
345	в других	3	1
346	начала в	1	1
347	и самих	1	1
348	в трех	2	1
349	числе и	1	1
350	к действию	1	1
351	что оно	1	1
352	и другие	3	1
353	вместе с	7	1
354	монастыря в	1	1
355	все еще	4	1
356	это в	1	1
357	что от	3	1
358	во всяком	2	1
359	они не	2	1
360	гораздо более	4	1
