N	2gram	Tiupa_Disk_2	Tragedij
101	я буду	1	2
102	не могут	1	2
103	к тому	1	2
104	и это	2	2
105	году в	1	2
106	но при	2	2
107	в ее	1	2
108	данном случае	6	2
109	еще в	3	2
110	как у	1	2
111	ничего не	1	2
112	и здесь	1	2
113	о том	4	2
114	времени в	4	2
115	что и	2	2
116	в том	8	2
117	даже если	1	2
118	и ее	3	2
119	человеческой личности	1	2
120	на всем	1	2
121	уже не	3	2
122	в одном	4	2
123	друг друга	1	2
124	не случайно	1	2
125	тем что	1	2
126	до конца	1	2
127	в рассказе	4	2
128	было в	3	2
129	в данном	7	2
130	великий писатель	1	2
131	от всего	1	2
132	потому что	4	2
133	в частности	12	2
134	только о	1	2
135	русской литературы	1	2
136	я и	4	1
137	а между	1	1
138	сохраняет свое	1	1
139	одним из	1	1
140	например в	3	1
141	я его	1	1
142	отметим что	1	1
143	и др	1	1
144	самом деле	1	1
145	это и	1	1
146	на деле	1	1
147	и есть	1	1
148	на две	1	1
149	проникает в	1	1
150	должна быть	2	1
151	и могут	1	1
152	той же	2	1
153	собой как	1	1
154	в становлении	3	1
155	не вполне	1	1
156	по определению	1	1
157	ему в	1	1
158	в разговоре	1	1
159	начала в	1	1
160	из ее	1	1
161	в ней	2	1
162	представляет собой	11	1
163	и служит	1	1
164	в чем	1	1
165	во всех	1	1
166	но не	7	1
167	отказ от	1	1
168	в противовес	5	1
169	с совершенно	1	1
170	тогда как	11	1
171	друга и	1	1
172	второй ответ	1	1
173	за пределы	1	1
174	в истории	1	1
175	опирается на	1	1
176	вот как	1	1
177	рассказа но	1	1
178	историй о	1	1
179	дистанция между	2	1
180	мысль о	3	1
181	и наконец	3	1
182	то в	1	1
183	со своей	1	1
184	в которой	1	1
185	бы не	1	1
186	право на	1	1
187	лишний раз	1	1
188	и отношения	1	1
189	жизнь как	1	1
190	человек не	1	1
191	три года	1	1
192	заявляет что	1	1
193	так сказать	1	1
194	одному из	1	1
195	пушкина и	1	1
196	этого характера	1	1
197	роли в	1	1
198	и еще	1	1
199	чем у	1	1
200	к одному	1	1
201	не к	2	1
202	не как	1	1
203	содержит в	2	1
204	этом мире	2	1
205	ориентация на	1	1
206	на этом	1	1
207	дистанции между	1	1
208	таким образом	1	1
209	но без	1	1
210	для характеристики	1	1
211	в другом	3	1
212	самого автора	1	1
213	в финале	1	1
214	лишь в	1	1
215	натуральной школы	2	1
216	обоих случаях	2	1
217	и сердце	1	1
218	лишь на	1	1
219	из первых	1	1
220	но уже	2	1
221	в них	3	1
222	на грани	1	1
223	этого не	1	1
224	и вне	1	1
225	ведет к	3	1
226	можно так	1	1
227	но если	1	1
228	в своей	6	1
229	как искусство	1	1
230	в такой	1	1
231	где мы	1	1
232	в котором	3	1
233	если можно	1	1
234	человеком и	1	1
235	не столько	3	1
236	не тип	1	1
237	по самой	1	1
238	где на	1	1
239	стало быть	1	1
240	страха и	1	1
241	тем не	1	1
242	на мысль	1	1
243	речи в	2	1
244	двух историй	1	1
245	настоящего но	1	1
246	тексте в	1	1
247	не менее	7	1
248	вплоть до	1	1
249	она не	1	1
250	в обоих	2	1
251	самого начала	1	1
252	того как	1	1
253	личности при	1	1
254	и всегда	1	1
255	его речи	1	1
256	нечто большее	1	1
257	иными словами	1	1
258	к ней	1	1
259	по своей	6	1
260	что на	2	1
261	в области	2	1
262	перед ним	1	1
263	к себе	1	1
264	могут быть	3	1
265	уже было	1	1
266	его с	1	1
267	именно таков	1	1
268	и т.д	1	1
269	указывает на	1	1
270	этом даже	1	1
271	не есть	1	1
272	утверждать что	1	1
273	в применении	1	1
274	вещами и	1	1
275	и образ	1	1
276	людей в	1	1
277	как система	1	1
278	родного дома	1	1
279	относятся не	1	1
280	с самого	1	1
281	роль в	4	1
282	человека с	1	1
283	к смерти	1	1
284	вспомнить о	1	1
285	природе своей	2	1
286	по природе	2	1
287	отождествляется с	1	1
288	а стало	1	1
289	в эпоху	1	1
290	своего происхождения	1	1
291	иисуса христа	1	1
292	часто и	1	1
293	является по	1	1
294	ситуации и	2	1
295	и должно	1	1
296	всем протяжении	1	1
297	а также	8	1
298	чтобы не	1	1
299	роман и	1	1
300	восходит к	3	1
301	по слову	1	1
302	добра и	1	1
303	романа как	1	1
304	между тем	2	1
305	в форме	1	1
306	ее содержание	1	1
307	не сводится	4	1
308	к личности	1	1
309	общим местом	1	1
310	что вот	1	1
311	в жизнь	1	1
312	того что	1	1
313	о рассказе	1	1
314	только в	3	1
315	во всем	1	1
316	как нечто	1	1
317	приходит в	1	1
318	замысел был	1	1
319	с одной	4	1
320	устной речи	1	1
321	есть в	2	1
322	только на	1	1
323	героя с	1	1
324	всего отметим	1	1
325	одно из	4	1
326	и их	1	1
327	всяком случае	1	1
328	могло бы	1	1
329	не для	1	1
330	это по	1	1
331	мир на	1	1
332	был даже	1	1
333	в особенности	1	1
334	возникший в	1	1
335	именно в	2	1
336	близок к	1	1
337	не было	3	1
338	на этот	1	1
339	позиции в	1	1
340	а не	14	1
341	его как	1	1
342	не быть	1	1
343	на смерть	1	1
344	этом случае	2	1
345	более чем	2	1
346	на новую	1	1
347	вместе с	2	1
348	может так	1	1
349	xix века	1	1
350	в той	2	1
351	применении к	1	1
352	это его	1	1
353	место этот	1	1
354	фатальной необходимости	1	1
355	пародия на	1	1
356	с этой	1	1
357	и от	1	1
358	в условиях	1	1
359	в книге	1	1
360	не является	4	1
361	известной степени	1	1
362	в результате	2	1
363	а к	2	1
364	о нем	1	1
365	я в	5	1
366	так выразиться	1	1
367	жизни в	3	1
368	к числу	1	1
369	в период	4	1
370	строится на	1	1
371	из романа	1	1
372	в голову	1	1
373	это в	2	1
374	во всяком	1	1
