N	2gram	Losev_Vesc_1	Poddanst
104	к чему	1	2
105	бы ни	2	2
106	теперь в	1	2
107	думать что	1	2
108	есть в	1	2
109	но о	1	2
110	и резко	1	2
111	главным образом	1	2
112	в его	2	2
113	из них	4	2
114	в виде	1	2
115	не к	1	2
116	в силу	3	2
117	и вот	2	2
118	как раз	9	2
119	где в	1	2
120	в последние	2	2
121	и с	8	2
122	может ли	2	2
123	именно в	1	2
124	и мы	1	2
125	и тем	3	2
126	сказывается в	1	2
127	в жизни	3	2
128	не было	1	2
129	а не	19	2
130	в ряду	1	2
131	должно быть	6	2
132	нужно было	2	2
133	не столько	1	2
134	знать что	1	2
135	реальность и	1	2
136	ней не	1	2
137	для тех	3	2
138	что из	2	2
139	не менее	3	2
140	все это	5	2
141	между прочим	3	2
142	не о	1	2
143	на этих	1	2
144	одна из	5	2
145	да и	3	2
146	в полной	1	2
147	еще более	2	2
148	для нас	2	2
149	может и	1	2
150	в частности	1	2
151	в применении	1	1
152	также что	1	1
153	равным образом	3	1
154	также и	6	1
155	же как	1	1
156	с другом	1	1
157	связана с	1	1
158	но чтобы	1	1
159	это значит?	2	1
160	происходит и	1	1
161	и то	10	1
162	на основе	1	1
163	же судьба	1	1
164	воплощения и	1	1
165	в себя	13	1
166	культуры и	1	1
167	по преимуществу	2	1
168	идет речь	1	1
169	выражается в	1	1
170	применении к	2	1
171	должна быть	4	1
172	собственном смысле	3	1
173	только а	1	1
174	не с	7	1
175	в и	2	1
176	по природе	1	1
177	и само	2	1
178	как таковую	1	1
179	существования как	1	1
180	для самой	1	1
181	бы что	2	1
182	для этого	4	1
183	духовной и	1	1
184	такою как	1	1
185	в собственном	2	1
186	восприятие это	1	1
187	находится в	3	1
188	не вполне	2	1
189	оно есть	9	1
190	на себя	1	1
191	с ее	6	1
192	и ее	18	1
193	мы и	1	1
194	и здесь	4	1
195	может не	2	1
196	и что	15	1
197	еще не	8	1
198	и который	1	1
199	в различных	1	1
200	с его	1	1
201	к истине	1	1
202	с трудом	1	1
203	не все	1	1
204	чем говорить	1	1
205	что и	3	1
206	отличие от	1	1
207	не просто	19	1
208	е если	2	1
209	от разрешения	1	1
210	и чем	3	1
211	них в	1	1
212	все существующее	2	1
213	– по	2	1
214	мы хотим	1	1
215	в истории	1	1
216	в современной	1	1
217	тех пор	1	1
218	как начало	1	1
219	в –	1	1
220	все же	4	1
221	и где	1	1
222	в отрыве	2	1
223	мы видим	2	1
224	более или	1	1
225	которую оно	1	1
226	веры в	2	1
227	и движение	1	1
228	должен быть	2	1
229	духа в	1	1
230	в самом	9	1
231	только то	2	1
232	в которой	1	1
233	бы и	5	1
234	что составляет	1	1
235	что это	13	1
236	или его	1	1
237	могли бы	1	1
238	вобрать в	1	1
239	из этих	1	1
240	тот или	1	1
241	если мы	8	1
242	в эти	1	1
243	собою как	1	1
244	история и	1	1
245	себя в	10	1
246	е наличие	1	1
247	реальное и	1	1
248	только один	2	1
249	сливаются в	1	1
250	уже в	1	1
251	говорить об	1	1
252	только на	3	1
253	на то	4	1
254	если он	1	1
255	но на	2	1
256	находится вне	2	1
257	получили в	1	1
258	как оно	3	1
259	не могла	1	1
260	в определенном	1	1
261	не внешнее	1	1
262	т д	19	1
263	только к	2	1
264	из этой	1	1
265	мы знаем	1	1
266	есть как	3	1
267	одно из	1	1
268	идеи и	3	1
269	и должна	1	1
270	последние годы	2	1
271	что каждая	1	1
272	мы можем	4	1
273	и только	3	1
274	само по	1	1
275	и по	1	1
276	с собой	2	1
277	одно и	5	1
278	мы возьмем	2	1
279	эта основная	1	1
280	от нее	2	1
281	бы это	1	1
282	а затем	2	1
283	имеют в	1	1
284	реальность в	1	1
285	или иной	1	1
286	из всех	1	1
287	на этой	1	1
288	ясно что	8	1
289	его в	2	1
290	совершенно ясно	2	1
291	и быть	1	1
292	культуры нужно	1	1
293	было и	2	1
294	а с	3	1
295	из недр	1	1
296	в наш	1	1
297	и целиком	1	1
298	что не	5	1
299	в это	1	1
300	или хотя	1	1
301	обратиться к	1	1
302	с богом	1	1
303	социального бытия	1	1
304	кто не	3	1
305	далеко не	1	1
306	в этой	3	1
307	в реальной	1	1
308	как и	8	1
309	и уже	1	1
310	с которым	1	1
311	в свете	7	1
312	говорится о	2	1
313	бы ее	1	1
314	душа и	1	1
315	и я	1	1
316	относящиеся к	1	1
317	в бытии	1	1
318	нисколько не	4	1
319	в одно	1	1
320	и еще	2	1
321	движение и	1	1
322	или менее	1	1
323	отрыве от	2	1
324	что если	1	1
325	это ощущение	1	1
326	так же	1	1
327	поскольку вообще	1	1
328	представить себе	1	1
329	всяком случае	2	1
330	все основные	1	1
331	что именно	1	1
332	культура но	1	1
333	в отличие	1	1
334	мысли и	3	1
335	бы мы	1	1
336	в данном	5	1
337	вопрос о	1	1
338	сравнению с	6	1
339	когда и	2	1
340	можно говорить	2	1
341	исключительно на	1	1
342	и смысла	1	1
343	в отдельности	4	1
344	и эти	2	1
345	отдельности и	2	1
346	как к	4	1
347	и более	1	1
348	или что	3	1
349	друг с	1	1
350	и вся	1	1
351	нет никакого	2	1
352	что есть	5	1
353	и –	10	1
354	чем то	2	1
355	что эта	1	1
356	с которой	1	1
357	она не	4	1
358	иной раз	1	1
359	есть прежде	2	1
360	но для	2	1
361	тогда когда	5	1
362	она должна	2	1
363	своего существования	2	1
364	в сферу	1	1
365	только мы	2	1
366	с и	1	1
367	и материализма	1	1
368	того чтобы	3	1
369	– все	1	1
370	она может	4	1
371	об отношении	1	1
372	вполне и	1	1
373	никогда не	2	1
374	и всегда	1	1
375	в результате	3	1
376	о котором	1	1
377	иного и	1	1
378	находятся в	1	1
379	этих двух	2	1
380	исторической действительности	1	1
381	и притом	3	1
382	и которая	1	1
383	как она	4	1
384	другой стороны	2	1
385	только что	2	1
386	в этих	1	1
387	о смысле	4	1
388	значило бы	4	1
389	конечно и	1	1
390	есть у	2	1
391	в движении	1	1
392	в философии	5	1
393	только как	1	1
394	они как	2	1
395	исходить из	1	1
396	к сфере	1	1
397	является и	1	1
398	относиться к	1	1
399	что все	2	1
400	есть признак	1	1
401	есть и	4	1
402	ли не	1	1
403	не верить	1	1
404	создалось в	1	1
405	вдумываясь в	2	1
406	что то	2	1
407	что оно	8	1
408	ни на	3	1
409	и другие	1	1
410	не есть	49	1
411	вместе с	1	1
412	все еще	3	1
413	это в	1	1
414	ее по	1	1
415	во всяком	3	1
416	из чего	1	1
417	гораздо более	1	1
