N	2gram	Losev_Vesc_1	EvropaiC
660	без внимания	1	1
661	ее на	1	1
662	мы возьмем	2	1
663	ближе чем	1	1
664	даже и	4	1
665	но из	1	1
666	бы это	1	1
667	хотя часто	1	1
668	социальная жизнь	1	1
669	и даже	6	1
670	в данный	1	1
671	а именно	1	1
672	эти две	4	1
673	к которому	1	1
674	как же	3	1
675	еще и	8	1
676	кто в	1	1
677	собой а	1	1
678	к его	1	1
679	только к	2	1
680	одинаковой мере	1	1
681	с ней	2	1
682	те кто	1	1
683	естественно что	1	1
684	и пр	6	1
685	может ли	2	1
686	когда этот	1	1
687	а не	19	1
688	зависит от	1	1
689	вопрос можно	1	1
690	и выше	1	1
691	и оно	3	1
692	а так	2	1
693	когда же	1	1
694	когда она	4	1
695	предрассудки о	1	1
696	он и	1	1
697	то не	4	1
698	смысл что	1	1
699	мало и	1	1
700	интересен и	1	1
701	ибо это	1	1
702	оно существует	1	1
703	еще нет	1	1
704	а если	1	1
705	наряду с	1	1
706	мыслим и	1	1
707	могут быть	1	1
708	есть как	3	1
709	а потом	2	1
710	нечто абсолютно	2	1
711	общения с	23	1
712	быть не	4	1
713	эти вопросы	1	1
714	отнесся к	1	1
715	все одинаково	1	1
716	общение между	1	1
717	этой стороны	1	1
718	же самое	1	1
719	точно и	1	1
720	понятий и	2	1
721	с большой	1	1
722	она должна	2	1
723	в более	1	1
724	вопрос в	1	1
725	вообще говоря	1	1
726	но какое	2	1
727	частей и	1	1
728	ли в	3	1
729	итак если	1	1
730	тождественно с	1	1
731	но когда	1	1
732	еще более	2	1
733	нужно чтобы	1	1
734	в одинаковой	1	1
735	будто бы	1	1
736	отличия от	1	1
737	ноги и	1	1
738	или не	2	1
739	жизнь все	1	1
740	психологической точки	1	1
741	если все	1	1
742	у данного	1	1
743	что указывало	1	1
744	жизни в	1	1
745	ясно также	1	1
746	своей части	1	1
747	две стороны	1	1
748	сказать что	17	1
749	не быть	3	1
750	существует в	1	1
751	была бы	2	1
752	от всех	4	1
753	но этот	1	1
754	у людей	1	1
755	психологии с	1	1
756	но еще	3	1
757	своих частей	1	1
758	ее в	1	1
759	еще менее	1	1
760	в своих	1	1
761	нет что	1	1
762	очень редко	1	1
763	и эта	3	1
