N	2gram	Berdyaev_M_1	Tvorches
728	xix век	1	1
729	находятся в	1	1
730	самого себя	2	1
731	достоевского русская	1	1
732	достоевского чем	2	1
733	человек с	1	1
734	это значит	3	1
735	л толстой	2	1
736	свободы в	11	1
737	человеческая природа	5	1
738	сих пор	2	1
739	только для	1	1
740	о его	1	1
741	отличается от	2	1
742	это выражение	1	1
743	человеке борьбу	1	1
744	и сам	1	1
745	в более	2	1
746	время для	1	1
747	и часто	1	1
748	уже на	1	1
749	в самые	1	1
750	решить вопрос	2	1
751	наоборот мир	1	1
752	человека для	1	1
753	человек и	6	1
754	во время	1	1
755	достоевский свою	1	1
756	от него	4	1
757	о достоевском	7	1
758	свидригайлова и	1	1
759	себе что	1	1
760	тем более	1	1
761	конце концов	2	1
762	не одну	1	1
763	я в	1	1
764	хотя в	1	1
765	в искусстве	1	1
766	природа человека	1	1
767	человека не	4	1
768	давно уже	1	1
769	отношении к	2	1
770	гоголь и	1	1
771	это все	1	1
772	этот вопрос	1	1
773	от всех	1	1
774	русские люди	3	1
775	к его	1	1
776	но этот	1	1
777	жизни а	1	1
778	него и	2	1
779	не что	1	1
780	отношению к	2	1
781	ко всему	1	1
782	т е	2	1
783	опыта с	1	1
784	и жизнь	2	1
785	закона и	1	1
786	этот момент	1	1
787	он готов	1	1
788	ставрогина и	1	1
789	достоевского никогда	2	1
790	о нем	2	1
791	важно для	1	1
792	человеческой природе	3	1
793	что свобода	3	1
794	к людям	1	1
795	историю как	1	1
796	он лишь	2	1
797	верно подметил	1	1
798	с самим	2	1
