N	2gram	Berdyaev_V_1	Tragedij
167	они только	1	1
168	в них	3	1
169	когда я	2	1
170	для чего	1	1
171	с такой	1	1
172	ведет к	1	1
173	отвращение к	3	1
174	но я	1	1
175	же ведь	1	1
176	в своей	3	1
177	наших дней	1	1
178	людям в	1	1
179	в котором	4	1
180	и вот	1	1
181	не понимает	1	1
182	над ними	2	1
183	не могли	2	1
184	им под	1	1
185	и великого	1	1
186	тому что	3	1
187	сто тысяч	2	1
188	она не	1	1
189	на земле	7	1
190	на котором	1	1
191	того как	1	1
192	понятно это	1	1
193	это мы	2	1
194	и всегда	1	1
195	для нас	2	1
196	и теперь	2	1
197	но теперь	2	1
198	что на	1	1
199	могут быть	2	1
200	насилия и	1	1
201	в окончательном	1	1
202	что оно	1	1
203	его с	1	1
204	всего что	1	1
205	не есть	6	1
206	в бога	2	1
207	как мы	1	1
208	того чтобы	2	1
209	людей в	3	1
210	надругательство над	1	1
211	и думать	1	1
212	роль в	1	1
213	и которую	1	1
214	можно было	2	1
215	на нее	1	1
216	на благо	1	1
217	когда в	2	1
218	по сравнению	1	1
219	с человека	1	1
220	быть может	1	1
221	но может	1	1
222	злого начала	1	1
223	вот почему	2	1
224	но мы	2	1
225	любви ко	1	1
226	после того	1	1
227	и который	1	1
228	это желание	1	1
229	от него	2	1
230	все в	1	1
231	добра и	4	1
232	между тем	2	1
233	я вижу	1	1
234	в форме	2	1
235	если за	1	1
236	к личности	4	1
237	и пусть	1	1
238	того что	5	1
239	мы видим	1	1
240	с ними	1	1
241	только в	2	1
242	во всем	1	1
243	личности она	1	1
244	вот что	1	1
245	и любви	2	1
246	ненависти и	2	1
247	но от	1	1
248	и должна	1	1
249	не для	1	1
250	к ним	1	1
251	в xx	1	1
252	и вместе	1	1
253	любит и	1	1
254	близок к	1	1
255	что не	4	1
256	слабых и	1	1
257	не было	3	1
258	в образах	1	1
259	не верит	3	1
260	а не	7	1
261	власти и	1	1
262	с которым	1	1
263	не быть	1	1
264	личности об	2	1
265	xx веке	1	1
266	иван карамазов	1	1
267	более чем	2	1
268	о счастье	5	1
269	вместе с	1	1
270	ко всем	1	1
271	и потому	7	1
272	в духе	2	1
273	всех людей	3	1
274	в человеке	1	1
275	над ним	1	1
276	если хочешь	1	1
277	сравнению с	1	1
278	моя свобода	1	1
279	от природы	1	1
280	думать о	1	1
281	который он	1	1
282	этого слова	1	1
283	с этой	1	1
284	еще к	1	1
285	и от	1	1
286	так ли	1	1
287	здесь есть	1	1
288	любовь к	3	1
289	в результате	1	1
290	это как	1	1
291	тот кто	2	1
292	а к	2	1
293	в двух	1	1
294	же им	1	1
295	к счастью	3	1
296	бы в	1	1
297	счастье человечества	1	1
298	конце концов	1	1
299	хотя бы	3	1
300	что ты	3	1
301	карла маркса	1	1
302	я в	1	1
303	к ее	1	1
304	жизни в	1	1
305	напоминает о	1	1
306	идея в	1	1
307	есть и	1	1
308	недоразумение и	1	1
309	может ли	1	1
310	и эта	1	1
311	это в	1	1
312	природу человека	1	1
313	дети но	1	1
314	во всяком	2	1
