N	2gram	Losev_Vesc_1	RusskieA
127	что иное	7	2
128	на себя	1	2
129	между собой	1	2
130	иное как	7	2
131	с одной	3	2
132	ее к	2	2
133	очевидно что	1	2
134	тогда как	1	2
135	с этим	3	2
136	все же	4	2
137	а и	9	2
138	и как	8	2
139	не было	1	2
140	не можем	1	2
141	та же	1	2
142	в которой	1	2
143	из этих	1	2
144	если он	1	2
145	как оно	3	2
146	эти теории	2	2
147	не к	1	2
148	том чтобы	1	2
149	здесь мы	1	2
150	об этом	3	2
151	же а	1	2
152	должно быть	6	2
153	и еще	2	2
154	так в	1	2
155	в своей	5	2
156	нас не	1	2
157	не столько	1	2
158	нечто вроде	1	2
159	силу и	1	2
160	тем не	3	2
161	не менее	3	2
162	как можно	3	2
163	в то	3	2
164	дело не	2	2
165	о них	1	2
166	никогда не	2	2
167	к ней	2	2
168	во всем	1	2
169	кроме того	4	2
170	что на	2	2
171	к таким	1	2
172	все то	1	2
173	когда мы	6	2
174	на улицу	1	2
175	только одну	1	2
176	говорит о	1	2
177	должен быть	2	2
178	в виду	2	2
179	то время	1	2
180	можно было	2	2
181	не с	7	2
182	которые с	1	2
183	жизнь и	1	2
184	из основных	1	2
185	с другой	6	2
186	части и	1	2
187	у них	1	2
188	живой человек	1	2
189	что и	3	2
190	в него	1	2
191	один из	3	2
192	этот вопрос	1	2
193	и ее	18	2
194	где они	1	2
195	есть в	1	2
196	одно из	1	2
197	моментов в	2	2
198	в руки	2	2
199	ее на	1	2
200	же деле	1	2
201	а с	3	2
202	прежде всего	9	2
203	и пр	6	2
204	самом же	1	2
205	одной стороны	3	2
206	из наиболее	1	2
207	но можно	1	2
208	совершенно не	5	2
209	если она	1	2
210	из которых	1	2
211	дерева в	1	2
212	магическую силу	1	2
213	в течение	1	2
214	могут быть	1	2
215	быть только	3	2
216	с этой	4	2
217	говорить что	3	2
218	и для	9	2
219	решить вопрос	1	2
220	жизни в	1	2
221	только как	1	2
222	не что	7	2
223	из этого	1	2
224	в своих	1	2
225	это в	1	2
226	ли мы	2	1
227	ту же	2	1
228	отношение к	1	1
229	человека и	1	1
230	относятся к	1	1
231	и есть	26	1
232	из самых	2	1
233	можно говорить	2	1
234	что эти	1	1
235	применении к	2	1
236	с таким	1	1
237	мы уже	3	1
238	что если	1	1
239	и сущность	1	1
240	к новой	1	1
241	происходило в	1	1
242	говорить о	6	1
243	как комплекс	1	1
244	как орудие	1	1
245	из того	2	1
246	мы и	1	1
247	то это	3	1
248	полное и	1	1
249	д а	1	1
250	тут все	1	1
251	в ней	12	1
252	что каждый	1	1
253	на нем	1	1
254	проявляет себя	1	1
255	вещь в	6	1
256	до другого	1	1
257	слова эти	1	1
258	в различных	1	1
259	которое он	1	1
260	явлений и	1	1
261	если в	1	1
262	нет и	1	1
263	что они	6	1
264	относится к	5	1
265	отнюдь не	5	1
266	независимо от	5	1
267	что именно	1	1
268	стороны и	2	1
269	в своем	6	1
270	перед нами	2	1
271	человек на	1	1
272	и где	1	1
273	хотя и	4	1
274	когда он	1	1
275	всем другим	1	1
276	и наконец	1	1
277	от других	1	1
278	даже просто	1	1
279	более или	1	1
280	ясно и	1	1
281	есть ли	6	1
282	от этого	2	1
283	в самом	9	1
284	уже в	1	1
285	они чем-то	1	1
286	выражение в	3	1
287	однако как	1	1
288	и дерево	1	1
289	только один	2	1
290	тому же	1	1
291	ее как	2	1
292	на то	4	1
293	но на	2	1
294	не могла	1	1
295	же но	1	1
296	и если	2	1
297	вообще не	2	1
298	в нем	2	1
299	всех этих	1	1
300	необходимо для	1	1
301	или другое	1	1
302	только в	14	1
303	именно это	1	1
304	на этих	1	1
305	это конечно	1	1
306	от нее	2	1
307	ее по	1	1
308	могла бы	3	1
309	что все	2	1
310	значение в	1	1
311	в другом	2	1
312	и чтобы	1	1
313	из себя	3	1
314	и руки	1	1
315	знает что	2	1
316	того или	1	1
317	те или	4	1
318	и дает	1	1
319	остановиться на	1	1
320	выходя из	1	1
321	в новое	1	1
322	только одно	2	1
323	о которой	2	1
324	сущность ее	1	1
325	говорится о	2	1
326	и значения	1	1
327	сами собой	1	1
328	в научной	1	1
329	оно же	1	1
330	или менее	1	1
331	нужно чтобы	1	1
332	что между	2	1
333	таким же	1	1
334	уже к	1	1
335	это только	1	1
336	бы к	1	1
337	как другие	1	1
338	и этой	1	1
339	как от	1	1
340	однако в	1	1
341	iii и	1	1
342	случае мы	1	1
343	тогда наступает	1	1
344	что есть	5	1
345	этого делать	1	1
346	что эта	1	1
347	с которой	1	1
348	можно понимать	1	1
349	со старой	1	1
350	нас это	1	1
351	дело в	4	1
352	или другие	4	1
353	в науке	1	1
354	и притом	3	1
355	ее с	5	1
356	в основе	3	1
357	какое-нибудь дерево	1	1
358	с и	1	1
359	это еще	1	1
360	когда уже	1	1
361	следовательно и	1	1
362	есть уже	1	1
363	в коем	1	1
364	ничего не	3	1
365	в полной	1	1
366	место это	1	1
367	по своей	2	1
368	образа и	1	1
369	быть потому	1	1
370	и его	2	1
371	которое не	1	1
372	до того	1	1
373	как будто	1	1
374	этом отношении	1	1
375	не является	1	1
376	остановиться несколько	1	1
377	ясно но	1	1
378	и оно	3	1
379	и здесь	4	1
380	в духе	1	1
381	во все	1	1
382	одних имен	1	1
383	как только	4	1
384	сходство с	1	1
385	с полной	4	1
386	для его	1	1
387	кто же	1	1
388	как некое	1	1
389	оно не	3	1
390	указал на	1	1
391	ничего общего	1	1
392	в применении	1	1
393	обычно в	1	1
394	и это	14	1
395	и которая	1	1
396	из всего	1	1
397	себе в	3	1
398	не будет	12	1
399	свою очередь	4	1
400	без всякого	4	1
401	на основе	1	1
402	в в	2	1
403	в особенности	1	1
404	в пределах	1	1
405	приводит к	1	1
406	идет речь	1	1
407	название это	1	1
408	и совершенно	1	1
409	и когда	4	1
410	то как	2	1
411	что у	5	1
412	достаточно чтобы	1	1
413	с собой	2	1
414	так и	3	1
415	без внутреннего	1	1
416	что также	1	1
417	мог бы	5	1
418	живого существа	1	1
419	палку в	1	1
420	можно только	4	1
421	том как	1	1
422	думает что	1	1
423	но у	1	1
424	если бы	5	1
425	с ним	8	1
426	хотя это	1	1
427	но может	1	1
428	находится в	3	1
429	сводится к	2	1
430	на этой	1	1
431	и объяснить	1	1
432	можно сказать	6	1
433	может не	2	1
434	живое дерево	1	1
435	и во	3	1
436	нас в	3	1
437	эту березку	1	1
438	теперь уже	1	1
439	не отличаются	1	1
440	в его	2	1
441	во всей	1	1
442	все время	1	1
443	если это	2	1
444	это приводит	1	1
445	быть и	1	1
446	но так	1	1
447	но с	2	1
448	сделать это	2	1
449	тот же	3	1
450	с ними	3	1
451	из дерева	2	1
452	что он	1	1
453	ли он	1	1
454	но ни	1	1
455	и так	1	1
456	несколько подробнее	1	1
457	ноги и	1	1
458	i и	1	1
459	в эти	1	1
460	собою как	1	1
461	из которого	1	1
462	же и	1	1
463	с нею	18	1
464	вопроса о	1	1
465	только на	3	1
466	еще очень	1	1
467	а это	4	1
468	е не	2	1
469	при помощи	2	1
470	в данной	1	1
471	области в	1	1
472	на столе	2	1
473	получает имя	1	1
474	ни с	6	1
475	не так	1	1
476	для него	4	1
477	всяком случае	2	1
478	могло бы	1	1
479	в одном	2	1
480	в конце	2	1
481	чтобы она	2	1
482	в специальный	1	1
483	и должна	1	1
484	себя от	2	1
485	ее не	2	1
486	ту сторону	1	1
487	случае не	1	1
488	как раз	9	1
489	не просто	19	1
490	из своих	1	1
491	время как	1	1
492	в это	1	1
493	нужно было	2	1
494	и даже	6	1
495	даже не	7	1
496	живой и	2	1
497	и эту	1	1
498	и чем	3	1
499	от другого	1	1
500	превращается в	1	1
501	смысла и	5	1
502	не на	1	1
503	зависит от	1	1
504	если эти	1	1
505	нужно иметь	1	1
506	него не	1	1
507	и следовательно	7	1
508	в одно	1	1
509	или другого	1	1
510	смысла есть	2	1
511	и потому	5	1
512	название не	1	1
513	к себе	4	1
514	смерть есть	1	1
515	а так	2	1
516	который также	1	1
517	также к	1	1
518	когда же	1	1
519	а потом	2	1
520	равным образом	3	1
521	можно выразить	1	1
522	в современной	1	1
523	и более	1	1
524	быть не	4	1
525	и не	29	1
526	но это	10	1
527	она будет	2	1
528	это выражение	2	1
529	отдельно от	1	1
530	и тогда	1	1
531	происходит не	1	1
532	ли в	3	1
533	она может	4	1
534	ее но	1	1
535	есть носитель	1	1
536	тот кто	1	1
537	в двух	1	1
538	и новое	1	1
539	мы должны	2	1
540	только что	2	1
541	или не	2	1
542	не я	2	1
543	к ее	2	1
544	имен и	1	1
545	несмотря на	1	1
546	только с	3	1
547	все еще	3	1
548	в свою	4	1
549	две стороны	1	1
550	платья и	1	1
551	сказать что	17	1
552	другой стороны	2	1
553	они как	2	1
554	содержится в	3	1
555	есть и	4	1
556	из своей	1	1
557	более полное	1	1
558	это так	3	1
559	во всяком	3	1
560	также не	1	1
561	очень редко	1	1
562	и эта	3	1
563	есть тут	1	1
564	на лице	1	1
565	все что	1	1
