N	2gram	Berdyaev_N_1	Hudozhes
316	имея в	1	1
317	вступает в	1	1
318	себя человек	1	1
319	вместе с	2	1
320	до этого	1	1
321	я уже	2	1
322	одну из	1	1
323	ночь и	1	1
324	не могут	1	1
325	истории не	3	1
326	тому как	3	1
327	и вполне	1	1
328	в состоянии	1	1
329	быть не	1	1
330	мира с	1	1
331	в это	1	1
332	и формы	2	1
333	только для	1	1
334	к вопросу	1	1
335	в более	1	1
336	за его	1	1
337	времени его	1	1
338	совершается в	1	1
339	как того	1	1
340	все они	2	1
341	но если	1	1
342	того времени	1	1
343	не есть	3	1
344	на смену	1	1
345	не быть	1	1
346	жизни а	1	1
347	который в	2	1
348	жизни и	8	1
349	случае если	1	1
350	можно назвать	2	1
351	все что	1	1
352	они не	1	1
