N	2gram	Berdyaev_O_1	Literetu
185	но он	7	1
186	на то	1	1
187	жизни ее	1	1
188	с чем	2	1
189	же это	2	1
190	и вот	3	1
191	пути пройденного	1	1
192	на земле	4	1
193	ни был	1	1
194	бы кажется	1	1
195	различие между	3	1
196	со всеми	1	1
197	его не	2	1
198	в глубине	7	1
199	это не	3	1
200	растворяется в	1	1
201	должен был	2	1
202	связанным с	1	1
203	она и	1	1
204	всю жизнь	1	1
205	ведет к	1	1
206	русского народа	2	1
207	поставлен у	1	1
208	со всей	1	1
209	которую он	2	1
210	в этих	3	1
211	о людях	1	1
212	в своей	2	1
213	всегда является	1	1
214	он должен	1	1
215	для многих	1	1
216	назад не	1	1
217	как от	1	1
218	вещей и	1	1
219	свобода и	2	1
220	что есть	2	1
221	в отношении	1	1
222	не имеет	2	1
223	того как	1	1
224	в дневнике	2	1
225	свободы и	2	1
226	есть путь	1	1
227	в отношениях	1	1
228	в форму	1	1
229	по своей	1	1
230	не частное	1	1
231	во всем	1	1
232	у кого	2	1
233	есть не	1	1
234	в сознании	1	1
235	путь он	1	1
236	есть у	1	1
237	бытия как	1	1
238	свое собственное	1	1
239	не могут	3	1
240	всеми и	1	1
241	это конечно	1	1
242	в других	2	1
243	с кем	1	1
244	даже когда	1	1
245	о судьбе	1	1
246	можно и	1	1
247	и о	2	1
248	того чтобы	4	1
249	на нем	1	1
250	мысль о	2	1
251	и когда	1	1
252	можно было	1	1
253	не стоит	1	1
254	находится в	1	1
255	это я	1	1
256	о границах	1	1
257	после того	1	1
258	самому себе	1	1
259	любви к	1	1
260	из тьмы	1	1
261	нет у	1	1
262	бы в	1	1
263	чем и	1	1
264	видят не	1	1
265	лица в	1	1
266	же можно	2	1
267	его собственная	1	1
268	что только	1	1
269	в эти	1	1
270	человека с	1	1
271	путь которым	1	1
272	в единстве	2	1
273	не все	2	1
274	нам все	1	1
275	вл соловьева	1	1
276	чего бы	1	1
277	с какой	1	1
278	ни с	7	1
279	мир в	1	1
280	личности и	2	1
281	его речь	1	1
282	лишь для	1	1
283	человеке он	3	1
284	границы и	1	1
285	как у	1	1
286	что человек	3	1
287	человека а	2	1
288	и прежде	1	1
289	а с	1	1
290	говорит о	1	1
291	к человеку	9	1
292	свободы от	1	1
293	стремится к	1	1
294	не таков	1	1
295	души он	1	1
296	есть лишь	4	1
297	к победе	1	1
298	среди них	1	1
299	человек в	1	1
300	все время	1	1
301	в творчестве	5	1
302	него в	5	1
303	и потому	2	1
304	он говорит	1	1
305	ибо легче	1	1
306	что же	2	1
307	человек всегда	2	1
308	и менее	1	1
309	в своем	2	1
310	в это	1	1
311	лет назад	1	1
312	он придет	1	1
313	для тех	1	1
314	его в	2	1
315	и от	3	1
316	своей жизни	2	1
317	всего в	2	1
318	мысль его	1	1
319	на самом	1	1
320	всего мира	1	1
321	в пределе	1	1
322	придет и	1	1
323	и трагическое	1	1
324	и вся-то	1	1
325	ее и	1	1
326	особого рода	1	1
327	всего что	1	1
328	от него	7	1
329	и все	10	1
330	еще более	1	1
331	ни к	1	1
332	личной судьбы	1	1
333	отношении к	1	1
334	ты не	1	1
335	нет ничего	7	1
336	только и	4	1
337	от всех	1	1
338	к его	1	1
339	у которых	1	1
340	который в	1	1
341	и состоит	1	1
342	ее в	2	1
343	и эта	1	1
344	к этому	2	1
345	русской литературы	1	1
