N	2gram	Nazirov_Tr_1	RusskieA
160	мы видим	1	2
161	тем и	1	2
162	ту же	1	1
163	не думает	1	1
164	чтобы не	1	1
165	а из	1	1
166	самом деле	1	1
167	женщины на	1	1
168	в первом	2	1
169	из самых	2	1
170	на две	1	1
171	что эти	2	1
172	и ее	2	1
173	должна быть	1	1
174	и за	2	1
175	и могут	1	1
176	и цель	1	1
177	собой как	1	1
178	вопрос о	2	1
179	из своих	2	1
180	богатые люди	1	1
181	не вполне	1	1
182	ему в	1	1
183	и он	3	1
184	в отличие	2	1
185	на них	1	1
186	не был	2	1
187	всего этого	1	1
188	в чем	1	1
189	с его	2	1
190	в петербурге	1	1
191	и ненависти	1	1
192	стол все	1	1
193	в общем	1	1
194	с совершенно	1	1
195	отличие от	2	1
196	далее следует	1	1
197	в истории	1	1
198	эта связь	1	1
199	и дети	2	1
200	она как	2	1
201	это был	2	1
202	перед нами	2	1
203	и наконец	1	1
204	в которой	1	1
205	то и	2	1
206	общеизвестно что	1	1
207	в себе	4	1
208	он не	2	1
209	не к	1	1
210	не как	1	1
211	ее своей	1	1
212	теперь еще	1	1
213	а затем	1	1
214	здесь мы	1	1
215	по-видимому не	1	1
216	что все	2	1
217	его в	2	1
218	известно что	1	1
219	и ненависть	1	1
220	на свои	1	1
221	ни в	2	1
222	этом мы	1	1
223	повод для	1	1
224	нет в	2	1
225	в этой	4	1
226	со своими	1	1
227	он и	2	1
228	в развитии	1	1
229	года и	1	1
230	но если	1	1
231	и при	1	1
232	взгляд на	1	1
233	во времена	1	1
234	не столько	1	1
235	что я	4	1
236	одном из	2	1
237	но эта	2	1
238	начнем с	1	1
239	и бьет	1	1
240	не могли	1	1
241	с такими	1	1
242	что сам	1	1
243	превратилось в	2	1
244	iii и	1	1
245	они сами	1	1
246	что христос	1	1
247	любви и	2	1
248	в то	5	1
249	помещик в	1	1
250	это хорошо	1	1
251	считает что	1	1
252	значение этого	1	1
253	упоминается в	1	1
254	и всегда	1	1
255	он повторил	1	1
256	или как	1	1
257	и его	6	1
258	и теперь	1	1
259	особое значение	1	1
260	в духе	1	1
261	вопросу об	1	1
262	что наш	1	1
263	и это	2	1
264	и о	1	1
265	у себя	1	1
266	в виду	1	1
267	на другой	1	1
268	данном случае	2	1
269	и сам	3	1
270	можно было	1	1
271	было в	2	1
272	жизнь и	3	1
273	быть может	1	1
274	стремление к	1	1
275	свидетельствует о	1	1
276	вот почему	1	1
277	но мы	1	1
278	встреча не	1	1
279	в глаза	2	1
280	и который	1	1
281	важнее для	1	1
282	к нему	3	1
283	содержала и	1	1
284	в форме	1	1
285	является по	1	1
286	в настоящей	1	1
287	о своих	1	1
288	свою рану	1	1
289	не так	2	1
290	бросается в	2	1
291	что он	6	1
292	только сам	1	1
293	даже если	2	1
294	который в	2	1
295	на первую	1	1
296	вот что	1	1
297	есть в	1	1
298	и детей	2	1
299	уже в	3	1
300	был заимствован	1	1
301	него нет	1	1
302	всяком случае	1	1
303	нуждается в	1	1
304	хозяина и	1	1
305	и один	1	1
306	т п	1	1
307	чтобы она	1	1
308	и должна	1	1
309	с этими	1	1
310	не могут	2	1
311	как у	2	1
312	до xx	1	1
313	совершенно ином	1	1
314	что не	1	1
315	обратиться к	1	1
316	говорит о	2	1
317	с которым	1	1
318	с наступлением	1	1
319	на смерть	1	1
320	нас другой	1	1
321	которой он	1	1
322	под влиянием	2	1
323	и служит	1	1
324	себя на	1	1
325	но этого	2	1
326	в иной	1	1
327	нет он	1	1
328	недостаточно чтобы	1	1
329	может так	1	1
330	в данном	2	1
331	по поводу	2	1
332	такая точка	1	1
333	наряду с	1	1
334	в той	1	1
335	ко всему	1	1
336	был более	1	1
337	быть не	1	1
338	есть и	1	1
339	с последним	1	1
340	это как	1	1
341	не является	1	1
342	при таком	1	1
343	тот кто	1	1
344	а к	1	1
345	в двух	1	1
346	оказалось что	1	1
347	это часто	1	1
348	от него	1	1
349	и все	4	1
350	на одной	1	1
351	объясняется тем	1	1
352	или вообще	1	1
353	согласиться с	1	1
354	в период	1	1
355	только о	2	1
356	этим объясняется	2	1
357	к числу	1	1
358	я тебе	2	1
359	всегда была	1	1
360	в таком	2	1
361	а нечто	1	1
362	точно так	2	1
363	во всяком	1	1
