N	2gram	Medvedev_F_2	Problema
113	должна быть	5	4
114	содержания в	1	4
115	конститутивным моментом	1	4
116	конечно и	1	4
117	в виду	2	4
118	в ней	6	4
119	но конечно	1	4
120	как в	4	4
121	но в	4	4
122	в нашем	1	4
123	в себе	1	4
124	понять его	1	4
125	произведение как	2	4
126	в данном	1	4
127	м жирмунского	1	4
128	значение слова	2	4
129	не менее	1	4
130	но они	1	4
131	тем самым	2	4
132	о значении	1	4
133	в то	5	4
134	для поэзии	1	4
135	известной степени	4	4
136	должны быть	1	4
137	здесь не	4	4
138	в ее	2	4
139	данном случае	1	4
140	в произведении	1	4
141	можно было	1	4
142	о том	1	4
143	от всех	2	4
144	с ними	2	4
145	в других	7	4
146	в форме	1	4
147	и только	5	4
148	самого познания	1	4
149	к которому	1	4
150	что не	4	4
151	более того	5	4
152	материал в	1	4
153	в более	1	4
154	лишь как	4	4
155	хотя бы	6	4
156	между ними	2	4
157	сказать что	2	4
158	другой стороны	4	4
159	например в	3	3
160	противном случае	1	3
161	едва ли	2	3
162	поэтического произведения	8	3
163	на материале	1	3
164	пределы произведения	1	3
165	говорить о	5	3
166	на них	1	3
167	бы то	1	3
168	мы будем	1	3
169	точка зрения	1	3
170	менее всего	3	3
171	иногда и	1	3
172	произведение не	1	3
173	кроме того	2	3
174	и к	4	3
175	не будем	1	3
176	в целом	3	3
177	формальный метод	10	3
178	он не	6	3
179	творца и	1	3
180	выходя за	1	3
181	то ни	2	3
182	а как	3	3
183	с другими	10	3
184	и тем	2	3
185	в слове	5	3
186	несмотря на	1	3
187	том что	2	3
188	есть его	1	3
189	тем не	1	3
190	на него	1	3
191	как его	2	3
192	в противном	1	3
193	же время	5	3
194	не выходя	1	3
195	языка в	9	3
196	как только	1	3
197	в применении	2	3
198	и это	2	3
199	хотя и	3	3
200	и от	2	3
201	приводит к	2	3
202	в дальнейшем	4	3
203	ясно что	1	3
204	мы в	2	3
205	если бы	5	3
206	и должно	5	3
207	к действительности	3	3
208	на почве	9	3
209	содержания но	1	3
210	этом смысле	2	3
211	одной из	1	3
212	мы увидим	1	3
213	с одной	1	3
214	вопроса о	2	3
215	в известной	2	3
216	и должна	1	3
217	как такового	6	3
218	и даже	4	3
219	жизненной практики	1	3
220	оно не	4	3
221	одной стороны	1	3
222	есть лишь	2	3
223	его как	2	3
224	на фоне	4	3
225	связь с	1	3
226	и иной	1	3
227	применении к	2	3
228	и на	3	3
229	в тех	2	3
230	да и	1	3
231	слова и	7	3
232	но это	2	3
233	все это	3	3
234	не является	3	3
235	наук об	1	3
236	от него	2	3
237	и все	3	3
238	в таком	2	3
239	они не	4	3
240	можно говорить	2	2
241	относится и	2	2
242	и есть	1	2
243	так при	1	2
244	в котором	2	2
245	проникает в	1	2
246	его не	2	2
247	их и	1	2
248	есть не	1	2
249	можно и	3	2
250	мы имеем	1	2
251	совпадает с	2	2
252	но она	1	2
253	не вполне	1	2
254	и понять	1	2
255	событие как	1	2
256	первый план	2	2
257	столь же	2	2
258	со словами	1	2
259	в чем	2	2
260	с его	11	2
261	но как	2	2
262	а только	2	2
263	художественных произведений	1	2
264	смысле мы	1	2
265	или иное	1	2
266	в истории	6	2
267	дело идет	4	2
268	дает нам	1	2
269	показать что	1	2
270	как к	3	2
271	отнесены к	1	2
272	лингвистические особенности	1	2
273	целого произведения	1	2
274	что это	3	2
275	бы не	1	2
276	ни одна	2	2
277	на то	1	2
278	а к	2	2
279	не следует	4	2
280	быть поняты	1	2
281	оно было	1	2
282	но нельзя	1	2
283	он должен	1	2
284	понятий и	3	2
285	в корне	7	2
286	на этом	2	2
287	всех своих	1	2
288	в каждом	1	2
289	материала и	4	2
290	лишь в	7	2
291	и других	2	2
292	действительности в	1	2
293	не совпадает	1	2
294	формы она	1	2
295	языка для	1	2
296	лингвистический анализ	1	2
297	место и	2	2
298	как таковой	3	2
299	на первый	2	2
300	и при	1	2
301	и художественно	1	2
302	своих моментах	1	2
303	где оно	1	2
304	не путем	1	2
305	и более	2	2
306	не могли	2	2
307	указанных нами	1	2
308	случае мы	1	2
309	и вся	1	2
310	задачи и	3	2
311	раз и	4	2
312	этой области	1	2
313	что эта	2	2
314	она не	2	2
315	дело в	1	2
316	и именно	1	2
317	этого объекта	1	2
318	того чтобы	3	2
319	чем не	1	2
320	слово и	2	2
321	действительности но	1	2
322	во всем	1	2
323	а лишь	3	2
324	связи с	13	2
325	здесь же	1	2
326	так называемый	1	2
327	следует что	3	2
328	этом отношении	7	2
329	можем говорить	1	2
330	у нас	1	2
331	представляется нам	1	2
332	не могут	7	2
333	есть только	2	2
334	отличается от	1	2
335	что оно	4	2
336	слова с	1	2
337	для того	3	2
338	в работах	2	2
339	быть конечно	2	2
340	должен быть	1	2
341	на материал	1	2
342	поэзии язык	1	2
343	самим собою	1	2
344	только при	1	2
345	степени и	1	2
346	особенно в	3	2
347	и которые	1	2
348	с самим	1	2
349	том как	1	2
350	здесь все	1	2
351	и здесь	3	2
352	становится только	1	2
353	в другом	1	2
354	как чисто	1	2
355	в значительной	3	2
356	другими областями	1	2
357	от них	1	2
358	организма и	1	2
359	и во	1	2
360	не довлеет	1	2
361	язык в	2	2
362	в каких	2	2
363	того что	3	2
364	в современной	1	2
365	художественного восприятия	1	2
366	что он	5	2
367	в какой	3	2
368	и ее	6	2
369	материал как	2	2
370	события и	1	2
371	не можем	1	2
372	можно определить	1	2
373	языка как	11	2
374	в виде	1	2
375	не дает	1	2
376	но совершенно	2	2
377	языка но	2	2
378	таком положении	1	2
379	центр тяжести	2	2
380	что и	8	2
381	вовсе не	11	2
382	содержание и	1	2
383	произведения и	3	2
384	в некоторых	4	2
385	то или	1	2
386	тем что	8	2
387	лишь для	4	2
388	в особенности	4	2
389	без всякой	3	2
390	чем в	1	2
391	здесь в	1	2
392	характерно для	1	2
393	и пр	21	2
394	не было	6	2
395	русский формальный	2	2
396	в россии	1	2
397	в связи	10	2
398	как это	2	2
399	подхода к	2	2
400	и оценки	1	2
401	к своему	1	2
402	лингвистики и	1	2
403	какой мере	2	2
404	и смысла	3	2
405	по существу	7	2
406	для понимания	6	2
407	других областях	1	2
408	можно сказать	1	2
409	того или	4	2
410	основных понятий	3	2
411	форм и	1	2
412	или в	3	2
413	узком смысле	1	2
414	той или	1	2
415	как явление	1	2
416	мы должны	1	2
417	в этих	2	2
418	слово в	2	2
419	в свою	1	2
420	была бы	3	2
421	материал и	3	2
422	к его	2	2
423	или иного	5	2
424	и другие	2	2
425	в своих	1	2
426	и эта	1	2
427	к чему-то	1	2
428	к этому	4	2
429	и методы	2	1
430	то на	1	1
431	лежат в	1	1
432	все остальное	4	1
433	дело обстоит	2	1
434	своей основной	1	1
435	это и	5	1
436	мере в	1	1
437	этого положения	1	1
438	в чисто	1	1
439	в первом	7	1
440	к другому	2	1
441	его же	1	1
442	из его	1	1
443	не вещь	1	1
444	исходит из	1	1
445	все те	1	1
446	мышления но	1	1
447	к созданию	1	1
448	иметь место	1	1
449	всею полнотою	1	1
450	обойтись без	1	1
451	как таковому	1	1
452	общих чертах	1	1
453	предмета в	2	1
454	до крайности	2	1
455	ясности и	2	1
456	что уже	1	1
457	вопрос о	1	1
458	язык как	8	1
459	нам в	1	1
460	другом направлении	1	1
461	должно брать	1	1
462	высказывания в	1	1
463	смысла в	3	1
464	который был	1	1
465	и глубоких	1	1
466	так чтобы	1	1
467	что иное	1	1
468	этом условии	1	1
469	которое в	1	1
470	подчеркнуть что	1	1
471	организации произведения	1	1
472	меньшей степени	1	1
473	от вопросов	1	1
474	становится в	2	1
475	в иванов	1	1
476	ней как	1	1
477	иное как	1	1
478	время в	1	1
479	произведения только	1	1
480	как таковая	2	1
481	поэтики к	1	1
482	различия между	1	1
483	отталкивается и	1	1
484	словами как	1	1
485	слова как	2	1
486	отказ от	1	1
487	то он	1	1
488	социального события	2	1
489	с трудом	1	1
490	значение и	3	1
491	в общем	5	1
492	вступают в	1	1
493	своих последних	1	1
494	язык лингвистики	1	1
495	на искусство	1	1
496	идет о	2	1
497	работа в	1	1
498	и выражения	1	1
499	увидим далее	1	1
500	то чем	1	1
501	более и	1	1
502	впервые делающий	1	1
503	все остальные	2	1
504	материала при	1	1
505	им в	1	1
506	и где	1	1
507	тот который	1	1
508	целый ряд	1	1
509	литературных произведениях	1	1
510	это определение	1	1
511	как таковое	4	1
512	именно эта	1	1
513	тенденция и	1	1
514	вещи но	1	1
515	то в	2	1
516	говорим и	2	1
517	от чего	1	1
518	помощью которого	1	1
519	не приходится	3	1
520	чисто лингвистические	1	1
521	в литературном	1	1
522	формализма и	2	1
523	не отвлекается	1	1
524	определяет все	1	1
525	которые в	1	1
526	в этой	6	1
527	но он	1	1
528	но ведь	3	1
529	как он	1	1
530	если он	1	1
531	направлено на	1	1
532	не могла	1	1
533	а вовсе	1	1
534	в первых	1	1
535	т д	5	1
536	всем что	1	1
537	которой не	1	1
538	каждое из	1	1
539	они в	1	1
540	всех этих	3	1
541	нее и	1	1
542	в понимании	2	1
543	в узком	1	1
544	в принципе	1	1
545	не как	4	1
546	слову как	2	1
547	того можно	1	1
548	значения но	1	1
549	широком смысле	2	1
550	методологического анализа	1	1
551	артикуляционных органов	1	1
552	ко всякой	1	1
553	конкретном единстве	1	1
554	его от	4	1
555	всего то	1	1
556	именно это	1	1
557	становится как	1	1
558	определить и	1	1
559	от нее	4	1
560	этом последнем	1	1
561	могла бы	1	1
562	они должны	2	1
563	значение в	1	1
564	произведения с	1	1
565	от некоторых	1	1
566	бы быть	1	1
567	поэтический язык	21	1
568	его своим	1	1
569	это было	3	1
570	или просто	1	1
571	от одного	2	1
572	и иных	2	1
573	можно узнать	1	1
574	и мы	1	1
575	без нее	3	1
576	моменты в	1	1
577	подходы и	1	1
578	ведь в	1	1
579	отсюда отнюдь	2	1
580	вещи а	1	1
581	не чем	1	1
582	для них	3	1
583	он является	1	1
584	нет в	1	1
585	это положение	2	1
586	тех литературных	1	1
587	ни одной	1	1
588	произведения или	2	1
589	все равно	1	1
590	требования к	1	1
591	быть понят	1	1
592	творческий акт	1	1
593	этом явлении	1	1
594	с тем	11	1
595	задача эта	1	1
596	называемый формальный	1	1
597	автора и	1	1
598	обратимся к	1	1
599	слишком часто	2	1
600	восприятия и	4	1
601	был бы	1	1
602	только тем	2	1
603	места в	1	1
604	и правильно	3	1
605	поэтического творчества	1	1
606	при изучении	1	1
607	трудная и	1	1
608	другим как	2	1
609	к предмету	3	1
610	к одному	1	1
611	том смысле	3	1
612	себе а	2	1
613	его отношение	1	1
614	является только	1	1
615	иным как	1	1
616	не должно	1	1
617	или если	1	1
618	по себе	7	1
619	как язык	1	1
620	так называемого	1	1
621	связей с	1	1
622	же мы	1	1
623	тому что	2	1
624	на один	2	1
625	быть лишь	1	1
626	слова мы	1	1
627	говорить уже	1	1
628	не раз	1	1
629	обстоит не	1	1
630	до известной	3	1
631	содержание произведения	1	1
632	иной раз	1	1
633	степени характерно	1	1
634	виду что	1	1
635	но для	1	1
636	произведении он	1	1
637	как о	4	1
638	мышления и	1	1
639	правда в	2	1
640	произведений кроме	1	1
641	этой тенденции	1	1
642	бытия и	1	1
643	идет в	1	1
644	опираться на	1	1
645	иметь в	1	1
646	тело как	1	1
647	не их	1	1
648	все свои	1	1
649	широком понимании	1	1
650	что язык	1	1
651	на фонемы	2	1
652	и без	1	1
653	вследствие того	1	1
654	этих двух	2	1
655	и лишь	2	1
656	ориентация на	1	1
657	явление в	1	1
658	значащий звук	2	1
659	во всей	2	1
660	и является	1	1
661	не связанная	1	1
662	отношение и	1	1
663	следует отметить	3	1
664	в процессе	9	1
665	слова его	1	1
666	так то	1	1
667	из смыслового	1	1
668	совершенно необходимо	1	1
669	найти чисто	1	1
670	один шаг	2	1
671	и несколько	1	1
672	и со	1	1
673	об особой	1	1
674	а путем	1	1
675	уже о	1	1
676	в виноградова	2	1
677	сравнительно с	1	1
678	значительной степени	3	1
679	этого и	1	1
680	его с	3	1
681	для его	1	1
682	даже и	4	1
683	а белый	1	1
684	поэзии как	2	1
685	поэтического языка	65	1
686	творчества не	1	1
687	произведений в	2	1
688	этическими и	1	1
689	эти явления	2	1
690	него как	1	1
691	особенности поэтического	2	1
692	слов но	1	1
693	из всего	3	1
694	к такому	1	1
695	иной чем	1	1
696	метода но	1	1
697	как не	1	1
698	свою очередь	1	1
699	на нем	2	1
700	говоря уже	1	1
701	всего этого	5	1
702	без всякого	1	1
703	в в	2	1
704	ни стало	2	1
705	языка и	12	1
706	смыслом не	1	1
707	характер и	1	1
708	если в	3	1
709	исторической жизни	1	1
710	первого же	1	1
711	зрения не	1	1
712	отвлечься от	3	1
713	своей материальной	1	1
714	она начинает	1	1
715	на что-то	1	1
716	крупных прозаических	1	1
717	и иные	2	1
718	для поэтики	1	1
719	по аналогии	2	1
720	было в	2	1
721	это событие	1	1
722	произведения не	3	1
723	к бальмонт	1	1
724	в научном	1	1
725	как таковую	1	1
726	иногда в	1	1
727	это только	1	1
728	качественной стороны	2	1
729	строго говоря	1	1
730	по теории	3	1
731	к языку	1	1
732	смысле и	1	1
733	поэтики на	2	1
734	образом в	1	1
735	и восприятия	2	1
736	отвлечься и	1	1
737	может в	1	1
738	независимого от	1	1
739	чем является	1	1
740	понять как	1	1
741	самом широком	1	1
742	художественные произведения	1	1
743	они осуществляются	1	1
744	настоящее время	1	1
745	на что	1	1
746	относя его	1	1
747	основополагающее значение	1	1
748	для нас	1	1
749	для формализма	3	1
750	тела не	1	1
751	события в	1	1
752	вопросу о	1	1
753	искусстве есть	1	1
754	на отдельные	1	1
755	лишь поскольку	1	1
756	вся эта	1	1
757	и определяются	1	1
758	момента должно	1	1
759	в науку	2	1
760	целом ни	1	1
761	моментами и	1	1
762	имеют отношение	1	1
763	борьба с	2	1
764	во втором	7	1
765	таким путем	1	1
766	есть художественное	1	1
767	лишь к	1	1
768	произведения которые	2	1
769	что бы	1	1
770	слова для	1	1
771	к определенному	1	1
772	ими из	1	1
773	и следовательно	1	1
774	и борьбы	1	1
775	в самый	2	1
776	следует однако	1	1
777	познания в	1	1
778	как высказывание	1	1
779	возможно лишь	1	1
780	быть и	3	1
781	является существенным	1	1
782	задачу и	1	1
783	важное значение	1	1
784	этот вопрос	2	1
785	в поэтическом	7	1
786	к их	1	1
787	и действительно	1	1
788	и иными	1	1
789	жизненные высказывания	2	1
790	не имеющих	1	1
791	можно воспринять	1	1
792	в контексте	1	1
793	или же	2	1
794	между этими	3	1
795	не происходит	2	1
796	более тонких	1	1
797	здесь с	2	1
798	к звуку	1	1
799	звук и	2	1
800	именно на	3	1
801	характерной для	1	1
802	правда только	1	1
803	определения и	1	1
804	и теперь	4	1
805	для всех	1	1
806	и живом	1	1
807	уже не	7	1
808	только на	3	1
809	не чувствует	1	1
810	не принимает	1	1
811	каким образом	1	1
812	речь в	1	1
813	или даже	2	1
814	из них	4	1
815	связывается с	1	1
816	и понимание	1	1
817	который как	1	1
818	формалистов в	3	1
819	для него	7	1
820	и навсегда	1	1
821	попросту не	1	1
822	значащего звука	3	1
823	сами по	2	1
824	моментов в	1	1
825	не для	1	1
826	словом на	1	1
827	с этими	1	1
828	ее не	1	1
829	к ним	1	1
830	не о	4	1
831	но что	1	1
832	только с	1	1
833	материал не	1	1
834	каковы же	1	1
835	образом не	2	1
836	на их	1	1
837	не просто	2	1
838	деле и	1	1
839	служебные функции	1	1
840	предмету но	1	1
841	момент в	1	1
842	формалистов и	3	1
843	именно как	4	1
844	точек зрения	1	1
845	с другим	1	1
846	до сих	1	1
847	факта и	1	1
848	или иначе	1	1
849	именно в	5	1
850	а о	3	1
851	и нельзя	1	1
852	произведений или	1	1
853	всякое высказывание	2	1
854	области наук	1	1
855	оно является	1	1
856	впервые становится	1	1
857	литературное произведение	1	1
858	движения в	1	1
859	могут иметь	1	1
860	теорией образа	1	1
861	смысла и	2	1
862	не создает	1	1
863	создания нового	2	1
864	а на	1	1
865	предмете изучения	2	1
866	на этот	1	1
867	поскольку она	1	1
868	словом а	1	1
869	а наоборот	3	1
870	во что	1	1
871	до конца	2	1
872	сдвиг в	1	1
873	все время	6	1
874	о чем	1	1
875	слова слово	1	1
876	на эту	1	1
877	художественного целого	1	1
878	нигде не	2	1
879	и вне	1	1
880	его помощью	2	1
881	но оно	1	1
882	как выведение	1	1
883	слова от	1	1
884	принципы и	2	1
885	вместе с	6	1
886	так же	1	1
887	и особенно	1	1
888	происходит в	1	1
889	мы говорим	4	1
890	в историю	1	1
891	о конкретной	1	1
892	исследований в	1	1
893	со всею	2	1
894	для обозначения	1	1
895	для создания	2	1
896	в той	2	1
897	является слово	1	1
898	смысле этого	1	1
899	всякой интенции	1	1
900	поэтическом произведении	1	1
901	и исторической	1	1
902	формы все	1	1
903	эта проблема	1	1
904	выделить предмет	1	1
905	однако отметить	1	1
906	одного к	1	1
907	звуковая сторона	1	1
908	в художественную	3	1
909	языка то	2	1
910	этого слова	1	1
911	как например	2	1
912	аналогии с	1	1
913	сих пор	1	1
914	конкретное высказывание	1	1
915	настоящая глава	1	1
916	этого метода	1	1
917	в смысле	1	1
918	к вопросу	1	1
919	которые представлялись	1	1
920	самой в	1	1
921	своих основных	1	1
922	как материал	1	1
923	и может	3	1
924	не существует	1	1
925	к тому	4	1
926	формалисты и	3	1
927	первом и	1	1
928	в результате	6	1
929	в настоящее	1	1
930	звук в	3	1
931	пр в	1	1
932	ее и	2	1
933	этой действительности	1	1
934	это может	1	1
935	взаимодействия и	1	1
936	понят и	1	1
937	бы в	5	1
938	еще более	5	1
939	и смысл	1	1
940	вообще в	1	1
941	они даже	1	1
942	поэзии но	1	1
943	хотя в	1	1
944	значения для	1	1
945	это изучение	1	1
946	особенно ясно	1	1
947	и начинается	1	1
948	значения в	2	1
949	но если	1	1
950	не говоря	1	1
951	отношением к	1	1
952	равно как	2	1
953	самого языка	1	1
954	жизни а	1	1
955	слагается из	1	1
956	в характере	2	1
957	не что	1	1
958	чем иным	1	1
959	из этого	2	1
960	у толстого	2	1
961	но именно	3	1
962	в которой	2	1
963	тенденции является	1	1
964	в действительности	1	1
965	быть признана	1	1
966	жизни и	3	1
967	но эти	1	1
968	стороны звукового	1	1
969	художественного задания	1	1
970	им и	1	1
971	смысле что	2	1
972	которая не	1	1
