N	2gram	Vinokur_Vv_1	VelikijI
258	лишь к	1	1
259	для того	21	1
260	то ни	1	1
261	и с	2	1
262	было не	1	1
263	себя не	1	1
264	с другой	8	1
265	которого не	1	1
266	этом пути	1	1
267	есть не	3	1
268	лишь на	1	1
269	еще и	3	1
270	и тем	5	1
271	были в	1	1
272	говорит о	3	1
273	к человеку	1	1
274	них и	2	1
275	она и	1	1
276	которые идут	1	1
277	может ли	1	1
278	был в	2	1
279	их для	1	1
280	основной вопрос	1	1
281	не всегда	1	1
282	и уже	3	1
283	жизнь в	1	1
284	слова для	1	1
285	о чем	4	1
286	смысле нельзя	2	1
287	и своим	1	1
288	в одно	1	1
289	смысле на	1	1
290	двадцать веков	1	1
291	него в	2	1
292	вместе с	6	1
293	так же	3	1
294	сделать его	1	1
295	как это	5	1
296	человека к	1	1
297	что всякий	1	1
298	у нас	2	1
299	в которых	6	1
300	в изображении	1	1
301	сравнению с	3	1
302	для всякого	1	1
303	своим объектом	1	1
304	в одном	4	1
305	по крайней	4	1
306	есть еще	2	1
307	это значит	1	1
308	жизни человечества	1	1
309	этого слова	2	1
310	с этой	4	1
311	и очень	1	1
312	нет никакого	1	1
313	любви и	1	1
314	в атмосфере	1	1
315	какие бы	1	1
316	есть один	1	1
317	общественной жизни	1	1
318	к ним	1	1
319	на котором	2	1
320	нужно знать	2	1
321	тому кто	1	1
322	не по	1	1
323	смысле и	2	1
324	свою роль	1	1
325	и именно	12	1
326	образом по	2	1
327	не существует	2	1
328	и от	1	1
329	нельзя не	4	1
330	и всегда	1	1
331	это как	1	1
332	которая в	1	1
333	ничего не	2	1
334	в разных	5	1
335	того как	3	1
336	лишь как	2	1
337	может быть	24	1
338	она с	1	1
339	в русском	1	1
340	вообще в	2	1
341	как она	4	1
342	конце концов	2	1
343	много общего	1	1
344	iv в	2	1
345	во всем	2	1
346	будто бы	2	1
347	есть продукт	1	1
348	наших дней	1	1
349	на части	1	1
350	уже и	7	1
351	что на	1	1
352	может и	1	1
353	о своем	1	1
354	но какой	1	1
355	другой стороны	5	1
356	его нужно	1	1
357	практическом действии	1	1
358	о духе	1	1
359	и конечная	1	1
360	для нашего	1	1
361	от природы	1	1
362	но все	3	1
363	есть и	4	1
364	есть то	1	1
365	к этому	3	1
366	вся история	1	1
367	ли они	1	1
368	и другие	1	1
369	в своих	2	1
370	и эта	1	1
371	это в	2	1
372	прошлом и	3	1
373	они не	1	1
