N	2gram	Propp_Russ_2	KFilosof
130	от него	1	3
131	только с	1	3
132	не я	1	3
133	но можно	2	3
134	в свою	1	3
135	в то	2	3
136	мы здесь	2	2
137	и то	2	2
138	он может	1	2
139	это и	2	2
140	и должен	1	2
141	а как	1	2
142	нас важно	1	2
143	вопрос о	4	2
144	совсем не	2	2
145	в данном	6	2
146	ее до	1	2
147	как в	7	2
148	и как	2	2
149	от этого	1	2
150	та же	2	2
151	под ним	2	2
152	ни одна	1	2
153	в этой	3	2
154	и будущее	1	2
155	как оно	2	2
156	в виде	4	2
157	так и	1	2
158	не будет	1	2
159	а по	1	2
160	из нее	2	2
161	с тем	6	2
162	тем не	2	2
163	и под	3	2
164	случае мы	1	2
165	что есть	1	2
166	нечто вроде	2	2
167	что эта	1	2
168	дело не	2	2
169	дело в	1	2
170	того чтобы	6	2
171	вытекает из	1	2
172	к себе	1	2
173	вокруг него	2	2
174	оно не	1	2
175	ничего общего	1	2
176	на нем	1	2
177	говорить о	1	2
178	и когда	1	2
179	это только	1	2
180	жизнь и	2	2
181	с этого	1	2
182	сводится к	1	2
183	может не	1	2
184	ее от	2	2
185	вся эта	2	2
186	в ту	1	2
187	может иметь	1	2
188	общего не	1	2
189	в него	2	2
190	тот же	1	2
191	что он	1	2
192	а с	2	2
193	в качестве	3	2
194	акт и	1	2
195	здесь ее	1	2
196	а это	1	2
197	и других	3	2
198	для этого	5	2
199	но есть	1	2
200	прежде всего	2	2
201	смысла и	1	2
202	для этой	3	2
203	и потому	1	2
204	что за	1	2
205	быть не	1	2
206	в это	1	2
207	этого слова	1	2
208	все остальные	1	2
209	потому что	5	2
210	его к	1	2
211	но ни	1	2
212	и эта	1	2
213	к этому	5	2
214	выражено в	1	1
215	ту же	1	1
216	человека и	1	1
217	и через	3	1
218	место при	1	1
219	в стороне	2	1
220	показать что	1	1
221	и живут	1	1
222	здесь и	1	1
223	и до	1	1
224	можно в	1	1
225	что эти	1	1
226	мы уже	1	1
227	что между	1	1
228	не была	1	1
229	религии в	1	1
230	совпадает с	1	1
231	обряд как	1	1
232	и ее	2	1
233	так называемые	1	1
234	и иначе	1	1
235	стороны его	1	1
236	не был	2	1
237	в различных	1	1
238	этим не	1	1
239	себе несколько	1	1
240	этих случаях	4	1
241	землю и	1	1
242	а он	2	1
243	а через	2	1
244	не просто	1	1
245	дня как	1	1
246	за которую	1	1
247	с этим	2	1
248	не это	1	1
249	что ее	3	1
250	относятся к	1	1
251	хотя и	1	1
252	и наконец	1	1
253	а мои	1	1
254	не являются	1	1
255	что подобные	1	1
256	в этот	10	1
257	в самом	1	1
258	в которой	2	1
259	все силы	1	1
260	ее как	1	1
261	в мышлении	1	1
262	на то	1	1
263	если он	2	1
264	и куда	1	1
265	к выводу	1	1
266	что она	3	1
267	имеем не	2	1
268	не следует	1	1
269	главным образом	3	1
270	и одна	1	1
271	области и	1	1
272	с основной	1	1
273	не к	2	1
274	их в	4	1
275	жизни рождение	1	1
276	и по	3	1
277	на этом	3	1
278	эта же	1	1
279	том же	4	1
280	а затем	4	1
281	об этом	2	1
282	связанных с	1	1
283	и с	10	1
284	и чтобы	1	1
285	имеет с	1	1
286	не момент	1	1
287	он есть	2	1
288	должен был	3	1
289	и находит	1	1
290	смерть и	2	1
291	а изображение	1	1
292	а за	4	1
293	несмотря на	1	1
294	чем в	2	1
295	такой же	1	1
296	в этих	3	1
297	как все	1	1
298	он должен	1	1
299	всяком случае	1	1
300	она в	1	1
301	и вокруг	1	1
302	не от	1	1
303	к такой	1	1
304	не будем	3	1
305	но он	3	1
306	и очень	1	1
307	при всех	1	1
308	быть признан	1	1
309	с которой	1	1
310	она не	3	1
311	как о	1	1
312	одна из	11	1
313	но может	1	1
314	так чтобы	2	1
315	есть тем	1	1
316	следовательно и	1	1
317	через него	2	1
318	вся его	1	1
319	оно могло	1	1
320	место это	1	1
321	более что	1	1
322	по своей	1	1
323	такая же	1	1
324	до того	1	1
325	не является	1	1
326	к таким	2	1
327	во все	1	1
328	и другой	3	1
329	и такие	1	1
330	и всех	1	1
331	игра в	2	1
332	имеет место	1	1
333	неясным остается	1	1
334	и о	3	1
335	что все	1	1
336	свою очередь	1	1
337	и от	3	1
338	приводит к	1	1
339	можно говорить	1	1
340	и иные	1	1
341	иной мир	1	1
342	с собой	1	1
343	не с	2	1
344	живет в	3	1
345	мог бы	1	1
346	за волосы	1	1
347	можно только	1	1
348	основана на	1	1
349	собой и	1	1
350	в настоящее	1	1
351	и даже	1	1
352	но эту	1	1
353	образом в	2	1
354	когда будут	1	1
355	находится в	1	1
356	на все	1	1
357	в религии	1	1
358	настоящее время	1	1
359	можно сказать	1	1
360	и во	1	1
361	все в	2	1
362	и новое	1	1
363	связь между	2	1
364	от них	1	1
365	не отличаются	1	1
366	но нет	1	1
367	все следующие	1	1
368	если это	1	1
369	к ней	2	1
370	это приводит	1	1
371	в литературе	1	1
372	один из	2	1
373	которой и	1	1
374	содержится в	1	1
375	но с	1	1
376	в какой	1	1
377	и так	1	1
378	же на	1	1
379	их не	1	1
380	же и	1	1
381	можно установить	1	1
382	не можем	2	1
383	в большинстве	1	1
384	только на	1	1
385	ее а	1	1
386	безотносительно к	1	1
387	только тогда	3	1
388	мир и	1	1
389	в данной	1	1
390	только одно	1	1
391	одно из	2	1
392	себе в	1	1
393	смысле этого	1	1
394	так как	13	1
395	ее не	1	1
396	друг друга	3	1
397	она будет	1	1
398	как раз	1	1
399	такова концепция	1	1
400	смерти и	2	1
401	не противоречит	1	1
402	где есть	3	1
403	которые как	1	1
404	с другим	2	1
405	это дерево	1	1
406	отличаются от	1	1
407	здесь в	2	1
408	а именно	3	1
409	или просто	2	1
410	по всей	3	1
411	и др	1	1
412	случая когда	1	1
413	и затем	1	1
414	притом не	1	1
415	превращается в	1	1
416	всему что	1	1
417	зависит от	1	1
418	о каком-то	1	1
419	себя от	1	1
420	связь с	3	1
421	него в	1	1
422	эти слова	1	1
423	вместе с	6	1
424	книге о	1	1
425	в духе	1	1
426	дать в	1	1
427	что именно	1	1
428	из которых	2	1
429	еще на	1	1
430	месте и	1	1
431	на которого	1	1
432	когда мы	2	1
433	и связанных	1	1
434	оставить в	1	1
435	из первого	1	1
436	было ни	1	1
437	не касается	1	1
438	лет она	1	1
439	только для	1	1
440	и таким	1	1
441	в противном	1	1
442	остается в	1	1
443	она может	1	1
444	или в	7	1
445	а к	2	1
446	когда он	1	1
447	совершенно иной	1	1
448	представление что	1	1
449	но где	1	1
450	в эту	3	1
451	не более	1	1
452	это позволяет	1	1
453	мы должны	1	1
454	не непосредственно	1	1
455	только что	1	1
456	или не	1	1
457	же в	6	1
458	за этим	2	1
459	месте в	1	1
460	с ней	5	1
461	поэтому мы	1	1
462	нет но	1	1
463	одновременно и	1	1
464	религии и	1	1
465	ней в	2	1
466	ее в	8	1
467	это в	2	1
468	во всяком	1	1
469	все что	1	1
