N	2gram	Nazirov_Tr_1	Freidism
400	которые так	1	1
401	это же	1	1
402	есть в	1	1
403	политические идеи	1	1
404	этой борьбе	1	1
405	эти черты	1	1
406	то и	2	1
407	много денег	1	1
408	чтобы он	1	1
409	в виде	2	1
410	смысл этой	1	1
411	которых можно	1	1
412	а это	1	1
413	черты инфантильной	1	1
414	все образы	1	1
415	не доверяет	1	1
416	одно из	1	1
417	не так	2	1
418	всегда оказывается	1	1
419	слова в	1	1
420	он любит	1	1
421	как будто	3	1
422	тем что	2	1
423	разу не	1	1
424	представление о	1	1
425	даже не	1	1
426	на них	1	1
427	именно в	1	1
428	в каких	1	1
429	в ребенке	1	1
430	только по	1	1
431	а на	1	1
432	частью его	1	1
433	отнюдь не	3	1
434	ребенка и	2	1
435	господа я	1	1
436	себя на	1	1
437	материалом для	1	1
438	при его	1	1
439	для самого	1	1
440	чтобы убить	1	1
441	для искусства	2	1
442	сравнению с	1	1
443	ненависть к	2	1
444	смысле этого	1	1
445	ко всему	1	1
446	который он	1	1
447	распадается на	1	1
448	они сами	1	1
449	быть не	1	1
450	в это	2	1
451	этого слова	1	1
452	борьбе за	1	1
453	это выражение	1	1
454	в недрах	1	1
455	под влиянием	2	1
456	в книге	1	1
457	известной степени	1	1
458	и ярко	1	1
459	об отношении	1	1
460	это часто	1	1
461	бы в	1	1
462	все события	1	1
463	я в	1	1
464	в том	2	1
465	же берется	1	1
466	к ее	1	1
467	роль играет	1	1
468	в иной	1	1
469	роли в	1	1
470	исключительное значение	1	1
