N	2gram	Nazirov_Vr_1	Hudozhes
220	что уже	1	1
221	именно к	1	1
222	не слишком	1	1
223	что характер	1	1
224	я не	3	1
225	х годов	4	1
226	событий и	1	1
227	ему в	1	1
228	писал о	1	1
229	это время	1	1
230	а другие	1	1
231	а еще	1	1
232	на них	1	1
233	в чем	3	1
234	совсем не	1	1
235	молодого писателя	3	1
236	а тем	1	1
237	бы в	1	1
238	в сторону	1	1
239	не все	1	1
240	ответ на	2	1
241	есть по	1	1
242	отношение к	2	1
243	тут же	1	1
244	к своей	1	1
245	к сожалению	1	1
246	и я	1	1
247	первый взгляд	1	1
248	его на	2	1
249	дает нам	1	1
250	и как	3	1
251	не являются	1	1
252	знаю что	1	1
253	в этот	3	1
254	зададимся вопросом	1	1
255	в письмах	2	1
256	литературного анекдота	1	1
257	привлекает внимание	1	1
258	во многих	1	1
259	но ведь	1	1
260	но на	1	1
261	не могла	1	1
262	чувствовал себя	1	1
263	о которой	2	1
264	одному из	1	1
265	всех этих	1	1
266	с тургеневым	5	1
267	же это	1	1
268	в силу	1	1
269	сказал что	1	1
270	ее и	1	1
271	через год	1	1
272	что ни	1	1
273	никому не	1	1
274	и этот	1	1
275	этом он	1	1
276	их и	1	1
277	а их	1	1
278	нашему убеждению	2	1
279	этом смысле	1	1
280	роль в	1	1
281	в итоге	1	1
282	которым он	1	1
283	но мы	1	1
284	к своим	1	1
285	достоевского и	7	1
286	в высшей	1	1
287	соответствии с	1	1
288	далеко не	3	1
289	для описания	1	1
290	этого не	1	1
291	а за	1	1
292	и уже	3	1
293	которой он	1	1
294	анекдот о	1	1
295	он и	1	1
296	имело бы	1	1
297	в москве	1	1
298	на первый	2	1
299	пяти лет	1	1
300	молодого человека	1	1
301	человеком и	1	1
302	каким был	1	1
303	место в	2	1
304	и уж	1	1
305	сердце и	1	1
306	пока только	1	1
307	в одном	1	1
308	не будем	1	1
309	черты характера	1	1
310	их в	2	1
311	что этот	1	1
312	между прочим	1	1
313	раз и	1	1
314	на три	1	1
315	вплоть до	1	1
316	но они	1	1
317	тем самым	1	1
318	что эта	1	1
319	человечества и	1	1
320	как о	1	1
321	в плане	1	1
322	из их	1	1
323	не могло	1	1
324	только не	1	1
325	каждый из	1	1
326	нельзя не	1	1
327	в мае	2	1
328	и зададимся	1	1
329	такая же	1	1
330	же он	1	1
331	только от	1	1
332	была на	1	1
333	с любовью	1	1
334	в речах	1	1
335	тургенева в	7	1
336	в среде	2	1
337	могут быть	1	1
338	за что	1	1
339	она же	1	1
340	никуда не	1	1
341	на это	2	1
342	ничего общего	1	1
343	говорит о	1	1
344	эти не	1	1
345	в виду	4	1
346	свою очередь	1	1
347	но при	1	1
348	же не	2	1
349	в в	2	1
350	характера он	1	1
351	встреча с	1	1
352	художником и	1	1
353	в лицо	2	1
354	на нее	1	1
355	этого как	1	1
356	во многом	4	1
357	чем у	1	1
358	но у	1	1
359	жизнь и	1	1
360	он сам	2	1
361	вспоминает о	1	1
362	внимание к	1	1
363	он вспоминает	1	1
364	автора к	1	1
365	и т.д	1	1
366	и т.п	2	1
367	на страницах	1	1
368	для нас	4	1
369	с другой	1	1
370	нас в	1	1
371	все в	1	1
372	во всех	1	1
373	не противоречат	1	1
374	себе знать	1	1
375	в другой	1	1
376	и психологическое	1	1
377	этих строк	1	1
378	героини и	1	1
379	сразу же	1	1
380	романа и	1	1
381	н м	1	1
382	всяком случае	1	1
383	и ее	2	1
384	человека с	2	1
385	и у	3	1
386	уже в	4	1
387	самую суть	1	1
388	в жизни	1	1
389	его и	2	1
390	но для	1	1
391	ни с	1	1
392	в письме	5	1
393	ее не	1	1
394	и никогда	1	1
395	его личность	2	1
396	что они	1	1
397	рядом с	2	1
398	в особенности	1	1
399	никого не	1	1
400	из двух	1	1
401	и стал	2	1
402	тотчас же	1	1
403	и из	1	1
404	а бялый	4	1
405	вслед за	1	1
406	в романе	6	1
407	что для	1	1
408	м е	1	1
409	человека но	1	1
410	нашему мнению	1	1
411	человеческого достоинства	1	1
412	писателя не	1	1
413	о себе	3	1
414	из которых	1	1
415	о чем	2	1
416	своей души	1	1
417	мы считаем	1	1
418	неожиданности и	1	1
419	с очень	1	1
420	только о	1	1
421	него в	1	1
422	но это	2	1
423	письме к	4	1
424	не мог	2	1
425	общие черты	1	1
426	г а	5	1
427	уже на	1	1
428	с братом	1	1
429	себя на	1	1
430	за рубежом	1	1
431	тем более	2	1
432	у которого	1	1
433	конце концов	1	1
434	хотя в	1	1
435	но вот	1	1
436	давно уже	3	1
437	о своем	1	1
438	а б	1	1
439	это сама	1	1
440	в свою	2	1
441	у людей	1	1
442	его произведений	1	1
443	из этого	1	1
444	в свое	1	1
445	эти рассказы	1	1
446	переводится как	1	1
447	молодой человек	1	1
448	который не	1	1
449	во всяком	1	1
450	все что	1	1
451	писателей в	2	1
