N	2gram	Kanaev_Sov_1	Analitik
283	нет в	1	1
284	на второй	1	1
285	до сих	1	1
286	как у	1	1
287	к которому	1	1
288	ей не	1	1
289	на этот	2	1
290	не знает	1	1
291	отразиться на	1	1
292	читателя что	1	1
293	человека как	1	1
294	с помощью	4	1
295	в предыдущей	1	1
296	а при	1	1
297	из которых	2	1
298	в область	1	1
299	в течение	1	1
300	для их	1	1
301	тот факт	1	1
302	неуверенности в	1	1
303	известном смысле	1	1
304	сих пор	1	1
305	не будем	2	1
306	но это	1	1
307	всей совокупности	1	1
308	и тогда	1	1
309	не отразиться	1	1
310	мы по	1	1
311	это уже	1	1
312	уже на	1	1
313	в связи	1	1
314	а все	3	1
315	в отдельных	1	1
316	себя самого	1	1
317	ни одного	1	1
318	но еще	1	1
319	мы должны	4	1
320	правда не	1	1
321	но если	1	1
322	жизни в	1	1
323	а о	1	1
324	наконец не	2	1
325	этот вопрос	1	1
326	между ними	1	1
327	не что	1	1
328	же природы	1	1
329	жизни и	4	1
330	в своих	1	1
331	все что	1	1
332	они не	1	1
