N	2gram	Savitsky_E_1	VLabPisa
323	то в	4	1
324	при соприкосновении	2	1
325	таковы например	1	1
326	уже в	1	1
327	отличной от	1	1
328	нужно как	1	1
329	чертах и	1	1
330	не заключается	1	1
331	элементов в	1	1
332	тому же	1	1
333	на то	6	1
334	но на	3	1
335	от природы	1	1
336	и если	2	1
337	на его	1	1
338	как оно	2	1
339	отцов и	1	1
340	в определенном	3	1
341	всем своем	1	1
342	и еще	2	1
343	года по	1	1
344	не значит	1	1
345	не как	1	1
346	то как	1	1
347	уже не	1	1
348	что может	1	1
349	на этом	1	1
350	его можно	1	1
351	заключает в	3	1
352	то есть	6	1
353	входит в	1	1
354	это состояние	1	1
355	эту же	1	1
356	этом смысле	3	1
357	например с	2	1
358	отражение в	1	1
359	кажется что	2	1
360	в ином	1	1
361	к области	1	1
362	и творчества	2	1
363	для них	2	1
364	роли и	1	1
365	его частей	1	1
366	соответствии с	1	1
367	с этой	6	1
368	как сказал	1	1
369	несмотря на	4	1
370	здесь можно	1	1
371	смысле что	1	1
372	или из	1	1
373	на этот	2	1
374	духовной жизни	2	1
375	их на	1	1
376	в этих	2	1
377	с положительной	1	1
378	как некую	1	1
379	с к	1	1
380	если можно	1	1
381	же направлении	1	1
382	как совокупность	4	1
383	признать что	1	1
384	значение для	1	1
385	определяется как	1	1
386	творчества и	1	1
387	друг другу	1	1
388	творчества без	1	1
389	но было	2	1
390	тирада о	1	1
391	понимать буквально	1	1
392	это вопрос	1	1
393	освободиться от	1	1
394	второго рода	1	1
395	с понятиями	1	1
396	вплоть до	1	1
397	в формировании	1	1
398	что эта	1	1
399	с теми	1	1
400	на себе	1	1
401	творчества что	1	1
402	время как	1	1
403	значит ли	1	1
404	и имеет	2	1
405	и изучение	1	1
406	наблюдений над	1	1
407	та или	1	1
408	не имеет	4	1
409	казалось бы	1	1
410	или иная	1	1
411	к ней	4	1
412	как не	2	1
413	сопоставить эти	1	1
414	мы бы	1	1
415	е не	1	1
416	следует отметить	2	1
417	следует что	1	1
418	так то	1	1
419	как будто	2	1
420	в основе	1	1
421	общего плана	1	1
422	в каком	4	1
423	только наиболее	1	1
424	уже о	1	1
425	к сфере	1	1
426	одну и	2	1
427	именно таким	1	1
428	толковать в	1	1
429	в применении	3	1
430	данной области	2	1
431	и это	1	1
432	и поэтому	2	1
433	своего развития	1	1
434	но по	2	1
435	с ее	1	1
436	говоря уже	2	1
437	данном случае	2	1
438	он определяет	1	1
439	то или	1	1
440	то время	1	1
441	мнение что	1	1
442	и сам	1	1
443	и ту	2	1
444	же выводу	1	1
445	чем скажем	1	1
446	что автор	1	1
447	каждого из	1	1
448	по ее	1	1
449	по сравнению	2	1
450	является в	1	1
451	поэтому в	1	1
452	по признанию	1	1
453	о котором	1	1
454	для этого	1	1
455	с ним	1	1
456	и кровь	1	1
457	связанная с	1	1
458	и детей	1	1
459	и та	2	1
460	более высокой	1	1
461	и что	2	1
462	для нас	4	1
463	а также	7	1
464	аналогии с	1	1
465	как было	3	1
466	связанной с	1	1
467	той социальной	1	1
468	развития не	1	1
469	затем в	1	1
470	или иначе	1	1
471	высокой и	2	1
472	и во	2	1
473	которая должна	1	1
474	всего этого	1	1
475	в ту	1	1
476	в русском	1	1
477	мы хотим	1	1
478	к сознанию	1	1
479	в сферу	2	1
480	быть и	1	1
481	что конечно	1	1
482	речи о	1	1
483	в какой	2	1
484	как нечто	1	1
485	в стороне	3	1
486	который в	1	1
487	же при	1	1
488	об их	1	1
489	качестве общего	1	1
490	есть в	2	1
491	к какому	1	1
492	конечно не	1	1
493	и насколько	1	1
494	к максимальной	1	1
495	в виде	5	1
496	в начале	1	1
497	не дает	3	1
498	в данной	3	1
499	и других	2	1
500	ту или	3	1
501	это обстоятельство	1	1
502	себе в	3	1
503	в известной	3	1
504	войной и	1	1
505	очевидно также	1	1
506	в существе	2	1
507	в состоянии	1	1
508	общим правилом	1	1
509	заметить что	2	1
510	тем что	3	1
511	в рамки	1	1
512	гораздо сложнее	1	1
513	в более	1	1
514	к двум	1	1
515	богатство и	1	1
516	творчества оно	1	1
517	не обязательно	1	1
518	а именно	2	1
519	что тот	1	1
520	в явлениях	1	1
521	живыми впечатлениями	1	1
522	в свою	3	1
523	как же	2	1
524	прав ли	1	1
525	в соответствии	1	1
526	связано с	3	1
527	их можно	1	1
528	в любой	1	1
529	поскольку она	2	1
530	с большей	1	1
531	является сознание	1	1
532	не означает	2	1
533	действительности как	1	1
534	что из	1	1
535	мира в	4	1
536	рода все	1	1
537	если не	1	1
538	как этап	1	1
539	свести к	1	1
540	нет ничего	1	1
541	так называемой	1	1
542	ответить на	1	1
543	двум основным	1	1
544	представить себе	1	1
545	относятся к	2	1
546	имеются в	1	1
547	что некоторые	1	1
548	как в	3	1
549	тенденций в	1	1
550	их к	1	1
551	если так	1	1
552	в данном	3	1
553	сравнению с	2	1
554	а если	1	1
555	в той	5	1
556	любой из	1	1
557	плоти и	1	1
558	которое не	1	1
559	к настоящему	3	1
560	это значит	2	1
561	том смысле	1	1
562	должно быть	1	1
563	чтобы ответить	1	1
564	этого факта	1	1
565	слова и	1	1
566	еще теснее	1	1
567	совершенно очевидно	2	1
568	отдельные этапы	1	1
569	но это	1	1
570	на своем	3	1
571	в противном	1	1
572	и общим	1	1
573	мы видим	2	1
574	для такого	1	1
575	не отрицает	1	1
576	происходит в	2	1
577	этому и	1	1
578	а к	1	1
579	процесс мы	1	1
580	ее и	1	1
581	в каждой	1	1
582	и частных	1	1
583	внимание на	1	1
584	и все	2	1
585	своих произведений	1	1
586	той или	4	1
587	еще более	2	1
588	потому что	3	1
589	и наоборот	1	1
590	исключительно в	2	1
591	можно конечно	1	1
592	еще в	1	1
593	приводящие к	1	1
594	бы с	1	1
595	не говоря	2	1
596	дело с	1	1
597	это в	1	1
598	другой в	1	1
599	сводить к	1	1
600	в последнем	1	1
601	или иного	4	1
602	религии и	1	1
603	а блок	1	1
604	приблизительно в	1	1
605	есть то	1	1
606	или точнее	2	1
607	к числу	1	1
608	свои идеи	1	1
609	к этой	1	1
610	и другие	1	1
611	качестве одной	1	1
612	лицом такой	1	1
613	ничего иного	1	1
614	можно назвать	1	1
615	в таком	3	1
616	или наоборот	1	1
