N	2gram	Bakhtin_KF_1	Russkaja
118	одна из	1	3
119	в сознании	2	3
120	точке зрения	1	3
121	той или	3	3
122	что все	1	3
123	что может	1	3
124	собой и	1	3
125	для этого	2	3
126	сводится к	2	3
127	может не	2	3
128	но мы	1	3
129	в значительной	1	3
130	и во	1	3
131	что и	7	3
132	а следовательно	3	3
133	в лучшем	1	3
134	того что	3	3
135	одной из	1	3
136	в качестве	2	3
137	в большинстве	1	3
138	в виде	2	3
139	себя от	1	3
140	друг друга	1	3
141	тем что	3	3
142	именно в	5	3
143	только к	1	3
144	не было	8	3
145	и потому	2	3
146	культуры в	1	3
147	при условии	2	3
148	лучшем случае	1	3
149	она может	1	3
150	или в	1	3
151	и как	2	3
152	все они	1	3
153	не есть	20	3
154	себя как	2	2
155	говоря о	1	2
156	бы для	1	2
157	и есть	9	2
158	от своей	5	2
159	должна быть	4	2
160	видеть в	1	2
161	к чему	3	2
162	из всех	1	2
163	в заблуждение	1	2
164	в ней	3	2
165	они будут	1	2
166	именно на	2	2
167	по отношению	26	2
168	не просто	1	2
169	с этим	1	2
170	помнить что	1	2
171	по соображениям	1	2
172	и наконец	1	2
173	но в	5	2
174	не можем	1	2
175	это есть	2	2
176	все эти	10	2
177	и тот	1	2
178	другом случае	1	2
179	по самому	1	2
180	не к	1	2
181	мы уже	1	2
182	того или	3	2
183	на почве	1	2
184	этот человек	1	2
185	по себе	2	2
186	и тем	3	2
187	в единое	2	2
188	этого не	1	2
189	культуры с	1	2
190	нисколько не	4	2
191	в этих	1	2
192	в котором	24	2
193	место в	5	2
194	их в	1	2
195	том же	1	2
196	для нее	7	2
197	тому что	2	2
198	она не	1	2
199	только для	1	2
200	для нас	4	2
201	к такому	1	2
202	следовательно и	1	2
203	в противоречие	1	2
204	самому своему	1	2
205	людей и	2	2
206	в области	2	2
207	деятельности и	2	2
208	к себе	2	2
209	всю свою	1	2
210	отличается от	1	2
211	т.е к	1	2
212	для себя	5	2
213	и о	1	2
214	культуры и	5	2
215	во главе	2	2
216	ясно что	3	2
217	это только	2	2
218	и должно	1	2
219	настоящее время	1	2
220	были бы	2	2
221	любви к	1	2
222	от него	3	2
223	к нему	12	2
224	это в	1	2
225	быть и	3	2
226	что только	2	2
227	согласиться с	1	2
228	совершенно не	6	2
229	бы ни	1	2
230	их не	1	2
231	уже не	7	2
232	только на	1	2
233	его и	2	2
234	к единой	1	2
235	ни в	12	2
236	не о	2	2
237	мы можем	1	2
238	только с	3	2
239	она будет	1	2
240	к той	1	2
241	и даже	1	2
242	будет ли	2	2
243	а с	2	2
244	не нужна	1	2
245	зависит от	1	2
246	а не	17	2
247	большинстве случаев	1	2
248	противоречие с	1	2
249	или иного	3	2
250	отношения к	1	2
251	но это	6	2
252	но для	2	2
253	остается в	1	2
254	если не	2	2
255	и от	1	2
256	не подлежит	1	2
257	в результате	1	2
258	в настоящее	1	2
259	не должен	3	2
260	с ним	5	2
261	отношении к	2	2
262	бы его	1	2
263	значило бы	2	2
264	ее в	1	2
265	индивидуальным и	1	2
266	тем самым	4	2
267	и действительно	6	1
268	должен быть	7	1
269	культурного творчества	1	1
270	того же	1	1
271	связи между	1	1
272	он может	2	1
273	это и	2	1
274	показать что	1	1
275	ту же	1	1
276	права и	1	1
277	что эти	1	1
278	исходит из	1	1
279	противном случае	1	1
280	особенно часто	1	1
281	в зависимости	1	1
282	и за	2	1
283	также и	1	1
284	их и	1	1
285	есть единственное	1	1
286	мы не	3	1
287	как понятие	1	1
288	ни у	2	1
289	нас важно	2	1
290	не была	1	1
291	он как	1	1
292	не был	1	1
293	столь же	1	1
294	и вопрос	1	1
295	к этому	2	1
296	они имеют	1	1
297	но как	5	1
298	а только	1	1
299	и то-то	1	1
300	которых как	1	1
301	только тогда	1	1
302	и постоянное	2	1
303	данного человека	1	1
304	в истории	1	1
305	данный момент	3	1
306	что ее	1	1
307	в противном	1	1
308	это отнюдь	1	1
309	когда он	1	1
310	не являются	1	1
311	для которой	3	1
312	от этого	2	1
313	не быть	3	1
314	за границей	1	1
315	и конечно	2	1
316	в которой	1	1
317	эти положения	1	1
318	ни один	1	1
319	бы не	3	1
320	это единственная	1	1
321	но ведь	5	1
322	если он	1	1
323	вследствие этого	2	1
324	на его	1	1
325	как оно	2	1
326	не следует	1	1
327	тем не	2	1
328	время и	5	1
329	всех остальных	1	1
330	а скорее	1	1
331	отказа от	1	1
332	эта последняя	1	1
333	в принципе	2	1
334	прочим и	1	1
335	войти в	2	1
336	т.е действительно	2	1
337	постольку поскольку	1	1
338	лишь с	2	1
339	поскольку она	2	1
340	но все	5	1
341	значительной степени	1	1
342	подход к	1	1
343	здесь мы	4	1
344	этим самым	1	1
345	могла бы	4	1
346	тем же	1	1
347	целое как	1	1
348	об этом	1	1
349	а по	2	1
350	причем все	1	1
351	то есть	1	1
352	себя не	3	1
353	в данной	1	1
354	в теоретически	2	1
355	входит в	3	1
356	осуществить свою	1	1
357	это не	10	1
358	и мы	2	1
359	то все	1	1
360	обе стороны	1	1
361	практически не	1	1
362	в жизни	2	1
363	и рядом	1	1
364	из нее	1	1
365	этого слова	2	1
366	это положение	1	1
367	она и	1	1
368	все равно	1	1
369	жизни но	3	1
370	нет и	3	1
371	такой же	1	1
372	быть совершено	1	1
373	в один	1	1
374	и того	2	1
375	одного и	1	1
376	мысли что	1	1
377	что значит	2	1
378	от своего	1	1
379	другим и	1	1
380	и культуры	1	1
381	и индивидуальную	1	1
382	работая над	1	1
383	он принимает	1	1
384	культурном творчестве	1	1
385	ко всему	5	1
386	быть таким	1	1
387	жизни является	2	1
388	от возможных	1	1
389	и эти	2	1
390	ни было	4	1
391	и начало	1	1
392	ним в	1	1
393	вовсе не	7	1
394	освободиться от	1	1
395	самого факта	2	1
396	сознании в	1	1
397	если и	1	1
398	не менее	3	1
399	к такой	1	1
400	его целом	10	1
401	этих разных	1	1
402	что эта	2	1
403	она могла	2	1
404	для каждого	1	1
405	дело в	2	1
406	с психическим	2	1
407	не по	4	1
408	в основе	5	1
409	образом в	1	1
410	субъект но	1	1
411	чтобы стать	1	1
412	но только	1	1
413	только не	1	1
414	вся его	1	1
415	возможно и	1	1
416	и весь	2	1
417	таким путем	1	1
418	этих последних	1	1
419	к ней	1	1
420	более что	1	1
421	и теперь	1	1
422	и сама	1	1
423	чем ближе	1	1
424	соображениям совершенно	1	1
425	ли окажется	1	1
426	только от	1	1
427	исходить из	1	1
428	в духе	1	1
429	выход из	2	1
430	есть только	1	1
431	могут быть	3	1
432	сказать только	1	1
433	этот выход	1	1
434	же самое	1	1
435	должны быть	1	1
436	всего в	1	1
437	все попытки	4	1
438	и это	12	1
439	оно может	1	1
440	нас от	1	1
441	ценностями но	1	1
442	с ее	2	1
443	как не	1	1
444	свою очередь	1	1
445	но при	1	1
446	на нем	2	1
447	и говорить	1	1
448	всего этого	1	1
449	такому же	1	1
450	и единственный	5	1
451	в ее	16	1
452	только при	1	1
453	не могло	1	1
454	эта задача	1	1
455	мысль о	1	1
456	в себя	7	1
457	иной культурной	1	1
458	являются лишь	1	1
459	и когда	2	1
460	котором мы	3	1
461	и себе	2	1
462	так и	2	1
463	не за	1	1
464	его жизни	3	1
465	именно вследствие	1	1
466	и религии	1	1
467	мог бы	1	1
468	бы признать	1	1
469	остается только	1	1
470	в определенной	2	1
471	смысл бытия	1	1
472	то-то и	1	1
473	делает возможным	1	1
474	и просто	2	1
475	можно сказать	1	1
476	в различных	1	1
477	подлежит сомнению	1	1
478	а во	1	1
479	значит иметь	1	1
480	которая сама	1	1
481	как высшую	1	1
482	глубоко различны	1	1
483	от них	1	1
484	когда оно	1	1
485	может иметь	2	1
486	по количеству	1	1
487	утверждение и	1	1
488	мышление и	2	1
489	он есть	1	1
490	оставаясь в	1	1
491	по своей	1	1
492	один из	2	1
493	прав на	1	1
494	с ними	3	1
495	в разные	1	1
496	она требует	1	1
497	и оба	1	1
498	же и	1	1
499	если мы	1	1
500	нами и	1	1
501	или не	1	1
502	есть проблема	1	1
503	и теоретическая	1	1
504	основе его	1	1
505	а это	2	1
506	здесь же	1	1
507	а то	1	1
508	об отдельных	1	1
509	и других	2	1
510	лишь постольку	1	1
511	он имеет	2	1
512	в действительном	6	1
513	и их	6	1
514	могло бы	4	1
515	даже к	1	1
516	случае когда	1	1
517	не для	1	1
518	ее не	1	1
519	к ним	4	1
520	это значило	2	1
521	бытия и	10	1
522	принципиально не	2	1
523	ее истинности	1	1
524	другом в	1	1
525	и будет	1	1
526	отдельного человека	1	1
527	и экономической	1	1
528	превращается в	1	1
529	создать и	1	1
530	но из	1	1
531	где есть	1	1
532	этой задачи	1	1
533	это будет	1	1
534	которые как	1	1
535	чему не	2	1
536	самого познания	1	1
537	жизни при	1	1
538	различны в	1	1
539	на ее	1	1
540	входящего в	1	1
541	на чем	1	1
542	что не	3	1
543	противоречие между	1	1
544	для решения	1	1
545	здесь дело	1	1
546	а за	1	1
547	до конца	3	1
548	ничем не	1	1
549	человеческой жизни	1	1
550	с которым	1	1
551	понятие о	1	1
552	совершенно посторонним	1	1
553	ближе к	3	1
554	наличности в	2	1
555	связь с	1	1
556	есть общая	1	1
557	как это	1	1
558	его действительно	3	1
559	себя из	1	1
560	этих случаях	1	1
561	по своему	3	1
562	к признанию	1	1
563	смысле этого	1	1
564	эту мысль	1	1
565	быть не	2	1
566	и таким	1	1
567	между прочим	1	1
568	к другим	1	1
569	сознании и	1	1
570	не является	1	1
571	на все	1	1
572	которых он	1	1
573	нет ибо	1	1
574	при таком	1	1
575	человек и	1	1
576	любви и	1	1
577	ее и	6	1
578	оказались бы	1	1
579	ибо нет	2	1
580	в истинности	1	1
581	и все	7	1
582	и нравственное	1	1
583	отношению ко	4	1
584	приходится признать	1	1
585	в свою	3	1
586	с ней	1	1
587	же будет	1	1
588	была бы	1	1
589	но можно	4	1
590	и поскольку	1	1
591	и живет	1	1
592	к его	1	1
593	отношению к	22	1
594	элементов из	1	1
595	ни на	1	1
596	т.е как	1	1
597	и культура	1	1
598	они не	1	1
