N	2gram	Bakhtin_KF_1	DiskursI
271	с волей	1	1
272	ответственность за	2	1
273	к миру	1	1
274	и только	6	1
275	и именно	2	1
276	он должен	1	1
277	не как	4	1
278	но прежде	1	1
279	мир как	6	1
280	его от	1	1
281	на этом	1	1
282	значительной степени	1	1
283	то ни	2	1
284	мы его	1	1
285	об этом	1	1
286	а их	1	1
287	лишь в	8	1
288	того или	3	1
289	время и	5	1
290	и иных	1	1
291	не совпадает	1	1
292	форму и	1	1
293	я другой	1	1
294	практически не	1	1
295	сам этот	2	1
296	отказа от	1	1
297	в жизни	2	1
298	этого она	1	1
299	между субъектом	1	1
300	она и	1	1
301	этого не	1	1
302	несмотря на	1	1
303	все моменты	1	1
304	в архитектонике	1	1
305	и было	1	1
306	я его	2	1
307	со своего	5	1
308	от времени	1	1
309	персональной ответственности	1	1
310	тем не	2	1
311	не должно	3	1
312	том же	1	1
313	что этот	3	1
314	изнутри в	2	1
315	для нее	7	1
316	случае мы	2	1
317	сознании в	1	1
318	любви и	1	1
319	при всех	1	1
320	она не	1	1
321	как о	1	1
322	мысли в	1	1
323	дело не	2	1
324	мышления и	2	1
325	одна из	1	1
326	первая часть	1	1
327	я буду	3	1
328	к этим	1	1
329	в процессе	2	1
330	и имеет	1	1
331	чтобы стать	1	1
332	самого по	1	1
333	на язык	3	1
334	ничего не	3	1
335	к ней	1	1
336	и до	1	1
337	такая же	1	1
338	героя это	2	1
339	во всем	7	1
340	ценностную архитектонику	1	1
341	иногда не	1	1
342	точке зрения	1	1
343	или не	1	1
344	ни о	1	1
345	только от	1	1
346	к себе	2	1
347	на границе	1	1
348	но все	5	1
349	и другой	1	1
350	отличается от	1	1
351	всего в	1	1
352	к тому	1	1
353	его с	2	1
354	может представиться	2	1
355	не есть	20	1
356	имеет место	1	1
357	оно не	2	1
358	утверждать что	1	1
359	не живет	2	1
360	должен быть	7	1
361	более не	1	1
362	события так	2	1
363	заданности и	1	1
364	каждый момент	1	1
365	во главе	2	1
366	как с	1	1
367	бытия как	5	1
368	что может	1	1
369	только через	1	1
370	здесь как	1	1
371	и каждый	1	1
372	можно только	1	1
373	своих границах	2	1
374	же картина	1	1
375	поэтому в	1	1
376	для этого	2	1
377	и даже	1	1
378	остановимся на	1	1
379	с ним	5	1
380	с человеком	3	1
381	мы живем	1	1
382	и смерть	1	1
383	все дело	1	1
384	о нем	4	1
385	и здесь	7	1
386	и должно	1	1
387	не был	1	1
388	возможна только	1	1
389	и т.д	2	1
390	жизни т.е	1	1
391	не стоит	1	1
392	мы ничего	1	1
393	может не	2	1
394	в значительной	1	1
395	духовная биография	1	1
396	даль и	1	1
397	и во	1	1
398	в конечном	1	1
399	и вследствие	1	1
400	он его	1	1
401	не со	2	1
402	бы человек	1	1
403	таким путем	1	1
404	ним и	3	1
405	эти возможности	1	1
406	единственностью и	1	1
407	и мир	2	1
408	в жизнь	1	1
409	в современной	3	1
410	менее в	1	1
411	и желания	1	1
412	не само	1	1
413	и так	1	1
414	мира как	2	1
415	от них	1	1
416	же будет	1	1
417	же и	1	1
418	только на	1	1
419	себя и	2	1
420	во втором	1	1
421	мог стать	1	1
422	не дает	3	1
423	большинстве случаев	1	1
424	мир в	11	1
425	только это	2	1
426	и их	6	1
427	всяком случае	1	1
428	могло бы	4	1
429	содержания и	2	1
430	целом и	3	1
431	вовсе не	7	1
432	не для	1	1
433	содержание и	2	1
434	для меня	20	1
435	может служить	1	1
436	друг друга	1	1
437	принципиально не	2	1
438	содержанием в	1	1
439	тем что	3	1
440	к той	1	1
441	но из	1	1
442	были бы	2	1
443	того что	3	1
444	мире где	1	1
445	бытия но	4	1
446	точек зрения	1	1
447	и героиня	1	1
448	во второй	1	1
449	бытия в	5	1
450	и др	1	1
451	между ними	1	1
452	но есть	2	1
453	не нужна	1	1
454	к человеку	1	1
455	превращается в	1	1
456	не единственным	1	1
457	до конца	3	1
458	существенно для	1	1
459	его как	5	1
460	там где	5	1
461	оценки и	2	1
462	ближе к	3	1
463	равно как	1	1
464	зрения автора	1	1
465	ответственности в	2	1
466	на чем	1	1
467	как это	1	1
468	места для	1	1
469	всем что	1	1
470	места где	1	1
471	две жизни	1	1
472	этого момента	1	1
473	бытию в	2	1
474	из которых	2	1
475	ибо это	1	1
476	что первая	1	1
477	по своему	3	1
478	им с	1	1
479	самого себя	1	1
480	к настоящему	1	1
481	в мир	1	1
482	в это	2	1
483	и смерти	1	1
484	слова и	1	1
485	и от	1	1
486	время от	1	1
487	но для	2	1
488	один из	2	1
489	глядит в	1	1
490	но с	1	1
491	действительный и	1	1
492	живет и	1	1
493	только таким	1	1
494	его не	1	1
495	в индивидуальном	1	1
496	когда он	1	1
497	совершенно иной	1	1
498	в третьем	1	1
499	еще более	2	1
500	и ни	3	1
501	т.п но	1	1
502	стороны в	3	1
503	в ценностном	5	1
504	действительной жизни	3	1
505	жизни что	1	1
506	богом но	1	1
507	к историческому	2	1
508	ни было	4	1
509	же в	1	1
510	в искусстве	1	1
511	но всегда	2	1
512	быть и	3	1
513	быть все	4	1
514	одной из	1	1
515	другой в	1	1
516	не быть	3	1
517	она сама	1	1
518	он предполагает	1	1
519	одновременно и	1	1
520	я это	1	1
521	бы его	1	1
522	имеет не	1	1
523	переживание переживания	2	1
524	в какой	1	1
525	включает в	2	1
526	к другим	1	1
527	ее в	1	1
528	т.е в	1	1
529	во всяком	1	1
