N	2gram	Nazirov_Tv_2	EvropaiC
154	ничего общего	1	3
155	и это	3	3
156	жизнь и	1	3
157	и вообще	2	3
158	с одной	1	3
159	может не	1	3
160	тот же	1	3
161	даже если	1	3
162	в начале	3	3
163	при помощи	2	3
164	и других	2	3
165	может служить	2	3
166	отличие от	2	3
167	как у	3	3
168	прежде всего	8	3
169	же не	2	3
170	в связи	1	3
171	и потому	4	3
172	целом ряде	1	3
173	в с	1	3
174	ее и	1	3
175	не то	1	3
176	от него	1	3
177	а в	4	3
178	ту же	1	2
179	которого в	1	2
180	в котором	3	2
181	и до	1	2
182	развития человечества	1	2
183	общества и	1	2
184	и ее	2	2
185	мы и	1	2
186	же что	1	2
187	свою очередь	1	2
188	во всяком	2	2
189	но как	1	2
190	него с	1	2
191	что они	4	2
192	общего с	1	2
193	то в	1	2
194	если он	5	2
195	что она	4	2
196	о которой	1	2
197	при виде	2	2
198	том чтобы	1	2
199	а затем	3	2
200	то есть	5	2
201	ценности и	1	2
202	в глазах	1	2
203	смотреть на	1	2
204	выше на	1	2
205	в них	1	2
206	нет в	1	2
207	и особенно	1	2
208	со своими	2	2
209	мы видели	1	2
210	потому и	1	2
211	такой же	2	2
212	в один	1	2
213	в эту	1	2
214	но если	2	2
215	давно уже	2	2
216	в которых	3	2
217	точку зрения	2	2
218	образом и	1	2
219	и более	1	2
220	тому что	1	2
221	она не	1	2
222	между людьми	2	2
223	тем меньше	1	2
224	тем самым	4	2
225	одна из	3	2
226	на себе	1	2
227	на него	2	2
228	в процессе	2	2
229	в основе	2	2
230	говорить о	2	2
231	невозможно но	1	2
232	что на	2	2
233	в среде	1	2
234	сходство с	1	2
235	если же	1	2
236	должен быть	1	2
237	как мы	1	2
238	эта часть	1	2
239	в себя	1	2
240	народом а	1	2
241	и сам	5	2
242	что у	4	2
243	веры в	1	2
244	в виду	1	2
245	а к	1	2
246	сводится к	2	2
247	именно потому	1	2
248	в другом	1	2
249	и поэтому	2	2
250	чем их	2	2
251	не стоит	2	2
252	же время	7	2
253	можно встретить	1	2
254	в ту	2	2
255	было бы	1	2
256	образом как	1	2
257	этот вопрос	3	2
258	цивилизации в	1	2
259	этом что	1	2
260	для удовлетворения	1	2
261	для него	3	2
262	всяком случае	2	2
263	вовсе не	2	2
264	индивидуальном сознании	1	2
265	из нее	1	2
266	и только	2	2
267	не было	2	2
268	однако это	2	2
269	представляет собою	1	2
270	что для	1	2
271	одну из	1	2
272	отнюдь не	4	2
273	будет иметь	1	2
274	почти ничего	1	2
275	в частности	2	2
276	него в	2	2
277	но не	5	2
278	эти примеры	1	2
279	что же	1	2
280	из этой	2	2
281	этого слова	1	2
282	только то	1	2
283	с этой	3	2
284	страсть к	1	2
285	с ними	2	2
286	между ними	1	2
287	не знает	1	2
288	в свою	1	2
289	от этой	2	1
290	например в	5	1
291	по адресу	1	1
292	это и	1	1
293	на деле	1	1
294	в первом	1	1
295	смысл этого	1	1
296	из его	1	1
297	сам автор	1	1
298	высшей степени	1	1
299	только кажущаяся	1	1
300	той же	1	1
301	выше в	1	1
302	из всего	1	1
303	мы не	4	1
304	нашу мысль	1	1
305	и тут	1	1
306	на место	1	1
307	из своих	1	1
308	этом не	1	1
309	на себя	1	1
310	я не	2	1
311	с большим	3	1
312	в дело	1	1
313	с народом	2	1
314	он сам	3	1
315	это действительно	1	1
316	одну общую	1	1
317	в различных	1	1
318	с его	1	1
319	бы не	2	1
320	в создании	1	1
321	и другие	1	1
322	а только	1	1
323	если в	1	1
324	со стороны	1	1
325	нет и	2	1
326	исторический аргумент	1	1
327	как в	4	1
328	однако не	1	1
329	перед нами	1	1
330	и как	1	1
331	его к	1	1
332	и капитализм	1	1
333	для ее	1	1
334	и отчасти	3	1
335	в этот	2	1
336	психологии и	1	1
337	ряде случаев	1	1
338	отказывается от	2	1
339	мы получаем	1	1
340	бы с	1	1
341	возможно что	1	1
342	нами в	1	1
343	во многих	2	1
344	у а	1	1
345	на его	4	1
346	главным образом	1	1
347	после этого	1	1
348	от которого	1	1
349	и еще	2	1
350	идеи и	1	1
351	в принципе	4	1
352	к одному	1	1
353	и вот	1	1
354	наших глазах	1	1
355	произведения в	1	1
356	эта же	1	1
357	в каждом	1	1
358	а его	1	1
359	входит в	1	1
360	с другими	2	1
361	каждого из	1	1
362	характер не	1	1
363	ведь в	1	1
364	в ином	1	1
365	человечества на	1	1
366	рядом с	2	1
367	но лишь	1	1
368	которой он	2	1
369	почему мы	1	1
370	в развитии	1	1
371	всего развития	1	1
372	зато в	2	1
373	для своих	1	1
374	остается в	1	1
375	их на	1	1
376	не мог	1	1
377	в своей	6	1
378	нас не	1	1
379	это делает	1	1
380	не к	1	1
381	что я	2	1
382	является только	1	1
383	из области	1	1
384	но он	1	1
385	лицо к	1	1
386	по крайней	2	1
387	и эти	1	1
388	важную роль	1	1
389	их в	2	1
390	однако в	1	1
391	что этот	2	1
392	характер в	2	1
393	а а	4	1
394	самого начала	1	1
395	как о	2	1
396	не имеет	1	1
397	я буду	2	1
398	несколько ниже	1	1
399	заключалось в	1	1
400	и мало	1	1
401	не похоже	1	1
402	дело в	1	1
403	однако такое	1	1
404	же после	1	1
405	к ней	1	1
406	создается в	1	1
407	уже говорили	1	1
408	и его	9	1
409	же он	1	1
410	его он	1	1
411	со своим	1	1
412	и свою	1	1
413	аргумент в	2	1
414	только с	2	1
415	ли это	1	1
416	видеть что	1	1
417	и пытаются	1	1
418	начиная с	2	1
419	для развития	1	1
420	только еще	1	1
421	числе и	1	1
422	встретить и	1	1
423	является одним	1	1
424	всего что	1	1
425	бы он	1	1
426	среды в	1	1
427	для себя	1	1
428	приходит к	1	1
429	своего развития	1	1
430	всех сторон	1	1
431	психологическом отношении	1	1
432	и художественное	1	1
433	но при	1	1
434	мысль о	1	1
435	осталась не	1	1
436	об отношении	1	1
437	на той	1	1
438	с самого	1	1
439	говорили что	1	1
440	то время	1	1
441	так в	2	1
442	приводит к	2	1
443	роль в	2	1
444	о тех	1	1
445	учит нас	1	1
446	сам он	1	1
447	вопрос этот	1	1
448	они считают	1	1
449	что от	1	1
450	своей собственной	1	1
451	ничего не	4	1
452	и берет	1	1
453	или иной	1	1
454	говорят что	1	1
455	быть в	1	1
456	традиции и	3	1
457	другом месте	1	1
458	всего человечества	1	1
459	за пределами	1	1
460	на точку	1	1
461	а у	1	1
462	решающую роль	1	1
463	раньше чем	1	1
464	это сделать	1	1
465	не противоречит	1	1
466	крайней мере	2	1
467	от этих	1	1
468	на наших	1	1
469	в современной	1	1
470	к решению	1	1
471	один из	3	1
472	мы видим	4	1
473	как нечто	1	1
474	по мнению	3	1
475	этот факт	2	1
476	с чертами	1	1
477	на всем	1	1
478	уже не	3	1
479	уже в	2	1
480	положение что	1	1
481	сделать и	1	1
482	на этих	1	1
483	школы и	1	1
484	и со	1	1
485	для меня	1	1
486	у этих	1	1
487	друг друга	2	1
488	не случайно	2	1
489	тем что	3	1
490	без внимания	1	1
491	следует признать	1	1
492	на стороне	4	1
493	и даже	5	1
494	развития в	1	1
495	о своей	1	1
496	с другим	2	1
497	в высшей	1	1
498	к которому	2	1
499	и между	1	1
500	творческой работе	1	1
501	с ней	1	1
502	и люди	1	1
503	не без	1	1
504	а сам	1	1
505	а не	6	1
506	зависит от	2	1
507	и психологии	1	1
508	когда же	1	1
509	в психологическом	1	1
510	себя на	2	1
511	себе всегда	1	1
512	к сознанию	1	1
513	народа на	1	1
514	нет ничего	3	1
515	эти слова	1	1
516	должна была	1	1
517	эта идея	1	1
518	но кто	1	1
519	с удовольствием	1	1
520	в область	3	1
521	к жизни	2	1
522	что за	1	1
523	еще нет	1	1
524	встречается у	1	1
525	наряду с	7	1
526	однако эти	2	1
527	реальные исторические	1	1
528	могут быть	2	1
529	человек с	1	1
530	мыслится как	1	1
531	над тем	1	1
532	только для	2	1
533	этой стороны	1	1
534	пока еще	1	1
535	похоже на	1	1
536	с большой	1	1
537	она должна	1	1
538	вообще говоря	2	1
539	с законом	1	1
540	пор еще	1	1
541	грубость и	1	1
542	некоторого времени	1	1
543	есть одно	1	1
544	мы только	1	1
545	русской жизни	1	1
546	а все	1	1
547	за каждым	1	1
548	лишь из	1	1
549	но когда	1	1
550	или нет	1	1
551	еще более	1	1
552	мысль на	1	1
553	будто бы	1	1
554	биографии каждого	1	1
555	не являются	1	1
556	и вдруг	2	1
557	можно строить	1	1
558	в целях	1	1
559	жизни в	3	1
560	это все	2	1
561	месте в	1	1
562	сказать что	1	1
563	не быть	1	1
564	была бы	1	1
565	от всех	1	1
566	но этот	1	1
567	в голову	1	1
568	а может	1	1
569	еще менее	1	1
570	в своих	3	1
571	очень редко	1	1
572	с такой	1	1
573	точно так	1	1
574	том числе	1	1
