N	2gram	Bakhtin_fo_2	VelikijI
336	и всегда	2	1
337	мира и	9	1
338	это как	1	1
339	которая в	1	1
340	он за	1	1
341	в разных	1	1
342	христа и	1	1
343	лишь как	1	1
344	может быть	7	1
345	сложность и	2	1
346	вообще в	1	1
347	как она	1	1
348	конце концов	1	1
349	будем говорить	1	1
350	во всем	1	1
351	свобода человека	1	1
352	на него	1	1
353	уже и	1	1
354	человеческого общества	1	1
355	жизни в	4	1
356	что на	3	1
357	в будущем	1	1
358	людей все	1	1
359	в образах	1	1
360	другой стороны	1	1
361	не быть	2	1
362	от природы	1	1
363	но все	1	1
364	и идеи	3	1
365	есть и	4	1
366	к этому	3	1
367	его с	1	1
368	я вижу	1	1
369	и другие	3	1
370	но к	1	1
371	себя и	3	1
372	она не	2	1
373	они не	1	1
