N	2gram	Bakhtin_sl_1	Russkaja
524	не является	2	1
525	известной степени	4	1
526	на все	2	1
527	которых он	1	1
528	не знаем	1	1
529	которая в	1	1
530	в отдельных	1	1
531	ибо нет	1	1
532	эти попытки	1	1
533	бы в	1	1
534	тем более	1	1
535	и все	4	1
536	личности и	1	1
537	от всякого	2	1
538	в свою	3	1
539	с ней	2	1
540	и единственную	1	1
541	для большинства	1	1
542	эти элементы	1	1
543	и оформлены	1	1
544	этого и	1	1
545	для эпохи	1	1
546	они не	1	1
