N	2gram	Tiupa_Lite_1	Otkroven
298	ней не	1	1
299	а потому	2	1
300	быть не	1	1
301	свободы в	1	1
302	в отношении	1	1
303	так любит	1	1
304	и здесь	1	1
305	природу и	1	1
306	отличается от	1	1
307	она не	1	1
308	лишь способ	1	1
309	дело в	3	1
310	одна из	3	1
311	ее с	1	1
312	со всей	1	1
313	виду не	2	1
314	не случайно	2	1
315	было у	2	1
316	в уме	4	1
317	есть путь	1	1
318	самой жизни	1	1
319	может служить	1	1
320	в силах	1	1
321	жизни не	2	1
322	особого рода	2	1
323	в форму	1	1
324	показывает нам	1	1
325	по своей	3	1
326	в сознании	2	1
327	отношении к	1	1
328	как будто	2	1
329	достоевским в	1	1
330	а те	1	1
331	с другом	1	1
332	перед ним	1	1
333	состоит из	1	1
334	была бы	1	1
335	свое собственное	3	1
336	от всех	1	1
337	совершенно не	1	1
338	своего сознания	1	1
339	ко всему	2	1
340	вл соловьев	1	1
341	та же	2	1
342	и состоит	1	1
343	души человеческой	1	1
344	жизни и	3	1
345	во всяком	3	1
346	типа есть	1	1
347	быть назван	1	1
