2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_2gram
время достоевский	1	1
л п	7	2
в статье	2	1
достоевского есть	1	1
с чирков	1	1
и более	1	1
и мире	1	1
только с	2	1
в каждом	1	3
представляет собой	1	3
всегда было	1	1
и тогда	2	1
комический эффект	1	1
в русской	2	5
достоевского является	1	1
однако достоевский	1	1
значит отказаться	1	1
и должно	1	1
о забитой	1	1
и оскорбленных	1	4
и вот	1	1
очень важно	1	1
дело в	1	3
по преимуществу	2	2
братья карамазовы	1	1
опираясь на	2	1
одного из	1	2
князь христос	3	1
достоевским в	2	4
в которую	2	1
достоевский художник	1	1
и на	5	7
вплоть до	1	1
от апреля	1	1
своей ранней	1	1
достоевского м	3	4
достоевского в	9	12
мысли достоевского	1	1
быть понята	1	1
от него	1	1
ли это	1	1
и достоевского	1	1
по крайней	2	2
христос в	1	1
на земле	1	3
нем и	1	1
м фридлендер	1	1
как и	6	12
забитой лошади	1	1
означает в	1	1
собой в	1	2
должен был	1	1
потому что	7	5
нуждается в	1	1
что для	1	2
что с	1	1
этого персонажа	1	1
и давно	1	1
определен как	1	1
в самом	3	3
тогда как	3	1
же время	7	12
первый герой-идеолог	1	1
человеческой души	1	2
лирическим героем	1	1
в то	10	15
преступление и	2	5
по отношению	3	1
никогда не	11	3
героев и	1	3
зрелого творчества	1	1
в россии	2	3
слова не	1	1
и в	20	21
времени как	1	3
все время	2	1
с романтической	1	1
так же	5	3
композиции у	1	1
в мире	5	4
настасьи филипповны	4	2
где происходит	1	1
так что	2	2
раскольникова или	1	1
записок из	1	3
важную роль	1	1
нам представляется	1	1
но сквозь	1	1
так как	3	3
с тургенева	1	1
значение в	1	1
но не	5	3
герой в	1	2
и оскорбленные	1	2
такой же	2	2
с раскольниковым	1	1
не в	4	2
трагедии в	2	1
он стремился	1	1
как будто	1	5
не означает	2	2
восходит к	2	1
ты мне	1	1
по мнению	3	3
униженных и	1	4
достоевского часто	1	1
творчестве достоевского	4	5
символический смысл	1	1
генерал пралинский	1	2
и через	3	1
не могут	1	1
до предела	1	1
в наше	2	2
для которого	2	1
бы он	1	1
достоевский совершенно	1	1
за свою	1	1
скверного анекдота	1	1
и до	1	1
в конечном	1	4
как она	1	1
всю жизнь	1	1
в таких	1	1
как это	1	1
отношении к	1	1
преступления и	2	5
что этот	2	1
с этим	1	1
романах достоевского	13	15
хитрый и	1	1
же он	1	1
и с	8	3
событий в	1	1
важным и	1	1
в мысли	1	1
но это	5	5
и всякий	1	1
когда он	4	2
романах достоевский	1	1
петербурга и	1	1
считал что	1	1
чирков н	1	1
с глава	2	3
так словно	1	1
ее и	1	2
он видит	1	3
является одним	1	2
рассказывает о	3	1
это все	2	1
ф м	3	2
это не	7	4
человека к	1	1
этот момент	1	1
кроткой и	1	1
между людьми	2	2
образом и	1	1
эта мысль	2	1
с другой	2	3
а г	1	2
и как	1	4
романа идиот	6	1
но он	1	2
к осознанию	1	2
и сколько	2	1
принцип организации	1	1
в чем	4	2
было бы	1	1
и мотивы	1	1
других романах	1	1
как бы	11	17
в процессе	2	1
достоевского бахтин	1	1
из всех	1	4
и вдруг	2	1
его обитатели	1	1
в большой	1	1
русской литературы	1	2
в первой	2	2
реализм достоевского	2	2
него с	1	1
зла и	1	1
казалось бы	3	1
с кьеркегора	1	1
скверном анекдоте	4	3
прежде всего	8	4
указывает на	1	1
не мог	1	2
а с	3	1
см главу	1	1
он ни	1	3
читателя он	1	1
понимания человека	1	1
своих героев	3	3
он стал	1	1
мы понимаем	1	1
у нас	2	1
но и	8	3
школы и	1	1
в ее	2	1
тысяч рублей	3	1
традиции и	3	1
именно в	6	2
эти слова	1	2
п гроссман	2	2
а затем	3	2
до сих	3	1
не знает	1	2
только то	1	1
в творчестве	5	6
природа человека	1	1
решающую роль	1	1
их на	1	1
не умел	1	1
рассуждения об	1	1
раскольникова в	2	1
автора в	1	1
с небольшой	1	1
одной из	3	4
достоевский в	7	3
себя в	2	1
гофмана и	1	1
и четко	1	1
человек с	1	1
человеческой личности	2	3
концепции человека	1	2
отношение автора	1	1
героя и	2	2
только для	2	1
развития человечества	1	1
роль в	2	1
но эти	2	1
м чирков	2	1
будет вечно	1	1
и наконец	2	2
не был	1	3
по достоевскому	1	2
апреля года	3	1
мир а	1	1
зависит от	2	2
это объясняется	1	1
не к	1	1
для ее	1	1
чувство стыда	2	2
его романах	1	2
но эта	2	1
в целом	6	4
что раскольников	3	1
заявил что	2	1
рассказе скверный	1	3
в преступлении	10	6
что не	3	2
во второй	1	2
романа становится	1	1
с большим	3	1
а не	6	5
этот вопрос	3	1
переход от	1	1
в униженных	1	1
говорить о	2	1
с этой	3	1
значит что	1	2
самого себя	1	1
узнаем что	1	1
в этом	8	6
с одной	1	1
крайней мере	2	2
индивидуальном сознании	1	1
превращается в	3	1
достоевский строит	2	1
русской литературе	1	4
достоевский не	5	4
и наказание	1	4
быть назван	1	1
об этом	4	2
в исповеди	1	1
точно так	1	2
они считают	1	1
этого вопроса	1	1
в образе	3	1
выглядит как	1	1
одним из	3	4
будущее в	1	1
и ее	2	1
говорит что	1	2
достоевского о	1	1
он говорит	1	3
особое значение	1	1
г в	1	1
на него	2	1
наполеоновская идея	1	1
жизни не	1	1
мы узнаем	2	1
одна из	3	2
и внутреннего	1	2
же как	3	1
проблемы поэтики	1	4
с достоевский	4	1
с влиянием	1	1
сон о	2	2
против этого	1	1
в первую	1	1
все это	6	10
с долинин	2	1
интерес и	1	1
в один	1	2
и есть	2	1
сам автор	1	1
как некий	1	1
ведет к	1	2
самом деле	2	2
н м	4	2
в сюжете	1	1
в черновиках	4	2
мышкина и	1	1
в целях	1	1
представлял себе	1	1
мысли и	1	4
степанчиково и	1	1
в философии	1	1
если в	1	2
что я	2	3
писателя как	1	1
а может	1	1
о нем	1	1
хотя и	4	3
не так	2	3
парадоксальная реакция	1	1
идейная позиция	1	1
заключается в	1	1
о трихинах	1	1
во многом	2	7
что оно	1	1
из подполья	6	13
идиот дается	1	1
то же	7	13
и со	1	1
приходит в	1	1
бы заранее	1	1
при помощи	2	2
достоевский стремился	1	1
русской жизни	1	4
достоевского две	1	1
он приходит	1	1
от романтической	1	1
героя в	4	1
т с	1	1
о достоевском	2	1
князь в	1	1
село степанчиково	1	1
с см	2	1
связана с	1	1
преступлении и	11	4
у гроба	1	1
в романах	13	13
литературной традиции	4	1
полную свободу	2	1
в виноградов	1	1
по способу	1	1
в в	1	2
эта идея	1	1
начиная с	2	1
xix века	7	6
в петербурге	1	4
и если	2	1
у достоевского	30	28
наше время	2	2
его перед	1	1
критики и	2	1
нас на	1	1
в действии	1	1
человека и	3	4
вся история	1	2
что же	1	1
ф одоевский	1	2
в себя	1	2
но этот	1	1
однако этот	3	1
достоевский изображает	2	1
до уровня	1	1
и их	1	1
столь же	1	1
на сенной	3	1
утверждает что	1	1
и наказании	10	4
жизнь для	1	1
в которой	2	3
болевой эффект	13	2
жалости и	1	1
но при	1	1
у а	1	1
но тот	1	1
говорили что	1	1
романа достоевского	5	3
генерала пралинского	1	2
что он	6	6
у пушкина	3	2
в любви	1	2
когда же	1	1
если он	5	1
в прямом	1	1
через него	1	1
к жизни	2	2
в нем	3	3
во время	1	1
веру в	2	1
стиле достоевского	1	1
во всех	1	1
о стиле	1	1
мещанин на	1	1
л с	1	1
в дальнейшем	4	3
он был	1	1
в книге	1	3
первую очередь	1	1
в современной	1	1
у этого	1	1
преступления а	1	1
что и	1	2
один из	3	4
уже не	3	3
в жертву	1	1
желаемого эффекта	1	1
но только	1	2
не знать	1	1
на улице	1	1
к себе	1	1
а по	1	2
в лице	4	2
романов достоевского	5	3
человек и	1	1
героев например	1	1
достоевского глава	1	1
назиров р	2	2
гюго и	1	1
достоевского не	8	6
среду и	1	1
к роману	3	1
том же	2	1
представление о	7	3
в с	1	2
вторгается в	1	2
р г	2	2
жизни но	1	1
и здесь	1	1
этого ему	1	1
христа как	1	1
великого писателя	1	1
искусства достоевского	1	1
так достоевский	3	2
духовной жизни	1	1
самого начала	1	3
и по	2	3
о летних	2	1
… но	1	1
но в	4	7
князь валковский	1	2
человека в	3	6
достоевского чем	1	1
а я	2	1
не имеет	1	1
как по	2	1
в xix	2	1
в отличие	2	2
достоевский наделил	1	1
своего рода	3	4
пришел к	1	1
сих пор	3	1
году в	1	2
сей день	1	1
романы достоевского	2	1
событий и	1	1
и сам	5	1
ипполит в	1	1
идеи и	1	1
трагического и	2	1
жизнь и	1	1
больших романах	1	3
м т	2	1
не значит	1	1
этой связи	1	2
просветительской философии	1	1
и тесно	1	1
при этом	8	7
этом плане	1	1
известной книге	1	1
том что	4	11
утопического социализма	2	1
человек это	1	2
у нее	3	1
у него	6	7
на свете	1	2
и тут	1	1
сюжета в	1	1
в этих	1	2
но сам	1	1
же трансформации	1	1
заботиться о	1	1
чуть ли	1	1
м.-л с	2	1
достоевский ф	3	1
в котором	3	6
достоевского встречаются	1	1
времени достоевский	1	1
что его	2	2
творчество достоевского	4	3
для него	3	6
в момент	1	4
он живет	1	1
на себя	1	1
ту же	1	3
к ней	1	2
однако это	2	1
наделил своих	1	1
же это	1	1
свою очередь	1	1
в искусстве	2	1
по выражению	1	1
борьба бога	1	1
этой книги	1	3
и достоевский	4	2
был бы	1	2
повествовательную маску	1	1
в скверном	4	3
самому себе	1	1
и наказания	2	5
ставрогина в	1	1
достоевского только	1	1
заставляет вспомнить	1	1
достоевского очень	1	1
из жизни	2	1
действительной жизни	1	3
расходится с	1	1
в романе	15	10
сам себе	1	2
с гробом	1	1
порою это	1	1
сердце и	2	1
глубине души	1	1
что это	1	1
этот роман	1	2
и это	3	1
в этот	2	1
с другим	2	1
и человек	1	2
меня в	1	1
в кроткой	1	1
же не	2	1
переходит в	1	2
от одной	1	1
жизнь в	1	1
и другие	1	3
еще более	1	2
в комедии	1	1
этот принцип	1	1
во все	1	1
в связи	1	1
соответствии с	4	3
жизнь его	1	1
приходит к	1	3
