3gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_3gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_3gram
в свою очередь	2	1
такие обряды или	1	1
том же а	1	1
что в первый	1	1
это не совсем	1	1
в шейн по	1	1
в одиночку или	1	1
совершенно очевидно что	1	1
этой неделе назывался	1	1
зятьев о чем	1	1
из смоленской губернии	2	1
в отличие от	1	3
а б зерновой	1	3
себе дело так	1	1
не связаны с	1	1
и п сахаров	5	7
в тех случаях	1	1
г где говорится	1	1
не объясняет почему	1	1
в своих целях	1	1
где говорится что	1	1
имело место при	1	1
воздействовать на урожай	1	1
идут в лес	1	1
из ряда других	1	1
а и никифоров	2	1
имеется довольно много	1	1
переход от плача	2	1
и другие народы	1	1
в шейн сообщает	1	7
средоточие растительной силы	1	1
если предположить что	1	1
есть и другие	1	1
это показывает что	2	3
в данном случае	1	6
мы увидим не	1	1
следующий за святками	1	1
и многие другие	2	2
обычаев и обрядов	1	2
бросается в глаза	1	2
давали в пищу	1	1
в этих случаях	1	3
из владимирской губернии	1	3
приводят нас к	1	1
собой как бы	1	1
п в шейн	7	10
том что это	1	3
п калинский пишет	2	2
приказу петра i	1	1
и м снегирева	2	1
одна из основных	1	1
во всех этих	1	1
можно сказать что	1	1
этот не был	1	1
е в аничков	5	5
шествие с козой	1	1
в и чичеров	13	2
воздействовать на плодородие	1	1
этот обычай был	1	1
может быть потому	1	1
в этом отношении	1	1
воскресения из мертвых	1	1
в наступающем году	2	1
т е в	1	5
как мы видели	1	1
снегирев сообщает в	1	1
это имеет место	2	1
мы должны будем	1	1
на могилах в	1	1
так как в	1	1
и для них	1	1
как это имеет	2	1
а макаренко сообщает	2	1
а н афанасьев	4	3
в советской науке	1	1
но и как	1	1
приводит нас к	1	2
потому что он	1	1
направление в изучении	1	1
целью воздействовать на	1	1
этому поводу пишет	2	1
имеет существенного значения	1	1
не имеет существенного	1	1
с плачем и	1	1
а иногда и	3	1
в других вариантах	1	1
употребление в пищу	2	1
как уже указывалось	3	2
на новый год	2	3
сахаров ii кн	8	12
п в шейном	3	1
же а а	1	2
в вологодской губернии	1	1
с в максимов	3	8
во время масленицы	1	1
внезапный переход от	1	1
на другой день	1	2
том что в	6	1
во время которого	1	1
и в другие	3	1
и в советское	2	1
п с ефименко	3	1
н афанасьев и	3	1
н ф сумцов	1	2
мы не можем	3	2
это делалось для	1	2
шейн i ч	3	9
и п калинский	5	4
после того как	2	2
далеко не так	1	1
всяком случае не	1	1
как сообщает и	1	1
с тем и	2	1
между тем это	1	2
и в других	4	4
по своему происхождению	1	1
т е на	1	1
на ивана купалу	3	6
а а терещенко	3	4
во многих случаях	2	2
сообщает и м	1	1
п сахаров сообщает	1	4
или в другие	1	1
мы не будем	2	2
м снегирев в	1	1
в настоящее время	3	1
подобно тому как	1	3
все это показывает	2	3
макаренко сообщает из	1	1
по этому поводу	2	2
в пинежском уезде	2	1
ни одна из	1	1
с ефименко сообщает	1	1
у русских у	1	1
самом же деле	1	2
не оставляет сомнений	1	1
мы уже знаем	1	1
для нас не	1	1
кн vii в	1	1
что каждый из	1	1
во время святок	4	1
должна была обеспечить	1	3
в какой степени	2	1
состоит в том	8	13
в поле и	1	2
не только на	2	1
по нескольку человек	1	1
и т д	9	5
там же но	1	1
калинский снегирев iii	3	1
должно было обеспечить	1	2
состояла в том	1	2
и в том	1	1
только тогда когда	1	3
всем этим объясняется	1	1
один из них	2	1
в некоторых местах	1	4
в другие праздники	3	1
еще далеко не	1	1
в иных местах	1	1
в период зимнего	1	1
в древней руси	2	1
на плодородие земли	1	2
ср сахаров ii	2	1
перепрыгиванием через них	1	1
новый год в	2	1
