2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_2gram
времени в	7	7
сами по	2	1
до конца	2	4
специфическая особенность	1	1
от греческого	1	2
лишь что	1	1
и уже	1	3
значение они	1	1
одного и	1	5
в разных	1	5
ним но	1	1
человеческую жизнь	2	2
по себе	2	2
и является	1	2
вещей и	7	1
времени с	1	2
еще не	6	5
или три	1	1
он сам	1	1
затем в	3	1
с ним	4	2
не столько	1	1
так в	1	1
романа как	1	3
одновременности и	1	2
для романа	3	1
в условиях	1	7
плутовской роман	1	1
в конце	2	9
следовательно и	3	1
имеем в	3	1
не могла	2	1
последующие эпохи	1	3
а в	3	3
и этим	1	1
всего в	3	1
и более	2	1
автобиографии и	2	2
в каждом	1	1
и тогда	1	1
необходимо учесть	1	1
которой нет	1	1
нам важно	1	1
значения например	1	1
с самим	1	5
и вот	2	1
романов разных	1	1
повсюду где	1	1
которыми он	1	2
их и	1	2
дело в	1	2
поэтому и	1	3
своей жизни	2	4
по преимуществу	1	3
в своем	5	4
романа но	1	4
временных рядов	1	3
и явлений	6	1
ни был	1	1
тщеславия теккерея	1	1
самому и	1	1
всего бытия	1	1
самый момент	1	1
в нашем	1	2
с человеком	1	1
и на	7	8
романе в	6	2
в авантюрно-бытовом	2	1
миру в	1	1
вплоть до	2	1
оно было	2	1
в различных	1	2
этом времени	1	4
величина и	1	1
своему существу	1	1
которые в	1	1
не имеют	1	3
для превращения	1	2
на одной	1	1
греческого и	1	1
низкого быта	1	1
не являются	1	2
и были	1	2
вообще не	1	3
в ряд	9	1
и характер	1	2
к будущему	2	1
для того	8	5
и момента	1	1
как и	8	8
всем правилам	1	1
вступают в	2	1
потому что	8	4
числе и	2	2
конечно и	1	4
для которой	1	1
хода жизни	1	1
в самом	1	8
является существенным	1	1
по этому	1	1
же время	4	9
мы еще	3	3
в то	5	9
и то	1	4
мире и	2	2
никогда не	6	2
героев и	4	3
этом отношении	2	3
всех этих	7	5
и своей	1	1
одновременность и	1	3
этого нового	2	1
и в	46	50
xix и	1	1
в эпоху	4	1
так же	2	6
этих условиях	1	1
в мире	4	1
и самый	2	1
так что	4	1
романа мы	1	3
в корне	2	1
превращения в	1	5
а на	2	1
все они	3	1
так как	6	6
в греческом	5	24
вернемся в	2	1
проблема исторической	1	1
и только	2	1
но не	5	5
герой в	1	1
фольклорного хронотопа	1	1
быть или	1	1
и том	1	1
авантюрным временем	1	2
и смерти	1	1
не в	9	5
и играет	1	1
не знал	1	1
романе с	1	1
плута шута	4	1
время здесь	1	3
для всех	1	2
роман по	1	1
эти временные	1	1
в полном	1	1
vii раблезианский	1	1
частности с	1	1
чем они	2	1
дело здесь	1	1
есть в	1	2
мифологического и	2	1
исторической инверсии	4	1
авантюрного романа	1	3
не могут	1	3
и во	6	7
в которых	3	2
по существу	5	12
чаще всего	1	1
вернуться к	1	1
человек в	2	3
и которыми	1	1
бы он	1	1
и до	2	5
греческом романе	3	22
не растет	1	1
как она	1	2
ряду и	1	1
и шире	1	1
раритетами и	1	1
раз и	1	2
в таких	1	1
лишь как	1	2
из себя	1	1
образа совершенно	1	1
с этим	5	6
лишь в	2	6
образ человека	2	6
с чем	1	1
тех же	1	2
и с	6	4
фольклорной традиции	1	1
следы эпохи	1	1
и аскезы	1	1
случайных одновременностей	1	2
смысле слова	2	2
характерно для	1	1
в него	1	1
что люди	1	1
приватного человека	2	3
не для	2	2
друг другу	2	2
разные страны	1	1
ее по	1	2
человек не	2	1
разновременность явлений	1	1
ее в	3	2
же в	4	3
в ряду	4	1
героев греческого	1	1
конечно не	4	4
также и	4	2
мы это	1	1
и т.д	1	1
я был	1	2
это не	2	6
этот момент	1	1
образом и	1	1
и всего	1	1
с другой	2	2
и др	5	9
и как	3	10
иной раз	1	1
здесь в	6	2
принадлежит к	2	2
этот хронотоп	1	1
пространственных отношений	1	1
но он	2	2
античных форм	1	1
должно быть	5	1
и совершенно	3	1
далеко не	2	2
игра с	3	1
в чем	1	2
было бы	2	2
и мотивы	1	1
в собственно	1	1
здесь и	1	2
как бы	10	2
большое значение	2	1
мире ни	1	1
в эпосе	2	2
элементы этого	1	1
особенно важное	1	1
в глаза	1	2
распадается на	1	1
и море	1	1
прежде всего	14	15
не касаемся	1	1
их не	2	1
благоприятно для	1	1
не быть	2	1
по этим	1	1
себе и	1	3
и трагедии	1	1
при изображении	3	1
точки зрения	10	5
этого мира	2	4
случайную одновременность	1	1
с такою	2	1
у сореля	1	1
связей и	1	1
vi функции	1	1
приватной жизни	3	8
он ни	1	1
ряд с	1	1
у нас	2	1
но и	9	8
же что	1	2
подсматривания и	1	2
на друга	2	2
литературы в	2	1
именно в	2	3
нет и	3	2
смерть с	1	1
день и	1	1
в ее	1	6
исторического времени	3	4
сочетается с	1	2
в последующие	1	4
до сих	2	3
не знает	2	3
время в	1	6
по всем	2	2
и дело	1	1
человека так	1	2
в большинстве	3	1
форме и	1	1
в организации	1	1
мы не	1	3
чем в	1	2
или как	1	4
на различные	1	1
себя в	1	1
человек с	1	1
стремится к	1	1
мы можем	1	1
имеет место	3	3
на протяжении	3	1
во всем	1	2
судьбы богов	1	1
конечно ничего	1	1
здесь мы	3	1
речи об	1	1
наконец и	2	2
в результате	1	6
развития человечества	2	1
роль в	3	9
но эти	3	1
жизни как	2	1
и наконец	6	1
не был	2	1
напротив они	1	1
то они	1	1
всех его	1	1
но эта	2	3
см например	1	2
распространены в	1	1
для других	3	4
что не	1	3
к сыну	1	1
франсион у	1	1
и фольклорного	1	1
ряд как	1	1
широком смысле	1	2
ряда в	1	2
а не	4	3
когда я	1	1
образов плута	3	1
и снова	1	1
с одной	2	3
в этом	22	25
мир на	1	1
время как	1	5
в событиях	1	1
об этом	1	2
эту жизнь	2	2
быть и	2	2
лучше всего	1	1
в образе	4	5
греческого романа	2	26
его жизни	4	8
и ее	1	3
рабле на	1	1
начинается с	1	1
точка зрения	3	1
в совершенно	3	1
он всегда	1	1
с природой	1	1
для себя	1	7
тяготеет к	1	1
для романного	1	1
почти все	3	1
содержание романа	1	1
жизни данного	1	1
одна из	1	2
но отдельные	1	1
п наконец	1	1
существу не	1	2
на свет	4	1
во вневременной	1	1
дан в	3	2
из этих	4	1
значение для	2	1
этого слова	1	1
бытия и	1	1
все это	6	4
друг на	2	2
и явления	1	1
с пространством	2	1
в качестве	3	3
постановка плута	1	1
в один	1	1
нарочитое противопоставление	1	1
рядов и	1	2
и есть	2	1
находится в	2	1
их в	4	3
всего необходимо	1	3
самом деле	1	1
в последующем	2	4
мы будем	3	2
по своей	1	1
в философии	1	1
большую роль	1	3
хотя и	3	3
этот ряд	3	5
с ее	1	6
форм в	1	1
но конечно	1	2
они не	1	3
вернемся к	3	1
пародия на	2	1
например в	1	6
жизни поэтому	1	3
где он	1	1
этих рядов	1	2
то же	8	11
и пространстве	1	1
целого но	1	1
здесь это	2	3
в порядке	1	3
мотивы и	1	1
это было	1	1
в последующей	2	4
в другую	1	2
в какой-то	1	3
его на	1	2
в бытовой	1	1
является не	1	1
пределах каждой	1	1
совершенно не	1	2
сделаны из	1	1
после них	1	1
не входят	1	2
моменты и	1	1
равно как	2	2
в человеческом	1	1
значение и	4	3
формы и	1	3
характерно что	2	4
времени то	1	1
начиная с	1	1
форма в	2	1
далее в	2	1
все основные	2	1
во времени	3	3
хронотопа в	3	5
характер и	1	7
приметы времени	1	1
смысле но	1	2
очень важная	2	2
с собой	1	1
человека и	4	11
самосознание человека	1	3
в себя	2	1
на ее	1	1
более того	1	3
совершенно новое	1	1
искусстве и	1	3
и их	4	8
отсюда и	2	2
мы видим	2	3
новое и	3	2
в точках	2	2
похожа на	1	1
кн ii	14	1
вопрос о	1	2
и еще	1	2
в золотом	1	3
в которой	1	2
момент в	1	2
инверсии и	1	1
времени все	1	2
этому вопросу	1	1
здесь является	1	1
другом и	1	1
плутарх и	1	1
вопрос об	1	1
точку зрения	1	2
они как	1	1
которой он	2	1
авантюрное время	1	15
ее на	1	1
чувствует себя	3	2
что он	3	1
страны в	1	1
необходимо отметить	1	2
возвращаемся к	1	1
раблезианский хронотоп	1	1
данном случае	1	1
и тот	1	1
том числе	3	4
себе самому	3	4
одновременностей и	1	2
должен быть	1	1
пространственных и	1	2
рыцарском романе	5	1
больших и	1	1
в нем	5	24
во время	10	1
нами моменты	1	1
по сравнению	1	2
в новое	1	3
что во	1	1
в отдельных	1	1
которых мы	1	1
пространства и	2	4
и времени	6	3
во всех	11	6
пространстве и	4	1
в дальнейшем	5	6
его но	1	3
он был	2	1
тело в	1	1
идеей тождества	1	1
их к	1	2
что и	3	3
один из	2	3
уже не	3	2
и поэтому	1	1
одновременности или	1	1
целого и	1	1
отношения к	4	3
с точки	8	2
времени где	1	1
в это	3	2
здесь на	1	4
реальное время	1	1
не определяется	1	1
быть только	1	3
особенности в	1	1
к себе	4	4
ее поэтому	1	1
этим в	1	1
точном смысле	1	2
была сделана	1	2
и исторического	1	2
между прочим	1	1
что было	3	3
том же	4	2
как их	1	1
в сущности	2	3
мы также	1	1
моменты в	1	1
или иной	2	2
романного жанра	1	1
жизни но	2	5
очень важный	2	1
события получают	1	1
и здесь	1	1
более и	1	1
место во	1	1
греческого типа	1	3
здесь как	1	2
самого начала	1	2
и по	3	2
которой и	1	1
но в	10	10
война между	1	1
путь в	1	1
человека в	6	17
всякого рода	1	2
не имеет	1	4
время распадается	1	1
дурака в	1	1
где она	1	1
в отличие	1	2
сих пор	2	3
и сам	1	1
и внешние	1	1
этого ряда	6	3
пределах отдельных	2	2
но к	1	1
жизнь и	3	4
явлений и	2	1
животных и	1	1
с идеей	1	1
существенное значение	1	1
при этом	6	3
того что	3	2
в форме	3	3
том что	4	4
о которых	1	1
в широком	1	2
у него	9	6
в ней	1	4
внимание на	1	1
публично-риторическое единство	1	2
в другом	3	1
и близостью	1	1
этом ряду	2	1
в этих	3	3
автора и	2	2
и биографии	1	1
для своего	1	1
них не	1	1
и следовательно	1	4
этим рядам	1	1
и временных	1	2
и также	1	1
в котором	4	4
форм большого	1	1
они были	2	2
для него	3	2
же примыкают	1	1
далью и	1	1
подслушивания частной	1	2
образа человека	1	11
того же	3	8
он весь	1	2
ту же	2	2
литературу и	1	1
свою очередь	1	1
совсем не	2	2
значение имеет	2	1
этим определяется	1	1
был бы	1	3
этой проблемы	1	2
здесь эта	1	1
оно не	1	2
тождество в	1	2
в романе	13	32
но все	1	5
мы увидим	1	1
а также	3	2
имел в	1	1
узнание неузнание	1	1
человеческого образа	2	1
жизни она	2	1
касаемся здесь	1	1
приватное самосознание	1	1
и это	2	4
отчасти и	3	1
и оформления	1	1
сюда же	2	1
смерти и	4	1
в этот	3	2
и другие	3	5
еще более	4	3
и пересекаются	1	1
ведь это	1	1
важное значение	1	2
во все	2	2
в связи	8	5
фольклора и	1	1
существуют для	1	1
а следовательно	3	1
со всех	1	1
