2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_2gram
времени в	7	7
сами по	1	2
до конца	4	2
специфическая особенность	1	1
от греческого	2	1
лишь что	1	1
и уже	3	1
значение они	1	1
одного и	5	1
в разных	5	1
ним но	1	1
человеческую жизнь	2	2
по себе	2	2
и является	2	1
вещей и	1	7
времени с	2	1
еще не	5	6
или три	1	1
он сам	1	1
затем в	1	3
с ним	2	4
не столько	1	1
так в	1	1
романа как	3	1
одновременности и	2	1
для романа	1	3
в условиях	7	1
плутовской роман	1	1
в конце	9	2
следовательно и	1	3
имеем в	1	3
не могла	1	2
последующие эпохи	3	1
а в	3	3
и этим	1	1
всего в	1	3
и более	1	2
автобиографии и	2	2
в каждом	1	1
и тогда	1	1
необходимо учесть	1	1
которой нет	1	1
нам важно	1	1
значения например	1	1
с самим	5	1
и вот	1	2
романов разных	1	1
повсюду где	1	1
которыми он	2	1
их и	2	1
дело в	2	1
поэтому и	3	1
своей жизни	4	2
по преимуществу	3	1
в своем	4	5
романа но	4	1
временных рядов	3	1
и явлений	1	6
ни был	1	1
тщеславия теккерея	1	1
самому и	1	1
всего бытия	1	1
самый момент	1	1
в нашем	2	1
с человеком	1	1
и на	8	7
романе в	2	6
в авантюрно-бытовом	1	2
миру в	1	1
вплоть до	1	2
оно было	1	2
в различных	2	1
этом времени	4	1
величина и	1	1
своему существу	1	1
которые в	1	1
не имеют	3	1
для превращения	2	1
на одной	1	1
греческого и	1	1
низкого быта	1	1
не являются	2	1
и были	2	1
вообще не	3	1
в ряд	1	9
и характер	2	1
к будущему	1	2
для того	5	8
и момента	1	1
как и	8	8
всем правилам	1	1
вступают в	1	2
потому что	4	8
числе и	2	2
конечно и	4	1
для которой	1	1
хода жизни	1	1
в самом	8	1
является существенным	1	1
по этому	1	1
же время	9	4
мы еще	3	3
в то	9	5
и то	4	1
мире и	2	2
никогда не	2	6
героев и	3	4
этом отношении	3	2
всех этих	5	7
и своей	1	1
одновременность и	3	1
этого нового	1	2
и в	50	46
xix и	1	1
в эпоху	1	4
так же	6	2
этих условиях	1	1
в мире	1	4
и самый	1	2
так что	1	4
романа мы	3	1
в корне	1	2
превращения в	5	1
а на	1	2
все они	1	3
так как	6	6
в греческом	24	5
вернемся в	1	2
проблема исторической	1	1
и только	1	2
но не	5	5
герой в	1	1
фольклорного хронотопа	1	1
быть или	1	1
и том	1	1
авантюрным временем	2	1
и смерти	1	1
не в	5	9
и играет	1	1
не знал	1	1
романе с	1	1
плута шута	1	4
время здесь	3	1
для всех	2	1
роман по	1	1
эти временные	1	1
в полном	1	1
vii раблезианский	1	1
частности с	1	1
чем они	1	2
дело здесь	1	1
есть в	2	1
мифологического и	1	2
исторической инверсии	1	4
авантюрного романа	3	1
не могут	3	1
и во	7	6
в которых	2	3
по существу	12	5
чаще всего	1	1
вернуться к	1	1
человек в	3	2
и которыми	1	1
бы он	1	1
и до	5	2
греческом романе	22	3
не растет	1	1
как она	2	1
ряду и	1	1
и шире	1	1
раритетами и	1	1
раз и	2	1
в таких	1	1
лишь как	2	1
из себя	1	1
образа совершенно	1	1
с этим	6	5
лишь в	6	2
образ человека	6	2
с чем	1	1
тех же	2	1
и с	4	6
фольклорной традиции	1	1
следы эпохи	1	1
и аскезы	1	1
случайных одновременностей	2	1
смысле слова	2	2
характерно для	1	1
в него	1	1
что люди	1	1
приватного человека	3	2
не для	2	2
друг другу	2	2
разные страны	1	1
ее по	2	1
человек не	1	2
разновременность явлений	1	1
ее в	2	3
же в	3	4
в ряду	1	4
героев греческого	1	1
конечно не	4	4
также и	2	4
мы это	1	1
и т.д	1	1
я был	2	1
это не	6	2
этот момент	1	1
образом и	1	1
и всего	1	1
с другой	2	2
и др	9	5
и как	10	3
иной раз	1	1
здесь в	2	6
принадлежит к	2	2
этот хронотоп	1	1
пространственных отношений	1	1
но он	2	2
античных форм	1	1
должно быть	1	5
и совершенно	1	3
далеко не	2	2
игра с	1	3
в чем	2	1
было бы	2	2
и мотивы	1	1
в собственно	1	1
здесь и	2	1
как бы	2	10
большое значение	1	2
мире ни	1	1
в эпосе	2	2
элементы этого	1	1
особенно важное	1	1
в глаза	2	1
распадается на	1	1
и море	1	1
прежде всего	15	14
не касаемся	1	1
их не	1	2
благоприятно для	1	1
не быть	1	2
по этим	1	1
себе и	3	1
и трагедии	1	1
при изображении	1	3
точки зрения	5	10
этого мира	4	2
случайную одновременность	1	1
с такою	1	2
у сореля	1	1
связей и	1	1
vi функции	1	1
приватной жизни	8	3
он ни	1	1
ряд с	1	1
у нас	1	2
но и	8	9
же что	2	1
подсматривания и	2	1
на друга	2	2
литературы в	1	2
именно в	3	2
нет и	2	3
смерть с	1	1
день и	1	1
в ее	6	1
исторического времени	4	3
сочетается с	2	1
в последующие	4	1
до сих	3	2
не знает	3	2
время в	6	1
по всем	2	2
и дело	1	1
человека так	2	1
в большинстве	1	3
форме и	1	1
в организации	1	1
мы не	3	1
чем в	2	1
или как	4	1
на различные	1	1
себя в	1	1
человек с	1	1
стремится к	1	1
мы можем	1	1
имеет место	3	3
на протяжении	1	3
во всем	2	1
судьбы богов	1	1
конечно ничего	1	1
здесь мы	1	3
речи об	1	1
наконец и	2	2
в результате	6	1
развития человечества	1	2
роль в	9	3
но эти	1	3
жизни как	1	2
и наконец	1	6
не был	1	2
напротив они	1	1
то они	1	1
всех его	1	1
но эта	3	2
см например	2	1
распространены в	1	1
для других	4	3
что не	3	1
к сыну	1	1
франсион у	1	1
и фольклорного	1	1
ряд как	1	1
широком смысле	2	1
ряда в	2	1
а не	3	4
когда я	1	1
образов плута	1	3
и снова	1	1
с одной	3	2
в этом	25	22
мир на	1	1
время как	5	1
в событиях	1	1
об этом	2	1
эту жизнь	2	2
быть и	2	2
лучше всего	1	1
в образе	5	4
греческого романа	26	2
его жизни	8	4
и ее	3	1
рабле на	1	1
начинается с	1	1
точка зрения	1	3
в совершенно	1	3
он всегда	1	1
с природой	1	1
для себя	7	1
тяготеет к	1	1
для романного	1	1
почти все	1	3
содержание романа	1	1
жизни данного	1	1
одна из	2	1
но отдельные	1	1
п наконец	1	1
существу не	2	1
на свет	1	4
во вневременной	1	1
дан в	2	3
из этих	1	4
значение для	1	2
этого слова	1	1
бытия и	1	1
все это	4	6
друг на	2	2
и явления	1	1
с пространством	1	2
в качестве	3	3
постановка плута	1	1
в один	1	1
нарочитое противопоставление	1	1
рядов и	2	1
и есть	1	2
находится в	1	2
их в	3	4
всего необходимо	3	1
самом деле	1	1
в последующем	4	2
мы будем	2	3
по своей	1	1
в философии	1	1
большую роль	3	1
хотя и	3	3
этот ряд	5	3
с ее	6	1
форм в	1	1
но конечно	2	1
они не	3	1
вернемся к	1	3
пародия на	1	2
например в	6	1
жизни поэтому	3	1
где он	1	1
этих рядов	2	1
то же	11	8
и пространстве	1	1
целого но	1	1
здесь это	3	2
в порядке	3	1
мотивы и	1	1
это было	1	1
в последующей	4	2
в другую	2	1
в какой-то	3	1
его на	2	1
в бытовой	1	1
является не	1	1
пределах каждой	1	1
совершенно не	2	1
сделаны из	1	1
после них	1	1
не входят	2	1
моменты и	1	1
равно как	2	2
в человеческом	1	1
значение и	3	4
формы и	3	1
характерно что	4	2
времени то	1	1
начиная с	1	1
форма в	1	2
далее в	1	2
все основные	1	2
во времени	3	3
хронотопа в	5	3
характер и	7	1
приметы времени	1	1
смысле но	2	1
очень важная	2	2
с собой	1	1
человека и	11	4
самосознание человека	3	1
в себя	1	2
на ее	1	1
более того	3	1
совершенно новое	1	1
искусстве и	3	1
и их	8	4
отсюда и	2	2
мы видим	3	2
новое и	2	3
в точках	2	2
похожа на	1	1
кн ii	1	14
вопрос о	2	1
и еще	2	1
в золотом	3	1
в которой	2	1
момент в	2	1
инверсии и	1	1
времени все	2	1
этому вопросу	1	1
здесь является	1	1
другом и	1	1
плутарх и	1	1
вопрос об	1	1
точку зрения	2	1
они как	1	1
которой он	1	2
авантюрное время	15	1
ее на	1	1
чувствует себя	2	3
что он	1	3
страны в	1	1
необходимо отметить	2	1
возвращаемся к	1	1
раблезианский хронотоп	1	1
данном случае	1	1
и тот	1	1
том числе	4	3
себе самому	4	3
одновременностей и	2	1
должен быть	1	1
пространственных и	2	1
рыцарском романе	1	5
больших и	1	1
в нем	24	5
во время	1	10
нами моменты	1	1
по сравнению	2	1
в новое	3	1
что во	1	1
в отдельных	1	1
которых мы	1	1
пространства и	4	2
и времени	3	6
во всех	6	11
пространстве и	1	4
в дальнейшем	6	5
его но	3	1
он был	1	2
тело в	1	1
идеей тождества	1	1
их к	2	1
что и	3	3
один из	3	2
уже не	2	3
и поэтому	1	1
одновременности или	1	1
целого и	1	1
отношения к	3	4
с точки	2	8
времени где	1	1
в это	2	3
здесь на	4	1
реальное время	1	1
не определяется	1	1
быть только	3	1
особенности в	1	1
к себе	4	4
ее поэтому	1	1
этим в	1	1
точном смысле	2	1
была сделана	2	1
и исторического	2	1
между прочим	1	1
что было	3	3
том же	2	4
как их	1	1
в сущности	3	2
мы также	1	1
моменты в	1	1
или иной	2	2
романного жанра	1	1
жизни но	5	2
очень важный	1	2
события получают	1	1
и здесь	1	1
более и	1	1
место во	1	1
греческого типа	3	1
здесь как	2	1
самого начала	2	1
и по	2	3
которой и	1	1
но в	10	10
война между	1	1
путь в	1	1
человека в	17	6
всякого рода	2	1
не имеет	4	1
время распадается	1	1
дурака в	1	1
где она	1	1
в отличие	2	1
сих пор	3	2
и сам	1	1
и внешние	1	1
этого ряда	3	6
пределах отдельных	2	2
но к	1	1
жизнь и	4	3
явлений и	1	2
животных и	1	1
с идеей	1	1
существенное значение	1	1
при этом	3	6
того что	2	3
в форме	3	3
том что	4	4
о которых	1	1
в широком	2	1
у него	6	9
в ней	4	1
внимание на	1	1
публично-риторическое единство	2	1
в другом	1	3
и близостью	1	1
этом ряду	1	2
в этих	3	3
автора и	2	2
и биографии	1	1
для своего	1	1
них не	1	1
и следовательно	4	1
этим рядам	1	1
и временных	2	1
и также	1	1
в котором	4	4
форм большого	1	1
они были	2	2
для него	2	3
же примыкают	1	1
далью и	1	1
подслушивания частной	2	1
образа человека	11	1
того же	8	3
он весь	2	1
ту же	2	2
литературу и	1	1
свою очередь	1	1
совсем не	2	2
значение имеет	1	2
этим определяется	1	1
был бы	3	1
этой проблемы	2	1
здесь эта	1	1
оно не	2	1
тождество в	2	1
в романе	32	13
но все	5	1
мы увидим	1	1
а также	2	3
имел в	1	1
узнание неузнание	1	1
человеческого образа	1	2
жизни она	1	2
касаемся здесь	1	1
приватное самосознание	1	1
и это	4	2
отчасти и	1	3
и оформления	1	1
сюда же	1	2
смерти и	1	4
в этот	2	3
и другие	5	3
еще более	3	4
и пересекаются	1	1
ведь это	1	1
важное значение	2	1
во все	2	2
в связи	5	8
фольклора и	1	1
существуют для	1	1
а следовательно	1	3
со всех	1	1
