2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram
же поэта	1	1
пушкинской орфографии	1	1
к этому	4	1
им самим	1	1
литературы и	1	2
и вполне	1	3
но для	1	2
как в	3	13
нет ни	1	2
жил в	1	2
эпохи как	1	3
во всяком	3	6
и не	9	16
что у	4	4
что до	1	2
до него	2	1
пушкина его	2	1
или о	1	1
всего что	1	1
к печати	2	1
и вообще	2	3
таким образом	10	7
не говоря	1	1
из истории	1	3
я должен	1	1
пушкина с	7	3
тем что	3	5
хотелось бы	1	1
же касается	1	3
уже в	1	2
это и	1	4
такое же	2	1
не только	19	18
в наши	1	1
у фонтана	1	1
он не	9	2
путем в	1	1
к борису	3	2
чтобы можно	1	1
академического издания	4	30
все эти	2	5
быть ни	1	1
чтение академического	1	1
это был	2	1
в данном	2	14
в истории	2	3
тем же	2	3
значительной степени	2	1
петра i	1	1
и потому	2	2
истории государства	2	1
случае не	2	2
с самого	3	1
хотя это	1	1
что пушкину	1	1
было в	1	1
т д	6	21
издания сочинений	2	6
не были	1	1
случае и	1	1
в себе	2	2
будто пушкин	3	1
с той	2	1
вряд ли	3	5
которой является	3	1
как на	9	1
как известно	2	1
к тому	10	1
с их	1	1
пушкина по	2	1
нет возможности	1	1
из другой	1	1
не оставляет	1	1
считает возможным	1	1
академии российской	2	4
для русской	1	1
именем пушкина	1	1
и те	2	2
была издана	1	1
из них	3	8
и для	1	3
те которые	1	1
утверждал будто	1	1
не существовало	1	1
об но	1	2
что только	1	1
в области	2	14
печатном тексте	1	1
сами по	2	1
до конца	3	1
на память	4	1
статье о	1	2
отличается от	1	1
в первом	1	2
и уже	1	2
обстоятельство что	4	3
данном отношении	1	5
против его	1	1
и эти	1	1
заключалась в	1	1
не дают	1	1
подчеркнуть что	3	2
по себе	3	1
научное изучение	1	2
не потому	2	1
не менее	3	5
еще не	1	3
ни одного	3	2
пушкина ни	1	2
целый ряд	1	2
не столько	7	1
так в	1	1
к его	1	1
нужно не	1	1
секрет что	1	1
в конце	2	3
о каком	1	1
на все	1	1
в стихотворных	1	1
пушкина можно	1	2
того времени	4	5
а в	1	17
отношении пушкин	1	1
тому что	7	3
в статье	2	7
своей трагедии	12	1
и более	2	2
только с	2	2
онегин гл	1	1
пушкинской поры	1	2
в каждом	1	3
писал по	1	1
нужно сказать	1	5
в русской	5	1
бахчисарайского фонтана	11	5
на которую	1	1
одним и	1	2
а во-вторых	1	1
на них	1	1
пушкина но	4	8
академии наук	1	2
которыми он	1	2
их и	1	1
дело в	4	6
п а	1	1
его собственной	1	2
всякая иная	1	1
в своем	9	2
за то	3	3
судить по	2	1
но с	4	3
берет под	1	1
и без	1	3
и на	6	1
вплоть до	1	5
в сторону	1	2
не имеют	1	1
не по	2	3
литературного языка	2	1
карамзина а	1	1
с которыми	1	2
место из	2	1
и кто	1	1
так или	1	2
в двух	1	3
вообще не	3	2
для в	1	2
по его	3	2
п в	1	3
истории русского	1	1
таким путем	1	1
такое отношение	1	1
по истории	1	2
для того	7	10
по адресу	2	1
издании бориса	1	2
факт что	6	1
как и	2	9
только совсем	1	1
с академическим	1	1
вторую половину	1	1
должен был	4	2
не могу	1	1
и чернышев	10	66
потому что	9	6
должна основываться	1	1
пушкина обычно	1	1
высокого слога	3	1
конечно и	2	3
что для	1	3
нуждается в	1	1
что с	2	2
д на	1	1
пушкин мог	1	1
в самом	7	7
а то	1	2
на том	1	1
по этому	2	3
же время	1	4
к плетневу	1	2
в автографе	2	2
при его	1	2
по словам	4	4
смысле что	1	1
нужно отметить	1	1
по отношению	1	3
никогда не	3	5
поэтому в	1	3
в то	2	9
этом отношении	9	7
и то	1	5
в россии	3	4
раз в	2	2
можно ли	1	4
им в	1	1
и в	29	44
в эпоху	1	2
так же	3	5
в борисе	28	2
отметить что	2	2
без всякого	1	2
так что	3	6
рукописей пушкина	1	1
них нет	1	1
не просто	1	1
а на	1	3
издание сочинений	1	3
пушкина над	4	2
из его	2	1
так как	2	5
но не	3	3
поэтического языка	2	1
что текст	1	1
к концу	1	2
будто это	1	1
такой же	1	5
в стихах	1	1
не в	4	12
в пушкинском	1	1
вообще нет	2	1
для нас	1	7
даже не	1	4
как будто	1	4
вопрос в	1	3
ни для	1	1
основываться на	1	1
годунова г	1	1
русской поэзии	1	1
по мнению	1	3
рукописи пушкина	1	1
такое место	1	1
не могут	1	1
а между	1	1
и во	1	2
по существу	2	2
оба эти	3	2
пушкина который	3	2
сомнению что	1	1
и об	1	7
и до	1	1
нового академического	2	2
на л	2	1
это были	2	1
пушкина в	18	24
те или	1	1
повод для	1	1
всю свою	1	1
в таких	1	1
несколько примеров	1	5
как это	2	4
который не	1	2
в пользу	3	2
отношении к	3	1
что этот	2	2
сам пушкин	3	2
с этим	3	3
что оба	2	1
более чем	1	2
но также	4	9
речь идет	4	4
и с	4	3
больше чем	1	2
но это	3	6
мере в	2	2
в михайловском	2	1
не секрет	1	1
в сцене	7	1
не для	1	2
в пушкине	1	1
объявил себя	1	1
е в	1	2
ссылается на	1	1
конечно не	1	2
о них	1	2
которой в	2	1
присутствует в	2	1
ю н	1	1
также и	2	9
принадлежит в	1	1
зная пушкинских	1	1
и пушкин	2	1
знакомства с	1	1
не имела	1	1
с другой	4	9
том-то и	1	1
и др	2	1
перед пушкиным	1	1
и сейчас	3	4
бы ни	2	1
но он	3	2
ему кажется	1	1
дело не	2	4
словаре академии	2	3
впрочем в	1	1
того как	7	1
было бы	5	17
в чем	1	3
не пожелал	2	1
пушкина не	6	5
что такое	2	1
и была	2	1
в москве	2	2
как бы	5	4
в процессе	2	1
пушкинских рукописей	1	2
пушкин что	1	1
говорит в	1	2
обоих случаях	1	1
годунове пушкина	2	1
очевидно что	2	1
рядом других	1	1
была принята	1	1
прежде всего	5	7
точки зрения	5	11
с дамами	1	1
должно было	3	2
а с	3	3
что именно	2	1
и чернышева	2	41
не очень	1	1
у нас	3	11
но и	19	10
к своему	2	1
vii тому	1	1
бы только	1	1
в ее	2	4
именно в	4	6
нет и	2	1
в очень	1	3
до сих	6	7
причем в	1	1
для пушкина	21	3
в зависимости	1	1
и дело	2	1
зависеть от	1	1
но именно	1	2
будто бы	1	3
мы не	1	2
том чтобы	1	1
одной из	3	1
пушкин писал	4	5
и чернышеву	1	10
пушкина а	1	3
только при	1	1
в результате	2	3
но эти	1	1
ли в	1	2
пушкина на	4	3
считаю что	1	1
на самом	3	6
критики в	1	1
похоже на	3	1
их с	1	1
далеко от	2	1
то место	1	2
не подлежит	1	1
еще отметить	1	1
против того	1	1
времени не	2	4
сочинений пушкина	5	28
государства российского	3	1
наук ссср	1	1
свободен от	2	2
годунову в	1	1
счел нужным	1	1
годунова а	2	1
во второй	1	9
противоречий в	1	1
а не	5	16
этот вопрос	2	4
северные цветы	1	1
гораздо более	1	4
говорить о	1	2
с этой	2	3
пушкиным в	14	1
печатном издании	3	1
в этом	21	21
которая была	2	2
пушкину не	1	1
на чем	1	1
и насколько	1	1
годунова в	4	2
об этом	6	3
точно так	1	1
с рукописями	1	1
иначе в	1	1
она была	1	1
том кто	1	2
где читаем	1	1
пушкинское время	2	2
этого вопроса	1	2
поэзии и	2	1
своей статьи	1	3
е не	1	1
говорит что	1	3
еще несколько	1	1
или ефремова	1	1
внимания к	1	1
и некоторые	1	1
нужно искать	1	3
г в	5	5
академическое издание	1	15
был обязан	1	2
которая должна	1	1
пушкин жил	1	2
сейчас еще	1	1
еще однако	1	1
на него	1	2
сюда относится	1	1
но разве	1	2
одна из	1	1
же как	3	3
чернышев спрашивает	1	1
из этих	1	6
совпадает с	1	2
пушкинской трагедии	10	1
находим и	1	2
рукописям и	1	1
российской т	1	2
значение для	1	1
в первую	1	2
в середине	1	1
не хотел	1	1
все это	11	5
в качестве	5	4
как например	2	1
в один	2	1
этой поэмы	3	1
едва ли	1	1
с именем	1	1
пушкин т	1	1
ссср в	1	1
иначе и	1	1
самом деле	3	11
творчества пушкина	1	5
которую он	2	1
что касается	1	3
литература о	1	1
что я	2	1
хотя и	4	1
не так	1	1
то нужно	1	1
заключается в	1	4
издатели сочинений	1	1
во многом	2	1
не трудно	1	3
они не	2	1
что оно	1	3
например в	3	8
писал и	1	1
этого рода	1	1
то не	1	2
и глубокая	1	1
то же	2	5
пушкина были	1	1
при помощи	4	2
той мере	2	1
это было	2	1
должна была	2	4
могло бы	1	2
в печати	4	5
в какой-то	1	1
тут не	1	2
пушкина к	5	3
же только	1	1
пушкина является	2	3
прямом смысле	1	1
совершенно не	2	5
этом смысле	1	1
другое дело	3	1
черным по	1	1
этом и	1	1
в какой	2	3
пушкинского времени	1	9
пушкиным не	1	2
xix века	3	1
нас не	2	1
в свете	1	1
можно считать	1	1
мне кажется	3	5
далее в	2	2
имеет право	1	1
критики и	1	1
что же	1	6
каждого из	1	2
уже без	1	1
слова с	1	1
и их	1	2
столь же	1	4
критики текста	1	1
имеет ничего	1	2
образом в	1	1
пушкина для	2	5
не оставляют	1	1
вопрос о	6	4
в которой	11	4
пушкина как	3	6
основана на	1	1
рукописи и	1	1
можно сказать	1	1
в том-то	1	1
его современников	1	1
ничего не	4	2
в словаре	2	3
что он	13	10
думать будто	1	2
у пушкина	12	8
в течение	6	1
данном случае	1	6
одном из	3	1
том числе	1	2
но они	2	1
в прямом	1	1
что они	2	7
верить что	1	1
на эту	1	4
узнал о	1	1
отношении достаточно	1	1
в нем	4	5
во время	2	3
в отдельных	1	1
что во	1	2
что пушкин	15	8
или иначе	1	2
той эпохи	1	3
он был	2	3
тексте бориса	1	5
степени является	1	1
первую очередь	1	2
по поводу	8	7
но столь	1	1
что и	2	6
с точки	2	8
в это	2	1
но только	1	1
это слово	3	4
от которого	1	1
а по	1	1
в пушкинской	2	1
что ей	1	1
котором он	1	1
по инициативе	1	1
таком виде	1	1
очень большое	2	2
между прочим	12	2
издания к	1	3
что было	2	1
который так	1	1
том же	2	1
представление о	1	4
в сущности	1	2
думаю что	1	5
хотя бы	3	6
до его	1	1
на рукописи	1	1
здесь пушкин	2	1
значении которое	1	1
оно стало	1	1
смотрел на	3	1
в настоящее	1	1
втором издании	1	1
в №	2	1
пушкина от	4	2
этого произведения	1	1
именно поэтому	1	1
лежащий в	1	1
или в	1	1
xix в	1	5
достаточно для	2	2
и по	3	5
в прозаических	2	1
рецензий на	1	1
между пушкиным	3	1
себе целью	1	3
во втором	1	4
но в	8	10
пушкина и	9	13
с полной	1	1
не имеет	2	4
взято из	1	1
пушкинских черновиков	1	1
борису годунову	3	2
своего рода	5	3
пушкин был	4	2
сих пор	5	7
показывающих что	1	1
в упоминавшейся	1	1
и сам	2	2
к изданию	2	1
но к	1	1
тем не	2	2
конце концов	1	1
долго и	1	1
это очень	2	3
это нужно	1	1
при этом	2	2
того что	5	9
в форме	1	1
том что	27	29
о которых	2	1
но что	1	1
у него	1	2
в ней	7	3
том значении	1	1
и лишь	1	1
в келье	3	1
внимание на	4	3
в другом	4	3
не зная	1	1
сожалению не	1	2
и низким	1	1
в этих	3	2
на тему	1	1
каком он	1	1
в свое	1	2
на совершенно	1	2
в печатном	4	3
в и	13	130
ни была	1	1
пушкина совершенно	1	1
перевод с	1	1
пушкина за	1	1
в котором	7	5
естественно что	1	1
для него	4	6
в момент	1	1
ли и	2	1
но я	1	4
того же	2	3
критика нового	1	1
не о	1	1
не приходится	4	1
у карамзина	4	1
на себя	3	1
материала для	3	1
если б	4	1
совсем не	1	2
по белому	1	1
в голову	1	1
читаем что	1	1
нисколько не	1	2
истории карамзина	3	1
ни на	1	2
с общим	1	1
то ни	2	1
оно не	3	1
уже при	1	1
но все	7	4
а также	2	2
самого пушкина	3	5
что это	3	4
можно было	1	13
говорит о	2	3
и это	2	2
по первому	1	1
это дело	1	2
свое время	1	2
действительно не	2	1
и другие	2	1
еще более	4	4
меньше всего	3	1
пушкина до	1	2
ведь это	1	1
которым в	1	1
отступает от	1	1
евгения онегина	1	5
который был	1	1
в диалог	1	1
стиля и	1	1
для которых	2	2
ничего общего	1	3
