2gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_2gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_2gram
смысл именно	1	1
текста на	1	1
несобственно-прямую речь	1	1
реалистической классики	1	1
прямо родился	1	1
и иных	1	2
всю свою	1	1
раз и	1	1
она сама	1	1
как слушатели-читатели	1	1
как это	4	3
любая история	1	1
чеховского события	1	1
который не	1	1
аспекты нашего	1	1
преосвященного петра	2	4
и с	1	3
но это	2	1
рассказе чехова	1	1
ментального видения	2	4
исходя из	1	3
всего лишь	6	3
в него	2	1
мы способны	1	1
приобретает в	1	1
чехова однако	1	1
событийность излагаемых	1	2
представлялось ему	1	1
когда он	1	1
свою позицию	2	1
что рассказчик	1	1
за нею	1	1
завершающее слово	1	1
о роли	1	1
же в	4	2
как освободиться	1	1
он уже	1	2
текста если	1	1
чем и	1	1
не самим	1	1
о них	2	3
уэйн бут	1	1
и самого	1	2
как будет	1	1
бы она	1	1
нарративное высказывание	1	2
также и	1	3
две жизни	2	2
и т.д	4	6
последнем мы	1	1
встречи с	2	2
и текста	1	1
это не	3	3
опирается на	1	1
это все	1	1
нарративное время	2	1
с другой	5	2
и как	1	3
финале рассказа	1	1
в равной	2	2
которая состоит	2	1
принадлежит к	1	1
до их	1	1
наррации в	1	2
роль принадлежит	1	1
дело не	1	2
далеко не	5	1
но несомненно	1	1
в чем	2	2
и ментативных	1	1
было понять	1	1
в случае	2	2
стать полноценным	1	1
как бы	6	6
приезде матери	1	1
свидетеля и	2	2
принципе невозможно	1	1
какой бы	1	1
более или	1	1
а его	1	2
внутренней личностной	1	1
рассказываемой истории	1	4
в первой	1	2
не обязательно	2	1
в последние	1	1
дело с	2	2
прежде всего	6	4
о его	1	2
точки зрения	5	5
не владеет	1	2
всей его	1	1
не мог	1	6
человеке в	1	1
первого и	1	1
а стало	1	1
можно развернуть	1	1
героя но	1	2
а с	2	1
каким он	1	2
себя больше	1	1
не предполагает	1	1
что именно	1	1
четыре центральных	1	1
событийной цепи	4	2
у нас	2	3
но и	15	27
явная [...]	1	1
на фоне	2	1
для читателя	1	1
бы желая	1	1
в ее	4	1
именно в	2	3
до сих	1	2
событие рассказывания	2	1
ситуации в	1	2
не знает	1	1
соотносится с	1	1
очевидным образом	2	1
построена так	1	1
следует признать	4	1
события смерти	1	1
в зависимости	1	2
будто бы	1	1
статус и	1	2
в организации	1	1
себе но	1	1
мы не	2	3
личности героя	2	1
коммуникативное событие	6	1
одной из	1	1
счетом ничего	1	1
персонажа и	2	2
героя с	1	1
себя в	2	2
имплицитного автора	1	1
в историю	1	1
первого эпизода	1	1
имеет место	2	4
первого лица	3	1
на протяжении	5	7
всей своей	2	1
в художественных	1	2
первой главы	1	1
героя и	2	2
от его	2	1
о приезде	1	2
речи персонажей	1	1
в результате	2	2
есть время	1	1
опыта в	3	1
ли в	1	1
роль в	2	2
на самом	2	1
современная нарратология	1	3
и наконец	1	1
зависит от	2	2
эпизодов кроется	1	1
сознании героя	1	1
напротив они	1	1
не подлежит	1	2
то они	1	2
художественных текстах	1	2
возникает вследствие	1	1
умирание героя	1	1
смысле можно	1	1
кем-нибудь своими	1	1
быть в	1	1
может состоять	1	1
повествовательной коммуникации	1	1
в целом	3	3
сам себя	1	1
рассказанной истории	2	1
каменных плит	1	1
по большей	3	3
что не	1	2
и опять	2	1
в строгом	2	1
от третьего	1	1
опыта присутствия	2	1
во второй	2	1
ряде случаев	1	1
а не	17	13
от первого	3	1
все что	4	2
с одной	5	1
в этом	13	12
художественного целого	1	1
знаменательно что	1	1
нарративного текста	2	4
фраза построена	1	1
но порой	1	1
повествуемом мире	1	1
со своей	2	1
сами участвуем	1	1
с анной	1	5
личную тайну	1	1
об этом	4	6
точно так	2	1
быть и	1	2
жизни то	1	1
одного сознания	1	1
не роман	1	1
xix столетия	2	2
одним из	1	1
его жизни	2	3
самом первом	2	1
что мы	1	2
в некотором	1	1
нарративной структуры	1	3
героя когда	1	1
или даже	3	1
людей и	1	1
а во	2	4
из многочисленных	1	1
том как	2	1
жизни одна	1	1
не встречается	1	1
как нарративная	1	1
является носителем	1	1
казалось что	2	1
отмежевывается от	1	1
перформативных и	1	1
в нарративном	2	1
со словами	1	2
епархиального архиерея	1	1
жизни не	1	1
нем не	1	1
событийного опыта	7	8
поистине не	1	1
одиннадцать душ	1	1
мы узнаем	2	1
одного персонажа	1	1
одна из	3	4
еще одна	1	1
и внутреннего	2	2
же как	2	1
в финале	1	3
в обращении	1	1
которые могут	1	1
действующих лиц	3	5
из этих	2	4
плачут и	1	1
все это	1	1
особенность нарративного	2	1
состоит в	12	10
слова выше	1	1
в качестве	14	14
его авторской	1	1
углубиться в	1	1
системы персонажей	1	1
жизненной позиции	1	1
едва ли	3	3
в сознании	2	4
как именно	1	1
ведет к	2	1
и смерть	1	1
самом деле	3	3
краткий эпизод	1	1
анна сергеевна	1	4
в формах	1	1
мы будем	1	1
повествовательные кадры	1	1
по своей	3	1
это была	1	2
и когда	3	1
петра а	1	1
их в	1	3
что касается	1	2
речь самого	1	2
в воспринимающем	1	3
что я	3	1
с нами	1	1
о нем	3	3
хотя и	5	4
папа и	1	1
жизни а	1	3
с ее	1	2
нарративного высказывания	3	3
и концом	2	1
нее тревожно	1	1
только на	2	2
они не	2	1
классического реализма	2	2
например в	1	1
и племянницы	1	3
приказал долго	1	1
дословная передача	1	1
к столь	1	1
то же	4	8
событие здесь	1	1
когда в	1	3
весеннее солнышко	1	1
повествователя и	1	4
что создает	1	1
свидетельствует об	1	1
рассказа от	1	1
это было	1	2
могло бы	2	3
героя в	6	3
другой день	1	3
не будет	2	2
дух повествования	1	2
ненадежного нарратора	1	2
говоря и	1	1
ли признать	1	1
этом и	1	4
чеховский рассказчик	1	1
нарративных структур	1	4
в центре	2	3
собой своего	2	1
в речи	1	4
повествования в	3	3
смерть героя	2	1
глядела на	2	1
текста так	1	1
о своей	1	2
билось сердце	1	1
прозе чехова	1	2
дядю преосвященного	1	1
оно интерсубъективно	1	1
или не	1	4
с собой	1	1
каждого из	1	1
рассказа в	1	5
другого сознания	2	2
только что	2	2
к страстям	1	1
кругозор нарратора	2	1
коммуникативного события	8	1
рассказа не	1	1
столь же	2	5
повествуемое событие	2	2
новое и	1	1
из персонажей	1	1
структуре текста	1	1
родился монахом	1	1
если она	1	2
рассказывания в	4	2
присутствия в	2	3
данного персонажа	1	1
утверждает что	1	1
двух или	2	2
излагаемой истории	4	1
в которой	1	1
не всегда	1	3
к нему	1	4
солнцем и	1	1
произведения как	1	1
но при	4	3
можно сказать	6	5
текста о	1	1
точку зрения	3	1
ничего не	6	2
которой он	3	1
случае с	1	1
человеческих отношений	1	1
что он	5	3
протекавшая тайно	1	1
рикёр называет	2	1
данном случае	6	8
нарратор это	1	1
событийности той	1	1
но они	1	3
чем матерью	1	1
однако для	1	1
выговорить ни	1	1
по определению	2	1
к фигуре	1	1
другая протекавшая	1	1
чувствует и	1	1
к жизни	1	2
скучной истории	1	1
во время	2	1
в нем	5	4
истории в	4	4
во всех	1	1
которое может	1	1
нового времени	2	1
не говорит	1	3
свободен теперь	1	3
по поводу	2	1
между началом	1	1
в современной	2	3
в театре	1	2
широкое небо	1	1
не сливаются	1	1
что и	2	1
один из	3	6
в действительности	1	1
шире и	1	1
уже не	4	8
к эпизоду	2	1
ясно что	1	1
история по	1	1
с точки	2	1
не утрачивая	1	1
при всей	4	3
чеховского творчества	2	1
событийности в	2	3
в силу	4	1
чехова иначе	1	1
к себе	7	4
того о	1	1
чеховский рассказ	1	1
а для	1	3
человек и	1	1
человеческого бытия	1	1
ровным счетом	1	1
свою жизнь	1	1
внутренний мир	1	1
нарративное пространство	1	1
я в	5	2
проникновения в	1	1
что было	1	1
рассказывания о	1	1
будто он	1	1
хотя бы	2	2
сомневаться в	1	1
или иной	3	4
хранения и	1	1
новейшей литературе	1	1
жизни но	1	2
матери с	1	2
дискурсов в	1	1
нарративные структуры	1	1
данном рассказе	2	2
нас нет	2	1
и здесь	2	1
в е	1	2
дьяконицей чем	1	1
в итоге	3	1
в церкви	2	1
или в	1	6
и по	3	1
от первой	1	1
но в	6	7
[...] то	1	1
для нее	1	1
ее фокализацией	1	1
надежда на	1	1
простой и	1	1
не имеет	2	2
мир и	1	1
за границей	2	1
как по	3	1
но зато	2	2
в отличие	5	2
своего рода	9	10
сих пор	1	2
и сам	3	1
смысловом отношении	1	1
специфически человеческий	1	1
установки и	1	1
и составляет	1	2
тем не	5	3
какая-то куцая	1	1
а именно	1	1
при этом	14	19
того что	6	4
в форме	5	2
том что	13	7
но уже	1	1
от нарративной	1	1
бескрылая жизнь	1	2
у нее	4	4
у него	6	7
и конца	1	4
в ней	2	4
и лишь	1	1
преосвященного как	1	1
но достаточно	1	1
в ряде	1	1
внимание на	3	4
частности в	1	1
что иное	1	1
томило сильное	1	1
последних дней	1	1
однако и	1	4
персонажа или	1	2
в нарратологии	1	3
это он	1	1
е годы	1	1
автора и	1	1
в гостиной	1	1
о котором	3	1
все об	1	1
в этих	1	2
преображения героя	1	2
нарративную интригу	2	1
в котором	5	1
в рамках	6	1
для него	4	4
позднего чехова	2	1
есть на	1	1
уже говорилось	4	1
того же	1	1
говорилось выше	3	1
из наиболее	2	4
не о	1	2
на себя	1	4
нарративных текстах	1	1
к ней	3	1
и судии	2	2
глядя на	1	2
кадры ментального	1	4
в ответ	3	1
это означает	1	1
входит в	1	2
для множества	1	1
в нарративной	1	2
быть рассказано	1	1
к ее	1	2
целой жизни	1	1
это сделать	1	1
в слове	3	3
оно не	2	2
адресата не	2	1
повествуемым миром	1	1
в романе	1	2
достаточно определенное	1	1
а также	6	6
перехода от	1	1
что это	4	1
легкой руки	1	1
говорит о	2	1
этой инстанции	1	1
теперь и	1	1
утрачивает свою	1	1
неклассической художественности	1	1
витторио страда	1	1
от ее	1	1
еще более	1	1
может служить	2	3
не с	1	1
в связи	1	2
соответствии с	3	4
уходом из	1	1
в тексте	8	13
это их	1	1
картины мира	2	3
