2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_2gram
приходит к	2	1
жизненная позиция	2	1
давно уже	2	1
зрелого чеховского	3	2
наблюдения и	1	1
и состоит	3	1
сострадание к	1	1
вихрем носилась	1	1
вовсе не	2	1
персонажей произведения	1	1
она не	5	4
вызывает сомнений	1	1
героя не	3	1
к двум	1	1
человеческого я	4	4
сверхличной заданностью	1	1
можно назвать	1	1
момент когда	1	2
человека а	1	1
чехова в	2	3
природе чеховского	1	1
ответить на	1	1
этого мотива	1	1
[...] не	2	5
я не	7	1
на смену	1	1
из толпы	1	2
магнитном поле	1	1
наше внимание	1	2
героев в	1	2
вторая половина	1	1
за собой	1	1
из этого	1	1
художественной концепции	5	1
чехова по	1	3
здесь не	2	2
о себе	3	1
путь к	1	1
быть личностью	2	1
бы в	1	1
числу тех	1	1
вслед за	4	1
слезами и	1	1
мать и	1	1
эти два	1	1
его рассуждений	1	1
счастья и	1	2
к внешнему	1	1
несет в	1	3
и ему	3	2
жизнью и	1	2
у толстого	1	1
она в	2	3
на пороге	2	1
достоевского и	1	1
ладу с	1	1
ему не	1	2
со стороны	3	3
с мезонином	1	2
определении эстетической	1	1
людей не	1	1
как он	3	2
одно из	5	1
или иная	1	3
в глазах	6	6
в таком	1	3
больше не	1	2
нас к	1	1
в частности	7	5
перед ним	1	1
[...] а	2	1
нет ничего	2	2
личной тайне	4	2
чехова мы	1	1
было ни	1	1
не принимает	1	1
ни одна	1	1
в каждой	1	1
т п	2	8
мертвый вид	1	2
в следующем	1	2
всякий раз	3	1
не во	2	1
ответ на	2	1
и даже	1	3
не было	6	4
но ведь	1	1
сердце у	1	1
еще раз	1	2
и тем	1	1
установкой на	1	2
того чтобы	4	3
в герое	1	1
из рассказа	1	3
в своих	1	3
только в	4	5
его героев	1	2
эстетической доминанты	1	2
автор и	1	1
с ними	3	2
так сказать	1	2
в этой	5	8
или иного	2	2
с того	2	2
сразу же	1	1
т е	2	4
отношению к	7	8
он видел	1	1
и никогда	1	1
были две	1	1
в чеховском	6	3
то и	4	3
в роли	2	1
вся жизнь	1	2
том случае	1	1
вещь личность	1	1
характер здесь	1	1
рассказа как	1	1
точно это	1	1
и эта	2	1
но для	1	1
двойной жизни	1	1
суть проблемной	1	1
как в	5	8
жизнь которая	1	1
не случайно	10	7
спит в	1	1
же о	1	1
что у	3	3
л н	1	5
и не	18	2
равнодушии к	1	1
мы уже	3	4
в пределе	1	1
характер героя	1	1
наш взгляд	4	2
произведение не	1	1
жизни в	7	6
вместе со	2	1
серьезность и	1	1
чеховского драматизма	3	1
гуров и	2	1
тем что	6	3
нервная сознательная	1	1
двух личностей	1	3
словно бы	1	1
уже в	1	1
и уж	1	1
герой рассказа	1	2
высшими целями	1	1
в жизни	8	1
это и	1	1
она жила	1	1
не только	11	12
развитие сюжета	1	1
о пустяках	1	1
однако здесь	1	1
он не	4	4
и читателя	3	4
с утра	1	1
в футляре	4	1
в человеке	3	2
но у	1	1
гуров например	1	1
все эти	1	3
наконец в	1	1
центральный персонаж	1	1
когда выходила	1	1
для всего	1	2
это был	2	1
особенно в	1	2
в данном	2	1
как уже	2	1
в пределах	1	3
значительной степени	1	2
к своим	1	1
оказывается не	1	1
рядом с	5	1
он вовсе	1	1
и потому	1	2
тенденция к	1	1
содержит в	1	1
о герое	1	1
со своим	3	2
такою же	1	1
с самого	1	1
поэтому не	1	1
т д	2	3
о двух	2	2
нам о	1	1
не видит	1	1
что бы	1	1
в себе	9	11
в ионыче	1	1
где как	1	1
на примере	1	1
на вас	1	1
в рассказе	21	11
и он	3	5
личности ее	1	2
глазах чехова	3	1
где в	1	1
сна в	1	3
была такою	1	2
человеческое я	1	1
жизнь есть	2	1
к тому	7	7
этого аспекта	1	1
личности в	3	7
нельзя было	2	1
к рассказу	1	1
на себе	1	2
нашей жизни	1	2
анекдота и	1	11
в восприятии	1	1
как у	2	1
своим персонажам	1	1
таким же	1	1
субъектов жизни	1	1
обнаруживает себя	1	1
она как	1	1
перед нами	11	5
в поле	1	1
одной стороны	3	1
бы не	3	1
анны сергеевны	1	13
внутренней жизни	4	2
как нам	1	2
в ладу	1	1
из них	2	4
остановимся подробнее	1	1
него сжалось	1	1
и для	2	3
мысли в	1	1
не более	2	1
до вечера	2	1
установка на	1	1
чехова можно	1	2
сам он	2	1
слушая его	1	1
не вызывает	1	1
рассказа о	1	3
ему даром	2	1
до конца	1	2
в настоящем	1	1
согласиться с	1	2
гурова и	2	1
художественного мира	1	2
в первом	2	1
и уже	4	1
и безличный	1	1
из путей	1	1
по себе	1	2
включить мысли	1	1
между личной	1	1
не менее	5	5
еще не	3	7
он сам	2	1
с ним	7	4
не столько	2	2
сознания в	1	1
лицо и	2	1
же самое	3	1
не могла	5	1
в конце	1	4
к той	2	1
личность внутренняя	1	1
этом свете	1	1
в ситуации	1	1
все еще	1	2
а в	6	7
кругозора героя	1	2
о музыкальности	1	1
тому что	4	4
в общении	1	1
какая же	1	1
церкви и	1	1
и н	1	4
в приданое	2	1
учителе словесности	1	1
и более	1	1
речи повествователя	1	1
всего в	1	1
гурова о	1	3
и внешней	2	1
по ходу	1	1
на них	1	1
не ощущается	1	1
своей жизни	4	2
дело в	1	1
по преимуществу	3	3
него и	1	1
в своем	5	4
противоположны по	1	1
его художественности	1	1
та или	1	3
но с	1	2
своего счастья	1	1
и на	3	3
в ходе	1	3
к области	1	1
в сторону	1	1
от друга	1	1
притча о	1	3
в прозе	1	1
жизни о	1	1
дамы с	2	4
на святках	1	4
почти ничего	1	1
наших глазах	1	1
так или	1	2
в двух	2	1
анекдоте или	1	1
на земле	1	1
по его	3	1
по ее	1	1
жизни с	2	1
первом случае	1	1
как и	11	9
но еще	2	2
потому что	2	5
в аспекте	1	5
ему в	2	1
у которого	2	1
с такой	2	1
он себе	1	1
этого персонажа	1	1
обращение к	1	1
в самом	5	4
человеком и	1	1
на том	1	2
не сводимой	2	1
же время	4	8
видит в	2	3
анну сергеевну	2	3
чехова и	1	1
инобытие личности	1	1
в то	6	8
и то	2	1
тогда как	7	7
по отношению	7	8
никогда не	5	6
раз в	3	2
м е	1	1
этом отношении	1	3
это внутренняя	1	1
и в	28	14
тишины и	1	1
или притче	1	1
тот и	1	1
в мире	7	3
так что	1	2
вопреки своей	1	1
произведения не	2	2
главах рассказа	1	1
новая нервная	1	1
своим характером	1	1
смерти каждого	1	2
лишь то	1	1
к эстетической	1	1
самоактуализация личности	1	2
личности чеховского	1	1
нам представляется	2	1
на наших	1	1
и только	2	1
но не	4	3
мотив сна	1	1
жизни так	2	2
не умеет	1	2
в т	2	3
к концу	1	1
из текста	1	2
и всегда	1	1
и говорит	1	1
и смерти	1	3
не в	13	7
читателя в	1	6
а другие	1	1
как будто	4	4
для нас	3	1
иная эстетическая	1	2
не означает	1	2
и стала	1	1
в полном	1	1
по мнению	1	5
писателя но	1	1
если можно	2	2
сводится к	6	1
случайно в	2	2
дело здесь	1	2
чеховского персонажа	1	2
выступает в	1	1
на этом	2	3
не была	1	2
а между	4	1
думал он	1	1
каким был	1	1
с какой	2	1
или человек	1	1
представить себе	1	1
человек в	3	2
и об	2	2
героя как	1	1
на нее	1	1
рассказе не	1	1
это были	1	1
в конечном	4	2
как она	1	2
дважды в	1	1
личности то	1	1
о своем	4	1
раз и	1	1
с мотивом	2	1
как это	7	1
напряжения между	1	1
который не	1	1
такое волнение	1	1
лишь в	2	3
однако художественным	1	1
их как	1	1
тех же	1	1
писал а	1	1
в темной	1	1
духовного самоопределения	2	3
а гурвичем	1	1
и с	6	4
я и	6	2
и казалось	3	1
глазах автора	1	3
жизнь каждого	1	1
но это	1	1
установки на	1	1
признать что	1	1
характер это	1	1
всего лишь	3	4
и личность	1	2
в противоречие	1	1
это в	1	3
своей внешней	3	1
когда он	1	1
тем в	1	1
его я	1	2
от этого	1	1
за нею	1	2
знаем что	1	1
же в	1	3
в ряду	2	1
он уже	2	4
ее и	1	1
близости с	1	1
стратегии художественного	1	1
о них	3	1
присутствует в	1	1
согласно которому	1	1
в анекдоте	1	4
также и	1	1
и т.д	2	1
подобно гурову	2	1
бытия на	2	1
это не	6	7
о трагизме	1	1
этот момент	1	2
именно на	2	1
ялтинских главах	1	1
деле не	3	1
с другой	3	1
в художественном	4	2
он все	1	1
финале рассказа	2	3
принадлежит к	1	1
художественном мире	1	1
роль принадлежит	1	1
другого человека	1	1
но он	1	3
рассказа начинается	1	1
различия между	2	1
так как	1	1
было бы	3	6
было понять	1	1
все последующее	1	1
как бы	5	7
притчевый символ	1	1
в москве	1	1
этого человека	1	1
в финальной	1	1
героя становится	1	1
а его	1	2
я героя	1	1
[...] с	2	2
в разряд	1	1
ценность в	1	1
казалось бы	6	7
он будет	2	1
прежде всего	3	11
точки зрения	2	5
чеховском рассказе	1	1
себе и	1	2
чеховского героя	3	2
не мог	1	1
а с	3	2
и личной	1	1
его личности	1	2
человека есть	1	1
видно что	1	2
ее осуществления	1	1
только бы	1	1
на это	1	1
но и	9	5
на фоне	3	2
художественности в	2	2
для читателя	1	1
утра до	1	1
и героя	1	1
именно в	2	7
эти слова	1	2
нет и	1	1
в ее	18	3
до сих	2	2
не знает	1	2
остановимся на	1	2
жить в	3	1
в творчестве	1	3
на человека	1	1
преимуществу к	1	1
узнаем о	1	1
художественного мышления	2	6
и дело	1	2
но именно	2	1
большинства чеховских	1	1
все та	1	1
будто бы	3	3
мы не	1	2
том чтобы	1	1
личности однако	1	1
одной из	3	2
в смерти	2	1
не слышит	1	2
себя в	8	4
человек с	1	1
чехова это	2	1
всей своей	1	1
концепцию личности	1	2
мы знакомимся	1	1
героя и	3	5
только для	2	2
же из	1	1
учитель словесности	4	1
и другого	1	1
жизни как	5	2
роль в	2	1
литературного творчества	1	2
уединенного сознания	1	4
в учителе	1	1
для чехова	4	4
его установкой	1	1
чеховской картины	1	1
для других	3	2
что не	2	2
во второй	2	5
в чужой	2	1
однако если	1	1
а не	14	12
другой личности	1	1
смерти чиновника	1	1
сводимой к	2	1
с этой	1	2
говорить о	2	3
узнаем что	1	1
и страхом	1	1
в этом	13	11
по чехову	2	1
художественности того	1	1
с одной	3	1
художественного целого	5	4
превращается в	4	3
социальный характер	2	1
тотчас же	1	1
очерченный характер	1	1
со своей	2	1
с анной	2	2
об этом	7	5
с внешней	2	2
к личности	1	1
жизни то	2	1
и проистекает	1	1
xix столетия	1	1
у себя	1	2
покоем и	1	1
глазах других	1	1
его жизни	5	2
и внутренне	2	1
строя художественности	4	2
и ее	3	1
или даже	1	1
а во	1	1
том как	2	3
смысла жизни	1	1
ходила по	1	1
а за	2	1
жизни на	2	2
для себя	6	3
теперь когда	1	1
казалось что	7	1
на него	3	2
этого не	1	1
жизни не	2	1
чеховского рассказа	9	9
[...] точно	1	1
пошлый анекдот	1	1
мы узнаем	1	4
еще одна	2	1
одна из	2	2
же как	2	2
в финале	2	3
в свои	1	1
действующих лиц	1	2
из этих	2	1
в общем	1	1
поскольку в	1	1
это своего	1	1
все это	3	2
своего я	3	3
взгляде на	1	1
состоит в	7	2
в качестве	4	9
как например	1	1
проникнуть в	1	2
жизненной позиции	1	1
я сам	1	1
едва ли	3	3
на свои	1	1
ослабевает и	1	1
высшей степени	1	1
анна сергеевна	2	17
чеховского человека	1	2
самом деле	3	5
их в	1	1
и когда	1	3
коренится в	1	1
по своей	1	4
классической традиции	1	1
он и	1	1
мысли и	2	1
если в	2	2
за этими	2	2
что я	2	2
о нем	2	3
хотя и	1	2
по ночам	1	1
душу и	1	1
от пыли	2	1
с ее	5	2
к социальной	1	1
но чрезвычайно	1	1
так о	1	1
не случайна	1	1
и другое	1	2
тот момент	1	2
нее тревожно	1	1
только на	5	2
представляется в	2	1
гуровым в	1	1
чужому я	1	1
например в	1	2
то же	6	9
и героем	1	1
внешней социальности	1	1
субъекта самоопределения	1	2
человеку в	1	1
когда в	3	1
жизненное положение	1	1
личность в	3	1
из чеховского	1	1
чужой жизни	5	2
могло бы	1	1
героя в	1	2
т с	2	4
случае если	1	1
немалой степени	1	1
человека не	1	2
противоречие в	1	1
у героини	1	1
драматизма в	1	1
меня самого	1	1
внешней разобщенности	1	1
собственного я	1	1
характерно что	3	1
о личности	1	1
это так	1	2
в речи	1	2
не нужно	1	2
к анне	1	5
во времени	1	1
о своей	1	2
билось сердце	1	1
отдельного человека	3	1
прозе чехова	1	1
и заканчивается	1	1
две перелетные	1	1
проблемной ситуации	1	1
в притчу	1	1
как два	1	1
характер и	2	2
мире чехова	1	1
человека и	3	1
что же	2	2
рассказа в	4	6
разумеется не	1	1
в себя	1	2
теперь он	1	1
каждого из	1	2
героя от	1	2
его сознания	1	1
и стал	1	1
и остается	1	1
гурова в	2	2
авторской иронии	3	1
не сразу	1	1
до уровня	1	1
целостного духовного	1	2
столь же	3	4
представляется нам	2	2
каждого отдельного	1	2
стихии анекдота	1	1
но мы	1	1
целостности произведения	1	2
характера в	1	3
в которой	1	1
первой половины	2	2
личности и	2	2
личности не	2	1
темной комнате	1	1
этими словами	2	1
в эстетической	1	1
которой он	1	1
но при	3	1
мужа анны	1	1
чисто внешней	1	1
по своим	1	1
ничего не	5	8
другом и	1	1
можно сказать	6	4
личности которая	1	1
половина рассказа	1	1
ее на	2	1
человеческих отношений	2	5
что он	8	9
ему хотелось	1	1
эстетической целостности	1	1
каждого человека	1	2
во внешней	3	1
данном случае	2	1
никитина в	1	1
других и	1	1
которого она	1	1
когда же	2	1
себе самому	1	3
себя с	2	1
что они	4	1
и тот	1	1
однако для	1	1
личности представляется	1	1
к этой	1	3
к жизни	1	5
в нем	3	3
второй главе	1	2
его художественной	1	1
случай по	1	1
в серьезных	1	1
или иначе	1	2
не человека	1	1
во всех	1	1
в дальнейшем	1	1
его но	1	1
в театре	1	3
жизни еще	1	1
в ореанде	1	1
один из	2	4
личность чеховского	2	1
в действительности	1	4
уже не	10	7
действующего лица	1	1
с точки	2	3
героя нельзя	1	1
в это	3	2
при всей	1	2
чеховского творчества	2	4
века в	1	1
же и	2	1
быть только	1	1
в силу	1	1
к себе	3	5
что ей	2	1
человеческого бытия	2	3
свою жизнь	1	1
он в	1	1
сострадания и	1	1
я в	1	1
в сущности	1	1
героини в	2	1
историческая поэтика	1	1
духовное содержание	1	1
хотя бы	2	1
безопорной души	2	1
п чудаков	1	2
внутренней социальности	1	2
знакомимся с	1	1
в ком	1	1
с женой	2	1
в такое	1	1
духовной жизни	1	1
похожая на	1	1
xix в	1	4
тогда в	2	1
самого начала	1	1
его рассказов	1	2
которым можно	1	1
связи что	1	1
во втором	2	1
но в	2	5
человека в	4	6
для нее	4	2
нашему убеждению	1	1
в контексте	2	1
и личным	2	1
в xix	1	1
серьезных рассказах	1	1
своего рода	16	7
досталось ему	1	1
все что	3	1
сих пор	2	2
потом когда	1	1
он от	1	1
нам видится	1	1
жизнь и	1	1
тем не	4	4
этой связи	2	4
лицо у	1	1
когда тот	1	1
переводит его	1	1
и мне	2	1
при этом	11	12
[...] но	1	1
внутренняя заданность	3	1
того что	1	4
его же	1	1
том что	19	16
у нее	10	2
эстетическая природа	1	1
такая же	1	1
у него	5	9
в ней	3	4
внимание на	3	2
на свете	1	1
и она	1	1
личности для	1	1
в другом	2	2
внутреннего я	2	2
однако и	2	3
эстетической природы	1	2
в этих	3	5
я теперь	1	1
н толстой	1	1
автора и	2	2
и а	2	5
отношения между	1	1
чем же	1	1
делах и	1	1
носилась пыль	1	1
анекдот о	1	1
к такого	1	1
долгое время	1	1
модус художественности	1	1
для него	5	10
притчу о	1	2
только о	1	1
уже говорилось	1	2
половины рассказа	2	2
не о	1	2
как к	1	3
этом он	1	1
вступает в	1	1
сознательная жизнь	1	1
же это	1	1
в голову	2	1
трудно не	2	1
глядя на	1	2
по выражению	1	2
в ответ	3	2
было ясно	1	1
субъекта в	1	1
ни на	1	1
в ужасе	1	1
из жизни	1	1
в слове	1	1
дом с	1	1
то ни	1	1
и сменяется	1	1
но все	1	1
а также	2	3
жизни его	1	1
можно было	3	5
что после	1	1
говорит о	4	1
и это	3	4
свое время	1	1
же не	2	1
для осмысления	1	1
жизнь в	2	1
в тот	1	2
в символ	1	1
чеховской художественности	6	6
и другие	5	1
когда его	1	1
в тексте	5	3
соответствии с	3	1
бытия с	1	1
к чужому	3	1
картины мира	1	4
