2gram	Ircho_Komedia_partition_part1_wordlist_2gram	Ircho_Komedia_partition_part3_wordlist_2gram
молодой человек	8	1
на вопрос	2	1
отказаться от	2	1
в руки	2	1
на то	3	3
вспомнить что	1	1
свидетельствуют о	1	1
да и	1	3
в греческой	1	1
уже о	1	2
можно сделать	1	3
можем судить	1	2
в комедиях	2	9
незадолго до	1	1
по-русски в	1	1
vi вв	1	1
перемены в	1	1
как мы	2	4
это ясно	1	1
противоречие между	1	1
относится к	1	2
известно что	1	4
может быть	6	9
в прологе	1	4
и его	6	8
менандром и	2	1
то в	1	1
же комедии	1	2
так мы	1	1
х годов	2	3
почти за	1	1
в отношении	4	6
этот раз	2	1
вовсе не	4	2
себя внимание	1	1
самым ярким	1	1
хоть и	2	2
от до	1	2
его от	2	1
об их	1	1
в тех	1	3
последних лет	1	1
ли не	2	4
с тем	4	1
появление на	1	1
с презрением	1	1
сам не	1	1
который в	3	2
ни было	2	2
вторая половина	1	1
в до	1	2
за свое	1	1
мы встречаем	1	5
только один	2	2
какой-нибудь из	1	1
не выражал	1	1
сопоставление с	1	1
даже если	2	2
из других	1	2
путь к	1	2
ли он	1	1
самое касается	2	1
сцены из	1	1
бы в	4	1
вслед за	1	2
сцена с	2	1
к которой	1	1
папирусных фрагментов	1	1
всем том	2	1
для комедии	1	2
говоря уже	1	2
отличие от	2	2
на которых	1	1
тот же	2	3
на которые	3	2
был изображен	1	2
и других	1	7
для них	1	2
ему не	3	1
со стороны	11	2
то чтобы	1	1
как он	3	1
тем как	1	2
iv и	2	1
в таком	2	1
больше не	1	1
в частности	3	3
из комедии	2	6
от их	1	1
в следующем	1	2
т п	4	5
расцвета к	1	1
ответ на	1	1
и даже	3	5
он еще	1	1
комедии из	1	1
чтобы не	1	1
и тем	1	2
того чтобы	6	1
а попутно	1	1
то это	5	1
в своих	2	2
только в	1	3
его отца	2	1
первые десятилетия	1	1
больше всего	1	1
в этой	3	7
другой стороны	2	5
жанра который	1	1
к первой	1	1
отношению к	3	3
сразу же	4	1
т е	16	13
после этого	2	1
фр и	1	8
менандра по	1	1
малейшего намека	1	1
идет о	3	3
которые он	1	2
всяком случае	3	2
чтобы понять	1	1
и поскольку	1	1
к этому	6	4
видеть в	1	2
из чего	1	1
и эта	1	1
п т	1	1
и v	1	1
как в	2	5
слишком много	1	1
не случайно	1	1
во всяком	3	2
и не	21	8
что у	1	2
две причины	1	1
таким образом	12	8
по своему	3	3
не говоря	1	2
его современники	1	1
марафоне и	1	1
е из	1	1
тем что	5	4
уже в	2	5
добавим к	1	1
и после	2	1
пока же	1	1
плутарха и	1	1
такое же	2	1
в изображении	2	1
не только	5	10
судя по	3	2
он не	5	3
в основном	1	1
на кого	1	2
комедии менандра	7	1
их характера	1	1
там же	1	3
знаем их	1	1
в самых	1	1
по содержанию	1	3
что из	1	1
папирус обрывается	1	1
особенно в	1	1
в истории	1	5
тем же	3	1
собрании и	1	2
к своим	1	1
и потому	1	1
и саламине	1	1
с самого	4	1
со своим	1	5
в их	2	4
перед собой	1	1
в современном	1	1
т д	1	4
аналогии с	2	2
раз эта	1	1
это обстоятельство	3	1
в себе	4	2
и он	2	1
на его	2	5
как на	1	1
в судьбе	1	1
к тому	6	6
же ничего	1	1
но едва	1	1
на себе	1	1
сказать и	1	1
перед нами	1	1
начала iv	1	1
обстоит дело	2	1
одной стороны	3	3
бы не	2	1
в соответствии	1	1
само собой	4	1
оказывается на	1	1
и те	1	1
из них	5	10
и для	4	1
это только	1	1
этому времени	1	1
отрывки из	2	1
в области	2	2
до конца	4	2
с участием	2	3
при марафоне	1	1
до начала	2	2
в душе	1	1
отрицать что	1	1
любовь к	3	1
не менее	5	3
еще не	6	2
ни одного	1	1
со временем	3	1
затем в	1	2
целый ряд	2	1
с ним	5	1
наряду со	1	1
видно только	1	1
к его	1	1
же самое	3	2
не могла	3	1
в конце	7	6
в афинах	6	21
среди которых	3	1
а в	7	6
к новым	1	1
и этим	3	1
тому что	2	1
комедии от	1	2
всего в	1	3
представляет собой	3	1
в каждом	1	1
после поражения	1	1
лет спустя	1	1
одному и	1	1
из сторон	1	1
наш поэт	1	2
или двух	1	1
течение всей	1	1
в своем	8	1
одного из	3	6
и без	2	2
с половиной	1	1
и на	2	3
из которой	2	1
вплоть до	2	1
в уже	2	2
когда бы	1	2
теми же	1	1
бы на	1	1
на сцене	1	3
iii в	6	1
не по	7	1
трагедий еврипида	1	1
от друга	1	1
скорее наоборот	1	1
которые в	1	1
ли это	1	2
начале v	1	1
не являются	1	1
дает основание	1	1
в разной	1	1
в двух	3	1
так или	2	1
с менандром	1	1
стало быть	1	1
с двумя	1	1
для того	6	1
по ее	2	1
по адресу	1	14
как и	3	9
собой в	1	1
тому как	1	1
должен был	4	1
потому что	10	5
комедии и	3	3
нуждается в	2	1
друг друга	4	1
вывод что	2	2
ему в	1	1
в самом	9	2
а то	1	2
при всем	2	2
же время	5	4
в то	6	10
что к	4	2
в н	1	1
по отношению	5	3
встречаем в	1	1
чего следует	1	1
раз в	2	2
этом отношении	2	3
не пользовались	1	1
сл в	2	2
и в	22	22
так же	4	3
в мире	2	1
так что	6	1
с еврипидом	2	1
с огромной	1	1
так как	11	4
из его	2	4
и только	1	1
но не	1	2
в т	3	1
одновременно с	1	1
к концу	2	1
хотя в	1	1
чем когда	1	2
такой же	1	2
афинских комедиографов	1	1
в стороне	1	1
не в	4	6
же ты	1	1
даже не	3	2
как надо	1	1
или к	1	1
тем он	1	1
по мнению	2	1
было только	1	2
а сам	2	2
из фрагментов	1	1
на этом	1	2
не могут	2	1
и во	2	2
в которых	5	1
по существу	2	1
по имени	3	3
чаще всего	1	3
каким был	1	1
на орхестре	1	1
впрочем не	1	1
к зрителям	3	1
для характеристики	1	2
следует что	3	1
афинах в	2	2
перед зрителями	2	1
как это	5	3
в пользу	1	1
отношении к	1	1
с этим	3	1
перед лицом	2	3
iv в	5	5
речь идет	5	3
и с	4	3
больше чем	2	1
всего лишь	2	1
и два	1	1
все остальные	2	3
быть с	1	1
это в	2	1
друг другу	1	1
когда он	4	1
на мой	1	1
так называемых	1	1
и хотя	2	2
е в	2	2
для этого	1	2
нет в	1	1
этой же	1	2
к началу	3	1
и тому	1	1
отрывок из	2	1
с другой	4	5
и как	1	3
принадлежит к	1	2
но он	1	2
именно к	1	1
эти две	1	1
далеко не	3	1
которым он	2	1
того как	1	3
было бы	3	2
в чем	1	3
здесь и	2	2
как бы	3	1
этого человека	1	1
на правах	1	1
из всех	2	2
более или	1	1
обоих случаях	1	1
вызвать у	1	1
даже самых	1	2
в первой	1	2
очевидно что	1	1
в глаза	3	1
дело с	3	1
прежде всего	5	5
о его	2	1
указывает на	1	2
точки зрения	4	4
не мог	2	3
первого и	1	1
в ст	2	1
а с	1	1
г здесь	1	1
до н	1	2
видно что	2	1
на это	3	1
но и	4	11
к своему	2	1
эти слова	1	1
до сих	9	2
высшей точки	1	1
не знает	3	1
в зависимости	1	1
в большинстве	1	1
около г	3	2
мы не	2	3
своему происхождению	1	1
одной из	3	3
мы можем	3	4
примерно в	3	4
выходят за	1	1
во всем	1	1
нашего времени	1	1
же из	1	1
к первому	1	1
работы в	1	1
афинских граждан	1	1
здесь мы	1	3
и сравнительно	1	1
в результате	2	4
роль в	2	1
именно потому	2	2
которого они	1	1
представляет себе	1	1
этой точки	1	1
не к	1	2
изображен в	1	3
избавиться от	1	1
они так	1	1
в целом	3	3
комедии не	1	3
чтобы потом	1	1
тех пор	3	1
все что	3	2
говорить о	3	1
с этой	3	1
с одной	3	3
остальные в	1	1
в этом	8	3
шаг до	1	1
время как	2	4
превращается в	1	1
афин с	1	2
в доме	10	2
об этом	7	1
себе на	1	1
о сходстве	1	1
иначе в	1	2
каким образом	1	1
нет никаких	2	1
в образе	2	3
одним из	2	1
афинах последней	1	1
и ее	2	3
людей и	2	1
один раз	1	1
г в	2	4
и под	1	1
в поисках	1	1
для комедий	1	1
на него	4	4
известных нам	1	1
и дают	2	2
чтобы доказать	1	1
обвиняет в	1	1
еще одна	1	1
также фр	1	1
и таким	1	2
до того	2	1
в финале	1	2
ссылаясь на	1	2
действующих лиц	1	4
из этих	1	1
в первую	1	2
одно лишь	1	1
в середине	1	1
все это	5	5
при сравнении	1	1
не найдем	1	1
состоит в	2	1
людей из	1	1
в качестве	2	4
еще лет	1	1
как видно	2	2
едва ли	7	7
в сознании	1	3
нас перед	1	1
обращается к	3	1
ситуация в	3	1
афинской демократии	1	9
известного представителя	1	1
и когда	1	1
дошедших до	2	3
по своей	1	2
которую он	2	2
что касается	2	2
если в	1	1
молодых людей	1	1
предположение что	1	1
хотя и	5	3
самом начале	1	1
не так	3	1
ее не	1	1
только на	1	1
дома и	3	1
под открытым	1	1
они не	1	1
не удалось	1	3
с семьей	1	1
и особенно	2	4
а уж	1	1
как из	2	3
то же	7	6
это предположение	1	1
подходить к	1	1
ответа на	1	1
когда в	1	1
намека на	1	1
афинских трагиков	1	1
это было	1	1
с новой	1	1
против нее	1	1
совершенно не	2	1
настаивают на	1	1
на три	1	1
этим же	1	1
не дает	4	1
формы и	1	1
а заодно	1	1
и ненависть	2	1
хора к	1	1
во времени	1	1
середины х	1	1
что отец	8	1
с собой	1	1
обращает на	1	1
в себя	1	2
на ее	3	1
только что	7	2
слова с	1	1
намек на	1	1
создает в	1	1
столь же	3	2
памфила в	2	1
по годам	1	1
вопрос о	1	3
и еще	3	3
в которой	3	6
более полусотни	1	1
к нему	5	2
но при	2	1
его современников	1	1
ничего не	3	3
заимствован из	1	1
ее на	1	1
фр добавим	1	1
что он	8	6
опять же	2	2
и наиболее	1	1
в течение	3	3
что по	1	2
мечей и	1	1
когда же	1	5
одном из	1	4
том числе	1	1
что они	2	4
и тот	3	1
из двух	1	1
античной комедии	1	2
видно к	1	1
к этой	2	1
к жизни	1	1
в нем	3	4
чтобы в	2	1
во время	6	5
в других	3	2
во всех	2	1
или иначе	2	1
т №	1	1
годов в	1	1
нового времени	2	5
другие исследователи	1	1
знает кто	1	1
он был	4	2
один шаг	2	1
vi в	1	4
первую очередь	1	3
по поводу	1	4
что и	8	4
один из	3	5
в действительности	1	2
комедии с	1	4
действующего лица	1	1
ясно что	6	4
должны были	1	8
присоединения к	1	1
в это	1	1
и теперь	1	2
в силу	2	2
к себе	5	1
от которого	1	1
легко понять	1	1
к этим	1	3
с известной	2	1
том же	1	1
представление о	2	1
в сущности	2	2
хотя бы	4	1
еще около	1	1
с ней	1	1
предполагать что	1	1
и здесь	4	2
обычно не	1	1
именно поэтому	1	1
самого начала	4	1
вся его	1	1
или в	1	2
и по	1	6
не последнее	1	1
почти целиком	1	1
но в	5	4
человека в	2	1
возвращение к	2	1
еврипидом и	1	1
в отличие	1	1
высказывание из	1	1
сих пор	9	2
и сам	5	3
и комедии	1	2
тем не	3	2
г где	1	1
еврипида не	1	1
известной долей	1	1
жизнь и	1	1
конце концов	2	4
между еврипидом	1	1
на поле	1	1
при этом	7	5
этой комедии	4	5
сообщения о	1	1
том что	13	12
того типа	1	1
комедию и	1	1
ничуть не	6	1
у него	4	3
в ней	4	1
а потом	1	1
и она	1	1
в другом	2	4
в этих	1	1
для создания	1	1
в живых	1	1
стихов или	1	1
для своего	1	1
из уст	1	1
них не	1	1
в и	2	2
под угрозой	1	1
указывают на	1	1
чуть ли	1	1
причем здесь	1	1
в котором	2	4
следует рассматривать	1	1
характеризует как	1	1
политических деятелей	1	3
ни одной	2	2
начала х	1	1
этому же	1	1
мог бы	1	2
того же	6	2
из наиболее	1	2
не приходится	2	1
на себя	4	2
к ней	8	2
свои дела	1	1
в ответ	1	1
из еврипида	1	1
это мог	1	1
из жизни	1	1
то ни	3	2
но все	4	1
а также	2	4
можно было	2	1
что после	1	3
представлений в	1	1
и это	2	1
в этот	1	1
сочувствия к	1	1
же не	1	1
афинах после	1	1
может служить	1	1
в комедии	10	22
н э	2	3
от них	1	2
комедии на	1	2
соответствии с	1	1
с тремя	1	1
