2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_2gram
до конца	14	4
он целиком	1	1
отличается от	2	1
достоевскому он	1	1
показывает как	2	1
любовь к	2	8
к истреблению	2	2
бога нет	1	1
должны привести	1	1
движение в	2	1
существо и	1	1
принадлежит уже	1	2
иван карамазов	8	13
легенды о	2	1
антихристово начало	2	1
достоевского есть	19	6
есть зло	2	2
человеку у	2	1
к последней	1	1
в русской	1	6
игры человеческих	1	1
быть принят	2	1
идеей он	1	1
что человек	3	2
в своем	10	8
и предельному	1	1
достоевским в	2	3
но она	1	2
и без	1	1
в вечности	1	1
он чувствовал	1	1
подстерегает человека	1	1
к избранию	1	2
– художник	1	1
во власть	1	1
как и	5	13
человека его	3	2
– о	4	1
ставрогина и	1	1
с такой	1	1
есть также	2	2
он менее	1	1
зла есть	1	1
и в	28	46
человека когда	1	1
настасьи филипповны	1	1
в революционной	1	2
на гибель	1	2
есть черты	1	1
свобода зла	1	2
федоре павловиче	1	1
к концу	4	1
достоевский –	6	5
пребывает в	3	1
к екатерине	1	5
не была	3	1
человек в	9	3
есть добро	1	1
бы он	1	1
своем он	1	2
всю свою	1	1
свобода есть	3	1
с этим	3	1
он знает	2	1
зло есть	1	7
но это	1	8
восстает против	1	3
социального счастья	1	2
не стоит	1	3
когда он	3	1
петра верховенского	1	1
великий инквизитор	1	1
на большую	1	1
это не	5	5
человека к	2	8
он человек	1	1
бы ни	1	1
но он	9	11
должно быть	3	2
достоевского лишь	1	1
глубины человеческой	3	1
ему как	1	2
для антропологии	1	1
понимал что	1	1
зла и	8	7
прежде всего	10	12
что зло	2	2
достоевский весь	1	1
в своеволие	6	3
с необычайной	1	1
ретроградной и	3	1
чувствовать себя	1	3
человека есть	3	3
в добре	5	4
и страданиями	1	1
отрицанию человека	1	1
с божественной	1	1
и тайны	1	1
своем творчестве	2	1
путь путь	1	1
он хотел	2	1
по достоевскому	2	2
он изобличает	1	2
не к	4	2
он проповедовал	2	1
через страдание	1	3
подобие божие	2	2
не что	1	3
все что	2	4
с этой	4	1
к свету	1	2
самого себя	2	4
мир на	1	1
даль в	1	1
обращенный к	1	1
к гибели	2	4
об этом	1	1
он считал	1	1
глубины русский	2	1
был настоящим	1	1
этого вопроса	1	2
в образе	1	3
ставрогин в	1	1
к злу	3	5
русских писателей	3	1
духа достоевский	2	2
кровь от	2	1
и страдание	2	3
не хотел	3	2
каждый человек	1	1
есть лишь	9	17
и есть	14	8
самом деле	1	1
братьях карамазовых	3	2
человеку но	1	1
из подполья	10	2
русской жизни	1	1
уже нет	2	1
своем я	1	1
есть всегда	1	1
о достоевском	7	1
и борьбе	1	1
избранию и	1	1
стремлений не	1	1
вести к	1	2
говорят о	1	1
человеческую природу	3	2
свободы свобода	3	2
природы он	2	1
безграничной свободы	3	3
мы видим	2	2
это –	16	22
ли дозволено	1	1
его во	1	1
в европе	1	1
мировой жизни	1	1
личности не	1	1
уходит в	1	2
своеволия в	1	1
с изумительной	1	1
и ничтожество	1	1
в любви	4	8
к этой	2	1
есть великая	1	1
веру в	4	1
один из	4	5
и поэтому	1	2
боге и	1	1
отношения к	4	2
же и	1	2
свободное существо	1	1
исходит от	1	1
зла ведет	1	1
к этим	2	1
было для	1	2
природы поэтому	1	1
свободы без	2	1
вл соловьев	1	1
человеческий образ	2	3
необычайная свобода	1	1
обращен к	4	4
что ничего	1	1
ему чужд	1	1
хотел бы	4	1
но в	7	10
плоти и	3	1
не имеет	3	4
мир и	1	2
от крови	2	1
явление духа	5	1
эта тема	1	1
сих пор	2	3
этой одержимости	1	1
характер русской	1	1
который с	1	1
жизнь и	1	4
свободу как	2	1
есть прежде	1	5
достоевского все	4	1
на путях	3	1
мира так	1	1
в котором	8	1
творчество достоевского	13	3
для него	11	18
в страдании	2	2
настасьей филипповной	1	3
и атеистического	1	1
лишь один	1	2
этом он	2	2
и достоевский	12	8
достоевского она	1	1
можно было	1	2
судьба человека	9	6
и это	12	5
и человек	2	3
человека –	2	3
жизнь в	1	6
со свободой	4	4
художественного дара	2	1
от строения	1	1
свобода и	6	2
сынов божьих	1	2
этой трагедии	1	1
менее всего	7	3
вражда достоевского	1	1
все ли	1	4
человеческой в	1	1
цели которая	1	1
истины и	1	1
означает что	1	4
россия есть	1	1
и от	2	3
жизнь свою	1	1
бы это	1	1
есть момент	1	2
заключаю безграничным	1	1
записках из	1	1
к христу	1	1
иное как	1	3
можно найти	1	1
эпоху александра	1	1
лишь для	1	1
своем бунте	1	1
прийти к	2	1
гениальной диалектике	2	2
к свободе	4	1
своеволии своем	1	5
ивана не	1	1
о предпоследнем	1	1
него нет	1	5
может ли	1	1
природы человека	1	1
достоинства человека	1	1
с его	3	4
бы и	3	5
в той	2	1
себе в	1	2
средство для	1	2
и подобие	2	5
за тобой	1	1
и все	10	5
человеческой жизни	2	2
слова он	1	1
которая есть	3	2
жизни и	2	6
но когда	1	2
свобода переходит	5	4
к человеку	9	12
в них	4	3
есть отрицание	1	3
человек может	2	1
какое угодно	1	1
его образ	2	1
в алеше	1	2
еще до	1	1
эта –	1	1
свободы а	2	1
из глубины	3	2
из человеческого	1	2
она ведет	1	1
в том	6	3
шигалева и	1	1
человек –	3	6
от свободы	2	3
шигалев –	1	1
плоть от	2	1
от того	1	3
в ставрогине	1	1
достоевского его	1	1
бога есть	1	1
карамазов –	1	2
не все	2	1
которому он	1	1
и идеал	1	1
духа он	7	2
белого каления	1	1
свободы тут	1	1
социализма и	1	3
в отношении	1	5
открыл что	1	1
свобода с	1	1
есть не	4	5
в бесах	2	6
ответить на	1	1
сам не	2	2
отношением к	1	2
за зло	3	5
не видел	1	2
путь к	1	1
даром прозрения	1	1
для свободы	1	1
нем нет	1	2
свободу свободу	2	1
восточном православии	1	1
как он	2	3
этого пути	1	1
тихом экстазе	1	1
культуры в	1	1
русская революция	1	1
нет ничего	7	3
то он	1	2
европейской культуры	1	1
– гениальный	2	1
подпольного человека	7	1
чтобы не	2	3
нет свободы	2	1
в своих	1	3
братья карамазовы	1	1
во христе	5	6
что-то очень	1	2
т е	2	4
его природы	2	1
обнаруживается в	1	1
людей на	1	1
от этого	2	2
накаляет окружающую	1	1
глубине человека	2	1
уже в	4	2
в жизни	3	4
это и	4	3
свободе свободе	1	1
с какой-то	1	1
он слишком	1	1
этом смысл	1	1
и потому	10	7
мадонны и	2	1
не знают	3	1
в идиоте	1	2
достоевский открывает	3	2
дневнике писателя	2	2
одна тема	1	1
и он	12	11
в судьбе	5	2
и кровь	2	1
как у	1	2
своей земли	1	2
все творчество	5	2
над человеческой	2	1
мировых вопросах	1	1
отрицание свободы	4	1
природы человеческой	1	1
и те	2	2
– все	3	2
сам он	1	2
него не	2	1
для достоевского	5	8
своеволия но	1	1
мити карамазова	1	4
привести к	4	5
он сам	6	6
притягивает эта	1	1
в конце	7	5
на все	1	3
все еще	1	1
он принадлежит	1	1
среды и	1	1
органической жизнью	1	1
раскольникова ставрогина	2	1
если все	1	1
и недостаточно	1	1
него и	2	2
его собственной	2	1
с человеком	1	1
и на	6	3
достоевский исследует	5	5
в пути	2	1
достоевского в	9	2
к другу	1	5
человеку как	1	1
миросозерцания достоевского	1	1
есть то	1	1
достоевский был	9	9
и кто	1	1
на земле	2	8
и характер	1	1
стало быть	1	1
для того	2	5
новому штату	1	1
к земле	1	1
удивительно что	1	1
в самом	11	5
бытия не	1	1
наказания как	1	1
мы еще	2	2
никогда не	14	18
уж конечно	2	1
достоевского но	3	1
достоевского было	3	1
достоевским и	1	2
человеческого своеволия	2	5
в эпоху	1	1
так же	1	6
так что	1	2
и гармонии	1	1
революционером духа	1	1
и ложное	1	1
он до	3	1
человеческой природой	1	2
на природу	2	2
не в	16	9
этом они	1	1
человека как	2	1
и бога	2	2
иваном карамазовым	1	2
жизнь идей	4	1
и во	2	3
и рабство	1	2
или человек	1	1
в рабство	1	1
демоническое начало	2	1
судьбы у	1	1
три искушения	1	1
звучит голос	1	1
католической теократии	1	1
джентльмен с	3	2
отношении к	2	3
преступления и	3	1
самую глубину	2	1
образ человека	7	1
лишь в	6	2
более чем	1	2
достоевский делает	3	1
но также	1	1
свободы в	11	1
диалектика идей	1	1
из безграничной	1	1
характерно для	1	1
русского духа	2	2
данте и	1	1
исследует и	1	1
ко христу	2	2
склонность к	1	1
безграничный деспотизм	2	1
свободы так	1	2
отречься от	1	1
судьбу человека	1	2
и ад	6	1
нет в	4	4
и принять	1	2
это все	1	2
каких-либо идей	1	1
должен пройти	1	1
только бога	1	1
нет бога	2	4
он идейно	1	1
ответственности за	1	1
принадлежит к	1	2
– явления	1	1
человек замыкается	1	1
о великом	4	2
любви в	1	1
как бы	2	8
окружающую атмосферу	1	1
трагического пути	1	1
себе и	2	2
последних пределов	2	1
человеческая судьба	1	1
для русского	1	3
его судьбы	1	1
это сознание	1	1
эта истина	1	1
нет и	5	1
духа и	4	3
не знали	1	1
природа человека	1	3
христианство есть	3	1
апокалиптика и	1	1
изначальная свобода	1	1
п верховенском	1	1
лишь во	2	1
ней раскрываются	1	1
от его	2	2
бога если	1	2
не был	7	2
человек который	1	4
не внешняя	1	1
человека судьба	1	2
истребляет себя	2	2
я заключаю	1	1
идейной диалектики	1	1
что не	1	2
русский писатель	1	1
а не	25	13
к идее	1	1
со своей	1	1
и человеческое	2	1
с гуманизмом	1	1
эвклидов ум	5	1
жизни то	1	1
и ее	1	1
говорит что	1	2
людей и	2	3
себе такова	1	1
это лишь	1	2
они должны	1	1
о боге	6	1
можно и	1	1
самой идеи	1	1
ведет к	6	13
высшей степени	2	3
перешедшая в	1	1
этом пути	2	2
на своем	3	1
по своей	2	3
нельзя искать	1	1
и ивана	2	3
у русского	2	1
если в	1	1
страдания и	2	3
не способен	1	5
они не	1	4
свободы зло	1	1
свободы есть	3	1
человеку в	1	1
идеи но	2	1
до глубины	11	8
и всю	1	1
связана с	2	7
в романах	1	1
своей свободы	1	3
поверхности в	1	1
от человека	3	1
в центре	2	2
есть что-то	2	4
в смысл	1	2
у достоевского	42	34
своего духа	2	2
с собой	3	2
человека и	14	7
что же	1	2
человеческой совести	4	1
и быть	1	1
русские мальчики	1	1
свобода привела	2	1
вопрос о	2	6
в которой	6	2
к нему	7	2
ничего не	3	2
достоинство человека	2	1
в дневнике	2	2
если он	5	2
что они	1	3
человеческого духа	26	5
одного только	1	1
должен быть	2	4
толстой и	3	1
можно принять	1	1
любовь и	1	3
без свободы	6	2
доходит до	1	6
своему значению	2	1
есть путь	4	2
бога не	2	4
не до	1	2
разных местах	1	1
с ней	2	1
к духовной	1	1
свободу добра	1	1
возврата к	2	3
духовной жизни	3	1
хочет быть	1	1
человека в	13	14
мира с	1	1
пути но	1	1
была в	1	1
и версилова	1	1
это очень	3	1
того что	7	6
отношение между	1	1
и там	4	6
говорит шигалев	1	1
у него	17	22
имеют свою	1	1
свои силы	1	2
и она	2	3
что иное	1	3
– значит	2	1
в этих	4	2
ни к	1	1
достоевского –	9	4
– явление	1	1
путь человека	3	3
в момент	3	1
достоевскому но	1	1
концу истории	1	1
может уже	1	2
все дозволено	1	11
мыслях героя	1	1
входит в	2	1
был бы	10	1
людей достоевского	1	1
есть призрак	1	1
лучший мир	1	1
в достоевском	8	1
и социализму	2	1
ответственное существо	1	1
принужден был	1	1
бога –	1	1
к миру	2	1
достоевский показывает	2	2
переходит в	15	8
еще более	1	2
друг к	1	5
и часто	1	1
перейти в	1	2
не ответствен	1	1
и самоутверждения	2	2
от всех	1	1
к тем	1	1
русской интеллигенции	1	1
есть та	1	1
и преступления	1	3
в человеческой	4	1
она влечет	1	1
она есть	1	2
в значительной	1	1
и преступление	1	1
ко всему	1	1
интерес к	3	2
а от	1	2
к другому	1	3
вросшими в	1	1
достоевский до	2	1
чем у	4	4
его и	1	1
его нет	1	1
так и	1	4
достоевского это	2	1
русском народе	1	2
счастья людей	1	1
если человек	1	2
невинно замученных	1	1
человеческой свободы	9	3
христианской истины	1	1
от всякого	1	1
ума это	1	1
изумительные слова	1	1
в высшей	2	3
же есть	1	3
если бы	2	3
к которому	1	3
быть человеком	1	1
нас в	1	2
протяжении всего	1	1
внешняя кара	1	1
все в	6	1
настасью филипповну	1	3
что она	1	5
о чем	2	1
и что	2	2
– самый	1	1
на муку	1	1
филипповной и	1	1
человек сам	1	1
себя и	3	3
своеволие не	1	1
процесса не	1	1
место в	2	2
антиномии и	1	1
зло и	2	6
скрыта тайна	2	1
центральная для	1	2
сказать что	2	3
все можно	1	1
с предметом	1	1
вместе с	6	2
– говорит	3	4
тема легенды	1	1
в братьях	3	2
своеволии и	1	1
павловиче карамазове	1	1
достоевский как	1	1
проблему зла	1	1
приводит к	2	1
проводит человека	1	3
в самой	7	1
этой истине	1	1
которых он	4	1
в духе	1	5
средством для	1	1
и его	9	5
лишь его	1	1
в бога	2	4
с таким	1	2
социализму в	1	1
о зле	1	1
религиозной совести	1	1
художник и	1	1
я не	1	5
это есть	3	2
только один	2	1
добра но	1	1
екатерине николаевне	1	6
зло –	2	1
на той	1	1
достоевский знает	1	1
в гениальной	2	2
идея о	1	2
и жизнь	2	1
самостоятельное значение	1	1
глашатаем русской	1	1
идти путем	2	1
нигилизм он	1	1
она в	1	1
судьба самого	1	1
достоевский изобличает	2	2
степени динамична	1	1
филипповну и	1	2
и русское	1	1
свободы но	5	1
него –	2	2
не принимает	1	1
в исступлении	1	1
не знающие	1	1
– два	1	1
может не	2	1
нет у	3	3
свобода не	4	2
только в	6	3
после этого	1	1
достоевский менее	1	1
испытание человеческой	3	2
открывает себя	1	1
и эта	1	2
и духовно	1	1
как в	2	7
в тьму	1	1
через свободу	5	3
жизни в	2	3
и слишком	1	1
был также	1	1
берет человека	2	1
в пустыне	1	1
русские люди	3	1
свободы с	3	1
карамазова в	1	1
отречение от	1	1
проблема преступления	1	2
в человеке	8	2
но у	1	1
в самых	1	1
людей в	1	2
от страданий	1	1
он отвергает	1	1
есть свобода	5	1
есть и	3	3
перед собой	1	1
его любовь	1	2
не были	1	1
исследует роковые	1	1
в себе	7	10
к тому	3	5
нельзя было	1	2
был обращен	1	1
глубина человеческой	1	1
богатый и	1	1
гармония не	1	1
самого достоевского	2	3
мысль была	2	1
теряет свою	1	3
человеку и	2	3
в разных	1	2
его природа	1	1
и страданий	1	1
и много	2	1
христианское сознание	1	1
целый ряд	1	1
смысл мира	1	2
с ним	2	3
сознания в	1	1
походит на	1	1
и этим	1	2
и более	1	1
п верховенского	1	2
только с	1	3
с самим	2	3
и вот	3	5
остается лишь	2	1
и устроения	1	1
личности у	1	1
есть уже	4	4
на одной	1	1
страдания искупает	1	1
бог и	7	1
не могу	1	6
потому что	16	12
своей книге	1	1
мира сего	2	3
в царстве	1	4
героя записок	1	1
если есть	1	3
только и	3	4
и то	1	1
раздвоение и	1	1
культурным слоем	1	2
по отношению	2	2
в россии	2	3
все время	1	2
к преступлению	4	5
человека он	4	2
всем и	1	1
записок из	5	1
так как	3	8
человека человек	8	2
опыт и	1	1
в социальном	1	1
как будто	2	2
творчестве достоевского	4	3
добра и	5	5
отказывается от	1	1
образе христа	1	1
на этом	3	2
не могут	5	1
человеческого общества	1	2
и возвращается	1	1
любви человека	2	2
открывает что	1	1
из себя	1	1
соединения людей	1	1
человеку это	1	1
и с	3	3
я и	1	2
конечному и	1	1
под собой	1	1
границы дозволенного	1	4
и всякий	1	1
ее он	1	1
человеческого сознания	2	1
достоевский открыл	1	1
он уже	6	2
есть явление	1	2
бесконечной любви	1	1
также и	2	4
человек есть	4	1
отношений между	1	1
последние пределы	1	1
свободы –	1	2
было бы	10	1
чем его	4	1
человек остается	1	2
и менее	1	1
духовный мир	1	1
свобода перешедшая	1	1
в революции	1	6
творчества не	1	1
не мог	3	3
раскрывается в	5	1
губит человека	5	1
ничего кроме	1	2
у нас	5	11
же я	1	1
закона и	1	2
дано было	1	1
своеволия и	5	4
и аглаю	1	3
мы не	1	1
с настасьей	1	2
человеческой личности	4	7
измерении глубины	1	1
он лишь	2	2
погибает свобода	1	1
и многообразный	1	1
ставрогина кириллова	2	1
знает только	1	1
не хочет	2	1
через раздвоение	1	1
в преступлении	2	1
нет возврата	1	3
в измерении	1	1
пути человеческого	1	1
в безграничный	2	1
и погибает	1	1
достоевский не	6	5
к культуре	1	1
быть назван	1	2
идеи достоевского	5	2
быть и	1	2
– огонь	1	1
его есть	2	1
она была	1	1
лишь те	1	1
достоевского о	2	3
к рабству	1	2
влечет к	3	3
все герои	2	1
в истине	7	1
жизни не	1	2
природы в	3	2
ими не	1	1
все это	6	1
слова великого	1	1
к превращению	1	1
находится в	1	1
к чему	2	4
в путях	2	1
достоевского был	1	1
человеческая свобода	3	2
жизни а	1	2
не так	3	3
любви к	7	7
потому и	1	1
ее как	1	1
его на	1	4
о человеке	23	1
ним все	1	1
судьба раскольникова	1	1
и бунта	3	1
для христианской	1	1
самоутверждение и	1	1
бремени свободы	2	1
обнаруживается что	1	1
в такой	1	3
но этот	1	2
страдальческий путь	1	1
вера достоевского	1	1
момент в	2	3
личности и	1	2
страдание в	1	1
которой он	1	1
очень важное	1	2
весь обращен	1	1
что он	10	7
избавить человека	1	1
его свобода	1	2
по сравнению	2	1
человека у	3	1
и свободное	1	1
что и	4	4
уже не	4	4
роковые последствия	1	4
ни у	1	1
к себе	1	2
человек и	6	2
он в	2	3
достоевского не	4	3
великом инквизиторе	5	2
хотя бы	3	7
бунтует против	2	2
запросы человека	1	1
– я	1	3
к человекобожеству	1	1
человек у	1	1
все внешнее	1	2
подходить с	1	1
должно прийти	1	1
его он	1	3
испытанием свободы	1	1
у нее	1	1
в ней	15	11
всегда была	1	1
когда человек	3	2
бесов в	1	1
за его	1	1
должно привести	2	2
природы человек	1	1
достоевский видит	1	1
мог бы	4	1
он весь	7	1
христа ты	1	1
к ней	4	2
есть один	1	2
говорил что	1	1
мы увидим	3	2
и зло	1	2
в свидригайлове	1	1
ницше и	1	1
принять христа	1	1
который был	2	2
иное положение	1	1
атеистического социализма	1	1
зло имеет	1	1
атмосферу порождает	1	1
в первых	1	1
если нет	5	8
чистилище и	2	1
не от	1	2
форм жизни	1	1
христа и	3	1
мысли о	2	1
путь страдания	4	4
и к	2	7
своей духовной	1	3
человеческой природы	20	7
речи о	1	1
огненное движение	4	1
к религии	1	1
отразились все	1	1
же этот	1	1
как человек	1	1
в бунте	1	2
в строе	1	1
и бессмертии	1	1
новых и	1	1
за пределы	4	1
путях своеволия	1	1
он же	1	3
сам был	1	1
все уже	1	1
в более	2	2
эвклидова ума	3	6
образов у	1	1
дантовского ада	1	1
человека лишь	1	1
должна быть	6	1
к добру	2	1
в свою	2	4
достоевский и	3	1
в христианстве	2	1
своего образа	1	2
та же	1	10
к одному	1	1
человека за	1	1
что в	10	4
ивана карамазова	7	7
он прозревает	1	1
в своей	15	5
он открывает	1	2
и насмешливой	3	1
но если	3	1
другой эпохе	1	1
в основе	2	2
открывает также	1	1
потребности в	1	1
он никогда	2	1
исследует до	3	1
в восточном	1	1
что достоевский	4	1
п верховенский	2	2
свобода человека	2	1
духа в	3	2
русская литература	2	1
бунт против	4	3
назвать достоевского	1	1
мирового процесса	2	1
не может	28	15
русской души	3	6
духа это	2	1
мастер в	1	1
принят и	1	1
русский человек	2	3
он совершил	1	1
имя достоинства	1	1
он должен	3	1
какой-нибудь идеей	1	1
а к	1	1
образ и	2	5
своей души	2	1
не существует	2	3
очень существенное	2	1
не раскрывает	1	3
о том	2	3
между тем	1	2
живет в	2	1
его не	3	2
достоевского он	7	1
и свободу	2	1
гибель человека	2	1
которая не	1	1
от своего	1	1
это верно	1	1
также в	1	1
может быть	30	21
и можно	1	3
нет уже	1	2
то мир	2	1
тогда только	2	3
достоевский утверждает	2	1
она не	4	8
человека через	4	3
земле и	1	1
ум ивана	1	1
с тем	9	1
трагическое противоречие	1	1
бог то	1	1
зло было	1	2
во многих	1	1
в глубине	8	3
ли он	1	1
увидим что	4	2
не сам	1	1
к которой	1	3
он –	12	8
и алеши	1	1
его к	1	1
и самое	1	2
для них	3	1
его отношением	1	1
мира в	1	1
людей не	1	1
тем как	1	1
между иваном	1	1
всякий раз	1	1
не было	18	11
трагическая судьба	2	2
человека от	2	2
имя счастья	1	2
того чтобы	2	4
страстей есть	1	1
души и	1	2
в этой	6	7
одна и	1	3
достоевского с	2	1
человек бог	1	1
мадонны но	1	1
и никогда	1	3
свободы и	10	4
есть бог	1	2
мир в	3	1
по новому	1	1
себе а	1	1
– трагическая	1	1
была связана	2	1
по силе	1	1
человечества по	1	1
путем свободы	3	1
в плане	1	1
божественных первооснов	1	1
не только	29	18
он обращен	1	1
революция совершилась	1	1
что отрицает	1	1
он не	24	10
он хочет	1	3
у человека	5	1
одержимости и	1	1
в пределах	1	1
человек его	2	1
пределов раздвоения	1	1
имеет внутренний	1	1
во власти	2	6
было в	1	3
свободы достоевский	2	1
достоевский раскрывает	1	5
вражда к	1	1
свободы совести	3	1
бы не	2	2
его судьба	2	1
остается на	1	1
и для	2	7
идет к	1	1
исступлении и	1	1
для человека	3	3
бога и	10	5
в исключительные	1	1
свободу человеческого	3	2
для эвклидова	1	1
тема эта	1	1
не потому	1	1
есть царство	1	1
а в	4	2
достоевский проводит	1	2
его душа	1	1
через чистилище	1	1
в каждом	1	3
к богу	3	2
человека достоевский	2	1
божий мир	1	1
преступление человек	1	1
мир который	1	1
свобода духа	4	1
есть трагедия	1	1
– христос	2	1
имя свободы	1	1
она всегда	1	1
на высоте	1	1
антропологии достоевского	1	1
– идея	3	2
отсюда –	1	1
для нашего	1	1
верит в	1	2
была еще	2	2
что есть	5	2
природы от	2	1
преступления в	1	1
в мире	10	7
по природе	1	1
от плоти	2	1
и только	1	1
не знал	4	3
в которых	4	1
раскольников ставрогин	2	2
всю жизнь	4	3
романах достоевского	1	1
своим трудом	1	1
россии и	1	2
свою свободу	2	5
свобода истребляет	1	1
строя жизни	1	1
смысле слова	4	3
человек не	10	7
к католичеству	1	1
о мировых	2	1
глубины исследует	1	1
несправедлив к	1	1
эта мысль	1	2
и как	2	1
высшим культурным	1	1
роковой процесс	1	1
идет на	1	2
которым он	1	1
он ведет	1	1
было еще	1	1
путь ко	1	1
лик человека	1	1
что такое	1	1
в явлении	1	1
и окончательное	1	1
было познать	1	1
гармонии и	1	5
в боге	3	4
исторического процесса	1	1
не быть	1	1
точки зрения	4	2
и свобода	7	2
бесах и	1	1
его личности	3	1
но и	25	15
в ее	3	1
до сих	2	3
не знает	4	9
в творчестве	10	3
свобода человеческого	1	3
зле и	1	1
чем в	2	2
европе он	1	1
достоевский в	5	3
себя в	3	4
на протяжении	2	1
зло это	1	1
во всем	1	5
начинается в	3	1
истории –	1	1
роль в	1	1
идей он	1	1
именно потому	1	1
на самом	1	1
стоит в	1	2
диалектика достоевского	1	1
и судьба	1	1
же зла	1	1
самому достоевскому	1	1
в этом	20	20
не принадлежит	2	1
человека но	4	1
версилов иван	5	1
до самой	4	1
смысла жизни	1	1
был прежде	2	1
раскрывается ему	1	1
русский гений	2	1
эмпирической действительности	1	1
своеволия ведет	1	1
от божественных	1	1
в свои	1	1
на людей	2	2
ведь не	1	1
– это	1	2
он раскрывает	3	3
в раздвоении	1	1
которую он	2	1
революции духа	3	1
связанная с	1	1
жизни поэтому	1	1
и границы	2	1
строй жизни	1	1
ты –	2	5
человека не	4	4
он готов	1	1
которые не	1	1
есть одержимость	1	1
– да	1	1
– лишь	1	1
быть всего	1	1
xix века	4	1
остается у	1	1
два я	1	1
к отрицанию	9	5
его нельзя	1	2
и именно	1	1
исключительные условия	1	1
революция и	1	1
христа в	5	1
что русский	1	2
любит не	1	1
как люди	1	1
антропология достоевского	1	1
он потерял	1	1
русского востока	1	1
этот роковой	1	1
человеческой судьбы	4	1
зла путь	1	1
вопрос вопрос	1	2
в нем	13	22
во всех	1	2
свою противоположность	2	2
человека образ	2	1
он был	14	9
силы но	1	1
достоевского была	1	5
должны были	1	1
добро и	3	2
который так	3	1
человеческое сердце	1	1
человеческих сил	1	1
бурном движении	1	1
против миропорядка	1	1
глубине самого	1	1
с ретроградной	3	1
свободу и	4	5
оторвался от	2	1
мировой процесс	1	3
человек на	1	1
и сам	1	1
но к	1	1
социальной среды	3	1
внутренний источник	1	1
конце концов	2	1
что революция	1	1
не связано	1	1
том что	3	4
в своеволии	2	5
и терзает	1	1
в каком-то	1	1
свобода свобода	2	2
был врагом	1	1
у других	1	1
русской истории	1	3
самой глубины	5	1
как к	1	2
степени динамическое	1	1
не ведет	2	1
и наказания	1	1
человеческая душа	1	2
об устроении	1	1
оно не	1	2
а высшая	1	1
же не	1	1
он знал	4	1
приходит к	1	2
но свобода	2	1
есть религия	2	4
