2gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_2gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_2gram
во всяком	2	1
полагая его	1	1
мн др	1	2
лицом к	1	1
или о	1	1
второго лица	1	1
рассказ как	1	3
таким образом	3	1
по своему	3	1
не говоря	2	1
жизни в	2	3
ибо это	1	1
существенная роль	1	1
внутренней речи	2	3
тем что	3	1
же касается	2	2
одно и	1	2
и сказкой	1	1
коммуникативную ситуацию	2	3
в жизни	1	1
это и	1	1
литературы нового	1	1
рамках которого	1	1
не только	28	10
по аналогии	1	1
безымянный человек	1	1
в литературные	2	1
человек некий	2	1
он не	1	3
нарративная стратегия	1	5
объекта и	1	2
притча в	3	1
сказание или	1	1
там же	1	2
в становлении	1	3
бахтин имеет	1	1
глава рассказ	1	1
современной словесности	1	1
на статус	1	1
стратегию в	1	1
в данном	5	7
в истории	4	1
как уже	3	2
в пределах	2	4
может и	2	2
рассказ о	1	2
значительной степени	2	1
к своим	1	2
высказывания и	2	1
ценностной дистанции	1	1
бы укрупненных	1	1
на языке	1	2
о событии	1	1
содержит в	1	2
с самого	1	1
в специальном	1	2
в литературу	2	1
было в	2	3
чьей-то жизни	1	2
аналогии с	1	1
в современном	2	1
жанровые модификации	1	2
в себе	7	19
и того	3	3
с той	1	2
на примере	1	2
в рассказе	2	4
личности в	1	2
к тому	5	1
с их	1	2
значении этого	3	2
передний план	1	1
на передний	1	1
жанрах в	1	1
сводится ни	1	2
в культуре	2	1
обнаруживает себя	1	1
перед нами	3	3
чужой речи	1	1
одной стороны	9	4
по рассуждению	4	1
в соответствии	2	2
система смыслов	1	1
является событием	1	1
из них	3	3
форма авторства	4	1
не более	2	2
индивидуальной жизненной	1	1
времени в	2	4
в новом	2	1
принципиально не	1	1
в области	1	2
имеем дело	2	1
притчи и	1	2
до конца	1	1
к однозначности	1	1
отличается от	2	1
из виду	1	3
в первом	3	1
и пространства	1	1
ивана петровича	1	2
как жанр	3	1
одного и	2	3
персонажей а	1	1
инвариантную архитектонику	1	2
медитативный векторы	1	1
ситуации рассказывания	3	2
и мн	1	2
адресата с	1	1
не менее	2	7
назидательное безапелляционное	1	1
еще не	14	6
в году	2	1
он сам	1	1
настоящего времени	1	1
не столько	1	3
лицо и	1	1
представляют собой	1	1
своих адресатов	1	1
к его	2	4
к той	3	1
в принципе	2	2
в ситуации	3	1
не вполне	1	1
ситуации выбора	1	1
а в	5	2
жанры это	1	1
складывается из	1	1
всего в	1	1
и более	1	1
представляет собой	17	11
весьма существенную	1	2
исследовавшейся л.с	1	1
вследствие чего	1	1
его составе	1	1
в русской	1	3
универсальные архетипические	1	1
здесь также	1	1
своей природе	2	1
которой нет	1	1
несут в	1	1
и должно	1	1
этического выбора	1	2
быть субъектом	1	1
самого рассказывания	3	1
имеет своим	1	1
с рассуждением	1	1
дело в	1	2
по преимуществу	1	2
в своем	6	5
стороны и	2	2
одного из	2	4
в нашем	1	1
предосудительного памяти	1	1
но она	1	3
жанровые стратегии	1	2
с человеком	2	1
и на	5	5
в ходе	3	2
вплоть до	1	1
в сторону	4	1
субъекта объекта	1	1
не имеют	1	1
в прозе	1	1
петровича белкина	1	2
словесности в	1	1
по крайней	2	1
в одно	1	1
нарратива и	2	1
сам действователь	1	1
как и	16	16
человека иначе	1	1
тому как	3	2
совпадают с	1	1
числе и	2	1
потому что	4	4
друг друга	1	1
ему в	2	1
в повестях	1	2
в самом	3	1
нормативной поэтики	1	1
при всем	1	1
человеком и	1	1
тогда как	19	11
же время	4	5
вполне определенную	1	1
и другой	1	1
по словам	2	2
до современности	1	1
поэтому в	1	1
по отношению	9	4
никогда не	2	2
в то	3	5
как протороманный	1	1
этом отношении	1	4
события тогда	1	1
и то	1	4
с.с аверинцева	3	2
собственно жизнеописания	1	1
слова не	1	2
и в	16	16
строгость композиции	1	1
в эпоху	5	1
этого понятия	1	1
в мире	1	11
по справедливому	2	1
из романа	1	1
по природе	5	2
под названием	1	1
помещаем полагая	1	1
может реализоваться	1	1
не сводится	3	4
повторяемость ситуаций	1	1
выбора между	1	3
глава жизнеописание	1	1
но не	11	7
протороманный нарратив	1	1
события в	2	1
говорящего и	2	1
хотя в	2	1
письма в	1	1
не в	7	3
субъекта жизни	1	1
как будто	1	3
которая может	1	1
и перформатива	1	1
восходит к	1	3
полифонического романа	1	1
для всех	1	1
образа жизни	1	1
литературного жанра	2	4
было сказано	1	1
если можно	1	1
сводится к	5	2
есть в	2	2
в памяти	1	1
описаний акцентированная	1	1
человеческого присутствия	2	1
собой как	1	1
на границе	1	1
а сам	2	2
на этом	2	1
и во	2	1
предстает субъектом	1	1
художественного письма	7	7
в наше	2	2
равной степени	1	1
в которых	4	1
не могут	1	1
до известной	1	1
рассуждал о	1	1
дистанции между	1	1
событийность придается	1	1
и до	1	1
субъекта притчевого	1	1
в напряжении	1	1
уверяем читателя	1	1
в конечном	1	1
в центр	1	1
и н.и	1	1
она сама	1	1
и читателем	1	1
как это	1	1
который не	1	2
европейской поэзии	1	1
лишь в	4	1
лирических жанров	2	7
в полной	1	1
более чем	2	2
мы все	1	1
но также	1	1
языка и	2	1
сказания и	4	1
речь идет	1	1
речевых жанров	12	3
нем звучит	1	1
жанрового зародыша	1	1
но это	1	3
романного дискурса	1	1
исходя из	2	1
этот жанровый	1	1
анекдот не	1	1
на я	1	1
это в	2	2
завершенная и	1	1
когда он	2	1
на мой	2	2
человек не	1	1
является ситуация	1	1
событийного ряда	1	2
человеческого сознания	3	1
в ряду	2	2
коего мы	1	1
просто как	1	1
чем и	1	1
о них	1	1
присутствует в	1	1
тут же	1	2
в анекдоте	1	3
также и	3	3
и т.д	4	1
это не	3	3
опирается на	2	1
с другой	10	5
и слушателей	2	1
и др	2	1
и как	6	3
здесь в	2	3
в равной	2	1
принадлежит к	1	3
оказывается в	1	1
рассказчика в	1	1
требует от	1	1
повестях белкина	1	2
и романа	1	1
дело не	2	1
интрига нарративного	1	1
далеко не	10	2
общему мнению	1	1
в чем	1	1
существенно для	1	1
в случае	1	1
и описаний	1	1
нарративного дискурса	3	1
общения и	2	2
как бы	5	4
в процессе	5	1
свидетеля и	1	1
напряжении событийного	1	1
и анекдота	1	3
этого жанра	2	2
неканонического жанра	1	1
краткость и	1	1
жанровом отношении	1	2
прежде всего	11	7
указывает на	2	1
точки зрения	3	4
перечисленные моменты	1	1
один я	1	1
в архаичных	1	1
событием самого	1	1
должно было	1	1
дискурс это	2	1
а с	5	5
перформативного слова	1	1
нарративная интрига	2	1
притчевое начало	1	2
в.т и	1	1
тексте как	2	1
речевыми автопрезентациями	1	1
индивидуальный характер	1	1
но и	14	11
жанровый статус	2	1
при котором	1	2
в ее	3	1
именно в	3	2
дискурса как	4	1
из важнейших	1	2
курсив бахтина	1	1
не знает	1	3
только то	1	1
я на	1	1
очевидным образом	3	3
в творчестве	1	3
традиции в	1	1
художественного мышления	1	1
будто бы	2	1
следует анекдот	1	1
коммуникативное событие	5	3
мы не	1	1
к собственному	1	1
коммуникативную стратегию	2	1
в большинстве	1	2
архетипические ситуации	1	1
одной из	4	1
себя в	2	6
это отнюдь	1	1
как наррация	1	1
стремится к	1	2
демонстрируется например	1	1
имеет место	3	1
во всем	1	1
притчи слово	1	1
нашего времени	1	1
один голос	1	1
звучит один	1	1
л.с выготским	1	1
в результате	1	2
роль в	7	4
опыта в	2	1
по формуле	1	2
в любой	1	1
или притчи	2	1
которая в	1	2
их с	1	1
не был	1	1
лица в	1	1
а позднее	2	2
или напротив	1	2
ценностный статус	1	3
не к	1	2
с позиций	2	3
в целом	4	2
одновременно и	2	1
повествование в	1	1
во второй	1	1
в строгом	3	3
не помещаем	1	1
в чужой	1	1
а не	22	14
жанра в	4	1
переход от	1	1
ситуации общечеловеческой	1	1
с этой	1	1
говорить о	1	2
с одной	9	4
крайней мере	2	1
в этом	15	16
личного опыта	1	1
художественного целого	1	4
некие рецептивные	1	1
в меру	1	1
со своей	1	1
об этом	2	1
быть и	1	1
жанров до	1	1
xix столетия	1	1
одним из	2	1
дискурсивных практик	13	1
притчи может	1	1
жанров в	3	2
и оцененном	1	1
и ее	2	3
общечеловеческой жизни	1	1
ничего предосудительного	1	1
пределы человеческого	1	1
или анекдота	1	2
точка зрения	2	1
голос [...]	1	1
стратегии биографического	1	1
для себя	4	2
можно так	1	1
в готовом	1	1
на него	1	1
обнаруживаются в	2	1
справедливому замечанию	2	1
жизнеописание как	1	1
о блудном	4	3
субъекта как	1	1
переживание переживания	1	1
блудном сыне	4	3
из этих	1	3
совпадает с	2	2
лично для	1	1
он излагается	1	1
согласно рассуждению	1	1
субъект перформативного	1	1
в первую	1	2
известной степени	2	1
состоит в	9	16
в качестве	34	16
отступления от	1	1
жизненной позиции	1	3
и есть	2	1
ведет к	3	3
актуальной для	1	1
самом деле	1	1
нарратива является	1	1
к чему	1	1
в формах	1	2
что особенно	1	1
по своей	11	6
романного образа	1	1
а.н веселовского	2	1
период генезиса	1	1
что касается	2	1
если в	1	1
о жанровой	1	1
жизнь как	1	1
о нем	2	1
хотя и	2	1
прецедент первое	1	1
с ее	2	2
к сообщаемому	1	1
этом жанре	1	1
нарративного высказывания	2	1
не позволяет	1	1
время и	1	1
на дорогу	1	1
только на	1	1
коммуникативной ситуации	5	1
например в	2	3
данный жанр	1	1
в эпическом	1	1
и усложнения	1	1
речи исследовавшейся	1	1
русской словесности	1	1
являются речевыми	1	1
не соответствует	1	1
также не	1	1
то же	7	6
приходит в	1	1
здесь это	1	1
речевой практики	1	1
для анекдота	1	1
героя в	2	5
стратегия притчи	1	1
столетия анекдот	1	1
письма но	2	1
своей собственной	2	1
словесного выражения	1	1
своего адресата	1	1
подобных ему	1	1
речевой деятельности	1	1
возможна только	1	1
в какой	2	1
в исторической	1	3
можно говорить	1	1
который по	1	2
причастности к	1	2
картину мира	1	4
наше время	2	2
деталей краткость	1	1
удачной формулировке	1	1
характер и	2	1
или не	1	1
как прецедент	1	1
безапелляционное в	1	1
точность словесного	1	1
что же	2	2
хх столетия	1	1
дискурсного анализа	1	1
в себя	5	2
более того	2	1
так выразиться	1	1
и само	1	1
высказывания состоит	1	2
характеристик и	1	1
и их	1	1
претендует на	4	1
столь же	3	3
[...] оно	1	1
коммуникативного события	14	5
белкина в	1	2
построманный нарратив	1	1
анекдот коего	1	1
рассказывания в	3	1
акцентированная роль	1	1
вопрос о	1	1
лирического дискурса	2	14
в которой	1	1
момент в	1	2
во мне	3	1
о.м фрейденберг	4	2
но при	3	2
иной жанровой	1	2
впрочем уверяем	1	1
жанра но	1	2
слово же	1	1
иисуса христа	2	1
протолитературных нарративов	2	1
диаметрально противоположную	1	1
можно сказать	5	3
различные формы	1	1
что он	4	2
жанровых образований	7	1
данном случае	2	6
самого говорящего	1	1
том числе	2	1
но они	2	1
однако для	1	1
активность адресата	1	1
в нем	9	7
истории в	1	1
принято рассматривать	1	1
во всех	5	1
которое может	1	1
н.д тамарченко	2	2
нового времени	1	5
в книге	1	1
речевая маска	1	2
не состоит	1	1
в современной	1	1
первую очередь	1	2
классического романа	1	1
что и	3	2
один из	3	1
уже не	4	3
анекдота не	1	1
жанровую стратегию	2	2
с точки	1	2
компактность сюжета	1	1
при всей	3	7
жизнеописания в	1	3
в силу	5	1
к другим	2	1
к себе	2	1
отграниченная система	1	1
как весьма	1	1
этого термина	2	1
стороны адресата	1	1
сам повествователь	1	1
коммуникативный объект	1	1
известного рода	1	4
я в	1	5
по слову	3	1
и персонажи	1	1
различие между	2	1
в сущности	2	1
таковы например	1	1
или иной	5	3
дискурса в	2	1
данного жанра	5	5
романного жанра	1	2
хоровая форма	1	1
упускать из	1	1
с ней	1	2
в е	2	1
данного термина	1	1
как нечто	1	1
здесь как	1	1
самого начала	1	1
высказывания которые	1	1
как эстетическая	1	1
и притче	1	1
во втором	4	1
но в	8	11
жизненного пути	1	1
перформатив с	1	1
человека в	2	4
в контексте	1	3
выбора и	1	1
и генезис	2	1
ряду всех	1	1
речевыми жанрами	3	1
восходят к	1	1
в отличие	5	12
своего рода	8	10
и сам	1	1
дискурса и	5	1
жанровой системы	4	3
поскольку субъект	1	1
и составляет	3	1
тем не	1	1
состояло в	1	1
чего не	1	3
при этом	13	17
стихотворной формы	1	1
излишним впрочем	1	1
того что	3	1
в форме	2	1
но уже	1	2
том что	19	10
строго говоря	2	1
внимание на	4	1
строго отграниченная	1	1
возлагается на	1	1
но достаточно	1	1
в другом	2	3
нарративная лирика	1	1
следует признать	2	3
только через	1	1
в противовес	1	5
в этих	1	3
т.п но	3	1
всего многообразия	1	1
в свое	1	2
ни к	6	5
для своего	2	1
нарративных высказываний	2	1
в придании	1	1
к данному	2	1
выхожу один	1	1
практик в	2	1
притчи о	2	4
в котором	5	3
в рамках	5	7
в заглавие	1	1
они были	1	1
значение так	1	1
для него	4	5
силу своей	2	1
только о	1	1
того же	3	2
не о	1	2
как произведение	1	1
однако это	2	1
и судии	1	1
целое в	1	1
в голову	1	1
по выражению	2	1
новом качестве	1	1
самому себе	2	1
не внешними	1	1
перформативный дискурс	2	1
оно не	2	1
но все	1	1
в смене	1	1
не требует	1	2
а также	8	8
пушкиным в	1	1
и это	1	2
свое время	1	2
мы его	1	1
понятию интриги	1	1
может служить	1	1
и герой	2	1
анекдота в	3	1
повесть о	1	1
к сентенции	1	1
не с	3	2
в тексте	2	3
соответствии с	2	3
строится на	1	1
картины мира	1	7
