2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_2gram
художественное мышление	1	1
что можно	1	1
не должно	1	1
на других	1	1
собственно и	1	1
с его	5	5
первый раз	1	1
другой жизни	2	1
горах и	3	1
этих двух	1	1
это прежде	2	1
разговоре с	1	2
другому человеку	2	1
что она	4	7
на наш	2	4
о чем	1	8
и что	2	1
гуров в	2	1
и все	4	7
характером личность	1	1
чеховской прозы	9	1
чехова как	3	3
говорили о	1	2
из названных	1	1
человеческой жизни	4	6
ключевой момент	1	1
они все	1	2
о неуничтожимости	1	1
что на	2	3
и о	4	4
жизни и	5	6
но когда	1	1
эстетическая доминанта	1	2
себя и	2	2
жизни ее	1	1
прибегает к	2	1
него в	1	1
было известно	1	1
чехов писал	1	1
не бывает	2	1
души в	1	1
только не	1	2
по сути	1	1
место в	1	2
на одном	1	1
анной сергеевной	2	2
говорила она	2	1
и так	2	1
тех его	1	1
взгляда на	1	1
что все	1	3
нечто иное	1	1
мышления чехова	1	1
не может	7	4
дама с	3	2
то чего	1	1
там где	1	1
сказать что	1	2
в определении	1	1
угол зрения	2	1
[...] и	1	3
отнюдь не	3	2
не мнимого	1	1
того или	2	2
чужой дом	1	1
к подлинной	1	1
не могло	1	1
чужой жизнью	1	2
позицию адресата	1	1
такого рода	3	1
самую суть	1	1
в рассказах	2	1
в том	12	15
мы знаем	2	2
у чехова	13	9
в его	8	11
душа не	1	1
это время	1	1
и т.п	1	1
на две	1	1
живой и	1	1
своей души	1	1
творец своего	1	1
моя жизнь	1	1
приводит к	3	2
перелетные птицы	1	1
характер чеховского	2	1
о том	12	12
серая от	1	1
нравственной нормы	3	1
за ней	1	1
между тем	8	8
тайне природы	2	1
на месте	1	1
отношение к	1	2
теперь же	1	3
противоречие с	1	3
было как	1	1
с позиции	2	1
м м	3	1
еще в	3	1
да и	2	5
в самой	1	1
рассказа действительно	1	1
поскольку никакая	1	1
среди других	1	3
одиночество героя	1	1
которая не	2	1
героя словно	1	1
впрочем и	2	2
все было	1	3
эта картина	1	1
или человека	2	1
в немалой	1	1
больничным одеялом	1	1
авторского сознания	1	1
героя при	2	1
в духе	4	2
как мы	3	2
не все	1	3
от своего	1	2
противоречие между	1	2
может быть	5	8
и чувства	1	1
[...] что	1	2
и его	5	5
то в	4	4
в одной	2	1
личной тайной	1	4
ни с	1	2
а п	10	4
произведения и	1	1
рассказа это	1	2
в сфере	1	1
ходила в	1	1
в саду	1	1
а теперь	1	1
пока еще	2	3
приходит к	1	2
жизненная позиция	1	2
давно уже	1	2
зрелого чеховского	2	3
наблюдения и	1	1
и состоит	1	3
сострадание к	1	1
вихрем носилась	1	1
вовсе не	1	2
персонажей произведения	1	1
она не	4	5
вызывает сомнений	1	1
героя не	1	3
к двум	1	1
человеческого я	4	4
сверхличной заданностью	1	1
можно назвать	1	1
момент когда	2	1
человека а	1	1
чехова в	3	2
природе чеховского	1	1
ответить на	1	1
этого мотива	1	1
[...] не	5	2
я не	1	7
на смену	1	1
из толпы	2	1
магнитном поле	1	1
наше внимание	2	1
героев в	2	1
вторая половина	1	1
за собой	1	1
из этого	1	1
художественной концепции	1	5
чехова по	3	1
здесь не	2	2
о себе	1	3
путь к	1	1
быть личностью	1	2
бы в	1	1
числу тех	1	1
вслед за	1	4
слезами и	1	1
мать и	1	1
эти два	1	1
его рассуждений	1	1
счастья и	2	1
к внешнему	1	1
несет в	3	1
и ему	2	3
жизнью и	2	1
у толстого	1	1
она в	3	2
на пороге	1	2
достоевского и	1	1
ладу с	1	1
ему не	2	1
со стороны	3	3
с мезонином	2	1
определении эстетической	1	1
людей не	1	1
как он	2	3
одно из	1	5
или иная	3	1
в глазах	6	6
в таком	3	1
больше не	2	1
нас к	1	1
в частности	5	7
перед ним	1	1
[...] а	1	2
нет ничего	2	2
личной тайне	2	4
чехова мы	1	1
было ни	1	1
не принимает	1	1
ни одна	1	1
в каждой	1	1
т п	8	2
мертвый вид	2	1
в следующем	2	1
всякий раз	1	3
не во	1	2
ответ на	1	2
и даже	3	1
не было	4	6
но ведь	1	1
сердце у	1	1
еще раз	2	1
и тем	1	1
установкой на	2	1
того чтобы	3	4
в герое	1	1
из рассказа	3	1
в своих	3	1
только в	5	4
его героев	2	1
эстетической доминанты	2	1
автор и	1	1
с ними	2	3
так сказать	2	1
в этой	8	5
или иного	2	2
с того	2	2
сразу же	1	1
т е	4	2
отношению к	8	7
он видел	1	1
и никогда	1	1
были две	1	1
в чеховском	3	6
то и	3	4
в роли	1	2
вся жизнь	2	1
том случае	1	1
вещь личность	1	1
характер здесь	1	1
рассказа как	1	1
точно это	1	1
и эта	1	2
но для	1	1
двойной жизни	1	1
суть проблемной	1	1
как в	8	5
жизнь которая	1	1
не случайно	7	10
спит в	1	1
же о	1	1
что у	3	3
л н	5	1
и не	2	18
равнодушии к	1	1
мы уже	4	3
в пределе	1	1
характер героя	1	1
наш взгляд	2	4
произведение не	1	1
жизни в	6	7
вместе со	1	2
серьезность и	1	1
чеховского драматизма	1	3
гуров и	1	2
тем что	3	6
нервная сознательная	1	1
двух личностей	3	1
словно бы	1	1
уже в	1	1
и уж	1	1
герой рассказа	2	1
высшими целями	1	1
в жизни	1	8
это и	1	1
она жила	1	1
не только	12	11
развитие сюжета	1	1
о пустяках	1	1
однако здесь	1	1
он не	4	4
и читателя	4	3
с утра	1	1
в футляре	1	4
в человеке	2	3
но у	1	1
гуров например	1	1
все эти	3	1
наконец в	1	1
центральный персонаж	1	1
когда выходила	1	1
для всего	2	1
это был	1	2
особенно в	2	1
в данном	1	2
как уже	1	2
в пределах	3	1
значительной степени	2	1
к своим	1	1
оказывается не	1	1
рядом с	1	5
он вовсе	1	1
и потому	2	1
тенденция к	1	1
содержит в	1	1
о герое	1	1
со своим	2	3
такою же	1	1
с самого	1	1
поэтому не	1	1
т д	3	2
о двух	2	2
нам о	1	1
не видит	1	1
что бы	1	1
в себе	11	9
в ионыче	1	1
где как	1	1
на примере	1	1
на вас	1	1
в рассказе	11	21
и он	5	3
личности ее	2	1
глазах чехова	1	3
где в	1	1
сна в	3	1
была такою	2	1
человеческое я	1	1
жизнь есть	1	2
к тому	7	7
этого аспекта	1	1
личности в	7	3
нельзя было	1	2
к рассказу	1	1
на себе	2	1
нашей жизни	2	1
анекдота и	11	1
в восприятии	1	1
как у	1	2
своим персонажам	1	1
таким же	1	1
субъектов жизни	1	1
обнаруживает себя	1	1
она как	1	1
перед нами	5	11
в поле	1	1
одной стороны	1	3
бы не	1	3
анны сергеевны	13	1
внутренней жизни	2	4
как нам	2	1
в ладу	1	1
из них	4	2
остановимся подробнее	1	1
него сжалось	1	1
и для	3	2
мысли в	1	1
не более	1	2
до вечера	1	2
установка на	1	1
чехова можно	2	1
сам он	1	2
слушая его	1	1
не вызывает	1	1
рассказа о	3	1
ему даром	1	2
до конца	2	1
в настоящем	1	1
согласиться с	2	1
гурова и	1	2
художественного мира	2	1
в первом	1	2
и уже	1	4
и безличный	1	1
из путей	1	1
по себе	2	1
включить мысли	1	1
между личной	1	1
не менее	5	5
еще не	7	3
он сам	1	2
с ним	4	7
не столько	2	2
сознания в	1	1
лицо и	1	2
же самое	1	3
не могла	1	5
в конце	4	1
к той	1	2
личность внутренняя	1	1
этом свете	1	1
в ситуации	1	1
все еще	2	1
а в	7	6
кругозора героя	2	1
о музыкальности	1	1
тому что	4	4
в общении	1	1
какая же	1	1
церкви и	1	1
и н	4	1
в приданое	1	2
учителе словесности	1	1
и более	1	1
речи повествователя	1	1
всего в	1	1
гурова о	3	1
и внешней	1	2
по ходу	1	1
на них	1	1
не ощущается	1	1
своей жизни	2	4
дело в	1	1
по преимуществу	3	3
него и	1	1
в своем	4	5
противоположны по	1	1
его художественности	1	1
та или	3	1
но с	2	1
своего счастья	1	1
и на	3	3
в ходе	3	1
к области	1	1
в сторону	1	1
от друга	1	1
притча о	3	1
в прозе	1	1
жизни о	1	1
дамы с	4	2
на святках	4	1
почти ничего	1	1
наших глазах	1	1
так или	2	1
в двух	1	2
анекдоте или	1	1
на земле	1	1
по его	1	3
по ее	1	1
жизни с	1	2
первом случае	1	1
как и	9	11
но еще	2	2
потому что	5	2
в аспекте	5	1
ему в	1	2
у которого	1	2
с такой	1	2
он себе	1	1
этого персонажа	1	1
обращение к	1	1
в самом	4	5
человеком и	1	1
на том	2	1
не сводимой	1	2
же время	8	4
видит в	3	2
анну сергеевну	3	2
чехова и	1	1
инобытие личности	1	1
в то	8	6
и то	1	2
тогда как	7	7
по отношению	8	7
никогда не	6	5
раз в	2	3
м е	1	1
этом отношении	3	1
это внутренняя	1	1
и в	14	28
тишины и	1	1
или притче	1	1
тот и	1	1
в мире	3	7
так что	2	1
вопреки своей	1	1
произведения не	2	2
главах рассказа	1	1
новая нервная	1	1
своим характером	1	1
смерти каждого	2	1
лишь то	1	1
к эстетической	1	1
самоактуализация личности	2	1
личности чеховского	1	1
нам представляется	1	2
на наших	1	1
и только	1	2
но не	3	4
мотив сна	1	1
жизни так	2	2
не умеет	2	1
в т	3	2
к концу	1	1
из текста	2	1
и всегда	1	1
и говорит	1	1
и смерти	3	1
не в	7	13
читателя в	6	1
а другие	1	1
как будто	4	4
для нас	1	3
иная эстетическая	2	1
не означает	2	1
и стала	1	1
в полном	1	1
по мнению	5	1
писателя но	1	1
если можно	2	2
сводится к	1	6
случайно в	2	2
дело здесь	2	1
чеховского персонажа	2	1
выступает в	1	1
на этом	3	2
не была	2	1
а между	1	4
думал он	1	1
каким был	1	1
с какой	1	2
или человек	1	1
представить себе	1	1
человек в	2	3
и об	2	2
героя как	1	1
на нее	1	1
рассказе не	1	1
это были	1	1
в конечном	2	4
как она	2	1
дважды в	1	1
личности то	1	1
о своем	1	4
раз и	1	1
с мотивом	1	2
как это	1	7
напряжения между	1	1
который не	1	1
такое волнение	1	1
лишь в	3	2
однако художественным	1	1
их как	1	1
тех же	1	1
писал а	1	1
в темной	1	1
духовного самоопределения	3	2
а гурвичем	1	1
и с	4	6
я и	2	6
и казалось	1	3
глазах автора	3	1
жизнь каждого	1	1
но это	1	1
установки на	1	1
признать что	1	1
характер это	1	1
всего лишь	4	3
и личность	2	1
в противоречие	1	1
это в	3	1
своей внешней	1	3
когда он	1	1
тем в	1	1
его я	2	1
от этого	1	1
за нею	2	1
знаем что	1	1
же в	3	1
в ряду	1	2
он уже	4	2
ее и	1	1
близости с	1	1
стратегии художественного	1	1
о них	1	3
присутствует в	1	1
согласно которому	1	1
в анекдоте	4	1
также и	1	1
и т.д	1	2
подобно гурову	1	2
бытия на	1	2
это не	7	6
о трагизме	1	1
этот момент	2	1
именно на	1	2
ялтинских главах	1	1
деле не	1	3
с другой	1	3
в художественном	2	4
он все	1	1
финале рассказа	3	2
принадлежит к	1	1
художественном мире	1	1
роль принадлежит	1	1
другого человека	1	1
но он	3	1
рассказа начинается	1	1
различия между	1	2
так как	1	1
было бы	6	3
было понять	1	1
все последующее	1	1
как бы	7	5
притчевый символ	1	1
в москве	1	1
этого человека	1	1
в финальной	1	1
героя становится	1	1
а его	2	1
я героя	1	1
[...] с	2	2
в разряд	1	1
ценность в	1	1
казалось бы	7	6
он будет	1	2
прежде всего	11	3
точки зрения	5	2
чеховском рассказе	1	1
себе и	2	1
чеховского героя	2	3
не мог	1	1
а с	2	3
и личной	1	1
его личности	2	1
человека есть	1	1
видно что	2	1
ее осуществления	1	1
только бы	1	1
на это	1	1
но и	5	9
на фоне	2	3
художественности в	2	2
для читателя	1	1
утра до	1	1
и героя	1	1
именно в	7	2
эти слова	2	1
нет и	1	1
в ее	3	18
до сих	2	2
не знает	2	1
остановимся на	2	1
жить в	1	3
в творчестве	3	1
на человека	1	1
преимуществу к	1	1
узнаем о	1	1
художественного мышления	6	2
и дело	2	1
но именно	1	2
большинства чеховских	1	1
все та	1	1
будто бы	3	3
мы не	2	1
том чтобы	1	1
личности однако	1	1
одной из	2	3
в смерти	1	2
не слышит	2	1
себя в	4	8
человек с	1	1
чехова это	1	2
всей своей	1	1
концепцию личности	2	1
мы знакомимся	1	1
героя и	5	3
только для	2	2
же из	1	1
учитель словесности	1	4
и другого	1	1
жизни как	2	5
роль в	1	2
литературного творчества	2	1
уединенного сознания	4	1
в учителе	1	1
для чехова	4	4
его установкой	1	1
чеховской картины	1	1
для других	2	3
что не	2	2
во второй	5	2
в чужой	1	2
однако если	1	1
а не	12	14
другой личности	1	1
смерти чиновника	1	1
сводимой к	1	2
с этой	2	1
говорить о	3	2
узнаем что	1	1
и страхом	1	1
в этом	11	13
по чехову	1	2
художественности того	1	1
с одной	1	3
художественного целого	4	5
превращается в	3	4
социальный характер	1	2
тотчас же	1	1
очерченный характер	1	1
со своей	1	2
с анной	2	2
об этом	5	7
с внешней	2	2
к личности	1	1
жизни то	1	2
и проистекает	1	1
xix столетия	1	1
у себя	2	1
покоем и	1	1
глазах других	1	1
его жизни	2	5
и внутренне	1	2
строя художественности	2	4
и ее	1	3
или даже	1	1
а во	1	1
том как	3	2
смысла жизни	1	1
ходила по	1	1
а за	1	2
жизни на	2	2
для себя	3	6
теперь когда	1	1
казалось что	1	7
на него	2	3
этого не	1	1
жизни не	1	2
чеховского рассказа	9	9
[...] точно	1	1
пошлый анекдот	1	1
мы узнаем	4	1
еще одна	1	2
одна из	2	2
же как	2	2
в финале	3	2
в свои	1	1
действующих лиц	2	1
из этих	1	2
в общем	1	1
поскольку в	1	1
это своего	1	1
все это	2	3
своего я	3	3
взгляде на	1	1
состоит в	2	7
в качестве	9	4
как например	1	1
проникнуть в	2	1
жизненной позиции	1	1
я сам	1	1
едва ли	3	3
на свои	1	1
ослабевает и	1	1
высшей степени	1	1
анна сергеевна	17	2
чеховского человека	2	1
самом деле	5	3
их в	1	1
и когда	3	1
коренится в	1	1
по своей	4	1
классической традиции	1	1
он и	1	1
мысли и	1	2
если в	2	2
за этими	2	2
что я	2	2
о нем	3	2
хотя и	2	1
по ночам	1	1
душу и	1	1
от пыли	1	2
с ее	2	5
к социальной	1	1
но чрезвычайно	1	1
так о	1	1
не случайна	1	1
и другое	2	1
тот момент	2	1
нее тревожно	1	1
только на	2	5
представляется в	1	2
гуровым в	1	1
чужому я	1	1
например в	2	1
то же	9	6
и героем	1	1
внешней социальности	1	1
субъекта самоопределения	2	1
человеку в	1	1
когда в	1	3
жизненное положение	1	1
личность в	1	3
из чеховского	1	1
чужой жизни	2	5
могло бы	1	1
героя в	2	1
т с	4	2
случае если	1	1
немалой степени	1	1
человека не	2	1
противоречие в	1	1
у героини	1	1
драматизма в	1	1
меня самого	1	1
внешней разобщенности	1	1
собственного я	1	1
характерно что	1	3
о личности	1	1
это так	2	1
в речи	2	1
не нужно	2	1
к анне	5	1
во времени	1	1
о своей	2	1
билось сердце	1	1
отдельного человека	1	3
прозе чехова	1	1
и заканчивается	1	1
две перелетные	1	1
проблемной ситуации	1	1
в притчу	1	1
как два	1	1
характер и	2	2
мире чехова	1	1
человека и	1	3
что же	2	2
рассказа в	6	4
разумеется не	1	1
в себя	2	1
теперь он	1	1
каждого из	2	1
героя от	2	1
его сознания	1	1
и стал	1	1
и остается	1	1
гурова в	2	2
авторской иронии	1	3
не сразу	1	1
до уровня	1	1
целостного духовного	2	1
столь же	4	3
представляется нам	2	2
каждого отдельного	2	1
стихии анекдота	1	1
но мы	1	1
целостности произведения	2	1
характера в	3	1
в которой	1	1
первой половины	2	2
личности и	2	2
личности не	1	2
темной комнате	1	1
этими словами	1	2
в эстетической	1	1
которой он	1	1
но при	1	3
мужа анны	1	1
чисто внешней	1	1
по своим	1	1
ничего не	8	5
другом и	1	1
можно сказать	4	6
личности которая	1	1
половина рассказа	1	1
ее на	1	2
человеческих отношений	5	2
что он	9	8
ему хотелось	1	1
эстетической целостности	1	1
каждого человека	2	1
во внешней	1	3
данном случае	1	2
никитина в	1	1
других и	1	1
которого она	1	1
когда же	1	2
себе самому	3	1
себя с	1	2
что они	1	4
и тот	1	1
однако для	1	1
личности представляется	1	1
к этой	3	1
к жизни	5	1
в нем	3	3
второй главе	2	1
его художественной	1	1
случай по	1	1
в серьезных	1	1
или иначе	2	1
не человека	1	1
во всех	1	1
в дальнейшем	1	1
его но	1	1
в театре	3	1
жизни еще	1	1
в ореанде	1	1
один из	4	2
личность чеховского	1	2
в действительности	4	1
уже не	7	10
действующего лица	1	1
с точки	3	2
героя нельзя	1	1
в это	2	3
при всей	2	1
чеховского творчества	4	2
века в	1	1
же и	1	2
быть только	1	1
в силу	1	1
к себе	5	3
что ей	1	2
человеческого бытия	3	2
свою жизнь	1	1
он в	1	1
сострадания и	1	1
я в	1	1
в сущности	1	1
героини в	1	2
историческая поэтика	1	1
духовное содержание	1	1
хотя бы	1	2
безопорной души	1	2
п чудаков	2	1
внутренней социальности	2	1
знакомимся с	1	1
в ком	1	1
с женой	1	2
в такое	1	1
духовной жизни	1	1
похожая на	1	1
xix в	4	1
тогда в	1	2
самого начала	1	1
его рассказов	2	1
которым можно	1	1
связи что	1	1
во втором	1	2
но в	5	2
человека в	6	4
для нее	2	4
нашему убеждению	1	1
в контексте	1	2
и личным	1	2
в xix	1	1
серьезных рассказах	1	1
своего рода	7	16
досталось ему	1	1
все что	1	3
сих пор	2	2
потом когда	1	1
он от	1	1
нам видится	1	1
жизнь и	1	1
тем не	4	4
этой связи	4	2
лицо у	1	1
когда тот	1	1
переводит его	1	1
и мне	1	2
при этом	12	11
[...] но	1	1
внутренняя заданность	1	3
того что	4	1
его же	1	1
том что	16	19
у нее	2	10
эстетическая природа	1	1
такая же	1	1
у него	9	5
в ней	4	3
внимание на	2	3
на свете	1	1
и она	1	1
личности для	1	1
в другом	2	2
внутреннего я	2	2
однако и	3	2
эстетической природы	2	1
в этих	5	3
я теперь	1	1
н толстой	1	1
автора и	2	2
и а	5	2
отношения между	1	1
чем же	1	1
делах и	1	1
носилась пыль	1	1
анекдот о	1	1
к такого	1	1
долгое время	1	1
модус художественности	1	1
для него	10	5
притчу о	2	1
только о	1	1
уже говорилось	2	1
половины рассказа	2	2
не о	2	1
как к	3	1
этом он	1	1
вступает в	1	1
сознательная жизнь	1	1
же это	1	1
в голову	1	2
трудно не	1	2
глядя на	2	1
по выражению	2	1
в ответ	2	3
было ясно	1	1
субъекта в	1	1
ни на	1	1
в ужасе	1	1
из жизни	1	1
в слове	1	1
дом с	1	1
то ни	1	1
и сменяется	1	1
но все	1	1
а также	3	2
жизни его	1	1
можно было	5	3
что после	1	1
говорит о	1	4
и это	4	3
свое время	1	1
же не	1	2
для осмысления	1	1
жизнь в	1	2
в тот	2	1
в символ	1	1
чеховской художественности	6	6
и другие	1	5
когда его	1	1
в тексте	3	5
соответствии с	1	3
бытия с	1	1
к чужому	1	3
картины мира	4	1
