2gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_2gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_2gram
вместе с	10	6
он должен	1	1
записан только	1	1
сахаров сообщает	1	4
а к	1	2
делалось для	1	2
в том	17	22
из своей	1	1
здесь говорится	1	1
год и	5	1
приписывалась особая	1	2
относятся к	2	1
к церковным	1	2
изображается как	4	1
новый год	25	3
в его	2	1
этот день	10	10
это время	2	2
на две	1	2
речь будет	1	1
и другим	2	1
что русские	2	1
из всего	1	1
м снегирев	9	7
на стол	4	1
приводит к	3	1
говорится о	2	1
не раскрывает	1	1
о том	8	9
между тем	7	3
ii на	1	1
а макаренко	6	2
а н	18	3
оставляет сомнений	1	1
этих обрядов	1	4
в разные	2	2
возможно что	1	1
поле и	2	4
во двор	1	1
в виду	1	2
на то	1	1
сахаров ii	9	12
не отличаются	1	1
во всей	1	1
эти дни	4	1
увидим не	1	1
еще в	4	2
что между	1	1
время святок	4	1
ряда других	1	1
детей и	2	1
на санях	1	3
в некоторых	4	9
быть не	1	1
шейн по	1	1
не все	1	4
главным образом	2	3
как мы	10	3
в духе	1	1
также в	3	2
относится к	1	1
известно что	1	1
может быть	8	13
ii кн	8	12
и его	1	1
случаях когда	1	1
не можем	3	2
м снегирева	2	1
а п	2	1
с таким	1	1
не связаны	1	1
только тогда	1	3
которых имеются	1	1
обычай этот	1	3
из мертвых	1	2
и состоит	1	1
многих случаях	2	2
весенних обрядов	1	2
шейн i	6	9
она не	2	3
празднование рождения	1	1
себя внимание	1	1
этот не	1	1
что означает	1	1
к ним	3	1
день ивана	1	1
уж ты	1	1
в тех	4	1
так на	2	1
и иногда	1	2
по улицам	4	1
не на	2	1
в хороводе	1	1
с тем	8	6
из собранных	1	1
это показывает	2	3
бабы и	1	2
настоящее время	3	1
который в	1	1
iii и	1	1
эта теория	1	4
время они	1	1
по всему	1	1
пишет в	3	3
что обряд	2	1
во многих	5	9
направление в	1	1
из других	1	1
каждый из	1	2
средоточие растительной	1	1
увидим что	1	1
так называемое	1	1
к живым	1	1
имел заклинательное	1	1
никаких признаков	2	1
для посева	1	1
отличие от	1	3
калинский снегирев	3	1
на которых	1	1
хорошего урожая	1	1
его к	2	1
она в	3	1
тот же	1	1
как праздники	2	1
а а	25	8
и действительно	1	1
для них	3	2
это имело	1	1
и других	7	3
которые исполнялись	1	1
природы и	2	2
как он	2	1
поводу пишет	2	1
в советское	2	3
одно из	5	2
должны будем	1	1
в таком	1	4
в древнем	3	1
передний угол	1	3
с пением	1	1
на новый	2	3
нас к	2	3
что здесь	1	3
иные формы	1	1
дома в	1	1
в первый	4	1
большое количество	1	1
такие обряды	1	1
рассматриваться как	1	2
ни одна	1	1
показывает что	5	8
на этой	2	1
не будем	3	3
ответ на	1	1
не во	1	1
к слову	2	1
скоту зернова	1	1
ее для	1	1
на первую	1	1
к хозяину	1	1
яичницы и	1	1
советское время	2	3
с песнями	1	11
на березе	1	2
и при	1	2
или с	1	3
в своих	2	2
у белорусов	7	1
только в	4	1
с ними	5	1
весенний праздник	1	1
в этой	1	3
изучить весь	1	1
этого праздника	3	2
сразу же	1	2
т е	17	24
после этого	4	2
максимов описывает	1	2
ассимилировались с	1	1
он видел	1	1
к выводу	2	1
то и	1	4
период зимнего	1	1
всяком случае	1	1
идут в	1	2
одиночку или	1	1
аграрных праздников	1	2
к этому	4	5
место при	1	1
и назначение	1	1
почему именно	1	1
в наступающем	2	1
к заключению	1	1
носили с	2	1
как в	5	7
перед петровым	1	1
и жены	1	1
во всяком	1	1
к весне	2	2
и не	6	1
что у	2	1
бросали в	1	7
мы уже	1	1
но вместе	1	2
их смешение	1	1
от этого	1	1
и объяснить	1	1
русский обряд	1	1
на украине	3	2
например на	1	1
таким образом	6	6
вера в	1	1
по своему	1	1
и вообще	1	1
ч с	1	4
однако как	2	1
что чем	1	1
показывают что	2	1
исконного смысла	1	1
в домах	3	1
представления в	1	1
связанные с	3	2
шейн из	1	1
и чичеров	13	2
а терещенко	3	4
тогда когда	1	4
тем что	4	3
у русских	8	4
это подтверждается	1	1
уже в	1	1
можно установить	1	1
целый год	1	1
н ф	1	2
губернии и	1	2
можно рассматривать	1	1
другие праздники	5	2
березками и	1	1
к новой	1	1
не только	22	10
на другой	1	2
с вечера	1	2
в основном	3	1
его жизнь	1	1
там же	5	12
все эти	2	3
уже указывалось	3	2
потом на	1	1
в данном	1	6
если предположить	1	1
как уже	4	2
же сведения	1	2
в пределах	1	1
яйцами и	1	1
в праздничные	1	1
петра i	4	1
и потому	2	1
ивана купалы	1	8
есть и	1	1
воротами во	1	1
случае не	1	1
в их	4	2
описывает его	1	1
пробуждения природы	1	1
убогих домах	1	1
калинский на	2	1
иногда и	5	2
т д	9	5
три дня	1	1
чем решить	1	1
не будут	1	1
представления о	1	2
из самых	1	1
на могилах	8	2
того в	1	2
из своих	1	1
весь год	2	1
с той	1	1
дело так	1	1
и другими	2	1
с этого	6	1
интересами и	1	1
как на	1	1
ефименко сообщает	1	1
например по	1	1
к праздникам	1	2
праздновалась в	1	1
можно показать	1	1
на основе	1	1
как у	1	1
домой и	2	1
церковь приурочила	1	1
обряды и	2	1
таким же	3	1
не оставляет	1	1
[т е	2	1
семик и	1	2
в поле	3	19
она как	1	2
плодородие земли	1	2
перед нами	1	1
в древней	2	1
чтобы решить	1	2
раньше чем	1	1
только как	1	2
русальная неделя	1	2
первый день	5	1
было обеспечить	1	2
зернова в	1	2
имеется довольно	1	1
исконный смысл	3	3
из них	8	4
последний день	2	1
при рассмотрении	1	2
не более	1	1
и для	2	2
и многие	2	2
этому времени	1	1
тем временем	1	1
для русских	1	1
до конца	2	3
по домам	3	3
христианского учения	1	1
в саратовской	3	1
празднеств в	1	1
шейн №	10	2
русских у	1	1
земли и	1	5
или души	1	1
иван купало	1	1
после чего	2	2
нескольку человек	1	1
не дают	1	1
не менее	3	2
заключить что	1	1
еще не	4	6
делается и	1	1
в году	2	3
с ним	2	1
не столько	1	2
в изучении	2	1
или вообще	1	4
церковью в	3	1
на масленице	2	1
так в	4	2
в римском	1	1
имели целью	1	1
сообщает в	1	1
представляют собой	7	7
этого обряда	3	2
следовательно и	1	1
на все	2	1
же а	2	2
а в	9	9
ивана купалу	4	6
церкви и	1	2
же можно	1	1
эта же	1	1
и более	2	1
представляет собой	4	2
только с	1	1
и парни	1	2
костров и	1	3
носит название	1	1
больших праздников	1	1
шейном в	2	1
на них	1	4
апреля в	1	1
или когда	1	1
в воскресенье	1	2
дело в	1	1
такую же	1	1
лентами и	1	2
в своем	3	1
поют и	1	2
на которой	1	1
но она	2	2
и на	10	6
делали из	1	2
в различных	2	1
которые в	1	1
считает что	1	1
в лес	1	3
кладут на	2	2
свет на	1	1
с козой	4	1
ф карский	7	1
ч №	1	2
от него	1	1
в дом	2	8
в приведенном	1	1
е на	1	1
чтобы они	2	2
на святках	11	5
этот обряд	3	6
и предшествующие	1	1
в одно	1	1
ф сумцов	1	2
в двух	1	1
расставлялись по	1	1
по его	1	1
п в	13	12
и п	16	13
не имели	1	2
в честь	3	3
существенного значения	2	1
своих целях	1	1
обычаев и	2	2
как и	10	11
тому как	1	3
должен был	1	3
совпадают с	3	1
потому что	10	5
и всех	1	1
воздействовать на	2	2
другие народы	1	1
снегирев сообщает	3	4
что для	1	3
да по	1	1
вывод что	3	2
многих местах	2	1
из праздников	1	1
этом обряде	1	1
по этому	3	2
мыслительная основа	2	1
тогда как	2	2
ходят по	3	1
будет ниже	1	1
троицы на	1	1
могут рассматриваться	1	1
в то	1	2
других праздников	2	1
и другой	3	3
цель как	1	1
становится ясным	1	1
чтобы вызвать	1	2
м е	4	1
этом отношении	1	1
всех этих	2	1
что есть	1	1
объясняет почему	1	1
крошили на	1	1
к их	1	1
приведенных материалов	1	2
обрядовой поэзии	1	1
и в	36	29
связаны с	3	3
так же	3	4
других губерниях	1	1
время которого	1	1
чтобы она	1	1
под названием	1	2
так что	2	4
костры и	1	1
не просто	2	1
так как	15	13
обряд и	1	2
в шейн	7	10
более поздний	1	1
заклинательное значение	1	1
значение в	1	1
но не	2	5
их так	1	1
на природу	1	2
с религией	2	2
а б	1	8
необходимо указать	1	1
такой же	2	1
был записан	1	1
петров день	1	2
и местами	1	1
в вологодской	1	1
становятся ясными	1	1
в земле	2	4
в калужской	1	3
для нас	6	6
как будто	5	1
на лето	1	2
макаренко о	1	1
есть в	1	2
собой как	1	1
на этом	3	3
мы должны	2	1
и во	1	1
бросается в	1	2
в которых	5	4
по существу	4	4
чаще всего	3	1
как знак	1	1
обряды с	1	3
и до	2	1
будут рассмотрены	1	3
вологодской губернии	1	2
не совсем	4	2
в пищу	3	2
верба и	1	1
как это	8	4
это без	1	1
зятьев о	1	1
что этот	4	1
с этим	2	2
от плача	3	1
до троицы	1	2
на место	1	1
iv в	1	1
но иногда	1	1
на жито	1	1
ветки или	1	1
эти отличия	1	1
и с	2	10
предположить что	2	4
но это	4	1
других вариантах	1	1
исходя из	1	1
xvi-xvii вв	1	1
шествия с	1	2
егорьев день	3	1
в шейна	2	1
ср сахаров	2	1
под влиянием	1	1
вс миллер	3	2
когда он	2	1
или другие	2	1
полагает что	6	2
говорится что	3	4
другие сроки	6	3
с земледельческими	1	1
тех случаях	1	1
за руки	1	7
скота или	1	1
не составляет	1	1
чтобы рожь	1	1
же в	1	6
е в	8	10
это сходство	2	1
шествие с	3	1
местах где	2	1
для этого	2	5
целью воздействовать	1	1
обряды на	1	1
этой же	1	1
в заключение	1	1
это не	10	5
№ эта	1	1
к таким	3	2
нет в	1	1
п сахаров	5	7
верят что	2	1
некоторое время	1	1
снегирев ii	8	2
и др	4	1
и как	2	2
дело не	1	2
на троицу	7	2
далеко не	3	4
уже знаем	1	1
того как	5	2
было бы	1	3
с ефименко	3	1
а иногда	4	2
сил земли	1	1
как бы	5	18
сходство с	2	1
в москве	3	1
обрядов к	1	1
с яйцами	1	1
вносили в	1	4
очевидно что	1	2
в глаза	1	2
и троицу	1	1
изучения материалов	1	1
сведения имеются	1	1
песне поется	1	2
а культ	1	1
возжиганием огромных	1	1
полагая что	3	1
однако такое	1	1
их не	2	1
русских народных	1	1
должно было	2	3
выводу что	2	1
что от	2	3
а с	4	2
имело место	2	1
рожь густа	1	2
что именно	2	1
тем и	2	2
веселье и	1	1
святок на	1	1
и ставили	2	1
видно что	6	2
к зеленин	5	3
у нас	8	4
но есть	2	1
но и	16	8
сообщает из	3	15
что этим	1	1
купалы с	1	2
а затем	1	4
губерниях в	1	1
vii в	2	1
и воскресения	1	2
и никифоров	2	1
в песнях	2	3
из теста	6	1
их на	4	1
песен в	1	1
в противном	1	1
губернии что	1	5
год в	2	1
будто бы	6	5
в большинстве	2	1
том чтобы	1	2
основа и	1	1
это приводит	1	1
мы не	6	6
своему происхождению	1	1
чем в	2	2
как символ	2	1
в виде	6	4
разницей что	1	1
последнего снопа	1	1
примерно в	1	1
имеет место	2	1
воскресение божества	1	2
летнего солнцеворота	2	1
только для	2	1
снегирев iii	6	8
этом не	1	1
здесь мы	1	2
праздники но	1	1
воскресения из	1	1
после обеда	1	4
на самом	2	2
мы рассмотрим	1	4
что масленица	1	1
и наконец	1	1
не был	1	2
и позднейшей	1	1
по нескольку	2	2
не к	1	2
саратовской губернии	4	3
можно объяснить	2	1
стоит в	2	1
но эта	1	1
место с	1	1
они становятся	1	1
видел в	1	1
землю и	1	1
русский материал	1	1
что эти	1	1
и пр	2	2
в субботу	4	1
а не	2	4
не что	2	2
бога а	1	1
переход от	2	2
говорить о	1	1
этот вопрос	2	2
все что	1	1
взявшись за	1	3
это раскроется	1	1
магическое значение	1	1
но можно	1	2
в этом	12	11
полу и	1	1
жизнь но	1	1
на русальную	1	1
быть назван	1	1
об этом	9	2
была обеспечить	1	3
что также	1	1
быть и	2	1
наступающем году	2	1
характер чем	1	1
нет никаких	1	2
в образе	2	2
по другим	1	1
других случаях	3	1
с празднованием	1	1
и ее	1	2
урожай на	1	1
и м	14	8
эта песня	2	1
снегирев iv	1	1
особое значение	1	1
торжественно вносилось	1	1
г в	4	1
праздник масленица	1	1
и под	1	3
которая должна	1	1
семицкую неделю	1	1
до того	2	1
встречаются и	1	1
одна из	4	11
в западной	2	1
употребление в	2	1
же как	1	4
собой и	1	1
обрядов и	2	1
из этих	4	2
очень много	1	1
других праздниках	1	1
приходился на	1	1
на некоторые	1	1
в середине	3	1
этого слова	3	1
все это	6	10
был обычай	1	1
состоит в	8	15
только одно	1	1
как например	3	3
в качестве	3	3
христианской религии	1	1
такого мнения	1	1
их в	3	4
находится в	2	1
теста в	2	1
вносилось в	1	1
вербное воскресенье	1	1
где говорится	1	1
в целях	3	2
что касается	1	1
е ф	7	1
п с	4	1
если в	3	1
состояла в	1	2
самом же	1	2
хотя и	2	1
не так	1	1
пинежском уезде	3	1
обрядового значения	1	1
и должна	1	1
в егорьев	2	1
только на	3	1
например в	2	1
№ в	1	2
зимнего солнцеворота	4	1
это делалось	6	4
содержится в	1	1
на радуницу	2	1
не соответствует	1	1
также не	1	1
н афанасьев	4	3
то же	3	4
этот обычай	11	4
в песне	3	1
должна была	2	5
другие обряды	1	2
русских аграрных	1	2
были у	1	1
обряды или	1	1
растительной силы	1	2
в самих	2	1
другой день	1	2
исключительная принадлежность	1	1
в одиночку	1	1
день масленицы	1	1
эта связь	1	2
от другого	1	1
обычно в	1	1
славян на	1	1
значение и	2	1
в какой	2	1
с последним	1	1
в в	2	1
на другие	2	1
представление будто	1	2
начиная с	3	2
можно говорить	2	1
нас не	2	2
домах и	1	1
в свете	2	3
поют песни	1	2
из ряда	1	1
случай этот	1	1
давали в	2	1
снегирев в	1	1
или не	1	1
в круг	2	1
с собой	4	1
в последний	2	3
например из	1	1
из сибири	5	1
ленты и	1	1
некоторых других	1	1
не объясняет	2	3
по народному	1	1
масленицу на	1	1
приказу петра	1	1
такие же	1	3
вопрос о	1	4
некоторые исследователи	2	1
в которой	1	2
весенним и	1	1
не всегда	1	3
уничтожение чучела	1	1
к нему	1	4
основана на	1	1
имеются из	1	2
можно сказать	1	1
мы приведем	1	2
ничего не	3	1
в день	6	7
а и	5	2
именно с	2	1
ее на	1	2
в забаву	1	1
что он	1	1
быть потому	1	1
русских обрядов	1	1
в течение	5	2
что по	4	4
обрядов в	2	1
данном случае	1	7
масленичной недели	1	2
но они	3	1
объяснения и	1	1
что они	7	1
другие детали	1	1
к жизни	3	5
в нем	2	1
во время	14	12
много насмешливых	1	1
завивания березок	1	1
эти представления	2	4
в других	11	15
заметить что	1	2
во всех	4	3
иногда как	1	1
поминовения усопших	1	1
через них	1	7
собираются на	1	1
древних славян	3	1
он был	2	1
п минх	1	1
обычай был	1	1
или по	1	1
тексты песен	1	1
когда масленицу	1	2
что и	7	2
один из	8	2
уже не	6	4
в сказках	1	1
и поэтому	2	1
должны были	2	2
чичеров в	2	1
в это	3	1
как праздник	1	1
этим объясняется	1	1
водили хороводы	1	1
в обрядах	1	1
в сибири	2	2
этим в	1	1
широко распространено	1	1
могли также	1	2
у великорусов	4	1
том же	2	4
представление о	3	5
неделе назывался	1	1
ржи в	2	1
уверенности что	1	1
этот случай	1	1
почему при	1	1
каждый праздник	1	1
иных местах	1	1
урожая и	1	1
с ней	2	5
и здесь	2	1
на плодородие	1	2
в настоящее	3	1
которое в	1	2
какой степени	2	1
показать что	1	1
образом из	1	1
тот кто	1	1
как сообщает	2	1
в народе	1	3
или в	2	7
xix в	13	3
и по	8	3
но в	2	5
приводит нас	2	2
в пинежском	2	1
же но	1	1
не имеет	6	3
это называлось	1	1
в xix	10	3
и троица	1	1
в отличие	1	3
своего рода	3	1
была записана	3	1
с греческим	1	1
ефименко i	4	1
связанных с	1	1
от одного	1	1
и перепрыгиванием	1	1
тем не	3	2
г где	1	1
жизнь и	1	2
ее с	1	1
масленицы и	1	1
песнями и	1	3
отличаются от	1	1
имеет существенного	1	1
состояло в	2	1
на поле	1	4
церковью они	1	1
при этом	6	6
во плоти	1	2
владимирской губернии	1	5
того что	4	3
в форме	1	2
том что	19	22
западной европе	2	1
в ней	2	1
после пасхи	3	1
рязанской губернии	2	1
что иное	2	2
в народном	1	3
следует признать	1	1
народном календаре	1	1
же месте	1	1
собой очень	1	1
в этих	3	3
народных праздниках	2	1
обряды в	1	1
и следовательно	1	1
в и	17	3
что каждый	1	1
древней руси	2	1
к русским	1	3
это на	1	1
себе дело	1	1
детскую игру	1	1
но ни	2	1
этому же	2	1
к новому	1	1
перед наступлением	1	1
на себя	2	2
ту же	1	1
впереди всех	1	1
к ней	2	2
то кто	1	1
свою очередь	2	1
в различные	1	1
своих сил	1	1
в передний	2	1
совсем не	1	2
начале весны	1	1
в другие	8	4
этих песен	3	1
входит в	4	1
субботу перед	2	1
необходимо изучить	1	1
не ходили	1	1
песни и	3	4
оно не	1	1
же значение	1	1
но все	3	1
мы увидим	8	1
следующий за	1	2
связь между	2	2
аграрных обрядовых	1	1
а также	3	4
что это	3	3
можно было	1	2
говорит о	1	2
и это	1	1
святках подражали	1	1
он пишет	1	1
сюда же	1	2
смерти и	1	2
в этот	10	10
на свадьбах	2	1
и другие	13	14
пишет что	1	3
еще далеко	1	1
в шейном	3	1
от них	3	1
не было	2	2
не с	3	2
общего не	1	1
в область	1	1
описывает этот	1	1
теория заимствования	1	1
исключение составляет	1	1
ничего общего	2	1
