3gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_3gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_3gram
этом последнем мы	1	1
имеем дело с	2	2
в речи повествователя	1	1
в нашем сознании	1	1
и тем самым	2	4
как правило не	1	1
а с другой	1	1
и в жизни	1	1
у нас нет	2	1
выговорить ни слова	1	1
