2gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_2gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_2gram
смысл именно	1	1
текста на	1	1
несобственно-прямую речь	1	1
реалистической классики	1	1
прямо родился	1	1
и иных	2	1
всю свою	1	1
раз и	1	1
она сама	1	1
как слушатели-читатели	1	1
как это	3	4
любая история	1	1
чеховского события	1	1
который не	1	1
аспекты нашего	1	1
преосвященного петра	4	2
и с	3	1
но это	1	2
рассказе чехова	1	1
ментального видения	4	2
исходя из	3	1
всего лишь	3	6
в него	1	2
мы способны	1	1
приобретает в	1	1
чехова однако	1	1
событийность излагаемых	2	1
представлялось ему	1	1
когда он	1	1
свою позицию	1	2
что рассказчик	1	1
за нею	1	1
завершающее слово	1	1
о роли	1	1
же в	2	4
как освободиться	1	1
он уже	2	1
текста если	1	1
чем и	1	1
не самим	1	1
о них	3	2
уэйн бут	1	1
и самого	2	1
как будет	1	1
бы она	1	1
нарративное высказывание	2	1
также и	3	1
две жизни	2	2
и т.д	6	4
последнем мы	1	1
встречи с	2	2
и текста	1	1
это не	3	3
опирается на	1	1
это все	1	1
нарративное время	1	2
с другой	2	5
и как	3	1
финале рассказа	1	1
в равной	2	2
которая состоит	1	2
принадлежит к	1	1
до их	1	1
наррации в	2	1
роль принадлежит	1	1
дело не	2	1
далеко не	1	5
но несомненно	1	1
в чем	2	2
и ментативных	1	1
было понять	1	1
в случае	2	2
стать полноценным	1	1
как бы	6	6
приезде матери	1	1
свидетеля и	2	2
принципе невозможно	1	1
какой бы	1	1
более или	1	1
а его	2	1
внутренней личностной	1	1
рассказываемой истории	4	1
в первой	2	1
не обязательно	1	2
в последние	1	1
дело с	2	2
прежде всего	4	6
о его	2	1
точки зрения	5	5
не владеет	2	1
всей его	1	1
не мог	6	1
человеке в	1	1
первого и	1	1
а стало	1	1
можно развернуть	1	1
героя но	2	1
а с	1	2
каким он	2	1
себя больше	1	1
не предполагает	1	1
что именно	1	1
четыре центральных	1	1
событийной цепи	2	4
у нас	3	2
но и	27	15
явная [...]	1	1
на фоне	1	2
для читателя	1	1
бы желая	1	1
в ее	1	4
именно в	3	2
до сих	2	1
событие рассказывания	1	2
ситуации в	2	1
не знает	1	1
соотносится с	1	1
очевидным образом	1	2
построена так	1	1
следует признать	1	4
события смерти	1	1
в зависимости	2	1
будто бы	1	1
статус и	2	1
в организации	1	1
себе но	1	1
мы не	3	2
личности героя	1	2
коммуникативное событие	1	6
одной из	1	1
счетом ничего	1	1
персонажа и	2	2
героя с	1	1
себя в	2	2
имплицитного автора	1	1
в историю	1	1
первого эпизода	1	1
имеет место	4	2
первого лица	1	3
на протяжении	7	5
всей своей	1	2
в художественных	2	1
первой главы	1	1
героя и	2	2
от его	1	2
о приезде	2	1
речи персонажей	1	1
в результате	2	2
есть время	1	1
опыта в	1	3
ли в	1	1
роль в	2	2
на самом	1	2
современная нарратология	3	1
и наконец	1	1
зависит от	2	2
эпизодов кроется	1	1
сознании героя	1	1
напротив они	1	1
не подлежит	2	1
то они	2	1
художественных текстах	2	1
возникает вследствие	1	1
умирание героя	1	1
смысле можно	1	1
кем-нибудь своими	1	1
быть в	1	1
может состоять	1	1
повествовательной коммуникации	1	1
в целом	3	3
сам себя	1	1
рассказанной истории	1	2
каменных плит	1	1
по большей	3	3
что не	2	1
и опять	1	2
в строгом	1	2
от третьего	1	1
опыта присутствия	1	2
во второй	1	2
ряде случаев	1	1
а не	13	17
от первого	1	3
все что	2	4
с одной	1	5
в этом	12	13
художественного целого	1	1
знаменательно что	1	1
нарративного текста	4	2
фраза построена	1	1
но порой	1	1
повествуемом мире	1	1
со своей	1	2
сами участвуем	1	1
с анной	5	1
личную тайну	1	1
об этом	6	4
точно так	1	2
быть и	2	1
жизни то	1	1
одного сознания	1	1
не роман	1	1
xix столетия	2	2
одним из	1	1
его жизни	3	2
самом первом	1	2
что мы	2	1
в некотором	1	1
нарративной структуры	3	1
героя когда	1	1
или даже	1	3
людей и	1	1
а во	4	2
из многочисленных	1	1
том как	1	2
жизни одна	1	1
не встречается	1	1
как нарративная	1	1
является носителем	1	1
казалось что	1	2
отмежевывается от	1	1
перформативных и	1	1
в нарративном	1	2
со словами	2	1
епархиального архиерея	1	1
жизни не	1	1
нем не	1	1
событийного опыта	8	7
поистине не	1	1
одиннадцать душ	1	1
мы узнаем	1	2
одного персонажа	1	1
одна из	4	3
еще одна	1	1
и внутреннего	2	2
же как	1	2
в финале	3	1
в обращении	1	1
которые могут	1	1
действующих лиц	5	3
из этих	4	2
плачут и	1	1
все это	1	1
особенность нарративного	1	2
состоит в	10	12
слова выше	1	1
в качестве	14	14
его авторской	1	1
углубиться в	1	1
системы персонажей	1	1
жизненной позиции	1	1
едва ли	3	3
в сознании	4	2
как именно	1	1
ведет к	1	2
и смерть	1	1
самом деле	3	3
краткий эпизод	1	1
анна сергеевна	4	1
в формах	1	1
мы будем	1	1
повествовательные кадры	1	1
по своей	1	3
это была	2	1
и когда	1	3
петра а	1	1
их в	3	1
что касается	2	1
речь самого	2	1
в воспринимающем	3	1
что я	1	3
с нами	1	1
о нем	3	3
хотя и	4	5
папа и	1	1
жизни а	3	1
с ее	2	1
нарративного высказывания	3	3
и концом	1	2
нее тревожно	1	1
только на	2	2
они не	1	2
классического реализма	2	2
например в	1	1
и племянницы	3	1
приказал долго	1	1
дословная передача	1	1
к столь	1	1
то же	8	4
событие здесь	1	1
когда в	3	1
весеннее солнышко	1	1
повествователя и	4	1
что создает	1	1
свидетельствует об	1	1
рассказа от	1	1
это было	2	1
могло бы	3	2
героя в	3	6
другой день	3	1
не будет	2	2
дух повествования	2	1
ненадежного нарратора	2	1
говоря и	1	1
ли признать	1	1
этом и	4	1
чеховский рассказчик	1	1
нарративных структур	4	1
в центре	3	2
собой своего	1	2
в речи	4	1
повествования в	3	3
смерть героя	1	2
глядела на	1	2
текста так	1	1
о своей	2	1
билось сердце	1	1
прозе чехова	2	1
дядю преосвященного	1	1
оно интерсубъективно	1	1
или не	4	1
с собой	1	1
каждого из	1	1
рассказа в	5	1
другого сознания	2	2
только что	2	2
к страстям	1	1
кругозор нарратора	1	2
коммуникативного события	1	8
рассказа не	1	1
столь же	5	2
повествуемое событие	2	2
новое и	1	1
из персонажей	1	1
структуре текста	1	1
родился монахом	1	1
если она	2	1
рассказывания в	2	4
присутствия в	3	2
данного персонажа	1	1
утверждает что	1	1
двух или	2	2
излагаемой истории	1	4
в которой	1	1
не всегда	3	1
к нему	4	1
солнцем и	1	1
произведения как	1	1
но при	3	4
можно сказать	5	6
текста о	1	1
точку зрения	1	3
ничего не	2	6
которой он	1	3
случае с	1	1
человеческих отношений	1	1
что он	3	5
протекавшая тайно	1	1
рикёр называет	1	2
данном случае	8	6
нарратор это	1	1
событийности той	1	1
но они	3	1
чем матерью	1	1
однако для	1	1
выговорить ни	1	1
по определению	1	2
к фигуре	1	1
другая протекавшая	1	1
чувствует и	1	1
к жизни	2	1
скучной истории	1	1
во время	1	2
в нем	4	5
истории в	4	4
во всех	1	1
которое может	1	1
нового времени	1	2
не говорит	3	1
свободен теперь	3	1
по поводу	1	2
между началом	1	1
в современной	3	2
в театре	2	1
широкое небо	1	1
не сливаются	1	1
что и	1	2
один из	6	3
в действительности	1	1
шире и	1	1
уже не	8	4
к эпизоду	1	2
ясно что	1	1
история по	1	1
с точки	1	2
не утрачивая	1	1
при всей	3	4
чеховского творчества	1	2
событийности в	3	2
в силу	1	4
чехова иначе	1	1
к себе	4	7
того о	1	1
чеховский рассказ	1	1
а для	3	1
человек и	1	1
человеческого бытия	1	1
ровным счетом	1	1
свою жизнь	1	1
внутренний мир	1	1
нарративное пространство	1	1
я в	2	5
проникновения в	1	1
что было	1	1
рассказывания о	1	1
будто он	1	1
хотя бы	2	2
сомневаться в	1	1
или иной	4	3
хранения и	1	1
новейшей литературе	1	1
жизни но	2	1
матери с	2	1
дискурсов в	1	1
нарративные структуры	1	1
данном рассказе	2	2
нас нет	1	2
и здесь	1	2
в е	2	1
дьяконицей чем	1	1
в итоге	1	3
в церкви	1	2
или в	6	1
и по	1	3
от первой	1	1
но в	7	6
[...] то	1	1
для нее	1	1
ее фокализацией	1	1
надежда на	1	1
простой и	1	1
не имеет	2	2
мир и	1	1
за границей	1	2
как по	1	3
но зато	2	2
в отличие	2	5
своего рода	10	9
сих пор	2	1
и сам	1	3
смысловом отношении	1	1
специфически человеческий	1	1
установки и	1	1
и составляет	2	1
тем не	3	5
какая-то куцая	1	1
а именно	1	1
при этом	19	14
того что	4	6
в форме	2	5
том что	7	13
но уже	1	1
от нарративной	1	1
бескрылая жизнь	2	1
у нее	4	4
у него	7	6
и конца	4	1
в ней	4	2
и лишь	1	1
преосвященного как	1	1
но достаточно	1	1
в ряде	1	1
внимание на	4	3
частности в	1	1
что иное	1	1
томило сильное	1	1
последних дней	1	1
однако и	4	1
персонажа или	2	1
в нарратологии	3	1
это он	1	1
е годы	1	1
автора и	1	1
в гостиной	1	1
о котором	1	3
все об	1	1
в этих	2	1
преображения героя	2	1
нарративную интригу	1	2
в котором	1	5
в рамках	1	6
для него	4	4
позднего чехова	1	2
есть на	1	1
уже говорилось	1	4
того же	1	1
говорилось выше	1	3
из наиболее	4	2
не о	2	1
на себя	4	1
нарративных текстах	1	1
к ней	1	3
и судии	2	2
глядя на	2	1
кадры ментального	4	1
в ответ	1	3
это означает	1	1
входит в	2	1
для множества	1	1
в нарративной	2	1
быть рассказано	1	1
к ее	2	1
целой жизни	1	1
это сделать	1	1
в слове	3	3
оно не	2	2
адресата не	1	2
повествуемым миром	1	1
в романе	2	1
достаточно определенное	1	1
а также	6	6
перехода от	1	1
что это	1	4
легкой руки	1	1
говорит о	1	2
этой инстанции	1	1
теперь и	1	1
утрачивает свою	1	1
неклассической художественности	1	1
витторио страда	1	1
от ее	1	1
еще более	1	1
может служить	3	2
не с	1	1
в связи	2	1
соответствии с	4	3
уходом из	1	1
в тексте	13	8
это их	1	1
картины мира	3	2
