2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram
внутреннего зрения	1	12
к самому	1	1
и произведением	1	1
субъективной данности	1	1
и бросив	1	1
природе своей	2	2
печоринского поведения	1	1
н и	1	2
и наоборот	1	2
говоря словами	1	1
в литературном	1	1
как-то раз	2	2
в нулевом	1	1
как мы	2	3
однако не	3	1
не все	2	1
от своего	2	2
особого рода	7	2
иного рода	2	2
может быть	29	6
и его	5	4
текст в	2	1
может показаться	1	1
ни с	3	2
и действия	1	1
более высокой	1	1
я как	1	2
у читателя	1	1
и фатализмом	1	1
с настей	2	1
на уровне	3	9
то самое	1	1
случилось прожить	1	1
вследствие этого	3	2
в самостоятельный	1	1
вулича над	1	2
в отношении	1	1
которое есть	1	1
вовсе не	2	2
может выступать	2	2
новеллистический сюжет	1	1
раздел второй	1	1
себя внимание	1	3
с автором	1	1
человеческого я	2	1
между двумя	3	4
себя самого	1	1
есть не	8	1
кульминации и	1	1
была бы	2	2
его от	1	3
совершенно особого	1	1
я не	1	1
отношением к	1	1
который в	2	1
обратиться к	3	1
из этого	1	1
конструкция в	1	1
смысл произведения	3	1
литературе нового	1	1
я один	1	1
о себе	1	2
вздумал испытать	1	1
в глубине	1	1
каждый из	2	1
и адресат	1	1
автором и	1	1
той или	6	3
ли он	2	1
вслед за	1	2
а о	1	1
культурной общности	1	1
которая является	1	1
я затворил	1	2
эстетическим объектом	4	1
отличие от	6	2
его к	2	1
для обозначения	1	1
тот же	1	1
это путь	1	1
или ином	3	2
ставит себя	1	1
со стороны	2	3
мира в	2	1
как он	3	1
тем как	1	1
эпизод а	1	1
текста и	8	2
этой причине	1	1
часа утра	1	1
сверхличного миропорядка	1	1
в таком	3	2
нас к	1	2
в частности	19	16
как говорит	2	2
еще а	1	1
форме композиции	1	1
то он	2	1
реальности если	1	2
анализа в	2	1
две недели	1	1
и даже	1	9
может не	1	1
вопроса о	3	1
нам не	1	1
о жизни	1	2
еще раз	1	1
и тем	1	4
установкой на	2	1
и при	1	1
один понимал	1	1
только в	6	4
в этой	5	9
означало бы	1	1
другой стороны	2	2
и печорин	1	2
или иного	3	3
предмета анализа	1	1
отношению к	5	4
собой систему	2	2
своим другим	1	1
субъектная организация	1	1
в присутствии	2	1
то и	1	1
в роли	2	2
с максимом	2	1
соответствии с	2	2
свидетельствует о	2	2
литературное произведение	12	3
самим собою	1	1
членения не	1	1
есть логическое	1	1
романа в	2	3
под диктовку	1	1
оно и	1	1
реальности в	4	2
высказывания в	1	3
как в	1	4
зачем же	1	1
не случайно	3	8
и не	21	12
мы уже	1	1
наш взгляд	6	1
текста как	1	2
и исторически	1	1
коммуникативном событии	1	1
не являющиеся	1	1
таким образом	3	2
вера в	1	1
первой части	1	1
тем более	2	1
к предмету	2	2
аналогичным образом	1	2
ценностного центра	1	1
к сотворчеству	1	1
собой лишь	1	1
в крепость	3	1
непосредственно к	1	1
текста наиболее	2	1
определенным образом	1	1
внутренней речи	5	4
тогда когда	2	1
одно и	1	1
недели в	1	1
эпизода с	1	1
своих других	1	1
своими неуместными	1	1
персонажа в	1	1
не только	15	16
повествования а	1	1
сюжетный ряд	1	1
объекта и	3	2
он не	3	2
существенная сторона	1	1
и читателя	2	3
что даже	1	1
именно здесь	1	1
все эти	2	1
между волюнтаризмом	1	2
противном случае	1	1
понимал темное	1	1
особенно в	2	7
в данном	2	8
как уже	2	3
в пределах	2	9
одну из	1	2
рассказ о	2	1
возвратясь в	1	1
коммуникативной событийности	1	1
высказывания и	1	2
может и	1	1
это еще	1	1
в литературе	4	1
и потому	2	1
как печорин	1	3
слова в	1	1
но о	2	1
в их	5	3
со своим	1	3
в специальном	1	1
внутреннее я	3	1
в себе	11	7
случилось однажды	1	1
с той	1	2
на примере	2	1
автором в	1	1
в рассказе	1	1
излагается с	1	1
на его	2	3
здесь принадлежит	1	2
по этой	1	1
как известно	3	1
ей личность	1	1
личности в	3	1
к тому	7	7
факторы художественного	3	1
встреча с	1	1
значении этого	7	1
на основе	2	2
в восприятии	1	1
таким же	1	1
не оставляет	1	1
и систематизации	1	1
во внешнем	3	1
эстетический анализ	2	2
свой другой	1	1
перед нами	1	1
как художественной	1	1
по рассуждению	2	1
одной стороны	3	4
произведения смысл	1	1
бы не	2	1
в соответствии	1	2
всё что	1	1
эстетическим адресатом	1	2
и те	1	1
я всегда	1	2
из них	2	3
восприятия в	1	1
с другом	1	1
при рассмотрении	3	1
в эпизодах	1	1
времени в	1	4
и для	1	2
вулича на	1	1
равнопротяженных тексту	1	2
имеем дело	4	3
для человека	1	1
сами по	2	1
по домам	1	1
взгляд на	1	1
на левом	2	1
отличается от	2	1
целого есть	1	1
из виду	2	1
художественного мира	2	2
в первом	2	1
принадлежит не	1	1
внимание в	1	1
и эти	1	1
в разных	1	1
собою дверь	1	2
феноменологической редукции	1	2
по себе	4	2
и является	2	4
не менее	1	4
еще не	3	2
к понятию	1	1
в мировом	2	1
ценностное уплотнение	1	1
с ним	4	2
не столько	2	3
текста а	4	2
представляют собой	2	2
офицеров и	1	2
со смертью	1	3
же самое	2	1
к его	1	2
роду написано	1	2
слова как	1	1
в принципе	8	1
текста даже	2	1
не вполне	1	1
а в	9	3
складывается из	1	1
тому что	1	1
тех или	2	2
всего в	1	2
его эстетического	1	1
и более	4	1
представляет собой	16	8
только с	1	1
слов и	1	1
проекциях в	1	1
и тогда	2	1
рассказчика хроникера	1	2
с самим	1	3
самого рассказывания	2	2
персонажей в	1	2
возможных уровней	1	1
эстетической деятельности	4	1
по преимуществу	1	4
прожить две	1	1
повествователя рассказчика	2	2
на которой	1	1
в нашем	3	3
одного из	2	3
в которую	1	1
решил продолжить	1	1
и на	5	6
могут и	1	1
в ходе	3	4
вплоть до	1	1
истинный смысл	1	1
в сторону	1	5
субъекта объекта	1	2
которые в	2	1
душевной жизни	2	1
данный момент	1	1
в молчание	1	1
от него	1	1
ментального внутреннего	2	3
по крайней	1	3
казака но	1	1
в двух	2	2
эстетического объекта	11	3
по его	1	1
если они	1	1
как и	13	14
единиц на	1	1
этой реальности	1	2
тому как	3	3
потому что	2	1
не его	1	1
нуждается в	8	1
бросив карты	1	1
этого феномена	2	1
данность текста	1	1
на котором	1	2
в аспекте	1	4
состоит лишь	1	1
этого персонажа	1	2
его из	1	1
а то	1	2
в самом	6	6
в облике	2	1
литературного произведения	41	16
же время	6	2
всего текста	1	2
тогда как	14	19
в то	9	2
и то	2	3
по отношению	6	4
никогда не	2	3
этом отношении	2	3
всех этих	1	1
случае это	2	1
текста именно	1	2
выступать в	1	2
и в	18	16
эстетический субъект	2	1
организация литературного	2	1
границы с	1	1
в мире	8	6
по природе	3	2
левом фланге	2	1
уникального смысла	1	1
так что	1	3
нам представляется	1	1
все они	1	1
понимания произведения	1	1
так как	2	1
темное значение	1	1
создают эффект	1	1
но не	10	4
анализом а	1	1
на природу	1	1
такой же	2	1
текст оказывается	1	1
в чём	1	1
не в	14	4
эстетическая модальность	1	2
читательского произвола	1	1
субъекта и	4	1
читателя в	2	4
художественное восприятие	3	2
для нас	1	1
эпизод является	1	1
даже не	1	1
т.д в	1	1
не означает	1	1
для всех	1	2
при встрече	3	1
как будто	3	3
восходит к	1	1
в полном	1	1
сводится к	5	3
в ином	1	1
есть в	1	3
зрения и	1	1
модель в	1	1
мы должны	1	1
на этом	2	4
но крайне	1	1
и во	1	2
вставной эпизод	1	1
выражению бахтина	2	1
нам дана	1	1
эстетический феномен	1	1
единиц текста	1	1
героя как	1	1
смерть и	1	1
и до	2	2
текста в	12	6
в конечном	4	3
текста на	2	2
к игре	1	4
с субъектом	1	1
как ценностного	1	1
раз и	1	1
отрезок повествования	1	1
как это	1	6
двух проекциях	1	1
который не	1	1
предстает в	1	1
лишь в	5	9
на место	2	1
в полной	3	1
семиоэстетического анализа	4	3
перед лицом	6	2
тех же	1	1
языка и	1	2
воспринимается в	1	1
речь идет	1	2
я и	6	3
пределах текста	1	2
но это	1	1
исходя из	4	1
всего лишь	4	8
мере в	3	1
объект и	1	1
в четыре	1	2
ее в	1	1
образом не	2	1
же в	1	1
в ряду	2	1
только перед	1	1
чем и	2	2
и самого	2	1
тут же	1	1
личностного опыта	1	1
также и	2	1
и т.д	1	3
встречи с	2	2
художественного текста	12	1
это не	6	1
знает категории	1	1
он прав	1	2
себя к	1	1
и всего	1	1
с другой	4	6
постановку вопроса	1	1
в художественном	3	1
и как	5	1
событие самого	1	1
здесь в	1	2
в равной	3	1
знакового материала	3	1
не сами	1	1
и романа	1	2
субъект автор	1	1
при взгляде	1	1
дело не	3	2
далеко не	6	1
искусство и	1	1
второй строение	1	1
в чем	1	1
было бы	2	3
зрения в	1	1
данного текста	2	1
см ниже	2	1
в случае	6	2
существенно что	1	1
как бы	5	10
в творческом	2	1
субъектной организации	3	6
смысл его	3	1
оставляет желать	1	1
более или	1	1
уединённого сознания	1	3
художественный смысл	1	1
я героя	2	1
тому или	1	1
система факторов	1	1
дело с	4	1
присутствия во	1	1
прежде всего	6	3
о его	1	4
точки зрения	6	4
я во	2	1
желать лучшего	1	1
этого мира	1	1
ю.м лотмана	2	1
на втором	1	1
и внутреннее	1	1
на это	1	1
но и	17	12
к своему	1	2
на фоне	2	3
участка текста	3	2
на небесах	1	3
в ее	1	1
а затем	1	2
именно в	4	3
не знает	1	3
однако эта	1	1
своей эстетической	2	1
под стол	1	1
очевидным образом	1	2
литературном произведении	1	1
в противном	1	1
остается в	1	1
включая и	1	2
будто бы	3	1
самим собой	2	1
карты под	1	1
коммуникативное событие	6	1
данного дискурса	1	1
на фундаменте	1	1
выход из	1	1
равной мере	1	1
кто говорит	1	1
себя в	6	2
имеет место	5	4
только для	2	1
различного рода	2	1
для данного	2	1
в результате	1	3
роль в	2	2
принадлежит только	1	1
выступают не	1	1
и наконец	1	1
предопределении в	1	1
этой точки	1	1
данного произведения	3	2
или напротив	1	2
архитектоника эстетического	1	2
не к	2	1
художественного высказывания	2	2
времени не	1	1
быть в	1	1
ключевая роль	1	2
научным фактом	1	1
в целом	5	8
однако его	1	1
эстетическом дискурсе	1	1
данного коммуникативного	1	2
состав такого	1	1
за собою	1	2
не что	4	1
а не	17	10
с казаком	2	1
все что	1	2
крайней мере	1	3
с этой	1	1
с одной	3	5
в этом	13	18
художественного целого	10	7
за рамки	1	1
система знаков	1	1
превращается в	1	2
со своей	1	1
факторов художественного	6	6
одного сознания	1	1
нулевом эпизоде	1	1
и ее	1	1
я печорина	1	1
и далека	1	1
или даже	1	2
мира вокруг	1	2
жанровой стратегии	1	3
лермонтовского произведения	1	2
для себя	2	1
отсутствует что	1	1
нашем случае	3	1
волюнтаризмом и	1	2
читателем в	1	1
на него	1	2
одни и	1	1
затворил за	1	2
еще одна	1	2
одна из	1	1
из этих	2	1
предстает уже	1	1
совпадает с	2	4
поскольку в	1	1
этого слова	7	3
при условии	1	1
взгляде на	2	1
текст своего	1	1
только одно	1	1
состоит в	11	8
в качестве	31	11
любом из	1	1
жизненной позиции	2	3
в драме	1	1
едва ли	2	3
в сознании	2	4
нулевой эпизод	1	1
ведет к	3	1
сам автор	1	1
самом деле	2	1
литературоведческого анализа	3	2
о предопределении	2	5
по своей	6	1
это была	1	1
в сюжете	1	1
он и	1	2
бостоном и	1	1
что касается	1	3
во вставном	1	1
литературному произведению	2	1
также может	1	2
хотя и	1	4
о нем	3	1
не так	1	4
что может	1	1
заключается в	1	1
не случайна	1	1
и чёрт	1	1
в эпизоде	2	10
на дорогу	1	1
существования и	1	1
только на	1	3
уровне фокализации	1	4
максиму максимычу	1	5
средствами научного	1	1
силу предопределения	1	1
и особенно	1	4
то же	9	4
и пространстве	4	1
не одного	1	1
целого но	1	1
том или	3	2
личность в	2	2
художественное целое	1	1
проявляется в	1	3
просто не	1	1
чем глубже	1	1
формах внутренней	1	1
крайними пределами	1	1
далека от	1	1
одной фразой	1	1
к внутреннему	1	2
неотделима от	1	1
качестве системы	3	1
конструктивная роль	1	1
художественной реальности	14	20
или иному	1	1
в данный	1	1
своей собственной	1	1
равнопротяженности предмета	1	1
и эстетического	1	1
совершенно не	1	1
этом смысле	1	2
не дано	1	2
вставном эпизоде	1	1
как система	1	5
иной эстетической	1	2
оно ни	1	1
в какой	2	1
объектной организации	2	10
и печорина	1	2
для печорина	4	8
о личности	1	2
начиная с	1	1
сколько бы	2	1
роль здесь	1	1
во времени	4	2
художественного восприятия	7	2
художественная реальность	8	2
обращает на	1	3
что же	2	1
другого сознания	2	1
для актуализации	1	1
в себя	6	4
более того	3	1
в такой	1	1
его можно	1	1
в литературоведении	2	1
внешней знаковой	1	1
коммуникативного события	14	4
столь же	4	4
этом уровне	1	2
глав романа	1	1
в любом	3	1
присутствия в	2	2
но мы	1	1
диалоговой форме	1	1
в которой	2	1
личности и	1	2
полнота художественного	1	1
и должны	1	1
к нему	3	1
произведения как	7	2
но при	1	1
можно сказать	2	4
что ни	1	1
во внутренней	1	1
ничего не	1	9
в литературной	1	1
автор как	1	1
называет это	1	1
воли и	1	3
максим максимыч	2	8
реальность как	4	1
во внешней	1	1
данном случае	2	5
внутреннего слуха	1	1
место лишь	2	1
если он	1	1
и тот	1	1
в нем	3	1
его художественной	1	1
диалога согласия	1	1
во всех	1	4
или иначе	1	1
нового времени	1	1
не говорит	1	1
этой модели	1	2
от насти	1	1
он был	1	2
фаталиста и	1	5
по поводу	1	3
которой печорин	1	1
тамани и	1	1
что и	3	3
один из	2	2
в действительности	1	3
или лирического	1	1
уже не	4	4
художественного времени	1	2
всегда говорит	1	1
как справедливо	3	1
отношения к	2	2
с точки	4	2
при всей	2	3
печорина о	1	2
в силу	3	1
к другим	1	1
от которого	2	2
человек и	1	1
каждом из	2	1
он в	1	4
подлинного искусства	2	1
я в	3	3
лирического героя	2	5
внутритекстовых дискурсов	1	3
том же	1	1
художественного произведения	5	2
в сущности	6	4
печорина с	1	4
личности другого	1	1
произведения составляет	1	1
хотя бы	3	1
или иной	6	3
роевого сознания	1	1
всех прочих	1	1
сегмент текста	1	1
в исходном	1	1
внутреннее единство	1	1
упускать из	1	1
жизни но	2	2
только усиливает	1	1
к собеседнику	1	1
сколь угодно	2	1
или в	1	3
и по	2	1
как писал	1	2
же нам	1	1
но в	8	6
внутреннему слуху	1	3
объекта муза	1	1
произведения в	11	5
референтной событийности	1	1
разошлись по	1	1
сосредоточиться на	1	1
здесь совершенно	1	1
в отличие	6	2
своего рода	3	12
подобно вуличу	1	2
и сам	2	3
событий и	1	1
однако при	1	3
но к	2	1
все того	1	1
всегда имеется	1	1
этой связи	1	1
научного мышления	2	1
для адекватного	1	1
к а	1	3
членения и	1	1
служит для	1	1
при этом	12	10
оно становится	1	1
эстетический смысл	1	1
или иных	2	2
того что	4	2
мира не	1	1
внимания на	1	1
том что	12	12
эстетического адресата	1	2
некоторого я	1	1
строго говоря	1	2
у него	1	4
а тем	1	1
внимание на	1	2
внутреннего я	4	2
в другом	4	1
что иное	5	1
этом ряду	2	1
текстуальной данности	2	1
эстетической природы	1	1
произведения архитектоника	1	1
в противовес	2	1
художественного впечатления	14	17
имеют место	1	2
автора и	3	3
в свое	2	1
отношения между	1	1
в этих	1	2
в произведении	5	2
его текст	1	1
при наличии	3	1
научного описания	8	1
в котором	3	2
долгое время	1	1
в рамках	3	3
для него	2	4
силу своей	2	1
то его	1	1
уже говорилось	1	4
того же	4	4
на каждом	2	1
не о	2	2
сотворческого сопереживания	2	2
не приходится	1	1
на себя	2	5
максимом максимычем	2	2
пустой хате	1	2
вступает в	3	2
художественно значимые	1	2
как речь	1	1
объективную данность	1	1
принадлежит тем	1	1
четыре часа	1	2
мне как-то	2	2
свою очередь	1	1
по выражению	2	2
уровней научного	1	1
вокруг я	1	1
таит в	1	1
входит в	1	1
смысла как	2	1
на роду	1	6
природу художественной	1	1
и текст	1	1
в романе	1	1
данности произведения	1	1
а также	3	7
представляется очевидной	1	1
с людьми	1	2
все три	1	1
судьба человека	1	1
говорит о	1	5
с другим	4	1
свое время	2	1
в казачьей	1	1
же не	1	2
существа особенного	1	1
утрачивает свою	2	1
в предопределение	1	3
другого не	1	1
может служить	2	1
повествователя или	1	1
текста не	2	1
целого в	4	2
не с	4	4
встрече с	3	1
в диалог	1	1
в тексте	5	24
жизни однако	1	1
картины мира	1	2
это особый	1	1
