2gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_2gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_2gram
имеются из	2	1
можно сказать	1	1
мы приведем	2	1
ничего не	1	3
в день	7	6
а и	2	5
именно с	1	2
ее на	2	1
в забаву	1	1
что он	1	1
быть потому	1	1
русских обрядов	1	1
в течение	2	5
что по	4	4
обрядов в	1	2
данном случае	7	1
масленичной недели	2	1
но они	1	3
объяснения и	1	1
что они	1	7
другие детали	1	1
к жизни	5	3
в нем	1	2
во время	12	14
много насмешливых	1	1
завивания березок	1	1
эти представления	4	2
в других	15	11
заметить что	2	1
во всех	3	4
иногда как	1	1
поминовения усопших	1	1
через них	7	1
собираются на	1	1
древних славян	1	3
он был	1	2
п минх	1	1
обычай был	1	1
или по	1	1
тексты песен	1	1
когда масленицу	2	1
что и	2	7
один из	2	8
уже не	4	6
в сказках	1	1
и поэтому	1	2
должны были	2	2
чичеров в	1	2
в это	1	3
как праздник	1	1
этим объясняется	1	1
водили хороводы	1	1
в обрядах	1	1
в сибири	2	2
этим в	1	1
широко распространено	1	1
могли также	2	1
у великорусов	1	4
том же	4	2
представление о	5	3
неделе назывался	1	1
ржи в	1	2
уверенности что	1	1
этот случай	1	1
почему при	1	1
каждый праздник	1	1
иных местах	1	1
урожая и	1	1
с ней	5	2
и здесь	1	2
на плодородие	2	1
в настоящее	1	3
которое в	2	1
какой степени	1	2
показать что	1	1
образом из	1	1
тот кто	1	1
как сообщает	1	2
в народе	3	1
или в	7	2
xix в	3	13
и по	3	8
но в	5	2
приводит нас	2	2
в пинежском	1	2
же но	1	1
не имеет	3	6
это называлось	1	1
в xix	3	10
и троица	1	1
в отличие	3	1
своего рода	1	3
была записана	1	3
с греческим	1	1
ефименко i	1	4
связанных с	1	1
от одного	1	1
и перепрыгиванием	1	1
тем не	2	3
г где	1	1
жизнь и	2	1
ее с	1	1
масленицы и	1	1
песнями и	3	1
отличаются от	1	1
имеет существенного	1	1
состояло в	1	2
на поле	4	1
церковью они	1	1
при этом	6	6
во плоти	2	1
владимирской губернии	5	1
того что	3	4
в форме	2	1
том что	22	19
западной европе	1	2
в ней	1	2
после пасхи	1	3
рязанской губернии	1	2
что иное	2	2
в народном	3	1
следует признать	1	1
народном календаре	1	1
же месте	1	1
собой очень	1	1
в этих	3	3
народных праздниках	1	2
обряды в	1	1
и следовательно	1	1
в и	3	17
что каждый	1	1
древней руси	1	2
к русским	3	1
это на	1	1
себе дело	1	1
детскую игру	1	1
но ни	1	2
этому же	1	2
к новому	1	1
перед наступлением	1	1
на себя	2	2
ту же	1	1
впереди всех	1	1
к ней	2	2
то кто	1	1
свою очередь	1	2
в различные	1	1
своих сил	1	1
в передний	1	2
совсем не	2	1
начале весны	1	1
в другие	4	8
этих песен	1	3
входит в	1	4
субботу перед	1	2
необходимо изучить	1	1
не ходили	1	1
песни и	4	3
оно не	1	1
же значение	1	1
но все	1	3
мы увидим	1	8
следующий за	2	1
связь между	2	2
аграрных обрядовых	1	1
а также	4	3
что это	3	3
можно было	2	1
говорит о	2	1
и это	1	1
святках подражали	1	1
он пишет	1	1
сюда же	2	1
смерти и	2	1
в этот	10	10
на свадьбах	1	2
и другие	14	13
пишет что	3	1
еще далеко	1	1
в шейном	1	3
от них	1	3
не было	2	2
не с	2	3
общего не	1	1
в область	1	1
описывает этот	1	1
теория заимствования	1	1
исключение составляет	1	1
ничего общего	1	2
