2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram
никогда не	3	2
героев и	1	1
в то	2	7
этом отношении	9	4
и то	1	1
в россии	3	6
что есть	1	1
раз в	2	1
им в	1	2
в бахчисарайском	7	1
трагедии пушкина	22	12
пушкин неоднократно	1	1
и в	29	25
все время	1	2
в эпоху	1	1
так же	3	1
в борисе	28	39
у современников	1	2
отметить что	2	5
пушкин не	12	9
в предисловии	3	2
без всякого	1	2
так что	3	11
баратынского и	1	1
трагедии с	1	1
не просто	1	2
значения с	1	1
все они	1	3
из его	2	7
ней же	1	1
так как	2	3
и всегда	2	2
но не	3	2
я это	1	1
не признать	1	1
такой же	1	2
в стихах	1	2
не в	4	6
трагедии в	4	3
в пушкинском	1	1
вообще нет	2	1
для нас	1	1
ни для	1	1
из карамзина	1	2
русской поэзии	1	2
по мнению	1	3
рукописи пушкина	1	2
на этом	1	3
и во	1	2
сцены в	2	1
его политического	1	1
по существу	2	1
если попытаться	1	1
для которого	1	1
бы он	1	1
как драматург	1	3
никакого смысла	1	1
и до	1	1
на нее	3	2
мы располагаем	1	1
при создании	1	1
это были	2	1
пушкина в	18	21
поэтического слова	1	2
как она	1	1
не совсем	1	2
в известной	1	1
пушкин как	1	2
отношении к	3	1
что этот	2	3
сам пушкин	3	1
с этим	3	7
это однако	1	1
о марине	1	2
темам и	1	1
был для	4	1
но также	4	2
не за	1	1
александра i	1	1
булгарина о	2	1
себе отчет	1	2
речь идет	4	2
выборе формы	1	1
и с	4	4
древней летописи	2	1
но это	3	4
орлеанской девы	1	1
смысле слова	1	1
ее исторической	1	1
на трагедию	3	1
конкретные исторические	1	1
в михайловском	2	1
в сцене	7	6
в пушкине	1	1
когда он	1	1
ее в	2	2
пушкин берет	1	1
о роли	1	1
он уже	1	1
годунова это	1	1
конечно не	1	1
исторической эпохи	1	2
годунова как	3	2
было отмечено	1	1
что сцена	2	1
также и	2	1
и самозванец	1	1
русской драматургии	2	1
нет в	1	3
классического типа	1	2
и пушкин	2	1
годунове также	1	1
к истории	2	1
к шекспиру	2	1
с другой	4	5
и др	2	4
своим друзьям	1	1
иной раз	1	1
и как	2	1
и александр	1	1
но он	3	3
словаре академии	2	1
дело не	2	2
нашло свое	2	1
и аристократией	1	1
того как	7	1
было бы	5	7
в чем	1	4
любви в	1	1
пушкина не	6	3
что такое	2	7
языка пушкин	1	1
говорил об	1	1
смысл его	1	1
самозванца в	2	2
карамзина как	1	2
из всех	1	1
более или	2	1
как бы	5	6
написанные в	1	1
трагедий и	1	1
от других	1	1
очевидно что	2	1
рядом других	1	1
от карамзина	2	2
к монументальным	1	1
прежде всего	5	10
точки зрения	5	7
на бориса	2	1
не мог	3	2
должно было	3	1
а с	3	2
что именно	2	2
годуновым и	1	2
на это	2	2
у нас	3	4
но и	19	9
феодализма в	1	1
vii тому	1	1
хорошо было	1	1
смысл этого	2	1
в ее	2	1
именно в	4	1
поэтическим языком	2	1
нет и	2	2
эти слова	2	1
л а	1	1
в очень	1	1
орлеанская дева	2	3
а затем	2	1
до сих	6	2
пушкина была	5	2
в творчестве	1	3
направлением в	1	1
причем в	1	1
для пушкина	21	13
том чтобы	1	2
годунов является	1	2
пушкин знал	1	1
мы не	1	2
трагедии то	3	1
одной из	3	2
афанасий пушкин	1	2
авторской жизни	1	1
годуновым пушкин	1	2
этого грубого	1	1
о русском	1	2
пушкин писал	4	3
у шекспира	4	5
например павел	1	1
речи а	1	1
последний летописец	1	1
к первому	2	1
только при	1	1
с эпохой	1	1
в результате	2	2
разумеется в	2	1
но эти	1	1
пушкина на	4	4
на самом	3	1
годунов не	1	3
пушкин говорит	4	4
похоже на	3	1
не был	3	2
между борисом	2	1
как поэта	1	1
пушкин пишет	1	1
не к	2	1
сочинений пушкина	5	2
государства российского	3	1
что за	2	1
форме в	1	1
годунова все	1	1
в димитрии	1	1
трагедии он	1	2
по большей	1	1
одновременно и	1	1
годунова а	2	3
как закономерный	1	1
чтобы показать	1	1
и пр	8	13
а не	5	5
гораздо более	1	2
все что	1	1
смутного времени	1	3
что борис	4	2
приходится удивляться	1	1
с этой	2	3
встречается ни	1	1
говорить о	1	3
печатном издании	3	2
в этом	21	24
есть первый	1	1
драматургии в	1	1
которая была	2	1
каком смысле	1	2
годунова в	4	2
об этом	6	5
как трагедия	3	1
краков дом	1	1
она была	1	1
его трагедии	8	7
в образе	3	1
пушкинское время	2	1
была для	1	1
борисом годуновым	10	10
этого вопроса	1	1
е не	1	1
одним из	6	1
поэзии и	2	1
говорит что	1	5
в содержании	2	1
точка зрения	1	4
сцена у	1	1
внимания к	1	1
и некоторые	1	1
не встречается	1	2
г в	5	6
в поэзии	1	2
течение лет	1	1
а за	1	1
трагедия была	2	2
от шекспира	1	1
на него	1	1
я могу	1	1
вишневецкого где	1	1
гаврила пушкин	1	1
и известной	1	1
дом вишневецкого	1	1
со словами	1	1
с русской	1	1
творчестве пушкина	1	4
почти все	2	1
с годуновым	1	1
сюда относится	1	2
стиха и	1	1
трагедии это	2	1
одна из	1	2
в обращении	2	1
его трагедию	2	1
л и	1	1
пушкин говорил	1	1
был очень	1	1
весь отрывок	1	1
до того	4	1
действующих лиц	4	4
совпадает с	1	1
пушкинской трагедии	10	2
находим и	1	1
из этих	1	6
в языке	5	8
дворянства и	2	1
в общем	3	4
феодора иоанновича	2	2
все это	11	8
трагедии где	1	1
драматический язык	2	2
в качестве	5	4
как например	2	8
пр но	1	1
трагедии и	1	2
это почти	1	1
самом деле	3	2
творчества пушкина	1	2
в черновиках	1	1
которую он	2	2
он и	1	2
что касается	1	7
афанасия пушкина	3	2
что я	2	3
первый наш	1	1
не так	1	3
не успел	1	1
этом жанре	1	1
заключается в	1	2
во многом	2	2
не трудно	1	1
они не	2	1
например в	3	4
этого рода	1	3
то же	2	5
пушкина были	1	1
назвать в	1	1
при помощи	4	2
русской драматической	2	1
важно подчеркнуть	1	1
это было	2	8
должна была	2	4
могло бы	1	1
борьба с	2	2
несомненно не	1	1
с шекспиром	1	2
что русская	1	1
пушкиным как	1	2
конкретных исторических	1	1
пушкина к	5	11
пушкина является	2	1
прямом смысле	1	1
которые не	3	1
этом смысле	1	4
находясь в	1	2
другое дело	3	3
этом и	1	1
вот почему	1	1
не дает	2	1
в какой	2	3
пушкинского поэтического	1	1
в в	1	3
это же	1	1
пушкинского времени	1	1
пушкиным не	1	1
в речи	4	4
свое собственное	1	1
xix века	3	4
критических статей	1	1
в свете	1	1
можно считать	1	1
принять во	2	1
и если	1	3
мне кажется	3	1
нас не	2	2
укладывается в	1	1
и именно	3	1
что судьба	1	1
говорят о	1	1
не обратить	2	1
рукописный вариант	1	1
обращает на	3	1
что же	1	1
только что	2	2
но этот	1	1
что пимен	1	1
не давала	1	1
слова с	1	1
и их	1	1
был склонен	2	1
народ на	1	1
образом в	1	1
пушкина для	2	1
вопрос о	6	1
и еще	1	1
в которой	11	4
наш историк	1	1
пушкина как	3	13
литература в	1	1
можно сказать	1	4
основана на	1	1
по своим	1	1
ничего не	4	4
его современников	1	1
в словаре	2	2
а это	1	1
изображения народа	1	1
что он	13	19
у пушкина	12	22
в течение	6	4
шекспиризм пушкина	1	1
и тот	1	2
интерес пушкина	1	1
одном из	3	1
но они	2	2
что они	2	2
в прямом	1	2
к этой	1	2
своего времени	4	2
мог не	1	1
в нем	4	1
во время	2	3
в отдельных	1	4
французская классическая	1	1
что пушкин	15	11
заметить что	1	2
как материал	1	1
или иначе	1	1
языка к	1	2
он был	2	3
в книге	1	1
степени является	1	1
рецензию на	1	1
о в	1	1
один из	1	2
что и	2	1
к л	1	2
русского литературного	1	1
действующего лица	2	1
пр в	1	2
с точки	2	4
не раз	2	1
в это	2	2
трагедию в	4	1
из трагедии	3	2
ни у	3	1
это слово	3	3
от которого	1	1
а по	1	2
г пушкин	2	2
и исторической	1	1
этого термина	1	2
котором он	1	1
между прочим	12	3
годунова от	1	1
на пути	1	1
том же	2	1
в сущности	1	2
думаю что	1	2
хотя бы	3	1
царском селе	1	2
здесь пушкин	2	5
годунове и	2	1
которых пушкин	1	1
смотрел на	3	3
трагедия классического	1	1
и здесь	3	3
этого произведения	1	1
в живом	1	1
как драматический	1	1
именно поэтому	1	2
при оценке	1	2
или в	1	2
xix в	1	1
самого начала	3	2
и по	3	2
трагедии вадим	1	1
с борисом	4	1
во втором	1	2
но в	8	5
пушкина и	9	6
пушкина являются	1	1
в контексте	1	1
не имеет	2	2
взято из	1	1
борису годунову	3	3
дают его	1	1
своего рода	5	3
пушкин был	4	1
пушкину возможность	1	1
маленькими трагедиями	1	2
была в	1	1
сей день	1	1
событий и	1	1
сих пор	5	2
россии он	1	1
очень хорошо	2	1
русская драматическая	1	3
тем не	2	2
говорит у	2	1
конце концов	1	3
представляют собою	1	3
это очень	2	1
которого он	1	1
пушкин хотел	2	3
того что	5	5
в форме	1	2
том что	27	15
о которых	2	3
но уже	1	1
внимания на	1	2
значит именно	1	1
но что	1	1
у него	1	9
а тем	1	1
в ней	7	4
внимание на	4	2
в келье	3	2
о ее	1	1
в другом	4	3
в этих	3	11
на тему	1	3
годунова но	2	1
но самозванец	1	1
а пушкин	1	1
в свое	1	1
для своего	2	1
чем же	1	1
которые пушкин	1	1
отношения между	1	5
в печатном	4	4
в и	13	1
трагедиях где	1	1
образом пушкин	1	2
в котором	7	5
в корчме	3	2
русской истории	3	2
образцом для	2	1
для него	4	3
да еще	1	1
то его	1	1
но я	1	1
сам по	1	1
того же	2	2
не о	1	1
на себя	3	1
у карамзина	4	7
ту же	1	1
зрения на	1	1
материала для	3	1
к ней	1	4
шесть лет	2	1
свою очередь	1	1
в стиле	1	1
нисколько не	1	1
ни на	1	2
с общим	1	1
в первые	2	1
был чужд	1	1
пушкин сам	1	2
в многочисленных	1	1
упадка в	1	1
говорил что	1	5
но все	7	2
который говорил	1	1
а также	2	4
связь между	1	1
годунов говорит	3	2
самого пушкина	3	8
что это	3	16
можно было	1	1
пушкиным в	14	6
говорит о	2	1
и это	2	5
был способен	1	1
нельзя не	3	3
языка не	1	1
свое время	1	1
западной европой	1	2
и другие	2	1
может служить	1	1
в комедии	1	1
пушкина до	1	1
отступает от	1	1
от них	1	2
в связи	1	3
с которым	1	3
