3gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_3gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_3gram
в свою очередь	1	2
такие обряды или	1	1
том же а	1	1
что в первый	1	1
это не совсем	1	1
в шейн по	1	1
в одиночку или	1	1
совершенно очевидно что	1	1
этой неделе назывался	1	1
зятьев о чем	1	1
из смоленской губернии	1	2
в отличие от	3	1
а б зерновой	3	1
себе дело так	1	1
не связаны с	1	1
и п сахаров	7	5
в тех случаях	1	1
г где говорится	1	1
не объясняет почему	1	1
в своих целях	1	1
где говорится что	1	1
имело место при	1	1
воздействовать на урожай	1	1
идут в лес	1	1
из ряда других	1	1
а и никифоров	1	2
имеется довольно много	1	1
переход от плача	1	2
и другие народы	1	1
в шейн сообщает	7	1
средоточие растительной силы	1	1
если предположить что	1	1
есть и другие	1	1
это показывает что	3	2
в данном случае	6	1
мы увидим не	1	1
следующий за святками	1	1
и многие другие	2	2
обычаев и обрядов	2	1
бросается в глаза	2	1
давали в пищу	1	1
в этих случаях	3	1
из владимирской губернии	3	1
приводят нас к	1	1
собой как бы	1	1
п в шейн	10	7
том что это	3	1
п калинский пишет	2	2
приказу петра i	1	1
и м снегирева	1	2
одна из основных	1	1
во всех этих	1	1
можно сказать что	1	1
этот не был	1	1
е в аничков	5	5
шествие с козой	1	1
в и чичеров	2	13
воздействовать на плодородие	1	1
этот обычай был	1	1
может быть потому	1	1
в этом отношении	1	1
воскресения из мертвых	1	1
в наступающем году	1	2
т е в	5	1
как мы видели	1	1
снегирев сообщает в	1	1
это имеет место	1	2
мы должны будем	1	1
на могилах в	1	1
так как в	1	1
и для них	1	1
как это имеет	1	2
а макаренко сообщает	1	2
а н афанасьев	3	4
в советской науке	1	1
но и как	1	1
приводит нас к	2	1
потому что он	1	1
направление в изучении	1	1
целью воздействовать на	1	1
этому поводу пишет	1	2
имеет существенного значения	1	1
не имеет существенного	1	1
с плачем и	1	1
а иногда и	1	3
в других вариантах	1	1
употребление в пищу	1	2
как уже указывалось	2	3
на новый год	3	2
сахаров ii кн	12	8
п в шейном	1	3
же а а	2	1
в вологодской губернии	1	1
с в максимов	8	3
во время масленицы	1	1
внезапный переход от	1	1
на другой день	2	1
том что в	1	6
во время которого	1	1
и в другие	1	3
и в советское	1	2
п с ефименко	1	3
н афанасьев и	1	3
н ф сумцов	2	1
мы не можем	2	3
это делалось для	2	1
шейн i ч	9	3
и п калинский	4	5
после того как	2	2
далеко не так	1	1
всяком случае не	1	1
как сообщает и	1	1
с тем и	1	2
между тем это	2	1
и в других	4	4
по своему происхождению	1	1
т е на	1	1
на ивана купалу	6	3
а а терещенко	4	3
во многих случаях	2	2
сообщает и м	1	1
п сахаров сообщает	4	1
или в другие	1	1
мы не будем	2	2
м снегирев в	1	1
в настоящее время	1	3
подобно тому как	3	1
все это показывает	3	2
макаренко сообщает из	1	1
по этому поводу	2	2
в пинежском уезде	1	2
ни одна из	1	1
с ефименко сообщает	1	1
у русских у	1	1
самом же деле	2	1
не оставляет сомнений	1	1
мы уже знаем	1	1
для нас не	1	1
кн vii в	1	1
что каждый из	1	1
во время святок	1	4
должна была обеспечить	3	1
в какой степени	1	2
состоит в том	13	8
в поле и	2	1
не только на	1	2
по нескольку человек	1	1
и т д	5	9
там же но	1	1
калинский снегирев iii	1	3
должно было обеспечить	2	1
состояла в том	2	1
и в том	1	1
только тогда когда	3	1
всем этим объясняется	1	1
один из них	1	2
в некоторых местах	4	1
в другие праздники	1	3
еще далеко не	1	1
в иных местах	1	1
в период зимнего	1	1
в древней руси	1	2
на плодородие земли	2	1
ср сахаров ii	1	2
перепрыгиванием через них	1	1
новый год в	1	2
