3gram	Ircho_Komedia_partition_part2_wordlist_3gram	Ircho_Komedia_partition_part3_wordlist_3gram
пращи и стрелы	1	1
связи с планго	1	1
один из шедевров	1	1
скорее всего в	1	1
дротики вместо семячек	1	1
мало кто верит	1	1
как дочь кормит	1	1
одну за другой	1	1
было ясно что	1	1
между отцом и	2	1
до н э	1	1
хочет покончить с	1	1
основу сюжета составляло	1	1
тебе предстоит сражение?	1	1
то что он	1	2
середине iv в	1	2
под тем же	1	1
но столь же	1	1
и в свою	1	1
в каждом из	1	1
