2gram	Bakhtin_slovoVRomane_partition_part1_wordlist_2gram	Bakhtin_slovoVRomane_partition_part2_wordlist_2gram
нужно отнести	1	1
в плане	5	6
не только	24	16
в прозу	1	1
в органическом	1	1
он не	2	3
языка романа	1	1
в основном	4	3
исторического становления	1	2
диалога языков	2	1
xviii века	1	2
наконец в	4	2
художественное изображение	2	1
все эти	6	9
интенциональны полносмысленны	1	1
для всего	1	1
речевую манеру	1	1
особенно в	2	1
одним словом	2	2
в пределах	13	14
многообразно скрещиваются	1	1
истории литературного	4	1
к раскрытию	1	2
значительной степени	6	1
поэтому оно	1	1
высказывания и	1	2
рядом с	3	4
экспрессивном кругозоре	1	1
и потому	7	4
слова в	13	8
в литературе	1	1
случае не	1	1
диалог языков	2	1
чужом языке	2	7
со своим	9	5
с самого	1	1
и чистой	1	1
на языке	1	1
в точном	2	1
разноречия входят	1	1
т д	2	5
индивидуальный диалект	1	1
диалог не	1	1
роман часто	1	1
изображения в	2	1
не были	1	3
и единственный	2	3
и экспрессивную	1	2
из самых	1	1
романа а	3	1
в себе	2	3
в риторических	1	5
поэзии но	1	1
и разноязычия	1	1
словесных жанров	1	1
и другими	1	1
на его	2	8
истории романа	1	1
относительно самостоятельных	1	2
как известно	1	1
но оно	2	3
в кавычки	1	5
стилизации и	1	1
чужое высказывание	1	2
литературном языке	1	2
возможны и	1	1
развернута в	3	1
значит конечно	1	1
в направлении	1	1
и становится	1	1
на себе	1	1
как у	1	1
жанрах в	1	1
в эту	1	2
языка в	6	16
национальных языков	1	1
перед нами	3	4
чужой речи	16	7
одной стороны	5	4
обстоит дело	2	2
только как	1	1
композиционная форма	1	2
высказывания как	1	1
а лишь	2	1
самого автора	2	2
мышление вообще	1	1
и те	1	2
в языковом	2	4
и слова	5	1
и для	5	4
словом как	1	1
в новом	2	1
установка на	2	6
две реплики	2	1
слове но	3	1
разноречие в	3	1
не предмет	1	1
которой определяется	1	1
и иные	1	1
до конца	17	12
языки как	1	1
язык в	6	4
и существенных	1	1
композиционной и	1	1
и чисто	2	3
письмах и	1	1
отличается от	2	1
не исчерпывается	1	2
пределах одной	1	2
сущности и	1	1
и уже	1	1
языковую среду	1	1
всех возможных	1	1
о чужом	3	1
не менее	4	1
словом о	1	1
еще не	7	4
него нет	3	1
его моментах	1	4
целый ряд	1	1
на данном	1	1
эпох и	1	1
не столько	3	1
сознания в	1	1
вносит в	1	2
так в	2	2
аналогично обстоит	1	1
с ним	7	7
для романа	2	2
самое слово	1	1
единство языка	1	3
в условиях	1	2
слова как	2	6
иногда даже	1	1
следовательно и	1	3
на все	1	2
смешение языков	1	1
в узком	4	10
зрения а	1	1
а в	4	6
и этим	1	3
наблюдения над	1	1
тех или	1	1
специфическое ощущение	1	1
вводных жанрах	1	1
и более	2	1
и художественно	2	1
только с	2	1
в каждом	1	4
слов и	3	2
новые стороны	1	1
притом в	2	1
условного автора	1	8
языковых и	1	1
с одним	2	1
на которую	1	1
и язык	4	1
тем паче	1	1
эти формы	4	1
гиппель и	1	1
как ни	1	1
диалогичность романного	1	1
голоса и	3	1
экспрессивные пласты	1	1
письменный язык	1	1
смоллетт стерн	1	1
дело в	2	1
поэтому и	4	3
где они	2	2
живое высказывание	1	1
по преимуществу	1	4
в своем	6	3
романа но	2	2
особый язык	4	1
языковой и	1	2
стороны и	3	1
именно такое	1	1
но она	2	1
и без	1	1
как сказано	1	3
говорящих людей	5	1
и на	4	14
романе в	3	3
всегда и	1	1
в сторону	1	1
роман и	2	5
оно было	2	2
в различных	2	1
которые в	2	3
литературного языка	12	20
и говорящий	1	1
прозаического стиля	1	1
этих формах	2	1
строится в	1	1
реплики диалога	1	1
от него	5	1
над языком	1	1
его смысловую	1	1
предмета в	1	1
словесно-идеологической жизни	1	6
стиль романа	1	2
словесно-идеологического мира	1	2
поэтического символа	5	1
в двух	1	1
и языков	3	1
вообще не	1	3
п в	2	1
нем и	2	3
языков или	1	1
художественная проза	1	2
для того	2	2
ощущение языка	1	1
языка который	1	1
языке и	1	2
за своими	1	2
весьма разнообразны	1	1
как и	6	4
нуждается в	2	1
социальная жизнь	1	1
друг друга	1	3
конечно и	2	2
на котором	2	1
одни моменты	1	1
языковых форм	1	1
в самом	1	5
только и	2	1
на том	1	2
разноречивого социального	1	1
же время	4	12
идет уже	1	1
прозаическое слово	1	2
в то	4	14
разговорный язык	2	1
и поэтическое	2	1
никогда не	7	3
героев и	1	1
этот стиль	1	2
этом отношении	3	1
всех этих	4	4
к такому	1	1
лучшем случае	1	2
поэтому эта	1	1
с чужим	11	8
слова не	4	1
и в	39	41
существенным и	1	1
все время	1	3
его язык	3	3
из романа	2	2
в иные	1	3
без всякого	2	1
и самый	1	1
романа мы	1	1
как разноречивое	1	1
авторские интенции	1	5
не просто	1	1
язык не	4	2
а на	1	2
языка границ	1	2
все они	2	7
с этими	1	2
так как	4	3
и только	1	1
значение в	2	1
поэтического языка	1	3
но не	6	2
не умеет	1	1
два голоса	2	2
говорящего и	2	2
наших дней	1	1
в социальном	1	1
не в	9	7
возможно и	2	1
и экспрессивные	2	3
для нас	5	2
точек зрения	3	5
живого слова	1	1
стихов в	1	1
в борьбу	1	1
и языком	2	1
зрения и	2	2
риторическое слово	1	1
авантюрного романа	3	1
на границе	2	1
на этом	3	2
не могут	5	3
мы сказали	2	4
может осуществлять	1	1
внутренняя диалогичность	6	9
взаимодействии с	1	3
диалогом языков	1	1
чаще всего	1	1
только два	1	1
романе возможно	1	1
до известной	1	2
филдинг смоллетт	1	1
и до	1	1
дальнейшего развития	1	1
смысл и	2	1
язык для	1	1
предметный и	1	1
и единственного	2	4
в известной	1	2
свои интенции	3	3
поэтического слова	4	9
те или	1	3
и иных	4	2
диалогичность слова	1	8
нами в	1	2
отношении к	4	6
разноречия мы	1	2
его контексте	1	1
с этим	2	3
лишь в	3	4
словом и	8	3
языков разноречия	1	5
стилей и	1	1
голоса два	1	1
языка и	9	12
же он	1	1
и с	9	4
равновесия и	1	1
дело и	1	1
но это	3	1
вводятся в	1	1
смысле слова	1	2
разнообразнейшие формы	1	1
в него	7	3
словом но	1	1
мировоззрения и	1	1
свой состав	1	1
слово живет	1	1
быть разной	1	1
авторским словом	2	2
и акцентами	1	3
присутствовал при	1	1
же в	1	1
и разноязычием	1	1
чужие языки	1	1
акцентами и	1	1
конечно не	5	3
своим предметом	2	1
слова к	4	1
эти элементы	1	1
развития романа	2	1
для этого	4	1
также и	2	3
риторическая двуголосость	1	1
чужого языка	6	1
моментов языка	1	2
свое слово	2	1
это не	5	6
и качеств	1	1
и идеологической	1	2
слово в	11	10
евгении онегине	1	2
и две	1	1
именно на	2	1
чужих языков	2	2
с другой	5	5
акцентной системе	1	1
интенции автора	1	2
и др	4	14
здесь в	3	4
в данном	2	3
и экспрессивный	1	1
в речах	2	2
но он	2	2
без дистанции	1	1
должно быть	1	2
именно к	2	1
далеко не	2	5
их от	1	1
дело не	1	2
различия между	1	2
без преломления	1	1
в чужом	4	1
социально-языковых точек	1	1
речевой жизни	1	1
и внешне	1	1
и борьба	1	1
как бы	7	12
бы быть	1	1
в процессе	13	4
более или	2	3
влиять на	1	1
а его	1	1
этого жанра	2	2
непосредственно и	1	2
лишь одним	1	1
дело с	4	1
романной стилистики	2	1
вне себя	2	3
прежде всего	8	8
нельзя отнести	1	1
поэтическом слове	1	2
начинает звучать	1	1
и степени	1	1
косвенной речи	1	1
точки зрения	8	16
заложенные в	1	1
всех своих	1	2
очень велика	1	1
не предполагает	1	2
без другого	1	2
языка языка	1	1
тем и	1	2
и определить	1	1
это диалог	1	1
два языка	1	1
смысле не	1	1
эти явления	1	1
особый мир	1	1
но и	21	16
к своему	9	6
на фоне	4	7
в диалогах	2	1
слово начинает	1	1
конструкции и	1	1
включает в	2	1
именно в	2	3
эти слова	2	2
диалогическое отношение	1	1
он может	1	2
до сих	2	2
не знает	2	1
сферах жизни	1	1
это может	1	1
индивидуальных воль	1	1
прозаическая двуголосость	1	1
в зависимости	4	3
в большинстве	6	10
но именно	1	4
всею ясностью	1	1
мы не	2	2
здесь лишь	1	1
своему предмету	5	2
чем в	2	1
одной из	1	3
это единство	1	1
себя в	8	9
и предметом	2	2
на протяжении	2	2
прозаик-романист не	1	1
во всем	4	1
слова оно	2	1
влияния на	1	3
авторской речью	1	1
героя и	5	1
от поэтического	1	1
от его	1	3
передачи чужого	6	1
в результате	2	3
и оценка	1	1
в рамки	2	2
роль в	2	2
истории европейского	2	1
быта и	1	1
слове в	3	1
язык романа	1	2
и наконец	5	4
не был	2	1
роман он	1	1
интенции и	1	3
его романах	2	1
его слову	1	1
ближайшим образом	1	1
герою прямого	1	1
всех его	3	7
и разноязычию	1	1
жанры и	3	1
индивидуального сознания	2	1
в целом	1	2
одновременно и	3	2
и заставляет	1	2
планах в	1	1
идеологической жизни	1	2
пределах одного	7	1
что не	1	1
в германии	2	1
но во	1	1
в чужой	2	1
него то	1	1
языков и	9	9
всякое живое	1	1
а не	14	15
широком смысле	1	2
других социальных	1	1
линии европейского	1	1
языком и	7	1
самого слова	1	1
как высказывания	1	1
с одной	5	4
языковое сознание	9	6
в этом	16	12
объектная тень	1	1
все что	2	1
пласты слова	1	1
языкового кругозора	1	1
разноречивого языка	1	1
силы и	1	1
имеет дело	2	2
такого языка	1	1
языку и	4	5
чужой язык	1	1
слово не	1	2
не столь	1	1
быть и	3	4
со всею	3	2
в лучшем	1	2
одним из	2	4
границ языка	1	2
связи и	2	1
жанров в	1	1
и ее	1	3
те моменты	1	1
или даже	3	2
людей и	2	1
раскрыв его	1	1
и такой	1	1
и полемически	1	1
точка зрения	2	8
языка непосредственно	1	1
себя так	1	2
в поэзии	2	3
языку с	1	1
между языками	1	1
одно без	1	2
для романного	4	1
этого разноречия	3	1
в низких	1	1
может существенно	1	1
в зоне	1	2
жанры все	1	1
этого не	1	1
от исследователей	1	1
определенности и	1	1
и правды	1	1
социальные и	1	1
одна из	4	2
интенций и	1	3
прямо сказать	3	1
такой образ	1	1
эти языки	1	7
исключительно на	1	1
внося в	1	1
основная особенность	1	1
в языке	2	5
известной степени	2	4
этого слова	1	1
словом в	4	4
все это	16	5
или меньшей	1	4
в качестве	1	3
языки и	1	5
с установкой	3	1
оценки и	1	1
в один	1	1
в драме	1	1
экспрессивных интенций	2	1
единство стиля	1	2
подходы к	1	1
в сознании	1	2
и есть	1	1
различных форм	2	3
в контекст	2	2
и языка	4	1
слова никогда	1	1
один язык	1	1
по своей	1	1
могли бы	1	1
авторское слово	3	3
мы говорили	1	1
из состояния	1	1
даже говорить	1	1
же задаче	1	1
о нем	2	4
хотя и	2	2
стилю и	2	1
гибридные конструкции	2	1
явления и	1	1
эпохи и	2	2
самого языка	1	2
с ее	2	4
стиль и	1	1
социальное разноречие	4	3
время и	1	2
и слово	2	2
только на	1	2
например и	1	1
они не	2	1
связанная с	1	1
чужое слово	10	1
например в	5	2
единого языка	3	7
напряженное взаимодействие	3	1
случае перед	1	1
себя то	2	1
из различных	1	1
другие языки	1	1
то же	4	14
и со	1	1
немецких юмористов	1	1
разноречием и	1	2
внутренней диалогичности	2	5
это было	1	1
оно может	2	2
борьба с	4	1
своего и	2	2
диалогически соотнесены	1	2
глубокого влияния	1	1
рано или	1	1
особенность романного	1	1
стиля в	1	2
слова может	2	1
его на	1	1
моментами этого	1	1
на чужие	1	1
поэтическое слово	4	3
в романах	3	2
жизни слова	1	7
в какой	1	1
характерно что	1	2
эта идея	2	1
сухой и	1	1
не нужно	1	1
языка этот	2	1
освобождает от	1	1
образы говорящих	2	1
только своим	1	2
характер и	1	1
и стилей	2	1
этого второго	1	1
в себя	2	1
более того	2	3
значение получает	1	1
точками зрения	1	3
единого и	2	4
романе существенно	2	1
и разновидности	1	1
с авторским	2	1
сводится именно	1	1
и их	5	1
идеологических систем	1	1
сочетания языков	1	1
языка его	1	3
образом в	1	3
и индивидуальные	1	2
высказывание на	1	2
выработанные в	1	1
романе она	1	1
момент в	1	1
идеологическое слово	1	1
к нему	3	5
слово должно	1	1
чужую речь	2	1
с различными	3	3
можно сказать	1	2
точку зрения	3	3
ничего не	1	4
слову к	1	1
в их	2	4
языки на	1	1
идеологического слова	1	5
и подходы	1	1
и письменных	1	1
своим словом	3	1
за языками	1	1
словесного осознания	1	2
можно прямо	3	1
различные эпохи	2	1
своего времени	1	1
должен быть	2	1
риторическим формам	1	3
в нем	19	30
поэтические жанры	2	2
которых мы	2	1
этого языка	4	1
него разноречие	1	1
или иначе	1	1
художественной прозе	2	2
в других	1	3
и свой	1	1
языке в	2	1
слова все	3	2
во всех	12	17
смысловых и	2	4
художественно-прозаические жанры	1	1
себе как	2	1
по языкам	1	1
что и	3	1
один из	5	4
другого невозможно	1	2
уже не	5	2
есть до	1	1
этого стиля	1	1
образом с	1	1
она строится	1	1
с точки	3	8
вопросам художественного	1	1
же и	2	2
свой голос	2	1
часто становится	1	1
степени и	2	1
двух языков	5	2
быть только	1	2
позволяет органически	1	1
этим в	1	1
точном смысле	2	1
он в	1	5
пародийную стилизацию	1	1
свои акценты	1	1
нем в	3	3
на пути	1	1
каждое слово	1	4
почву для	1	1
жанровых профессиональных	1	3
и стиль	1	2
в сущности	6	13
миров и	1	1
хотя бы	3	3
областях жизни	3	1
нем он	1	1
моменты в	1	1
или иной	5	9
пародии на	1	2
и связанная	1	1
романного жанра	15	7
языка а	5	3
никак нельзя	1	1
единый и	3	2
этих категорий	2	1
и здесь	2	3
жанров которые	1	1
стиля не	1	1
своему языку	2	4
с другими	4	5
с авторской	1	1
здесь как	2	1
и стилистически	2	1
на чужом	2	8
или в	2	8
самого начала	1	1
и по	1	2
но в	6	8
довлеет одному	1	1
конкретный и	1	1
человека в	5	1
как такового	1	3
произведения в	1	1
в контексте	3	2
и способы	1	1
прямого и	1	1
в отличие	12	1
объектную тень	1	1
сих пор	2	2
и сам	1	3
с моментами	1	1
но их	1	1
всякий роман	1	1
здесь оно	1	2
от чисто	1	2
между словом	3	2
конечно что	1	1
тем не	1	1
не значит	1	1
ее с	1	1
большей или	1	4
и формируется	1	1
разноречия и	2	5
которого он	2	1
при этом	7	6
того что	1	3
и там	3	3
или иных	1	1
своеобразное единство	1	1
остаются в	1	2
его же	1	3
но уже	1	1
о которых	1	1
в форме	2	1
том что	5	2
у него	3	3
в ней	3	4
чужих высказываний	1	5
романного стиля	3	7
и она	1	1
и моментов	1	1
в другом	2	2
новые и	1	1
в противовес	2	1
однако и	1	1
в нее	2	1
в этих	7	2
социального разноречия	1	3
автора и	2	4
момент его	1	3
за его	1	1
высказываний на	1	1
авторская речь	1	2
них не	1	1
и следовательно	1	7
и разноязычие	1	2
влияние которого	1	1
ведь и	2	1
образом на	1	1
правда не	1	2
и мирков	1	1
они были	1	2
для него	7	3
того же	1	6
смысла и	3	3
фоне которого	1	1
этого типа	1	2
как к	3	2
зрения на	2	7
рассказ в	1	2
вступает в	1	1
ту же	3	4
разновидностей европейского	1	1
и вся	1	1
борются и	1	1
в различные	2	2
свою очередь	2	2
разноречием в	1	1
автора при	1	1
и могли	1	1
нисколько не	1	2
судьбы и	1	1
входит в	4	4
иное значение	1	1
определенными и	1	1
степени объектны	1	1
социальных кругозоров	1	1
зоны героев	2	3
прозы является	1	1
входит и	1	1
в слове	6	7
непререкаемого и	1	1
языка но	4	4
его многообразных	1	1
в романе	46	21
языка как	7	4
оно не	8	6
а также	3	2
различными моментами	1	4
и это	1	1
с индивидуальными	1	1
вне его	2	2
разноречивость и	1	3
оно все	1	1
чужая речь	1	9
языка не	4	1
контексте и	1	1
но повторяем	1	1
скрещиваются между	1	1
и другие	2	1
еще более	2	5
в евгении	1	2
и литературный	1	1
и жанров	1	2
и часто	3	4
во все	1	1
не с	3	2
романного слова	2	4
с которым	2	2
высказываний в	3	1
а следовательно	1	1
и чужой	1	1
со всех	1	1
