2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_2gram
тому что	1	1
время достоевский	1	1
л п	2	7
в статье	1	2
достоевского есть	1	1
с чирков	1	1
и более	1	1
и мире	1	1
только с	1	2
в каждом	3	1
представляет собой	3	1
всегда было	1	1
и тогда	1	2
комический эффект	1	1
в русской	5	2
достоевского является	1	1
однако достоевский	1	1
значит отказаться	1	1
и должно	1	1
о забитой	1	1
и оскорбленных	4	1
и вот	1	1
очень важно	1	1
дело в	3	1
по преимуществу	2	2
братья карамазовы	1	1
опираясь на	1	2
одного из	2	1
князь христос	1	3
достоевским в	4	2
в которую	1	2
достоевский художник	1	1
и на	7	5
вплоть до	1	1
от апреля	1	1
своей ранней	1	1
достоевского м	4	3
достоевского в	12	9
мысли достоевского	1	1
быть понята	1	1
от него	1	1
ли это	1	1
и достоевского	1	1
по крайней	2	2
христос в	1	1
на земле	3	1
нем и	1	1
м фридлендер	1	1
как и	12	6
забитой лошади	1	1
означает в	1	1
собой в	2	1
должен был	1	1
потому что	5	7
нуждается в	1	1
что для	2	1
что с	1	1
этого персонажа	1	1
и давно	1	1
определен как	1	1
в самом	3	3
тогда как	1	3
же время	12	7
первый герой-идеолог	1	1
человеческой души	2	1
лирическим героем	1	1
в то	15	10
преступление и	5	2
по отношению	1	3
никогда не	3	11
героев и	3	1
зрелого творчества	1	1
в россии	3	2
слова не	1	1
и в	21	20
времени как	3	1
все время	1	2
с романтической	1	1
так же	3	5
композиции у	1	1
в мире	4	5
настасьи филипповны	2	4
где происходит	1	1
так что	2	2
раскольникова или	1	1
записок из	3	1
важную роль	1	1
нам представляется	1	1
но сквозь	1	1
так как	3	3
с тургенева	1	1
значение в	1	1
но не	3	5
герой в	2	1
и оскорбленные	2	1
такой же	2	2
с раскольниковым	1	1
не в	2	4
трагедии в	1	2
он стремился	1	1
как будто	5	1
не означает	2	2
восходит к	1	2
ты мне	1	1
по мнению	3	3
униженных и	4	1
достоевского часто	1	1
творчестве достоевского	5	4
символический смысл	1	1
генерал пралинский	2	1
и через	1	3
не могут	1	1
до предела	1	1
в наше	2	2
для которого	1	2
бы он	1	1
достоевский совершенно	1	1
за свою	1	1
скверного анекдота	1	1
и до	1	1
в конечном	4	1
как она	1	1
всю жизнь	1	1
в таких	1	1
как это	1	1
отношении к	1	1
преступления и	5	2
что этот	1	2
с этим	1	1
романах достоевского	15	13
хитрый и	1	1
же он	1	1
и с	3	8
событий в	1	1
важным и	1	1
в мысли	1	1
но это	5	5
и всякий	1	1
когда он	2	4
романах достоевский	1	1
петербурга и	1	1
считал что	1	1
чирков н	1	1
с глава	3	2
так словно	1	1
ее и	2	1
он видит	3	1
является одним	2	1
рассказывает о	1	3
это все	1	2
ф м	2	3
это не	4	7
человека к	1	1
этот момент	1	1
кроткой и	1	1
между людьми	2	2
образом и	1	1
эта мысль	1	2
с другой	3	2
а г	2	1
и как	4	1
романа идиот	1	6
но он	2	1
к осознанию	2	1
и сколько	1	2
принцип организации	1	1
в чем	2	4
было бы	1	1
и мотивы	1	1
других романах	1	1
как бы	17	11
в процессе	1	2
достоевского бахтин	1	1
из всех	4	1
и вдруг	1	2
его обитатели	1	1
в большой	1	1
русской литературы	2	1
в первой	2	2
реализм достоевского	2	2
него с	1	1
зла и	1	1
казалось бы	1	3
с кьеркегора	1	1
скверном анекдоте	3	4
прежде всего	4	8
указывает на	1	1
не мог	2	1
а с	1	3
см главу	1	1
он ни	3	1
читателя он	1	1
понимания человека	1	1
своих героев	3	3
он стал	1	1
мы понимаем	1	1
у нас	1	2
но и	3	8
школы и	1	1
в ее	1	2
тысяч рублей	1	3
традиции и	1	3
именно в	2	6
эти слова	2	1
п гроссман	2	2
а затем	2	3
до сих	1	3
не знает	2	1
только то	1	1
в творчестве	6	5
природа человека	1	1
решающую роль	1	1
их на	1	1
не умел	1	1
рассуждения об	1	1
раскольникова в	1	2
автора в	1	1
с небольшой	1	1
одной из	4	3
достоевский в	3	7
себя в	1	2
гофмана и	1	1
и четко	1	1
человек с	1	1
человеческой личности	3	2
концепции человека	2	1
отношение автора	1	1
героя и	2	2
только для	1	2
развития человечества	1	1
роль в	1	2
но эти	1	2
м чирков	1	2
будет вечно	1	1
и наконец	2	2
не был	3	1
по достоевскому	2	1
апреля года	1	3
мир а	1	1
зависит от	2	2
это объясняется	1	1
не к	1	1
для ее	1	1
чувство стыда	2	2
его романах	2	1
но эта	1	2
в целом	4	6
что раскольников	1	3
заявил что	1	2
рассказе скверный	3	1
в преступлении	6	10
что не	2	3
во второй	2	1
романа становится	1	1
с большим	1	3
а не	5	6
этот вопрос	1	3
переход от	1	1
в униженных	1	1
говорить о	1	2
с этой	1	3
значит что	2	1
самого себя	1	1
узнаем что	1	1
в этом	6	8
с одной	1	1
крайней мере	2	2
индивидуальном сознании	1	1
превращается в	1	3
достоевский строит	1	2
русской литературе	4	1
достоевский не	4	5
и наказание	4	1
быть назван	1	1
об этом	2	4
в исповеди	1	1
точно так	2	1
они считают	1	1
этого вопроса	1	1
в образе	1	3
выглядит как	1	1
одним из	4	3
будущее в	1	1
и ее	1	2
говорит что	2	1
достоевского о	1	1
он говорит	3	1
особое значение	1	1
г в	1	1
на него	1	2
наполеоновская идея	1	1
жизни не	1	1
мы узнаем	1	2
одна из	2	3
и внутреннего	2	1
же как	1	3
проблемы поэтики	4	1
с достоевский	1	4
с влиянием	1	1
сон о	2	2
против этого	1	1
в первую	1	1
все это	10	6
с долинин	1	2
интерес и	1	1
в один	2	1
и есть	1	2
сам автор	1	1
как некий	1	1
ведет к	2	1
самом деле	2	2
н м	2	4
в сюжете	1	1
в черновиках	2	4
мышкина и	1	1
в целях	1	1
представлял себе	1	1
мысли и	4	1
степанчиково и	1	1
в философии	1	1
если в	2	1
что я	3	2
писателя как	1	1
а может	1	1
о нем	1	1
хотя и	3	4
не так	3	2
парадоксальная реакция	1	1
идейная позиция	1	1
заключается в	1	1
о трихинах	1	1
во многом	7	2
что оно	1	1
из подполья	13	6
идиот дается	1	1
то же	13	7
и со	1	1
приходит в	1	1
бы заранее	1	1
при помощи	2	2
достоевский стремился	1	1
русской жизни	4	1
достоевского две	1	1
он приходит	1	1
от романтической	1	1
героя в	1	4
т с	1	1
о достоевском	1	2
князь в	1	1
село степанчиково	1	1
с см	1	2
связана с	1	1
преступлении и	4	11
у гроба	1	1
в романах	13	13
литературной традиции	1	4
полную свободу	1	2
в виноградов	1	1
по способу	1	1
в в	2	1
эта идея	1	1
начиная с	1	2
xix века	6	7
в петербурге	4	1
и если	1	2
у достоевского	28	30
наше время	2	2
его перед	1	1
критики и	1	2
нас на	1	1
в действии	1	1
человека и	4	3
вся история	2	1
что же	1	1
ф одоевский	2	1
в себя	2	1
но этот	1	1
однако этот	1	3
достоевский изображает	1	2
до уровня	1	1
и их	1	1
столь же	1	1
на сенной	1	3
утверждает что	1	1
и наказании	4	10
жизнь для	1	1
в которой	3	2
болевой эффект	2	13
жалости и	1	1
но при	1	1
у а	1	1
но тот	1	1
говорили что	1	1
романа достоевского	3	5
генерала пралинского	2	1
что он	6	6
у пушкина	2	3
в любви	2	1
когда же	1	1
если он	1	5
в прямом	1	1
через него	1	1
к жизни	2	2
в нем	3	3
во время	1	1
веру в	1	2
стиле достоевского	1	1
во всех	1	1
о стиле	1	1
мещанин на	1	1
л с	1	1
в дальнейшем	3	4
он был	1	1
в книге	3	1
первую очередь	1	1
в современной	1	1
у этого	1	1
преступления а	1	1
что и	2	1
один из	4	3
уже не	3	3
в жертву	1	1
желаемого эффекта	1	1
но только	2	1
не знать	1	1
на улице	1	1
к себе	1	1
а по	2	1
в лице	2	4
романов достоевского	3	5
человек и	1	1
героев например	1	1
достоевского глава	1	1
назиров р	2	2
гюго и	1	1
достоевского не	6	8
среду и	1	1
к роману	1	3
том же	1	2
представление о	3	7
в с	2	1
вторгается в	2	1
р г	2	2
жизни но	1	1
и здесь	1	1
этого ему	1	1
христа как	1	1
великого писателя	1	1
искусства достоевского	1	1
так достоевский	2	3
духовной жизни	1	1
самого начала	3	1
и по	3	2
о летних	1	2
… но	1	1
но в	7	4
князь валковский	2	1
человека в	6	3
достоевского чем	1	1
а я	1	2
не имеет	1	1
как по	1	2
в xix	1	2
в отличие	2	2
достоевский наделил	1	1
своего рода	4	3
пришел к	1	1
сих пор	1	3
году в	2	1
сей день	1	1
романы достоевского	1	2
событий и	1	1
и сам	1	5
ипполит в	1	1
идеи и	1	1
трагического и	1	2
жизнь и	1	1
больших романах	3	1
м т	1	2
не значит	1	1
этой связи	2	1
просветительской философии	1	1
и тесно	1	1
при этом	7	8
этом плане	1	1
известной книге	1	1
том что	11	4
утопического социализма	1	2
человек это	2	1
у нее	1	3
у него	7	6
на свете	2	1
и тут	1	1
сюжета в	1	1
в этих	2	1
но сам	1	1
же трансформации	1	1
заботиться о	1	1
чуть ли	1	1
м.-л с	1	2
достоевский ф	1	3
в котором	6	3
достоевского встречаются	1	1
времени достоевский	1	1
что его	2	2
творчество достоевского	3	4
для него	6	3
в момент	4	1
он живет	1	1
на себя	1	1
ту же	3	1
к ней	2	1
однако это	1	2
наделил своих	1	1
же это	1	1
свою очередь	1	1
в искусстве	1	2
по выражению	1	1
борьба бога	1	1
этой книги	3	1
и достоевский	2	4
был бы	2	1
повествовательную маску	1	1
в скверном	3	4
самому себе	1	1
и наказания	5	2
ставрогина в	1	1
достоевского только	1	1
заставляет вспомнить	1	1
достоевского очень	1	1
из жизни	1	2
действительной жизни	3	1
расходится с	1	1
в романе	10	15
сам себе	2	1
с гробом	1	1
порою это	1	1
сердце и	1	2
глубине души	1	1
что это	1	1
этот роман	2	1
и это	1	3
в этот	1	2
с другим	1	2
и человек	2	1
меня в	1	1
в кроткой	1	1
же не	1	2
переходит в	2	1
от одной	1	1
жизнь в	1	1
и другие	3	1
еще более	2	1
в комедии	1	1
этот принцип	1	1
во все	1	1
в связи	1	1
соответствии с	3	4
жизнь его	1	1
приходит к	3	1
