N	2gram	Propp_Russ	Hudozhes
494	нет никаких	1	1
495	к этим	1	1
496	друг друга	3	1
497	и учеными	1	1
498	они могут	1	1
499	в настоящее	3	1
500	и становится	1	1
501	из них	12	1
502	тот же	2	1
503	в лес	4	1
504	революции в	1	1
505	лишает их	1	1
506	представить себе	1	1
507	все мы	1	1
508	говорилось выше	1	1
509	что они	8	1
510	этом случае	9	1
511	к различным	1	1
512	мы видим	2	1
513	в более	2	1
514	части как	1	1
515	вокруг него	2	1
516	так как	25	1
517	форму в	1	1
518	многих других	1	1
519	так слово	1	1
520	на которую	1	1
521	что иное	3	1
522	они не	1	1
523	может не	1	1
524	после того	3	1
525	не во	1	1
526	свидетельствует о	1	1
527	должно быть	2	1
528	несколько иной	1	1
529	внимание на	1	1
530	в состоянии	1	1
531	обе эти	1	1
532	жизни человека	1	1
533	а и	7	1
534	народной жизни	1	1
535	нее как	1	1
536	обратил внимание	1	1
537	чем у	2	1
538	как у	2	1
539	для нас	12	1
540	и одна	1	1
541	и через	2	1
542	из своих	2	1
543	у нас	11	1
544	вытекающее из	1	1
545	по типу	1	1
546	на которой	2	1
547	и от	2	1
548	слово в	1	1
549	и есть	1	1
550	весь мир	1	1
551	в одиночку	2	1
552	в третьем	1	1
553	в русском	4	1
554	когда же	1	1
555	не путем	1	1
556	тому же	1	1
557	от своих	1	1
558	нет даже	1	1
559	не была	1	1
560	в таких	3	1
561	не было	3	1
562	мы рассмотрим	5	1
563	как видно	1	1
564	что его	1	1
565	самые разнообразные	1	1
566	на нее	5	1
567	дело в	1	1
568	которое в	2	1
569	не ограничивается	1	1
570	что не	1	1
571	виду что	2	1
572	но для	1	1
573	такое же	2	1
574	в конце	1	1
575	из мифа	1	1
576	с той	2	1
577	и без	1	1
578	нас к	5	1
579	также в	5	1
580	можно предположить	2	1
581	смысла слова	1	1
582	же как	5	1
583	по содержанию	3	1
584	на земле	3	1
585	говорят о	1	1
586	между прочим	2	1
587	рядом с	1	1
588	при таком	1	1
589	ли не	1	1
590	смерти в	2	1
591	от этого	2	1
592	в такой	1	1
593	может рассматриваться	1	1
594	по его	2	1
595	действительности которая	1	1
596	тех же	1	1
597	себе и	1	1
598	точек зрения	1	1
599	в каждой	1	1
600	в одной	1	1
601	сам и	1	1
602	о своих	1	1
603	связаны с	6	1
604	ему не	1	1
605	на них	4	1
606	в каждом	2	1
607	вошел в	1	1
608	что от	4	1
609	в полной	1	1
610	или смерть	1	1
611	в своих	3	1
612	оно в	1	1
613	встречаемся с	1	1
614	не означает	2	1
615	в поле	18	1
616	до нас	1	1
617	не составляет	1	1
618	имен и	1	1
619	две стороны	1	1
620	зрения в	1	1
621	не дает	1	1
622	также и	1	1
623	ту же	2	1
624	собою как	1	1
625	либо его	1	1
626	части и	2	1
627	с совершенно	1	1
628	на колени	2	1
629	или же	2	1
630	так называемые	1	1
631	в развитии	1	1
632	из окна	1	1
633	соответствующих ему	1	1
634	что касается	1	1
635	в первом	1	1
636	а по	1	1
637	для этого	6	1
638	после чего	4	1
639	не могла	1	1
640	тем и	4	1
641	иметь в	2	1
642	или его	1	1
643	стороны и	1	1
644	в xix	13	1
645	время они	1	1
646	этих случаях	1	1
647	следует признать	2	1
648	магический обряд	2	1
649	означает что	2	1
650	в иных	2	1
651	к понятию	1	1
652	когда мы	2	1
653	этом не	2	1
654	было бы	3	1
655	как способ	1	1
656	не по	1	1
657	из нее	2	1
658	ту сторону	1	1
659	в древнерусской	1	1
660	как мы	11	1
661	к изучению	1	1
662	общего с	1	1
663	что для	4	1
664	его как	2	1
665	в четвертом	1	1
666	каждый человек	1	1
667	которые в	2	1
668	v если	1	1
669	когда они	2	1
670	приводят к	1	1
671	того времени	1	1
672	этом и	1	1
673	материал из	1	1
674	это ни	1	1
675	по этому	4	1
676	так что	4	1
677	с которым	1	1
678	теми же	1	1
679	и определяется	1	1
680	же в	5	1
681	к пониманию	1	1
682	говорить об	1	1
683	иной раз	1	1
684	чаще всего	3	1
685	как будто	6	1
686	идет не	1	1
687	направления в	2	1
688	на то	2	1
689	бы ни	1	1
690	нуждается в	1	1
691	образ его	1	1
692	а как	1	1
693	известен только	1	1
694	здесь мы	3	1
695	в него	2	1
696	именно это	1	1
697	и том	1	1
698	или точнее	1	1
699	как знак	1	1
700	собой так	1	1
701	и иные	1	1
702	иное как	3	1
703	в е	2	1
