N	3gram	Vinokur_Ku	Formalny
141	может быть только	2	2
142	может и не	1	2
143	и все же	1	2
144	лишь тогда когда	1	2
145	языке как о	1	2
146	в какой мере	1	2
147	язык как предмет	1	2
148	так и не	1	2
149	в это время	1	2
150	имеем в виду	1	2
151	не может и	1	2
152	этой точки зрения	4	2
153	том или ином	1	2
154	как и в	1	2
155	между ними и	1	2
156	какой бы то	1	2
157	от того что	1	2
158	ничего общего с	2	2
159	на этот вопрос	3	2
160	мы приходим к	2	2
161	т е с	1	2
162	но что же	1	2
163	не говоря уже	2	2
164	и с точки	1	2
165	вовсе не есть	1	2
166	дело в том	1	2
167	зависимости от того	1	2
168	не только в	4	2
169	вовсе не потому	2	2
170	так же как	3	2
171	мы имеем в	1	2
172	в этом случае	4	2
173	следовательно и в	1	2
174	что же такое	1	2
175	дело не в	3	2
176	что и в	1	2
177	тот или иной	1	2
178	он был бы	1	2
179	привести в систему	1	1
180	следует еще указать	1	1
181	всяком случае ясно	1	1
182	не менее трудно	1	1
183	в историческом развитии	1	1
184	между ними как	1	1
185	бы уже не	1	1
186	несмотря на их	1	1
187	на основе такого	1	1
188	мы наблюдаем в	1	1
189	ни на минуту	1	1
190	свое выражение в	2	1
191	с его значением	1	1
192	лишь в том	2	1
193	огромном большинстве случаев	1	1
194	в литературе и	1	1
195	что слово есть	1	1
196	что в ней	1	1
197	совершенно прав когда	1	1
198	сводится к следующему	1	1
199	нельзя ставить рядом	1	1
200	того что они	2	1
201	языка в этом	1	1
202	чтобы понять что	1	1
203	живет и развивается	1	1
204	и тогда когда	3	1
205	т е когда	2	1
206	по сравнению с	1	1
207	лишь как о	1	1
208	то только в	1	1
209	даже и тогда	1	1
210	не в этом	1	1
211	и все те	1	1
212	не значит еще	1	1
213	если бы например	2	1
214	что оно не	1	1
215	самом деле в	1	1
216	было ясно что	1	1
217	язык в его	1	1
218	влечет за собой	1	1
219	в его действительном	1	1
220	русского языка и	1	1
221	более отчетливо и	1	1
222	т е все	1	1
223	не значит что	1	1
224	говорим о языке	1	1
225	которых идет речь	1	1
226	находится в противоречии	2	1
227	от того кто	1	1
228	ту же основную	2	1
229	если они не	1	1
230	то что они	1	1
231	широком смысле слова	1	1
232	значение все это	1	1
233	резко отличен от	1	1
234	значение и в	1	1
235	говорить о языке	1	1
236	но они не	1	1
237	органов речи и	1	1
238	может быть заменено	2	1
239	и то же	1	1
240	смысле в каком	1	1
241	в истории научного	1	1
242	одного и того	2	1
243	это не значит	1	1
244	то убедимся что	1	1
245	рядом с этим	1	1
246	как социальное явление	1	1
247	была бы уже	1	1
248	мы знаем что	2	1
249	что было в	1	1
250	в силу этого	1	1
251	имеет первостепенное значение	1	1
252	было бы отрицать	1	1
253	о которых идет	1	1
254	случае действительно было	1	1
255	лишь в той	2	1
256	даже и на	1	1
257	воспринимается на фоне	3	1
258	слово а не	1	1
259	однако не менее	1	1
260	в наши дни	1	1
261	т п т	2	1
262	в языке в	1	1
263	когда говорят о	1	1
264	если бы в	1	1
265	в этой области	3	1
266	что в самом	1	1
267	и вместе с	1	1
268	в ней все	1	1
269	тем чем он	1	1
270	п т е	2	1
271	нужно доказывать что	1	1
272	что в этом	1	1
273	то во всяком	1	1
274	положение нуждается в	1	1
275	не в качестве	1	1
276	в каждую данную	1	1
277	по себе не	1	1
278	таким образом в	2	1
279	до тех пор	1	1
280	вовсе не следует	1	1
281	а с другой	3	1
282	речи вовсе не	1	1
283	таким образом есть	1	1
284	у них есть	1	1
285	если бы дело	1	1
286	и возможно что	1	1
287	есть не что	1	1
288	что же это	1	1
289	каждый данный момент	1	1
290	п все эти	1	1
291	и того же	2	1
292	состоит в том	4	1
293	потому что не	2	1
294	в целом и	2	1
295	очевидно что в	1	1
296	но уже совсем	1	1
297	в действительности и	1	1
298	и там где	2	1
299	с их помощью	1	1
300	к вопросу о	3	1
301	все это не	3	1
302	и в его	1	1
303	и пр это	1	1
304	языка и т	1	1
305	нет никаких оснований	1	1
306	а прежде всего	1	1
307	ли нужно доказывать	1	1
308	не замечаем что	1	1
309	по существу это	1	1
310	бы отрицать что	1	1
311	этого слова но	1	1
312	прежде всего то	1	1
313	но не менее	1	1
314	языка таким образом	1	1
315	в этом последнем	1	1
316	а также и	1	1
317	между собою в	1	1
318	является с одной	1	1
319	это не могло	1	1
320	совершается в пределах	1	1
321	т е о	2	1
322	собственном смысле слова	1	1
323	в этих случаях	1	1
324	в том и	3	1
325	а то и	1	1
326	особенно важное значение	1	1
327	того как мы	1	1
328	и тем не	4	1
329	у нас только	1	1
330	в пределах данного	1	1
331	если так то	1	1
332	т е не	1	1
333	чуть ли не	3	1
334	но он не	1	1
335	и некоторые другие	1	1
336	т е самой	1	1
337	той или иной	1	1
338	большей или меньшей	2	1
339	вследствие того что	2	1
340	в первом и	1	1
341	это положение нуждается	1	1
342	т п все	2	1
343	и только потому	1	1
344	прежде всего на	1	1
345	но и здесь	1	1
346	на то что	3	1
347	он должен быть	2	1
348	ни в каком	2	1
349	а вместе с	1	1
350	в каждый данный	1	1
351	и может быть	1	1
352	можно утверждать что	1	1
353	мере того как	3	1
354	в сторону от	2	1
355	можно говорить как	1	1
356	не нуждается в	1	1
357	не имеет никакого	1	1
358	и в особенности	1	1
359	как это делается	1	1
360	он уже не	1	1
361	столько же сколько	1	1
362	то оно не	1	1
363	о том что	6	1
364	слову как орудию	1	1
365	ни в какой	1	1
366	и со всем	1	1
367	того чтобы не	1	1
368	по крайней мере	11	1
369	лицом к лицу	1	1
370	в такой степени	1	1
371	и в самом	4	1
372	но как и	1	1
373	привести к такому	1	1
374	по мере того	3	1
375	все дело в	1	1
376	было бы сказать	2	1
377	внутренняя форма слова	1	1
378	а следовательно и	2	1
379	чтобы можно было	1	1
380	этого слова и	2	1
381	можно сказать что	2	1
382	и даже в	1	1
383	только в том	5	1
384	и той же	1	1
385	как впрочем и	1	1
386	значения между тем	1	1
387	каждая эпоха имеет	1	1
388	т е уже	1	1
389	еще и иное	1	1
390	указаний на то	1	1
391	нужно было бы	3	1
392	т е то	2	1
393	чтобы показать что	2	1
394	самом деле это	1	1
395	не для того	1	1
396	связи с общим	1	1
397	хотя и не	1	1
398	в узком смысле	2	1
399	самого по себе	1	1
400	в языке не	2	1
401	с помощью которого	1	1
402	не что иное	2	1
403	что иное как	2	1
404	в какой они	1	1
405	с помощью этого	1	1
406	между тем наша	1	1
407	что он есть	1	1
408	значения и смысла	1	1
409	одно и то	1	1
410	у нас все	2	1
411	это делается в	1	1
412	одной и той	1	1
413	что этот закон	1	1
414	заключается в том	2	1
415	или меньшей степени	2	1
416	только потому что	11	1
417	и иное значение	1	1
418	во всех этих	1	1
419	до конца и	1	1
420	что если бы	1	1
421	с так называемым	1	1
422	не сам по	1	1
423	в особенности в	1	1
424	и больше всего	1	1
425	в сущности не	1	1
426	и мы получим	1	1
427	язык с его	1	1
428	связывается с тем	1	1
429	и не из	1	1
430	случае ясно что	1	1
431	тесно примыкают к	2	1
432	действительно было бы	1	1
433	в связь с	1	1
434	тем что он	1	1
435	в огромном большинстве	1	1
436	а сам этот	1	1
437	том случае если	3	1
438	языка но и	2	1
439	та или иная	1	1
440	в большей или	2	1
441	и история литературы	1	1
442	в самом процессе	1	1
443	сюда же относятся	1	1
444	все это в	1	1
445	в самом широком	2	1
446	именно так и	1	1
447	т е после	1	1
448	должен был бы	1	1
449	должны привести к	1	1
450	не в результате	1	1
451	самого языка в	1	1
452	не могла бы	1	1
453	можно было бы	11	1
454	хотя и здесь	1	1
455	новые и новые	1	1
456	потому что этого	1	1
457	потому что они	1	1
458	несколько слов о	2	1
459	целом и в	1	1
