N	2gram	Ircho_Kome	VrazhdaK
106	как же	2	2
107	а также	3	2
108	же в	3	2
109	отношения к	2	2
110	его на	5	2
111	в мире	2	2
112	там же	1	2
113	их в	3	2
114	же как	1	2
115	в своей	6	2
116	рядом с	1	2
117	вместе с	16	2
118	в это	2	2
119	не менее	9	2
120	и это	4	2
121	в эту	1	2
122	и стал	1	2
123	на первый	1	2
124	еще не	10	2
125	ко мне	2	2
126	но как	1	2
127	а с	2	2
128	это в	2	2
129	в свою	12	2
130	после смерти	1	2
131	в этой	7	2
132	в нашей	1	2
133	что к	4	2
134	человека с	2	2
135	при помощи	1	2
136	а в	12	2
137	на это	3	2
138	к ним	5	2
139	отношение к	7	2
140	из них	11	2
141	этот человек	2	2
142	в себе	4	2
143	ii этот	1	2
144	что я	5	2
145	в глазах	10	2
146	не может	9	2
147	место в	1	2
148	с которым	3	2
149	столь же	5	2
150	том же	2	2
151	точки зрения	8	2
152	этот рассказ	1	2
153	тем более	9	2
154	он сам	1	2
155	в эти	1	2
156	отнюдь не	5	2
157	во время	8	2
158	вернулся в	1	2
159	не мог	2	2
160	в него	1	2
161	и ее	3	2
162	никогда не	5	2
163	могли быть	1	2
164	сочувствие к	1	1
165	различии общественных	1	1
166	к сожалению	2	1
167	в самом	17	1
168	во всем	2	1
169	были известны	1	1
170	то в	1	1
171	как к	3	1
172	для начала	1	1
173	именно к	1	1
174	так и	4	1
175	преступления и	1	1
176	что они	3	1
177	которую они	1	1
178	в свое	2	1
179	принимая его	1	1
180	все что	6	1
181	о творчестве	1	1
182	до сих	12	1
183	сказал что	1	1
184	имя которого	1	1
185	в душе	1	1
186	один из	6	1
187	еще раз	1	1
188	короче говоря	1	1
189	которым он	2	1
190	ему в	1	1
191	со мной	1	1
192	неблаговидный поступок	1	1
193	из которых	7	1
194	в военной	1	1
195	и слегка	1	1
196	о новом	1	1
197	о помощи	1	1
198	выясняется что	3	1
199	ближе к	3	1
200	хочет быть	2	1
201	не последнее	1	1
202	они не	2	1
203	он вспоминает	1	1
204	с братом	1	1
205	только что	11	1
206	не слишком	5	1
207	сдержаться и	1	1
208	если в	4	1
209	также что	1	1
210	лет назад	2	1
211	рассказ о	1	1
212	на три	1	1
213	того как	5	1
214	к этой	2	1
215	и кончая	1	1
216	в основном	1	1
217	второй половине	1	1
218	знать и	1	1
219	которой не	2	1
220	собой в	1	1
221	еще до	1	1
222	знали что	1	1
223	ироническое отношение	3	1
224	героя в	1	1
225	о возможном	1	1
226	выступают как	1	1
227	предположение что	2	1
228	не будем	1	1
229	дает нам	1	1
230	на обед	1	1
231	еще более	4	1
232	предположить что	1	1
233	от которого	1	1
234	из всех	3	1
235	обычно не	1	1
236	хотя и	6	1
237	тому назад	5	1
238	и был	2	1
239	он и	5	1
240	и из	1	1
241	в ее	3	1
242	целого ряда	2	1
243	только не	1	1
244	того что	1	1
245	в комментариях	1	1
246	с просьбой	3	1
247	в другой	5	1
248	говорит о	2	1
249	другие персонажи	1	1
250	знаю что	2	1
251	по праву	1	1
252	в качестве	4	1
253	задолго до	1	1
254	нас в	1	1
255	заметим что	1	1
256	последнее место	1	1
257	него в	3	1
258	восходящая к	1	1
259	не являются	1	1
260	не хочет	6	1
261	прежде всего	7	1
262	сходятся в	2	1
263	никуда не	1	1
264	вошел в	1	1
265	ее и	1	1
266	разобраться в	1	1
267	другой стороны	2	1
268	подавляющее большинство	1	1
269	лет тому	5	1
270	нет ничего	4	1
271	себе не	2	1
272	уже говорилось	1	1
273	в этих	2	1
274	за это	1	1
275	третий раз	1	1
276	в их	5	1
277	о своем	1	1
278	все равно	3	1
279	мы находим	1	1
280	на пиру	1	1
281	тому же	11	1
282	без внимания	1	1
283	за что	1	1
284	этот персонаж	1	1
285	ко всем	1	1
286	не ясно	2	1
287	надежды на	2	1
288	он уже	1	1
289	что ни	7	1
290	в духе	1	1
291	возникшие между	1	1
292	в н	1	1
293	конечно в	2	1
294	же с	1	1
295	а о	2	1
296	ты как	2	1
297	этого не	1	1
298	из двух	3	1
299	и сам	11	1
300	с такими	1	1
301	не известного	1	1
302	в одном	3	1
303	ненависти к	5	1
304	равно как	7	1
305	ненависти и	1	1
306	следует рассматривать	1	1
307	его произведений	1	1
308	еще в	1	1
309	о своей	1	1
310	предполагать что	1	1
311	но не	9	1
312	но вот	1	1
313	в ту	2	1
314	скорее всего	6	1
315	если это	1	1
316	в августе	1	1
317	жизни и	1	1
318	в третий	1	1
319	такое же	2	1
320	то время	3	1
321	представление о	2	1
322	из героя	1	1
323	в таком	2	1
324	героев и	1	1
325	нам не	1	1
326	только два	1	1
327	внимание в	1	1
328	в жизни	1	1
329	более что	1	1
330	в печати	1	1
331	в числе	1	1
332	меня в	2	1
333	человек и	1	1
334	с различными	1	1
335	сходство между	2	1
336	ясно что	12	1
337	как о	3	1
338	также в	2	1
339	похож на	2	1
340	начинается с	2	1
341	в соответствии	1	1
342	этот раз	2	1
343	человек в	1	1
344	в бою	1	1
345	происходит действие	1	1
346	себя как	1	1
347	эту гипотезу	1	1
348	это время	2	1
349	одном из	1	1
350	меня я	1	1
351	молодого человека	23	1
352	город в	1	1
353	как в	4	1
354	смотреть в	1	1
355	мести и	1	1
356	дома и	3	1
357	о близости	1	1
358	хорошо знает	1	1
359	роль в	3	1
360	правда не	1	1
361	ли не	6	1
362	в речах	1	1
363	по своему	3	1
364	и я	3	1
365	сразу же	5	1
366	никто не	2	1
367	да и	3	1
368	несколько минут	2	1
369	его жизни	2	1
370	по его	2	1
371	внимание уже	1	1
372	ли он	1	1
373	первое место	1	1
374	служит для	1	1
375	ему и	3	1
376	о котором	1	1
377	том как	5	1
378	это было	1	1
379	к вопросу	2	1
380	пока не	2	1
381	к своим	2	1
382	для публики	1	1
383	в сторону	1	1
384	возникает вопрос	1	1
385	месте которое	1	1
386	не попал	1	1
387	во сне	1	1
388	не имеет	6	1
389	ничего общего	1	1
390	но мы	1	1
391	тем не	3	1
392	человеком и	1	1
393	что тот	2	1
394	через год	1	1
395	под влиянием	2	1
396	что как	1	1
397	сих пор	12	1
398	при виде	3	1
399	не был	2	1
400	ему не	4	1
401	на них	3	1
402	время с	1	1
403	этому же	1	1
404	жизнь и	1	1
405	первый взгляд	1	1
406	вины в	1	1
407	с этим	5	1
408	еще один	2	1
409	во всех	4	1
410	это опять	1	1
411	сам же	2	1
412	до того	4	1
413	у целого	1	1
414	как имя	1	1
415	во всяком	3	1
416	только от	1	1
417	бедного человека	1	1
418	и довольно	1	1
419	выражение в	3	1
420	любви она	1	1
421	все основания	1	1
422	того в	3	1
423	в полной	1	1
424	первый план	1	1
425	для создания	2	1
426	и ушел	1	1
427	она же	1	1
428	было в	2	1
429	просьбой о	1	1
430	по которому	1	1
431	бы больше	1	1
432	что этот	1	1
433	к источнику	1	1
434	ли это	1	1
435	узнав о	3	1
436	свое место	1	1
437	молодой человек	9	1
438	это как	1	1
439	своем праве	1	1
440	не любил	1	1
441	но при	2	1
442	брата и	3	1
443	потому что	19	1
444	не знаю	2	1
445	на первое	1	1
446	живет в	2	1
447	в комедии	22	1
448	одну из	1	1
449	и речи	4	1
450	выяснилось что	1	1
451	из ненависти	1	1
452	нельзя не	1	1
453	только об	1	1
454	только как	2	1
455	человека как	1	1
456	не всегда	2	1
457	назад в	2	1
458	больше не	1	1
459	вели к	1	1
460	тех пор	5	1
461	вымышленное имя	1	1
462	в ответ	4	1
463	он стал	1	1
464	он давно	1	1
465	содержались в	1	1
466	с героями	1	1
467	в развитии	3	1
468	быть и	1	1
469	во второй	2	1
470	с помощью	4	1
471	он принимает	1	1
472	в частности	4	1
473	не будет	2	1
474	одним словом	1	1
475	и лишь	1	1
476	никого не	1	1
477	из своего	5	1
478	не могло	1	1
479	совпадают с	4	1
480	и их	1	1
481	говорить о	6	1
482	он хочет	1	1
483	не с	2	1
484	что эта	2	1
485	отношении к	1	1
486	себе на	1	1
487	забудем что	1	1
488	хотя в	3	1
489	точно так	1	1
490	в плен	4	1
491	чтобы потом	1	1
492	как он	5	1
493	один раз	2	1
494	не могла	3	1
495	его поведении	1	1
496	людей и	2	1
497	вслед за	1	1
498	встреча с	1	1
499	себя на	1	1
500	и послал	1	1
501	но об	1	1
502	доходит до	1	1
503	человек который	1	1
504	несколько позже	1	1
505	тем самым	1	1
506	ему было	1	1
507	вот в	1	1
508	по своей	2	1
509	можно найти	1	1
510	от того	2	1
511	к людям	1	1
512	которую он	3	1
513	в обоих	2	1
514	что из	2	1
515	человека и	2	1
516	в каком	1	1
517	каждый из	1	1
518	а от	1	1
519	свою очередь	10	1
520	самую суть	1	1
521	его отношение	1	1
522	идет о	3	1
523	годов в	1	1
524	свою пользу	1	1
525	с другой	5	1
526	было бы	7	1
527	а тем	1	1
528	это же	1	1
529	вопросу о	1	1
530	некоторое время	1	1
531	же на	1	1
532	что же	2	1
533	не забудем	1	1
534	не самым	2	1
535	под руку	2	1
536	вызвала его	1	1
537	с типом	1	1
538	разумеется при	1	1
539	среди них	1	1
540	как на	1	1
541	сюжетная ситуация	1	1
542	связывает с	1	1
543	не совсем	3	1
544	соответствии с	1	1
545	себя в	3	1
546	получает прямое	1	1
547	ее не	1	1
548	однако в	5	1
549	герою с	1	1
550	и никогда	1	1
551	что для	7	1
552	а вот	1	1
553	затем в	1	1
554	бы его	1	1
555	руку и	1	1
556	той же	2	1
557	ее участников	1	1
558	как правило	1	1
559	могут быть	3	1
560	на пороге	1	1
561	за него	1	1
562	его были	1	1
563	такая же	2	1
564	имя его	1	1
565	до конца	4	1
566	в высшей	2	1
567	из первых	1	1
568	имя и	1	1
569	и раньше	1	1
570	это дает	1	1
571	что только	1	1
572	был в	1	1
573	прямое выражение	1	1
574	в первой	3	1
575	и от	3	1
576	и есть	3	1
577	роль играет	2	1
578	вышел из	1	1
579	в силу	2	1
580	на этот	6	1
581	это мнение	1	1
582	письмом в	1	1
583	по крайней	1	1
584	такой же	2	1
585	по объему	1	1
586	в остальном	4	1
587	в уме	1	1
588	есть все	1	1
589	в №	1	1
590	каком направлении	1	1
591	из этого	2	1
592	от них	2	1
593	не лучше	1	1
594	этом отношении	2	1
595	хотя он	1	1
596	своим собственным	1	1
597	ничуть не	7	1
598	в рукописи	2	1
599	тут же	8	1
600	у женщин	3	1
601	каким был	1	1
602	всяком случае	3	1
603	конце концов	3	1
604	независимо от	4	1
605	момент его	1	1
606	друг друга	7	1
607	ее своей	2	1
608	как ему	1	1
609	другой раз	3	1
610	ни другой	1	1
611	же он	1	1
612	бы в	5	1
613	у вас	1	1
614	не просто	1	1
615	того же	9	1
616	ни разу	3	1
617	в целом	4	1
618	восходят к	1	1
619	крайней мере	1	1
620	его современников	1	1
621	едва ли	16	1
622	одного и	1	1
623	кто верит	1	1
624	и наконец	1	1
625	в известной	3	1
626	ничего не	6	1
627	вплоть до	2	1
628	делает все	1	1
629	в е	1	1
630	поэтому он	1	1
631	к нему	8	1
632	котором он	2	1
633	высшей степени	2	1
