N	2gram	Berdyaev_V	StatiiOP
140	и во	2	6
141	что я	3	6
142	с его	3	6
143	мы не	2	6
144	и за	2	6
145	но я	1	6
146	и я	4	6
147	в новом	1	6
148	и вообще	1	6
149	за то	3	6
150	его не	2	6
151	что на	1	6
152	по пути	5	5
153	в духе	2	5
154	давно уже	2	5
155	в речах	1	5
156	уже не	2	5
157	то это	3	5
158	конечно не	2	5
159	можно ли	1	5
160	до того	2	5
161	после того	1	5
162	хотя и	5	5
163	не была	1	5
164	на себя	5	5
165	что не	4	5
166	в двух	1	5
167	не был	1	5
168	если не	3	5
169	если б	1	5
170	не так	2	5
171	один из	2	5
172	и который	1	5
173	должна быть	3	5
174	для себя	1	5
175	о которой	1	5
176	оно не	3	5
177	и если	1	5
178	нет и	2	5
179	ее в	2	5
180	на нее	1	5
181	царем и	1	5
182	и потому	7	5
183	не по	1	5
184	что было	2	4
185	и другие	1	4
186	все что	4	4
187	которые не	2	4
188	было не	1	4
189	не существует	1	4
190	не могли	2	4
191	не всегда	1	4
192	на него	1	4
193	всего в	2	4
194	мы видим	1	4
195	как можно	1	4
196	будто бы	1	4
197	и именно	1	4
198	властью и	1	4
199	одна из	2	4
200	на этом	1	4
201	не могут	2	4
202	но как	1	4
203	с которым	1	4
204	а потому	1	4
205	в последнем	2	4
206	то есть	1	4
207	если в	1	4
208	в форме	2	4
209	они не	1	4
210	в процессе	1	4
211	и так	1	4
212	да и	2	4
213	хотел бы	1	4
214	бы и	3	4
215	более чем	2	4
216	и тогда	2	4
217	говорят что	1	4
218	им в	1	4
219	не для	1	4
220	в образе	4	4
221	этого слова	1	4
222	что оно	1	4
223	и всегда	1	4
224	места в	1	4
225	он говорит	1	4
226	как мы	1	4
227	от него	2	3
228	является в	2	3
229	любовь к	3	3
230	в следующих	1	3
231	но что	1	3
232	и которые	1	3
233	бы все	1	3
234	их в	3	3
235	в одно	1	3
236	ни для	1	3
237	с именем	1	3
238	от них	1	3
239	на котором	1	3
240	бы то	1	3
241	на том	2	3
242	есть еще	1	3
243	является и	1	3
244	и до	1	3
245	от этого	3	3
246	бы в	1	3
247	не имел	2	3
248	то ни	1	3
249	не будет	2	3
250	как мог	1	3
251	известном смысле	1	3
252	что во	3	3
253	чем у	1	3
254	не были	1	3
255	присутствует в	1	3
256	бы ни	1	3
257	что нет	1	3
258	себя и	1	3
259	в словах	1	3
260	отказался от	1	3
261	это дело	2	3
262	то и	1	3
263	слова с	1	3
264	в сознании	1	3
265	найти в	1	3
266	он делает	1	3
267	от которого	3	3
268	тут не	1	3
269	основана на	1	3
270	в русском	1	3
271	них и	1	3
272	а к	2	3
273	и последний	2	3
274	это еще	4	3
275	конечно это	1	3
276	она не	1	3
277	отказ от	1	3
278	конечно в	1	3
279	в трех	1	3
280	не хотел	2	3
281	и ее	1	3
282	не к	2	3
283	и уже	1	3
284	мы и	2	2
285	от необходимости	1	2
286	между собою	1	2
287	лет назад	1	2
288	которая в	1	2
289	это значит	1	2
290	в разных	1	2
291	о мире	1	2
292	жизнь в	1	2
293	а того	1	2
294	меня в	1	2
295	стороны в	1	2
296	роль в	1	2
297	было написано	1	2
298	одно целое	1	2
299	вот почему	2	2
300	на пути	1	2
301	а между	2	2
302	превращается в	3	2
303	всего что	1	2
304	него не	1	2
305	что их	2	2
306	в тюрьму	1	2
307	но к	1	2
308	бы это	1	2
309	все в	1	2
310	этому пути	2	2
311	легенду о	1	2
312	и можно	1	2
313	ставит в	1	2
314	в изображении	1	2
315	и вместе	1	2
316	вообще в	1	2
317	этих трех	3	2
318	истории и	2	2
319	что есть	5	2
320	но нет	1	2
321	и от	1	2
322	этих словах	1	2
323	его к	2	2
324	который был	1	2
325	кто знает	1	2
326	не случайно	1	2
327	в число	2	2
328	много места	1	2
329	за ним	3	2
330	его с	1	2
331	с такой	1	2
332	мы в	1	2
333	для них	2	2
334	к нам	2	2
335	их и	1	2
336	только несколько	1	2
337	но вот	1	2
338	и они	3	2
339	как не	3	2
340	жизни в	1	2
341	не имеют	1	2
342	во мне	4	2
343	зависимости от	1	2
344	тебе что	1	2
345	и теперь	2	2
346	в которую	1	2
347	это имеет	1	2
348	тогда как	1	2
349	много общего	1	2
350	в глазах	1	2
351	любовью к	1	2
352	у них	1	2
353	тот же	3	2
354	д и	1	2
355	жизни но	1	2
356	близок к	1	2
357	значение в	1	2
358	любви в	1	2
359	здесь есть	1	2
360	и вот	1	2
361	ли ты	2	2
362	со словами	1	2
363	и эта	1	2
364	опять-таки не	1	2
365	как она	1	2
366	что тот	1	2
367	чтобы сделать	2	2
368	что от	2	2
369	потребность в	1	2
370	отказаться от	1	2
371	отвращение к	3	2
372	против того	1	2
373	те которые	2	2
374	не верит	3	2
375	было для	1	2
376	не надо	1	2
377	во всем	1	1
378	это тот	1	1
379	никогда и	1	1
380	существует лишь	1	1
381	самого себя	2	1
382	свое дело	1	1
383	смысле и	1	1
384	и над	2	1
385	ни стало	1	1
386	что человек	1	1
387	это отрицание	1	1
388	него в	1	1
389	а есть	2	1
390	когда-нибудь на	1	1
391	имеет основание	1	1
392	пуста в	1	1
393	их не	1	1
394	и самые	1	1
395	так часто	1	1
396	им по	1	1
397	каким образом	1	1
398	на кострах	1	1
399	уже на	2	1
400	духа в	1	1
401	мы так	1	1
402	в абсолютном	3	1
403	и нет	1	1
404	освобождается от	1	1
405	и смерти	1	1
406	перестает быть	1	1
407	нас и	3	1
408	них ничего	1	1
409	с негодованием	1	1
410	свою личность	4	1
411	не имею	1	1
412	обратился к	1	1
413	и своим	1	1
414	заключается что	1	1
415	и мощное	1	1
416	но может	1	1
417	человечества в	2	1
418	победы над	1	1
419	себе и	1	1
420	уже и	1	1
421	любви к	1	1
422	в вопросе	3	1
423	в прошлом	2	1
424	к ним	1	1
425	могут и	1	1
426	бога и	5	1
427	никогда без	1	1
428	ней и	1	1
429	он так	1	1
430	находится в	1	1
431	такую картину	1	1
432	формах является	1	1
433	когда в	2	1
434	были в	1	1
435	нет что	1	1
436	всем в	1	1
437	с презрением	2	1
438	заботиться о	1	1
439	эти люди	2	1
440	слова сказанные	1	1
441	она и	1	1
442	истории в	1	1
443	указать на	1	1
444	в состоянии	1	1
445	еще больше	1	1
446	в исторических	1	1
447	пойти по	1	1
448	и чести	1	1
449	теперь у	1	1
450	для полноты	1	1
451	сделать его	1	1
452	в третьем	1	1
453	так не	2	1
454	и последнее	2	1
455	в будущем	1	1
456	что очень	1	1
457	о возможности	1	1
458	можно признать	1	1
459	пути и	1	1
460	результатом этого	1	1
461	для великого	1	1
462	от этих	2	1
463	и говорит	1	1
464	снять с	1	1
465	тот кто	2	1
466	конечно они	1	1
467	бы сделать	1	1
468	и своих	1	1
469	так много	2	1
470	в последних	1	1
471	лишь на	1	1
472	во главе	2	1
473	средство для	1	1
474	в себя	2	1
475	стало возможно	1	1
476	в великом	1	1
477	свое место	1	1
478	в я	1	1
479	а потом	1	1
480	я был	1	1
481	материалом для	2	1
482	и быть	1	1
483	если оно	1	1
484	уже сказано	1	1
485	еще предстоит	1	1
486	на устах	1	1
487	вся история	1	1
488	на новый	1	1
489	глубокий кризис	1	1
490	представляю себе	1	1
491	человека как	2	1
492	более всего	1	1
493	на которых	1	1
494	в желании	1	1
495	свободные от	1	1
496	и хотя	1	1
497	из нас	1	1
498	вот в	1	1
499	что бы	1	1
500	над ним	1	1
501	я в	1	1
502	жизнь как	1	1
503	и никогда	2	1
504	звучит в	1	1
505	его личности	1	1
506	был в	1	1
507	которыми можно	1	1
508	и есть	4	1
509	мы будем	1	1
510	и развитием	1	1
511	свободной и	2	1
512	отвечает что	1	1
513	для чего	1	1
514	это он	1	1
515	любви и	1	1
516	конечно о	1	1
517	и против	3	1
518	они и	2	1
519	с тремя	1	1
520	вот по	2	1
521	освободиться от	1	1
522	человек с	1	1
523	с ним	2	1
524	ты и	1	1
525	нас за	2	1
526	нашего времени	1	1
527	являться в	1	1
528	более глубокое	1	1
529	они в	3	1
530	власти и	1	1
531	равно не	1	1
532	во что	1	1
533	вместо того	2	1
534	все старые	1	1
535	еще с	1	1
536	значения и	2	1
537	мир от	2	1
538	в праве	1	1
539	остается не	1	1
540	идет за	1	1
541	только себя	1	1
542	сравнению с	1	1
543	совсем как	1	1
544	их во	1	1
545	почему оно	2	1
546	это самое	1	1
547	я говорю	2	1
548	тому кто	1	1
549	который он	1	1
550	нет ничего	3	1
551	его и	2	1
552	воплощение в	1	1
553	что теперь	2	1
554	должно быть	3	1
555	истории человечества	3	1
556	достоинство его	1	1
557	ли он	1	1
558	в роли	1	1
559	тяжелой и	1	1
560	религиозный смысл	1	1
561	это только	1	1
562	вопросе о	2	1
563	этом пути	1	1
564	на два	1	1
565	нельзя более	1	1
566	личности но	1	1
567	в образах	1	1
568	не понимает	1	1
569	о своем	1	1
570	тебя на	1	1
571	так легко	1	1
572	слабы и	1	1
573	с отвращением	1	1
574	всегда в	1	1
575	только свое	1	1
576	в недостаточной	1	1
577	человечества и	3	1
578	мы а	1	1
579	отказывает в	1	1
580	укажу тебе	1	1
581	землю без	1	1
582	путь этот	1	1
583	скрыть от	1	1
584	тот который	1	1
585	какие бы	1	1
586	жизни не	1	1
587	влагает в	1	1
588	еще так	1	1
589	и каким	1	1
590	ничем не	1	1
591	и было	1	1
592	эта не	1	1
593	и новой	1	1
594	переход к	1	1
595	и тут	1	1
596	легенде о	1	1
597	к счастью	3	1
598	вражда к	1	1
599	слова не	1	1
600	все равно	2	1
601	эти маленькие	1	1
602	с ними	1	1
603	наших дней	1	1
604	теперь еще	1	1
605	и другое	1	1
606	божьего и	1	1
607	к жизни	1	1
608	и могут	1	1
609	не создает	2	1
610	дело к	1	1
611	идет к	1	1
612	счастье и	3	1
613	нас но	1	1
614	это как	1	1
615	в руки	1	1
616	в государственном	1	1
617	церкви и	1	1
618	для таких	1	1
619	не любя	2	1
620	образа в	1	1
621	не с	2	1
622	есть и	1	1
623	было еще	2	1
624	личность как	2	1
625	по сравнению	1	1
626	любви по	1	1
627	он упрекает	1	1
628	есть такое	1	1
629	не быть	1	1
630	на путь	1	1
631	предназначения и	1	1
632	в понимании	1	1
633	и переживаний	1	1
634	совести и	2	1
635	их на	1	1
636	всем мире	1	1
637	теперь это	1	1
638	великих и	4	1
639	им не	1	1
640	в лице	1	1
641	есть не	1	1
642	свое особое	1	1
643	недоразумение и	1	1
644	о их	1	1
