N	2gram	Bakhtin_Pr	OGranits
644	и именно	1	1
645	себя и	4	1
646	оно может	2	1
647	особенности в	1	1
648	по поводу	2	1
649	тех или	1	1
650	и являются	1	1
651	ничего в	1	1
652	быть и	1	1
653	в то	15	1
654	а вовсе	1	1
655	рождается и	1	1
656	мыслей и	1	1
657	его может	1	1
658	действительности поэтому	1	1
659	делая его	3	1
660	и самый	1	1
661	не создает	1	1
662	только с	2	1
663	замысла и	2	1
664	нем только	1	1
665	этой концепции	1	1
666	первое и	1	1
667	может и	1	1
668	и оно	2	1
669	в условиях	4	1
670	проблемами и	1	1
671	в себя	3	1
672	художественной формы	6	1
673	объект ее	1	1
674	предшествующей главе	3	1
675	для этого	4	1
676	мы слышим	2	1
677	она есть	1	1
678	с ее	5	1
679	они характеризуют	1	1
680	из него	1	1
681	не из	3	1
682	художественного творчества	3	1
683	плоскости в	1	1
684	и это	5	1
685	входящих в	2	1
686	и чем	1	1
687	того же	1	1
688	из одного	4	1
689	в едином	6	1
690	и голоса	2	1
691	подхода к	2	1
692	правда иногда	1	1
693	в самой	10	1
694	в виде	1	1
695	собою и	1	1
696	предположение о	1	1
697	от него	3	1
698	нам кажется	4	1
699	например у	2	1
700	системой и	1	1
701	одно слово	1	1
702	само по	4	1
703	здесь нет	3	1
704	как для	1	1
705	не должна	1	1
706	и становится	2	1
707	и другое	1	1
708	к нему	13	1
709	до его	2	1
710	едва ли	1	1
711	не можем	1	1
712	сливаются в	1	1
713	языке то	1	1
714	в чисто	2	1
715	мысли в	2	1
716	тем более	2	1
717	что имеет	2	1
718	все устойчивые	1	1
719	формы и	1	1
720	не входит	3	1
721	которая и	1	1
722	гоголь и	1	1
723	как из	1	1
724	проникновению в	1	1
725	он действительно	1	1
726	типа и	3	1
727	его можно	1	1
728	на материале	6	1
729	себе а	1	1
730	и сами	1	1
731	для иных	1	1
732	и особенно	2	1
733	еще не	11	1
734	в статье	1	1
