N	2gram	Savitsky_P	Formalny
257	друг с	1	3
258	образом на	2	3
259	мы видим	1	3
260	начала и	2	3
261	что при	1	3
262	в качестве	9	3
263	и через	1	3
264	но как	1	3
265	является и	1	3
266	xviii века	1	3
267	и именно	1	3
268	видение и	1	3
269	в развитии	1	3
270	что эта	1	3
271	тем и	1	3
272	в европейском	1	3
273	не просто	1	3
274	культуры и	1	3
275	что жизнь	1	3
276	бы оно	1	3
277	и особенно	1	3
278	сливаются в	1	3
279	и при	1	3
280	сменяют друг	1	3
281	никак не	2	3
282	от этой	1	3
283	основная задача	1	3
284	существенно и	1	3
285	в которых	5	3
286	в каком	1	3
287	ли они	1	3
288	том числе	2	3
289	и если	4	3
290	что уже	1	3
291	ни были	1	3
292	каждый из	1	3
293	к следующему	1	3
294	е к	1	3
295	тот же	3	3
296	находятся в	1	3
297	или иной	1	3
298	этом не	1	3
299	на нее	1	3
300	с другом	1	3
301	тем более	2	3
302	не с	1	3
303	и иных	1	3
304	числе и	1	3
305	говорить об	1	3
306	в современной	1	3
307	на то	1	3
308	а н	5	3
309	в душе	1	2
310	е с	6	2
311	только один	1	2
312	был и	1	2
313	и само	1	2
314	их не	1	2
315	из нее	1	2
316	иначе как	1	2
317	к более	1	2
318	отношением к	1	2
319	работы в	1	2
320	в собственном	1	2
321	в природе	1	2
322	относиться к	1	2
323	также что	1	2
324	из важнейших	2	2
325	переходит в	1	2
326	отрыве от	1	2
327	выработанные в	1	2
328	соприкасается с	1	2
329	отдельности и	1	2
330	находится в	1	2
331	без того	1	2
332	распадается на	1	2
333	себя в	1	2
334	чтобы понять	1	2
335	на этих	2	2
336	прежде чем	1	2
337	именно здесь	1	2
338	не осуществляется	1	2
339	или хотя	1	2
340	русской литературы	1	2
341	происходит и	1	2
342	в ряду	2	2
343	и теми	1	2
344	эти последние	1	2
345	вопрос об	1	2
346	и мир	1	2
347	а с	1	2
348	взятые в	1	2
349	в философии	1	2
350	что его	1	2
351	именно потому	1	2
352	так называемые	2	2
353	одно и	1	2
354	как известно	1	2
355	и философской	1	2
356	но есть	1	2
357	и есть	2	2
358	иной раз	1	2
359	из этой	1	2
360	были бы	1	2
361	собственном смысле	1	2
362	единственно и	1	2
363	или иная	1	2
364	эти явления	1	2
365	нет никакого	1	2
366	с ними	3	2
367	конечно и	1	2
368	оно ни	1	2
369	заключается в	3	2
370	далеко не	1	2
371	ни к	1	2
372	и вот	2	2
373	в отдельности	1	2
374	россии и	4	2
375	что если	1	2
376	и вся	1	2
377	было и	1	2
378	переход от	2	2
379	к ним	1	2
380	сводилась к	1	2
381	к миру	1	2
382	последней в	1	2
383	во времени	1	2
384	к началу	2	2
385	одних и	2	2
386	и многие	1	2
387	увидеть и	1	2
388	в определенном	1	2
389	в русскую	2	2
390	в русском	2	2
391	в виде	2	2
392	оставаясь в	1	2
393	темы и	1	2
394	и техники	1	2
395	в силу	2	2
396	и без	3	2
397	в сборнике	1	2
398	что мы	3	2
399	связаны с	1	2
400	этих двух	1	2
401	и эти	1	2
402	каково же	1	2
403	только к	1	2
404	в полной	2	2
405	пр в	1	2
406	философской и	1	2
407	в наши	1	2
408	рассматривать как	1	2
409	в отрыве	1	2
410	та или	1	2
411	в эти	1	2
412	это в	1	2
413	эта проблема	1	2
414	есть не	2	2
415	ее части	1	1
416	и уже	1	1
417	ней не	2	1
418	живого и	1	1
419	в момент	1	1
420	и глубины	1	1
421	чем глубже	1	1
422	более широкой	1	1
423	вопросу о	1	1
424	истории была	1	1
425	мысли и	1	1
426	жить и	1	1
427	что дело	1	1
428	по-видимому не	2	1
429	всего мы	1	1
430	и достоевский	1	1
431	например с	1	1
432	науке и	1	1
433	одно из	1	1
434	это подлежит	1	1
435	с собой	1	1
436	к историческому	1	1
437	чтобы в	1	1
438	в борьбе	1	1
439	черты в	1	1
440	значения но	1	1
441	прошлого не	1	1
442	как одна	1	1
443	можно сопоставлять	1	1
444	именно о	1	1
445	ведет к	1	1
446	между прочим	2	1
447	чтобы дать	1	1
448	наоборот на	1	1
449	и внутренне	1	1
450	духа в	1	1
451	в порядке	3	1
452	одновременно и	1	1
453	стремления к	1	1
454	значение если	1	1
455	социальные формы	1	1
456	сделана попытка	1	1
457	из утраты	1	1
458	наше сознание	1	1
459	стремление к	1	1
460	ними как	1	1
461	когда в	1	1
462	только что	1	1
463	в себя	1	1
464	культуры в	2	1
465	науки они	2	1
466	тем в	1	1
467	ней только	1	1
468	наша задача	1	1
469	на этой	1	1
470	и политического	4	1
471	осуществляется в	2	1
472	следующему в	1	1
473	и который	1	1
474	почти исключительно	1	1
475	не произведения	1	1
476	с трудом	1	1
477	которых не	1	1
478	глаза на	1	1
479	мы все	1	1
480	борьбе с	1	1
481	не вполне	1	1
482	как оно	1	1
483	как таковую	1	1
484	и еще	1	1
485	положительное содержание	1	1
486	и поставить	1	1
487	сложны и	1	1
488	рассматривать с	1	1
489	наряду с	3	1
490	смысле не	1	1
491	поскольку дело	1	1
492	что все	1	1
493	входят в	1	1
494	теория исторического	1	1
495	богов и	1	1
496	были в	1	1
497	не два	1	1
498	чем шире	1	1
499	большей степени	4	1
500	широкой и	1	1
501	с разных	1	1
502	гоголь и	1	1
503	же всего	1	1
504	представить себе	1	1
505	в н	1	1
506	и мы	2	1
507	по природе	1	1
508	в восприятии	1	1
509	а затем	1	1
510	у каждого	1	1
511	подходя к	1	1
512	в недрах	2	1
513	в стадии	1	1
514	может оказаться	1	1
515	сфер и	1	1
516	xix века	6	1
517	положительные задачи	1	1
518	можно рассматривать	1	1
519	различных формах	1	1
520	как по	1	1
521	исторического материализма	3	1
522	которое в	2	1
523	на себя	1	1
524	потому в	2	1
525	развитие в	1	1
526	я и	3	1
527	они как	1	1
528	ее современных	1	1
529	в свете	1	1
530	но каждый	1	1
531	точек зрения	2	1
532	в противоречии	1	1
533	в русской	4	1
534	с формами	1	1
535	и быть	1	1
536	это сделать	1	1
537	попытка истолковать	1	1
538	поэтики в	1	1
539	этого сделать	1	1
540	в и	1	1
541	пространстве определяется	1	1
542	оказывается в	1	1
543	не были	1	1
544	из двух	1	1
545	где в	2	1
546	которых совершается	1	1
547	в историческом	1	1
548	уже несколько	1	1
549	на территории	1	1
550	того кто	1	1
551	не связаны	1	1
552	возможно что	1	1
553	что во	1	1
554	не входят	1	1
555	к осуществлению	1	1
556	современной европейской	2	1
557	это ощущение	1	1
558	теми же	1	1
559	значило бы	1	1
560	исторический материализм	1	1
561	бы эти	1	1
562	теорий и	1	1
563	развития в	1	1
564	приобщается к	1	1
565	гораздо более	1	1
566	сущности не	1	1
567	было с	1	1
568	словах в	1	1
569	все основные	1	1
570	теми кто	1	1
571	такова же	1	1
572	в случаях	1	1
573	всей полноте	1	1
574	два основных	1	1
575	науки и	1	1
576	связывается с	1	1
577	и силы	1	1
578	в гораздо	4	1
579	нового не	1	1
580	есть проблема	1	1
581	оно есть	1	1
582	он будет	1	1
583	на наш	1	1
584	из тех	1	1
585	для каждого	1	1
586	ли не	1	1
587	и признаки	1	1
588	связанные с	1	1
589	поэзии и	1	1
590	который не	1	1
591	этой области	1	1
592	о котором	1	1
593	сравнению с	1	1
594	на каждом	1	1
595	в которые	1	1
596	что из	2	1
597	бы нас	1	1
598	нет ничего	1	1
599	и резко	2	1
600	то поистине	1	1
601	быть разрешена	1	1
602	гораздо большей	4	1
603	тяготеет к	1	1
604	единства в	1	1
605	по сравнению	2	1
606	тех пор	1	1
607	можно думать	1	1
608	с которой	1	1
609	вопроса и	1	1
610	вслед за	3	1
611	эта задача	1	1
612	только это	2	1
613	и наоборот	1	1
614	в творчестве	1	1
615	вячеслав иванов	1	1
616	два различных	1	1
617	к науке	1	1
618	она может	1	1
619	в определенную	2	1
620	это значение	1	1
621	подчеркнуть что	1	1
622	смешения и	1	1
623	современности и	1	1
624	реальность в	1	1
625	мы возьмем	1	1
626	в наш	1	1
627	чуть ли	1	1
628	обратиться к	1	1
629	рождается и	1	1
630	экономического и	3	1
631	политическое и	1	1
632	но на	1	1
633	явления которые	1	1
634	положение что	1	1
635	мир в	1	1
636	технике в	1	1
637	может не	1	1
638	эта не	1	1
639	возникновении и	1	1
640	этого отношения	1	1
641	не будем	2	1
642	из предшествующего	1	1
643	мире в	1	1
644	знаем и	1	1
645	многие из	1	1
646	сборника не	1	1
647	от истины	1	1
648	что с	1	1
649	и всегда	1	1
650	масс и	1	1
651	них и	1	1
652	различия между	1	1
653	ее место	1	1
654	с утверждением	1	1
655	г и	2	1
656	а также	4	1
657	слова но	2	1
658	и где	1	1
659	в бытии	1	1
660	эта основная	1	1
661	чем другие	1	1
662	есть в	2	1
663	и часть	1	1
664	полноте и	1	1
665	бы мы	1	1
666	не все	1	1
667	совершенно ясно	1	1
668	поскольку она	1	1
669	разрешения в	1	1
670	в г	1	1
671	тем чем	1	1
672	что от	1	1
673	за то	1	1
674	стремиться к	1	1
675	как ни	1	1
676	до тех	1	1
677	ей в	3	1
678	которую мы	2	1
679	если представить	1	1
680	может идти	1	1
681	значительности и	1	1
682	значение без	1	1
683	с определенной	1	1
684	также и	1	1
685	связана с	1	1
686	как таковые	1	1
687	есть и	1	1
688	частности в	1	1
689	в трех	1	1
690	в начале	2	1
691	как явление	1	1
692	пространство в	1	1
693	человека с	1	1
694	идет речь	1	1
695	нужно говорить	1	1
696	промежуток времени	1	1
697	других же	1	1
698	пр при	1	1
699	и необходимы	1	1
700	и творческое	1	1
701	пути к	1	1
702	чисто внешних	1	1
703	науки как	1	1
704	все еще	1	1
705	до роли	1	1
706	общественной и	1	1
707	исторической и	1	1
708	могут дать	1	1
709	от поспешных	1	1
710	технических средств	1	1
711	и укрепить	2	1
712	представляют собою	1	1
