N	2gram	Kanaev_Sov	TeoriaLi
125	не могут	2	2
126	и даже	2	2
127	самом деле	2	2
128	может оказаться	1	2
129	и соответственно	1	2
130	вместе с	4	2
131	дома и	1	2
132	жизни в	1	2
133	отличается от	3	2
134	вследствие этого	1	2
135	в известном	1	2
136	к другому	1	2
137	о том	1	2
138	это и	1	2
139	при условии	1	2
140	вытекает из	1	2
141	к нему	1	2
142	только на	1	2
143	и это	1	2
144	времени и	2	2
145	если мы	4	2
146	тем же	2	2
147	что она	3	2
148	на котором	2	2
149	в системе	3	2
150	только о	1	2
151	жизни но	1	2
152	бы то	1	2
153	одной из	1	2
154	несмотря на	1	2
155	ни было	1	2
156	что такое	2	2
157	все это	3	2
158	у нас	3	2
159	xix века	1	2
160	мире можно	1	2
161	что каждый	1	2
162	у него	2	2
163	к чему	2	2
164	дело в	1	2
165	этих двух	2	2
166	каждая из	2	2
167	в конце	3	2
168	случае не	1	2
169	в какой	1	2
170	зрения и	1	2
171	только и	1	2
172	должен быть	1	2
173	к одному	1	2
174	но как	1	2
175	принадлежит только	1	2
176	определенным образом	1	2
177	то ни	2	2
178	быть и	2	2
179	в первом	3	2
180	человека и	1	2
181	мы по	1	2
182	в большинстве	1	2
183	с человеком	1	2
184	идет о	1	2
185	так же	1	2
186	известном смысле	1	2
187	и особенно	1	2
188	это делает	1	2
189	и прежде	1	2
190	как принадлежащие	1	1
191	все что	1	1
192	можно говорить	1	1
193	одном случае	1	1
194	и свою	1	1
195	живое существо	1	1
196	его с	1	1
197	на ее	1	1
198	в которую	2	1
199	можно назвать	2	1
200	развития но	2	1
201	что это	2	1
202	в следующих	1	1
203	с ним	1	1
204	это уже	1	1
205	какой бы	1	1
206	объективным как	1	1
207	те же	1	1
208	в область	1	1
209	смысле можно	1	1
210	в результате	6	1
211	развернуть в	1	1
212	и само	1	1
213	ценность и	1	1
214	со всеми	2	1
215	должен был	1	1
216	он уже	1	1
217	новое время	1	1
218	между всеми	2	1
219	в наших	3	1
220	мы говорим	1	1
221	значение в	2	1
222	пусть это	1	1
223	и будет	2	1
224	и действительно	1	1
225	действительную роль	1	1
226	необходимо для	1	1
227	у читателя	1	1
228	все же	3	1
229	не имеет	1	1
230	две половины	1	1
231	зависимости от	4	1
232	между ним	1	1
233	на их	2	1
234	которая не	1	1
235	свою собственную	2	1
236	нет в	1	1
237	собственно и	1	1
238	по крайней	1	1
239	и внутренний	1	1
240	свое время	1	1
241	с этим	2	1
242	все они	1	1
243	только одно	1	1
244	совершенно не	2	1
245	эту сторону	1	1
246	ему принадлежит	1	1
247	осуществляется в	1	1
248	отвечающее всем	1	1
249	в действительности	1	1
250	и пр	2	1
251	вопрос о	4	1
252	в любом	1	1
253	не представляет	1	1
254	по своим	1	1
255	на какой	1	1
256	заключать в	1	1
257	то и	2	1
258	единства в	1	1
259	не быть	1	1
260	ним и	1	1
261	с помощью	4	1
262	жизни и	4	1
263	и вся	1	1
264	если нет	1	1
265	эта система	1	1
266	и наиболее	1	1
267	первые два	2	1
268	а при	1	1
269	и до	1	1
270	она по	1	1
271	и те	1	1
272	не что	1	1
273	в совершенно	1	1
274	половины и	1	1
275	на которые	1	1
276	настоящее время	2	1
277	она может	2	1
278	нас на	1	1
279	неуверенности в	1	1
280	той же	2	1
281	именно таковы	1	1
282	целого и	1	1
283	раз и	1	1
284	что все	2	1
285	то она	1	1
286	одна из	3	1
287	но если	1	1
288	здесь и	1	1
289	жизненной практике	1	1
290	в отдельных	1	1
291	нет никаких	1	1
292	значении в	1	1
293	в настоящее	2	1
294	крайней мере	1	1
295	и становится	1	1
296	из них	4	1
297	тот же	2	1
298	своего развития	1	1
299	могли быть	1	1
300	совершенно иными	1	1
301	именно к	1	1
302	такое же	1	1
303	этом случае	1	1
304	в свое	1	1
305	к различным	1	1
306	мы видим	2	1
307	эта перемена	1	1
308	имеют место	1	1
309	так как	4	1
310	но этим	1	1
311	она и	1	1
312	от его	1	1
313	что иное	1	1
314	они не	1	1
315	может не	3	1
316	не механический	1	1
317	на язык	1	1
318	ее на	2	1
319	должно быть	1	1
320	явлений жизни	1	1
321	у каждого	3	1
322	как особого	1	1
323	подчеркнуть что	1	1
324	себя самого	1	1
325	мы конечно	1	1
326	воспринимающего в	1	1
327	как у	1	1
328	для нас	3	1
329	меньше и	1	1
330	такой фактор	1	1
331	означало бы	1	1
332	существенно отличается	1	1
333	на которой	1	1
334	окружающих его	1	1
335	иметь место	1	1
336	весь мир	1	1
337	в третьем	2	1
338	и развития	1	1
339	свободы и	1	1
340	ведь это	3	1
341	не было	1	1
342	ни изменить	1	1
343	говорим о	2	1
344	а о	1	1
345	и более	1	1
346	что его	1	1
347	но эта	1	1
348	о каком	1	1
349	по существу	1	1
350	при одном	1	1
351	xviii века	1	1
352	характерное для	1	1
353	с жизнью	1	1
354	не подлежит	3	1
355	рядом с	1	1
356	позиции в	1	1
357	при таком	3	1
358	явления жизни	1	1
359	в такой	1	1
360	по его	1	1
361	именно эта	1	1
362	в условиях	5	1
363	на его	2	1
364	форма в	2	1
365	начало нового	1	1
366	мере в	1	1
367	на них	1	1
368	же как	1	1
369	в каждом	8	1
370	может иметь	2	1
371	том случае	1	1
372	только к	1	1
373	еще одним	1	1
374	в пьесе	1	1
375	в своих	1	1
376	очень часто	1	1
377	она не	1	1
378	опыта как	1	1
379	не дает	2	1
380	совсем не	1	1
381	человека как	1	1
382	всего только	2	1
383	с совершенно	2	1
384	не более	1	1
385	или же	2	1
386	говорить об	2	1
387	просто не	1	1
388	в развитии	4	1
389	и может	1	1
390	разрешения проблемы	1	1
391	природой и	1	1
392	эта сторона	1	1
393	и их	1	1
394	можно было	1	1
395	но только	1	1
396	заключает в	1	1
397	стороны и	1	1
398	ничто не	1	1
399	не способна	1	1
400	в новое	1	1
401	когда мы	3	1
402	на это	1	1
403	иного типа	1	1
404	было бы	3	1
405	становится его	1	1
406	же самое	2	1
407	же природы	1	1
408	он в	3	1
409	выбора не	1	1
410	так называемый	1	1
411	как мы	2	1
412	жизни не	1	1
413	одного из	1	1
414	в зависимости	4	1
415	которые в	1	1
416	обратимся к	1	1
417	и от	1	1
418	и есть	2	1
419	части на	1	1
420	же в	1	1
421	все перечисленные	1	1
422	и только	1	1
423	как целого	1	1
424	независимо от	1	1
425	таким же	1	1
426	каждого из	2	1
427	есть не	1	1
428	иное как	1	1
