N	2gram	Losev_Vesc	VelikijI
128	не будет	13	2
129	основанную на	1	2
130	понимает и	1	2
131	ее в	1	2
132	для нас	2	2
133	и то	14	2
134	не с	8	2
135	на нас	3	2
136	прежде всего	17	2
137	в личности	1	2
138	а есть	5	2
139	можно было	6	2
140	вслед за	1	2
141	и это	17	2
142	от этих	1	2
143	мы не	8	2
144	конечно не	2	2
145	нет еще	1	2
146	тогда уже	1	2
147	только в	23	2
148	все равно	6	2
149	а с	3	2
150	под этим	1	2
151	личность как	2	2
152	происхождении и	1	2
153	выше всякого	1	2
154	мы взяли	1	2
155	в стихии	1	2
156	а в	6	2
157	до того	1	2
158	будет уже	3	2
159	в духе	1	2
160	истории и	2	2
161	и сам	3	2
162	смысле жизни	1	2
163	нет и	4	2
164	это мы	1	2
165	и последний	1	2
166	раз навсегда	3	2
167	но не	9	2
168	у людей	1	2
169	тем что	7	2
170	тот кто	1	2
171	духа и	1	2
172	и во	3	2
173	могут быть	1	2
174	с тем	8	2
175	и т	37	2
176	одна из	6	2
177	не могут	1	2
178	т д	36	2
179	да и	5	2
180	и новые	1	2
181	есть уже	4	2
182	том что	13	2
183	когда в	1	2
184	мир и	1	2
185	для их	1	2
186	для человека	1	2
187	но мы	1	2
188	в себя	13	2
189	и окончательное	1	2
190	нем нет	2	2
191	что их	1	2
192	уже не	15	2
193	не к	3	2
194	я говорю	1	2
195	в самом	13	1
196	во всем	2	1
197	бы то	12	1
198	перестает быть	3	1
199	конечно это	1	1
200	могли бы	1	1
201	и другие	2	1
202	то есть	2	1
203	и стало	1	1
204	было не	1	1
205	только себя	1	1
206	а потому	2	1
207	и пусть	1	1
208	человека в	1	1
209	но как	3	1
210	это одна	1	1
211	превратится в	1	1
212	имя отца	1	1
213	мы видим	5	1
214	и самое	3	1
215	и быть	2	1
216	ее к	2	1
217	если оно	9	1
218	что оно	10	1
219	на котором	1	1
220	человеческой жизни	1	1
221	должно иметь	1	1
222	речь идет	1	1
223	вообще в	1	1
224	мы скажем	1	1
225	с голыми	1	1
226	от необходимости	1	1
227	он говорит	2	1
228	будто бы	1	1
229	и на	2	1
230	ничем не	4	1
231	во вселенском	1	1
232	он дал	1	1
233	она и	2	1
234	на части	1	1
235	вопрос о	6	1
236	на этом	4	1
237	же и	2	1
238	объективную реальность	2	1
239	может быть	37	1
240	они не	1	1
241	хочу сделать	1	1
242	видим что	2	1
243	между собою	12	1
244	очень важное	1	1
245	к человеку	1	1
246	не имеют	1	1
247	раз и	2	1
248	бытие не	2	1
249	и свою	1	1
250	воплотится не	1	1
251	если в	1	1
252	ее на	2	1
253	одно целое	1	1
254	указать на	1	1
255	которая в	1	1
256	и уж	2	1
257	мы увидим	1	1
258	и вообще	6	1
259	и который	2	1
260	истории когда	1	1
261	от природы	1	1
262	в руки	2	1
263	конечно о	1	1
264	и вот	4	1
265	его с	1	1
266	она не	9	1
267	но она	3	1
268	уже в	2	1
269	конечно ни	1	1
270	было сказать	1	1
271	есть прежде	4	1
272	и утверждения	1	1
273	в состоянии	2	1
274	для себя	6	1
275	позитивизма и	2	1
276	у них	2	1
277	что уже	1	1
278	с этой	6	1
279	то же	12	1
280	и если	5	1
281	тогда опять	1	1
282	для всякого	6	1
283	теперь в	1	1
284	только мы	2	1
285	по сравнению	8	1
286	то ни	13	1
287	для того	3	1
288	и менее	1	1
289	смысл все	1	1
290	это только	2	1
291	образ и	3	1
292	именем и	3	1
293	не быть	4	1
294	и должна	2	1
295	ничего кроме	1	1
296	эта новая	1	1
297	думаю что	1	1
298	что это	18	1
299	все новые	1	1
300	и новой	2	1
301	это значит	30	1
302	не всегда	1	1
303	в разных	6	1
304	революция духа	1	1
305	этот третий	1	1
306	имя этого	1	1
307	о чем	2	1
308	их жизни	1	1
309	образ в	2	1
310	они только	1	1
311	в ее	8	1
312	и тем	7	1
313	есть один	1	1
314	и уже	2	1
315	души и	1	1
316	говорит о	3	1
317	как это	4	1
318	в утверждении	1	1
319	но может	1	1
320	не понимает	3	1
321	тут не	7	1
322	есть еще	3	1
323	и тут	7	1
324	мы в	1	1
325	мы все	1	1
326	я вижу	2	1
327	что человек	1	1
328	и всегда	1	1
329	есть что-нибудь	1	1
330	есть и	13	1
331	если нет	1	1
332	и внешнее	2	1
333	в одном	6	1
334	у нас	9	1
335	говорят что	1	1
336	кто же	1	1
337	без нас	1	1
338	в этой	4	1
339	из метафизической	1	1
340	это слово	1	1
341	для самоутверждения	1	1
342	в результате	9	1
343	говорит что	1	1
344	другое и	2	1
345	в виду	2	1
346	другой стороны	3	1
347	и вечном	1	1
348	нет никакого	3	1
349	я не	7	1
350	и чем	4	1
351	но что	9	1
352	как можно	5	1
353	уже и	1	1
354	у него	3	1
355	них и	2	1
356	существует и	2	1
357	отпадением от	1	1
358	не существует	4	1
359	так же	4	1
360	в виде	3	1
361	тогда как	3	1
362	что бы	1	1
363	себя от	2	1
364	только это	4	1
365	не был	2	1
366	но с	2	1
367	и всех	1	1
368	в своих	3	1
369	является и	3	1
370	и хотел	1	1
371	в противоположность	1	1
372	их и	1	1
373	значит быть	1	1
374	человеческой природы	1	1
375	проявляется и	2	1
376	позитивизм и	1	1
377	отказаться от	1	1
378	и остается	1	1
379	с другой	8	1
380	в бытие	1	1
381	конечно в	1	1
382	в которой	5	1
383	но все	3	1
384	и идеи	1	1
385	я в	3	1
386	и с	11	1
387	и можно	2	1
388	жизнь в	1	1
389	есть такое	1	1
390	может ли	2	1
391	сознания не	1	1
392	тоже ведь	2	1
393	и опять	1	1
394	для последнего	1	1
395	людей а	1	1
396	отношение к	4	1
397	них ничего	1	1
398	на нее	2	1
399	имя его	1	1
400	было для	1	1
401	жизнь как	1	1
402	говорите о	2	1
403	бытия и	6	1
404	с именем	6	1
405	себя с	5	1
406	то и	7	1
407	и полное	1	1
408	в понимании	1	1
409	в бытии	2	1
410	ее но	2	1
411	религии и	2	1
412	не надо	1	1
413	него не	1	1
414	лишь как	2	1
415	и другое	6	1
416	как мы	6	1
417	и позитивизм	2	1
418	из всего	1	1
419	их к	1	1
420	но нет	1	1
421	и до	6	1
422	как объективную	1	1
423	от смысла	2	1
424	же они	3	1
425	смысле и	4	1
426	сущности и	14	1
427	в тюрьму	1	1
428	на него	3	1
429	в своем	9	1
430	это ни	1	1
431	стороны в	1	1
432	его нужно	1	1
433	его на	4	1
434	еще и	11	1
435	будем говорить	1	1
436	теперь когда	1	1
437	и от	4	1
438	с бытием	1	1
439	нам и	1	1
440	за которым	1	1
441	лишь на	1	1
442	быть может	3	1
443	опять-таки не	1	1
444	него то	1	1
445	мы будем	3	1
446	как она	5	1
447	ничего не	12	1
448	от слова	2	1
449	с ними	4	1
450	нас это	1	1
451	то уж	1	1
452	всегда в	1	1
453	чего бы	2	1
454	в сознании	1	1
455	духа в	1	1
456	и очень	1	1
457	по крайней	10	1
458	в третьем	1	1
459	о которой	3	1
460	природы и	1	1
461	и так	2	1
462	вместе с	4	1
463	же ведь	1	1
464	все же	18	1
465	в одно	2	1
466	но я	2	1
467	и вместе	1	1
468	своей и	1	1
469	если они	2	1
470	как в	3	1
471	нас а	1	1
472	этого слова	1	1
473	в которых	1	1
474	жизни в	3	1
475	находится в	4	1
476	значение в	1	1
477	по законам	2	1
478	им в	1	1
479	можно ли	7	1
480	смысла можно	1	1
481	эту истину	1	1
482	бы ни	3	1
483	себя и	8	1
484	как возможно	1	1
485	а его	1	1
486	и по	1	1
487	и эта	4	1
488	к этому	2	1
489	личность хотя	1	1
490	в их	4	1
491	с которым	1	1
492	и внешней	1	1
493	какие бы	1	1
494	который я	2	1
495	это в	1	1
496	если исключить	1	1
497	только несколько	1	1
498	ли он	1	1
499	средство для	1	1
500	нет что	2	1
501	ними как	1	1
502	думают что	5	1
503	в двух	1	1
504	сравнению с	7	1
505	может и	3	1
506	конце концов	2	1
507	зависимости от	1	1
508	есть что-то	1	1
509	даже что	1	1
510	бытия в	2	1
511	себя не	2	1
512	есть то	12	1
513	к ее	3	1
514	да будет	3	1
515	таким же	1	1
516	себе и	2	1
517	жизнь без	1	1
518	не просто	23	1
519	к полному	1	1
520	не случайно	2	1
521	в едином	1	1
522	бытия на	2	1
523	в целом	3	1
524	их во	1	1
525	же теперь	2	1
526	им не	1	1
527	по смыслу	5	1
528	крайней мере	10	1
529	жизни не	1	1
530	человек на	1	1
531	было что	1	1
532	сделать это	2	1
533	и ее	19	1
534	вовсе не	11	1
535	ничего нельзя	1	1
536	упорно и	1	1
537	но к	2	1
538	что на	2	1
539	есть не	17	1
540	ли что	2	1
541	и дал	1	1
542	д и	11	1
543	мира есть	1	1
544	бы это	1	1
545	и нет	3	1
546	бы в	9	1
547	себя но	1	1
548	к нему	3	1
549	слово от	1	1
550	от них	1	1
551	а потом	3	1
