N	2gram	Ircho_Kome	UchenyiS
203	рассматривать не	1	1
204	почти не	1	1
205	отсюда и	1	1
206	в таком	2	1
207	но прежде	1	1
208	то и	1	1
209	так много	1	1
210	она не	3	1
211	в течение	3	1
212	до конца	4	1
213	впрочем не	2	1
214	относятся к	1	1
215	в своем	9	1
216	с тем	6	1
217	в наиболее	2	1
218	входит в	1	1
219	для себя	1	1
220	только как	2	1
221	что только	1	1
222	его на	5	1
223	в последние	2	1
224	еще одно	2	1
225	одной стороны	4	1
226	именно к	1	1
227	относится к	1	1
228	мы имеем	4	1
229	не без	2	1
230	этой же	1	1
231	тому чтобы	1	1
232	что по	2	1
233	их в	3	1
234	же в	3	1
235	не для	1	1
236	с новой	1	1
237	в ней	7	1
238	меньшей мере	1	1
239	или даже	1	1
240	частности с	1	1
241	из первых	1	1
242	даже не	5	1
243	и так	1	1
244	отчетливо выделяет	1	1
245	довести до	1	1
246	живого человека	1	1
247	он называет	4	1
248	в этот	1	1
249	связанные с	1	1
250	сходных с	1	1
251	на то	3	1
252	он и	5	1
253	почему в	2	1
254	делает этого	1	1
255	строго говоря	1	1
256	но если	3	1
257	ошибочным выводам	1	1
258	по меньшей	1	1
259	это же	1	1
260	бы ни	1	1
261	только для	2	1
262	не входит	1	1
263	не столь	1	1
264	сюда же	1	1
265	в которых	7	1
266	по мнению	2	1
267	к этому	11	1
268	так и	4	1
269	обе эти	1	1
270	о нем	1	1
271	что с	4	1
272	ничуть не	7	1
273	из которых	7	1
274	друг с	3	1
275	это в	2	1
276	случае все	1	1
277	в современном	1	1
278	отнюдь не	5	1
279	о которой	2	1
280	находятся в	1	1
281	этих слов	2	1
282	и вся	1	1
283	этого материала	1	1
284	в качестве	4	1
285	о котором	1	1
286	в нем	8	1
287	ничего подобного	1	1
288	в пользу	1	1
289	он не	11	1
290	независимо от	4	1
291	может служить	2	1
292	всего лишь	2	1
293	поскольку он	1	1
294	все что	6	1
295	с каждым	1	1
296	автора для	1	1
297	на его	5	1
298	и что	8	1
299	они относятся	1	1
300	недаром в	1	1
301	одно из	3	1
302	что для	7	1
303	и это	4	1
304	с одной	5	1
305	которых она	1	1
306	с другом	3	1
307	он был	6	1
308	на предыдущих	1	1
309	и всякого	1	1
310	в первую	2	1
311	когда бы	1	1
312	на своем	1	1
313	за пределы	3	1
314	и характерную	1	1
315	литературного жанра	1	1
316	что при	1	1
317	об этом	12	1
318	себя на	1	1
319	правда не	1	1
320	самое что	1	1
321	в виду	3	1
322	к которой	1	1
323	или менее	2	1
324	и доказывает	1	1
325	в пределах	3	1
326	тот же	11	1
327	которой очевидно	1	1
328	у других	1	1
329	о том	21	1
330	по его	2	1
331	далеко не	3	1
332	тем более	9	1
333	насколько мы	1	1
334	того что	1	1
335	обращение к	1	1
336	у него	10	1
337	другом не	1	1
338	друг другу	3	1
339	в храме	2	1
340	жанра в	1	1
341	такового он	1	1
342	бы это	1	1
343	в котором	6	1
344	бы в	5	1
345	если у	1	1
346	той же	2	1
347	приводит к	4	1
348	никогда не	5	1
349	человека и	2	1
