N	2gram	Bakhtin_Fr	Poddanst
165	за то	4	1
166	стремиться к	1	1
167	существует но	1	1
168	его нет	1	1
169	и более	1	1
170	те же	3	1
171	вместе с	9	1
172	и здесь	5	1
173	сопоставлять с	1	1
174	и на	12	1
175	отличие от	1	1
176	в самом	9	1
177	и очень	2	1
178	в народе	1	1
179	они не	2	1
180	является и	4	1
181	она должна	1	1
182	восходит к	1	1
183	воздух и	1	1
184	них в	1	1
185	в момент	1	1
186	это в	4	1
187	мысль и	1	1
188	и главное	1	1
189	также что	3	1
190	поднимаясь к	1	1
191	к этой	1	1
192	переходит в	2	1
193	в основном	2	1
194	и глубины	1	1
195	отчасти и	1	1
196	к духу	1	1
197	она не	1	1
198	уже в	9	1
199	должна быть	3	1
200	более или	3	1
201	применении к	1	1
202	степени чем	1	1
203	есть прежде	1	1
204	того чтобы	2	1
205	ему на	1	1
206	по всему	2	1
207	в применении	1	1
208	и иных	1	1
209	св георгия	1	1
210	культуры нужно	1	1
211	есть для	1	1
212	этом мире	1	1
213	и всегда	2	1
214	в отдельности	3	1
215	как известно	1	1
216	но до	1	1
217	отрыве от	2	1
218	и должна	1	1
219	из всех	2	1
220	и разрушения	1	1
221	во многих	2	1
222	что это	9	1
223	в отношениях	1	1
224	духа а	1	1
225	без затруднения	1	1
226	конечно и	4	1
227	одно и	2	1
228	какое огромное	1	1
229	подчеркнуть что	4	1
230	есть путь	1	1
231	в последующие	2	1
232	вот как	1	1
233	и культурного	2	1
234	есть как	1	1
235	не были	5	1
236	и уже	1	1
237	мысли и	3	1
238	в формах	3	1
239	из тех	1	1
240	и образы	5	1
241	все основные	3	1
242	должна была	1	1
243	из этих	1	1
244	что если	2	1
245	связанные с	4	1
246	именно на	2	1
247	не как	2	1
248	и другие	3	1
249	оно ни	3	1
250	а затем	1	1
251	от этой	2	1
252	и вся	3	1
253	что уже	1	1
254	в каждом	1	1
255	и народной	1	1
256	только на	2	1
257	где он	1	1
258	и через	2	1
259	и этим	2	1
260	не с	1	1
261	всего мы	1	1
262	но где	1	1
263	в других	2	1
264	и духовные	1	1
265	и при	1	1
266	и что	5	1
267	в различных	2	1
268	не могла	2	1
269	причастны к	1	1
270	на основании	1	1
271	что и	6	1
272	кто не	1	1
273	в трех	2	1
274	связывается с	1	1
275	есть с	2	1
276	другой стороны	2	1
277	еще в	4	1
278	в мир	1	1
279	совершенно явственно	1	1
280	этом смысле	1	1
281	к жизни	4	1
282	георгия в	1	1
283	весь мир	1	1
284	далеко не	2	1
285	в этих	6	1
286	не вполне	1	1
287	них и	2	1
288	что все	3	1
289	в истории	3	1
290	в историческом	3	1
291	различия между	1	1
292	в ином	1	1
293	так же	11	1
294	человека с	2	1
295	также и	6	1
296	как она	2	1
297	его в	3	1
298	знаем что	1	1
299	над ним	1	1
300	сильны и	1	1
301	каждый из	2	1
302	литературы и	1	1
303	в большинстве	9	1
304	и наоборот	1	1
305	было и	2	1
306	и движение	2	1
307	все же	2	1
308	при виде	5	1
309	по милости	1	1
310	чтобы в	1	1
311	и некоторых	1	1
312	можно дать	1	1
313	области архитектуры	1	1
314	в настоящее	1	1
315	теми же	1	1
316	но на	1	1
317	что его	2	1
318	того кто	1	1
319	в результате	7	1
320	и путь	1	1
321	и слова	1	1
322	в которой	3	1
323	и любви	1	1
324	различных формах	1	1
325	и будущее	1	1
326	должен быть	4	1
327	черты в	1	1
328	в отрыве	2	1
329	в этой	18	1
330	числе и	2	1
331	к ним	1	1
332	именно здесь	2	1
333	и еще	2	1
334	на библейские	1	1
335	к первому	1	1
336	что по	2	1
337	и где	1	1
338	духа в	2	1
339	на нее	1	1
340	себя в	3	1
341	рождает и	1	1
342	настоящее время	1	1
343	можно судить	1	1
344	она может	1	1
345	культуры и	1	1
346	если мы	2	1
347	та или	1	1
348	в эпоху	13	1
349	тем же	1	1
350	в каком	1	1
351	но есть	3	1
352	что есть	2	1
353	жизни народа	1	1
354	возможно что	3	1
355	сливаются в	2	1
356	или иная	1	1
357	развитие в	1	1
358	если он	1	1
359	в позднем	1	1
360	более что	1	1
361	происходит и	1	1
362	характер этого	1	1
363	находится в	2	1
364	силы они	1	1
365	это ощущение	1	1
366	бы оно	2	1
367	эти явления	1	1
368	с собой	2	1
369	и богатства	1	1
370	место в	4	1
371	как и	19	1
372	и силы	2	1
373	входят в	3	1
374	во времена	2	1
375	также в	1	1
376	или иной	1	1
377	многих других	1	1
378	к миру	1	1
379	по одному	1	1
380	притом в	1	1
381	мире в	1	1
382	большинстве случаев	9	1
383	одновременно и	2	1
384	в одно	1	1
385	всеми его	3	1
386	иной раз	2	1
387	именно потому	1	1
388	стремление к	1	1
389	они как	3	1
390	на фоне	1	1
391	которые были	2	1
392	и по	4	1
393	в природе	1	1
394	и я	1	1
395	бы ее	1	1
396	были в	1	1
397	в лесах	1	1
398	там где	1	1
399	в эти	2	1
400	и жизнь	1	1
401	или что	1	1
402	что во	1	1
403	что именно	2	1
404	они ведут	1	1
405	всяком случае	1	1
406	в свете	3	1
407	о котором	5	1
408	все существующее	2	1
409	но каждый	1	1
410	в глубины	3	1
411	в условиях	1	1
412	когда в	1	1
413	в себя	3	1
414	в это	3	1
415	для этого	2	1
416	с ее	3	1
417	сочетаются с	1	1
418	во времени	2	1
419	не просто	3	1
420	он был	7	1
421	формах и	3	1
422	всех стран	1	1
423	тем чем	1	1
424	не имеет	4	1
425	есть и	4	1
426	в число	1	1
427	они стремятся	1	1
428	и особенно	3	1
429	смысл этого	1	1
430	одно из	2	1
431	или менее	3	1
432	и ее	2	1
433	тем чтобы	1	1
434	особенно в	2	1
435	будущее в	1	1
436	выступает как	1	1
437	философии стоицизма	1	1
438	в развитии	2	1
439	связаны с	7	1
440	грань между	1	1
441	обратиться к	1	1
442	из этой	1	1
443	никогда не	6	1
444	еще не	3	1
445	люди и	1	1
