N	3gram	Vinokur_Ku	Vladivir
203	содержат в себе	1	1
204	но и у	1	1
205	не в этом	1	1
206	совсем другое дело	1	1
207	в этом слове	2	1
208	в некотором отношении	1	1
209	эта сторона дела	1	1
210	с представлением о	1	1
211	только потому и	1	1
212	говоря уже об	1	1
213	что я не	1	1
214	все той же	1	1
215	с помощью более	1	1
216	не выходит за	1	1
217	потому что как	1	1
218	дело не в	3	1
219	говорить и о	2	1
220	не в результате	1	1
221	если они не	1	1
222	за собой и	1	1
223	а может быть	1	1
224	но оно не	1	1
225	что все это	2	1
226	крайней мере в	1	1
227	эту точку зрения	1	1
228	не значит что	1	1
229	целом и вот	1	1
230	и все это	1	1
231	далеко не всегда	1	1
232	потому что она	2	1
233	в статье посвященной	1	1
234	в строгом смысле	1	1
235	всю свою жизнь	1	1
236	от августа года	1	1
237	том что она	1	1
238	все равно не	1	1
239	а не просто	1	1
240	статья не только	1	1
241	с тем чтобы	1	1
242	скажем несколько слов	1	1
243	отнюдь не только	1	1
244	и не столь	1	1
245	не потому что	4	1
246	но что такое	1	1
247	нужно было бы	3	1
248	того что в	2	1
249	я говорю что	1	1
250	еще и то	1	1
251	потому что он	1	1
252	той или иной	1	1
253	за что не	1	1
254	мы имеем право	1	1
255	к этой книге	3	1
256	на учение о	1	1
257	как будто и	1	1
258	и тем самым	1	1
259	во многих случаях	1	1
260	то во всяком	1	1
261	не забудем что	1	1
262	по себе не	1	1
263	таким образом есть	1	1
264	в данном отношении	4	1
265	если не считать	1	1
266	что подобного рода	1	1
267	в целом и	2	1
268	в этих последних	1	1
269	эта не только	1	1
270	является как бы	1	1
271	что дело не	1	1
272	с тех пор	1	1
273	заключается не в	1	1
274	как это часто	1	1
275	но все же	3	1
276	лицом к лицу	1	1
277	не только у	1	1
278	нет никаких оснований	1	1
279	было бы приписать	1	1
280	в буквальном смысле	1	1
281	о том как	3	1
282	никак не может	1	1
283	только тогда когда	2	1
284	и должны быть	1	1
285	в истории русской	1	1
286	в этом последнем	1	1
287	о некоторого рода	1	1
288	того что он	1	1
289	может и не	1	1
290	собственном смысле слова	1	1
291	внимание на то	2	1
292	на русский язык	1	1
293	в самом процессе	1	1
294	чуть ли не	3	1
295	но он не	1	1
296	вообще и в	1	1
297	и то не	1	1
298	вместе с ним	1	1
299	но кроме того	1	1
300	для нас значение	1	1
301	с этим мы	1	1
302	и говорить о	1	1
303	в каждой из	1	1
304	в какой мере	1	1
305	прежде всего на	1	1
306	из той же	1	1
307	можно утверждать что	1	1
308	в том смысле	2	1
309	и в первый	1	1
310	не только от	1	1
311	с этой точки	3	1
312	ни в какой	1	1
313	не может и	1	1
314	и вовсе не	4	1
315	в каком смысле	1	1
316	на вопросе о	1	1
317	какой бы то	1	1
318	в иных случаях	3	1
319	в таких случаях	3	1
320	и если мы	1	1
321	и той же	1	1
322	как впрочем и	1	1
323	и в особенности	1	1
324	в силу которого	1	1
325	то немногое что	1	1
326	но что это	1	1
327	и в сфере	1	1
328	на этот вопрос	3	1
329	но все это	1	1
330	состоит в том	4	1
331	ни за что	1	1
332	уже не может	3	1
333	уже и потому	1	1
334	это часто бывает	1	1
335	вывод который нам	1	1
336	ничего принципиально нового	1	1
337	в противном случае	2	1
338	вовсе еще не	1	1
339	в его системе	1	1
340	разве только в	1	1
341	ничего нельзя возразить	1	1
342	то же с	1	1
343	т п с	1	1
344	смысле этого слова	2	1
345	в особенности же	2	1
346	а именно так	1	1
347	одной и той	1	1
348	отнестись критически к	1	1
349	и ничего не	1	1
350	зависит не только	1	1
351	потому что если	1	1
352	их как раз	1	1
353	по существу это	1	1
354	но можно ли	1	1
355	при этом что	1	1
356	только потому что	11	1
357	бы в этой	1	1
358	не столько к	1	1
359	уже не просто	1	1
360	большую роль в	2	1
361	а вместе с	1	1
362	но во всяком	1	1
363	и все его	1	1
364	потому что когда	1	1
365	есть таким образом	1	1
366	в собственном смысле	1	1
367	и в серьезных	1	1
368	что еще до	1	1
369	конца и в	1	1
370	так же невозможно	1	1
371	против того что	1	1
372	эта сводится к	1	1
373	на первых порах	1	1
374	а вовсе не	1	1
375	том смысле как	1	1
376	такого воспитания у	1	1
377	мне кажется что	1	1
378	и с этой	2	1
379	вовсе не только	1	1
380	чтобы можно было	1	1
381	а вот и	1	1
382	этой точки зрения	4	1
383	не стоило бы	1	1
384	в том виде	1	1
385	главным образом на	1	1
386	и не только	1	1
387	должен был бы	1	1
388	это конечно объясняется	1	1
389	и в области	1	1
390	все подобного рода	1	1
391	но и для	1	1
392	потому что они	1	1
393	несколько слов о	2	1
394	только в тех	1	1
395	это было бы	1	1
