N	2gram	Vinokur_St	NovoeSre
108	хотя и	4	2
109	переход к	1	2
110	истории а	1	2
111	так и	15	2
112	нашего времени	1	2
113	как это	6	2
114	которому не	1	2
115	думать что	2	2
116	одной стороны	2	2
117	для чего	1	2
118	не могла	2	2
119	можно было	14	2
120	другой стороны	9	2
121	времени и	4	2
122	с их	2	2
123	этом смысле	2	2
124	том и	1	2
125	у него	3	2
126	место в	2	2
127	к самой	1	2
128	и общества	1	2
129	а в	18	2
130	когда мы	1	2
131	и даже	8	2
132	в свои	1	2
133	и с	6	2
134	мы говорим	1	2
135	не хотят	1	2
136	и начинается	1	2
137	по существу	3	2
138	для этого	2	2
139	нет и	1	2
140	xviii века	1	2
141	могут быть	5	2
142	в себе	3	2
143	том чтобы	1	2
144	и на	7	2
145	быть в	2	2
146	уже не	1	2
147	и творчества	2	2
148	я не	13	2
149	что все	3	2
150	время как	2	2
151	времени в	1	2
152	все эти	7	2
153	есть в	2	2
154	же как	5	2
155	такой же	6	2
156	вместе с	5	2
157	но я	5	2
158	который в	1	2
159	одна из	1	2
160	стремление к	3	2
161	роль в	1	2
162	как будто	5	2
163	должно стать	1	2
164	но не	5	2
165	в то	10	2
166	культуры она	1	2
167	должно было	5	2
168	в новом	4	2
169	том что	49	2
170	ведь и	3	2
171	так же	7	2
172	и это	4	2
173	можно назвать	3	2
174	но для	3	2
175	в одну	1	2
176	себя в	1	2
177	но в	16	2
178	мысли в	1	2
179	обращение к	1	2
180	не к	2	2
181	в той	9	1
182	мне представляется	1	1
183	все в	2	1
184	своего рода	7	1
185	необходимой для	1	1
186	в самом	14	1
187	ближе к	1	1
188	к одному	1	1
189	они являются	1	1
190	для борьбы	1	1
191	получает свое	1	1
192	неизбежно должна	1	1
193	всегда была	1	1
194	общественным мнением	1	1
195	попал в	1	1
196	том случае	1	1
197	можно сказать	2	1
198	все что	1	1
199	эпохи не	3	1
200	но оно	1	1
201	на человека	1	1
202	и быть	1	1
203	в более	1	1
204	которая должна	2	1
205	до сих	13	1
206	а к	2	1
207	какой-либо смысл	1	1
208	и более	4	1
209	бы он	1	1
210	и этот	1	1
211	в котором	11	1
212	я ни	1	1
213	же стороны	1	1
214	значение в	1	1
215	пр в	1	1
216	то это	3	1
217	в статье	9	1
218	что этот	3	1
219	отличие от	1	1
220	что будет	1	1
221	нет ни	3	1
222	же и	4	1
223	конечно есть	1	1
224	они не	2	1
225	из них	11	1
226	перестал быть	1	1
227	к ней	1	1
228	был уже	1	1
229	на нем	1	1
230	и сейчас	6	1
231	который не	3	1
232	свидетельствует о	2	1
233	времени совершенно	1	1
234	которая в	1	1
235	уже давно	1	1
236	не могу	2	1
237	уже в	3	1
238	духовные силы	1	1
239	эти слова	1	1
240	на ее	1	1
241	ней нужно	1	1
242	до последних	1	1
243	в значительной	2	1
244	и имеет	1	1
245	для себя	3	1
246	из этих	7	1
247	во всяком	8	1
248	том числе	3	1
249	все свои	1	1
250	и поставил	1	1
251	не хочу	3	1
252	не должно	1	1
253	и родовой	1	1
254	но также	13	1
255	то нужно	2	1
256	для того	15	1
257	от старых	1	1
258	в каких	1	1
259	не по	5	1
260	быть не	2	1
261	этой системе	1	1
262	не быть	1	1
263	протяжении всей	1	1
264	не для	3	1
265	на всех	1	1
266	только так	1	1
267	есть обязанность	1	1
268	же мере	1	1
269	думаю что	6	1
270	не всегда	2	1
271	характерны для	1	1
272	а это	1	1
273	господствующей в	1	1
274	имея в	1	1
275	он и	1	1
276	что вся	1	1
277	или нет	1	1
278	было бы	21	1
279	не стоят	1	1
280	и из	1	1
281	в сущности	2	1
282	о самом	1	1
283	в его	19	1
284	существует что	1	1
285	особое место	1	1
286	значительной степени	3	1
287	к тем	1	1
288	мы в	1	1
289	истории как	1	1
290	но ведь	8	1
291	и вся	2	1
292	значение для	2	1
293	должны быть	4	1
294	и их	3	1
295	в которую	2	1
296	говорить о	3	1
297	не с	1	1
298	во времена	4	1
299	и стремится	1	1
300	одному из	1	1
301	в социальной	1	1
302	не были	2	1
303	и ему	2	1
304	как результат	1	1
305	них к	1	1
306	и замечательно	1	1
307	у нас	12	1
308	и когда	1	1
309	время когда	1	1
310	это была	1	1
311	для них	2	1
312	не столько	6	1
313	совершенно так	1	1
314	с общественным	1	1
315	говорит что	4	1
316	себя на	1	1
317	вопроса о	3	1
318	ни одно	1	1
319	что мой	1	1
320	в виду	6	1
321	не больше	1	1
322	нужно быть	1	1
323	еще в	3	1
324	знаний о	1	1
325	превращается в	2	1
326	и до	2	1
327	иная форма	1	1
328	нет никакого	3	1
329	с собой	1	1
330	только в	11	1
331	борьбу за	1	1
332	народ не	1	1
333	не на	3	1
334	не могут	2	1
335	по своей	2	1
336	от того	1	1
337	николая i	1	1
338	есть еще	1	1
339	борьбе за	1	1
340	оно существует	1	1
341	в зависимости	2	1
342	а во	3	1
343	оно не	3	1
344	их не	1	1
345	потребность в	1	1
346	и идейной	1	1
347	и исключительно	1	1
348	что нет	2	1
349	как например	2	1
350	а на	4	1
351	например во	2	1
352	сами по	2	1
353	другой же	1	1
354	всего что	2	1
355	говорим о	1	1
356	но он	5	1
357	быть признана	1	1
358	зависимость от	1	1
359	в которой	13	1
360	смысле как	1	1
361	века не	1	1
362	не хотел	2	1
363	и общего	1	1
364	в этой	13	1
365	а во-вторых	2	1
366	вот что	3	1
367	числе и	2	1
368	я думаю	11	1
369	а по	1	1
370	а также	4	1
371	жизнь в	1	1
372	что его	1	1
373	как на	10	1
374	в отличие	1	1
375	он в	1	1
376	явление в	1	1
377	будто бы	4	1
378	самом себе	1	1
379	на нее	3	1
380	возможно что	4	1
381	на путь	1	1
382	и роста	1	1
383	во многом	3	1
384	времени вот	1	1
385	с окончанием	3	1
386	из всех	1	1
387	что не	3	1
388	но все	9	1
389	очень долго	1	1
390	тем что	6	1
391	не верит	2	1
392	и во	3	1
393	не хочет	2	1
394	к этой	1	1
395	это тем	1	1
396	но нет	2	1
397	то время	2	1
398	времени не	5	1
399	это время	3	1
400	истории но	1	1
401	в конце	5	1
402	вообще не	5	1
403	того времени	8	1
404	в основу	5	1
405	эпохи в	3	1
406	так как	7	1
407	божьего и	1	1
408	замечательно что	1	1
409	в образе	3	1
410	которые нельзя	1	1
411	к которому	4	1
412	в своем	8	1
413	давно уже	3	1
414	них нельзя	1	1
415	я могу	1	1
416	как я	1	1
417	и научной	2	1
418	лишь на	1	1
419	нас к	2	1
420	сих пор	12	1
421	россии в	1	1
422	и вполне	4	1
423	рода в	2	1
424	что он	23	1
425	на себя	3	1
426	известном смысле	1	1
427	в исторический	1	1
428	их в	2	1
429	и очень	5	1
430	всей нашей	1	1
431	всю жизнь	1	1
432	которые могут	1	1
433	ренессанса и	1	1
434	что мы	5	1
435	людовика xiv	1	1
436	которыми так	1	1
437	и вместе	1	1
438	и жизни	1	1
439	вероятно будут	1	1
440	в этих	5	1
441	в период	2	1
442	к расширению	1	1
443	есть такой	1	1
444	том смысле	4	1
445	но если	5	1
446	перед собой	2	1
447	по себе	3	1
448	не имел	1	1
449	в области	16	1
450	и другая	1	1
451	в такой	2	1
452	нуждается в	2	1
453	начала xix	3	1
454	и только	3	1
455	понять смысл	1	1
456	есть только	2	1
457	от всех	1	1
458	отнесены к	1	1
459	всяком случае	8	1
460	речи о	1	1
461	зависимости от	2	1
462	во время	5	1
463	идей и	1	1
464	только потому	2	1
465	но внутри	1	1
466	будет в	1	1
467	к вопросу	1	1
468	в это	3	1
469	того же	4	1
470	в известном	3	1
471	в каком-то	2	1
472	не случайно	1	1
473	в чем	4	1
474	в каком	4	1
475	нет в	1	1
476	не был	1	1
477	отказаться от	2	1
478	вполне возможно	1	1
479	и его	11	1
480	в эту	3	1
481	слова в	1	1
482	и у	2	1
483	на это	2	1
484	себе и	1	1
485	за его	1	1
486	раньше чем	4	1
487	гораздо больше	2	1
488	связано с	1	1
489	востока и	1	1
490	от этого	2	1
491	лишь те	1	1
492	обратиться к	1	1
493	ко времени	2	1
494	этой системы	1	1
495	ему все	1	1
496	себя и	1	1
497	к нему	2	1
498	было быть	1	1
499	ему не	3	1
500	на них	2	1
