N	2gram	Bakhtin_sl	Otkroven
242	сознания в	2	1
243	в свое	3	1
244	в сущности	18	1
245	действующих лиц	2	1
246	его он	1	1
247	чтобы самому	1	1
248	в частности	3	1
249	говорит о	1	1
250	как это	3	1
251	ни был	1	1
252	о нем	6	1
253	между двумя	1	1
254	проникновения в	1	1
255	чем у	1	1
256	только один	1	1
257	чего не	1	1
258	на нем	2	1
259	как у	2	1
260	темой о	1	1
261	со стороны	1	1
262	и через	1	1
263	он должен	1	1
264	не с	5	1
265	отношении к	9	1
266	за собой	1	1
267	его всегда	2	1
268	и ему	1	1
269	раскрыть в	1	1
270	и что	2	1
271	в одном	4	1
272	на самом	2	1
273	они в	2	1
274	у нас	2	1
275	в отношении	9	1
276	можно было	2	1
277	подходит к	1	1
278	люди все	1	1
279	людей и	2	1
280	нет никакой	2	1
281	же не	1	1
282	бы и	6	1
283	и это	1	1
284	ее с	2	1
285	этого типа	2	1
286	совершенно новый	1	1
287	в нас	1	1
288	там и	1	1
289	и до	2	1
290	системы и	2	1
291	этими двумя	1	1
292	с их	1	1
293	ставит в	1	1
294	мира он	1	1
295	проникнуть в	1	1
296	в русском	1	1
297	есть уже	1	1
298	по своей	2	1
299	от того	1	1
300	всей ее	1	1
301	связанная с	2	1
302	цели и	1	1
303	развития эти	1	1
304	в них	11	1
305	у нее	1	1
306	вопрос об	1	1
307	в форме	3	1
308	значение что	1	1
309	связь с	2	1
310	и всех	1	1
311	в иных	2	1
312	есть для	2	1
313	как например	1	1
314	и даже	11	1
315	он еще	1	1
316	особого рода	1	1
317	всего что	1	1
318	всегда и	1	1
319	темы о	6	1
320	если бы	1	1
321	в высшее	1	1
322	от всех	1	1
323	иногда и	1	1
324	и напряженной	1	1
325	и формы	4	1
326	не внешне	1	1
327	и более	3	1
328	и делают	1	1
329	вот что	1	1
330	с ними	8	1
331	и противоречия	1	1
332	и сам	4	1
333	всегда в	3	1
334	стала возможной	1	1
335	среди них	1	1
336	у толстого	5	1
337	в виду	2	1
338	на этот	1	1
339	дело в	2	1
340	месте и	1	1
341	стремится к	2	1
342	возвращается все	1	1
343	из самых	2	1
344	места в	1	1
345	и темное	2	1
346	этих романах	1	1
347	тема о	2	1
348	и эта	2	1
349	исключительный интерес	1	1
350	его как	3	1
351	отношения к	3	1
352	и сразу	1	1
353	одним словом	4	1
354	не те	1	1
355	но есть	1	1
356	заключается в	1	1
357	ее как	1	1
358	и действительно	1	1
359	он знает	1	1
360	он говорит	1	1
361	в обычном	1	1
362	сказать в	1	1
363	в конце	1	1
364	противоречий и	1	1
365	в процессе	14	1
366	например в	6	1
367	в жизни	1	1
368	между этими	3	1
369	находится в	1	1
370	в корне	1	1
371	это движение	1	1
372	характер и	2	1
373	был в	1	1
374	с той	1	1
375	и без	1	1
376	лишь на	3	1
377	и как	3	1
378	то в	2	1
379	все время	4	1
380	к его	1	1
381	есть не	2	1
382	человек в	6	1
383	в сознании	3	1
384	что она	1	1
385	всего он	1	1
386	а именно	2	1
387	к раскрытию	3	1
388	не одно	1	1
389	жизни и	5	1
390	одна из	6	1
391	в мире	1	1
392	свои силы	1	1
393	в разных	3	1
394	состоит из	1	1
395	одном из	1	1
396	и прежде	1	1
397	в одно	2	1
398	него до	1	1
399	романы и	1	1
400	своей и	1	1
401	как в	18	1
402	этого слова	2	1
403	речь о	2	1
404	на то	2	1
405	но у	1	1
406	и русский	1	1
407	что говорит	1	1
408	говорят о	1	1
409	а иногда	3	1
410	эта тема	1	1
411	образе в	1	1
412	он никогда	2	1
413	от этого	2	1
414	может пользоваться	1	1
415	но почему	1	1
416	свободной и	1	1
417	есть на	1	1
418	откровение его	1	1
419	нуждается в	3	1
420	особый мир	2	1
421	отличается от	3	1
422	да и	2	1
423	друг с	2	1
424	его жизни	1	1
425	ли он	4	1
426	в новом	3	1
427	в свой	3	1
428	нисколько не	3	1
429	и идеологических	1	1
430	интерес к	3	1
431	но это	3	1
432	в эти	1	1
433	в это	1	1
434	мир и	1	1
435	из него	4	1
436	с другом	2	1
437	чтобы не	1	1
438	на своем	5	1
439	ничего нет	1	1
440	всегда нуждается	1	1
441	к которой	1	1
442	из них	3	1
443	свои собственные	2	1
444	вовсе не	16	1
445	что как	2	1
446	это так	1	1
447	уже не	5	1
448	в одной	2	1
449	указать на	1	1
450	особенно в	3	1
451	с какими	1	1
452	мира в	2	1
453	со всеми	3	1
454	с каким	2	1
455	и самый	2	1
456	бы ни	3	1
457	и способы	2	1
458	бы в	1	1
459	к другому	1	1
460	публицистических статьях	1	1
461	единство в	1	1
462	отметить что	3	1
463	и возможности	2	1
464	людей в	1	1
