N	2gram	Potebnia_M	Poddanst
421	находится в	5	1
422	давно уже	4	1
423	бы оно	2	1
424	в какой	3	1
425	ясно что	1	1
426	отношения в	1	1
427	место в	4	1
428	как и	22	1
429	и силы	2	1
430	с которым	3	1
431	входят в	3	1
432	во времена	2	1
433	из предшествующего	1	1
434	и самих	1	1
435	в некотором	2	1
436	и само	1	1
437	в собственном	3	1
438	многих других	2	1
439	к миру	1	1
440	по одному	1	1
441	и именно	1	1
442	следовательно к	1	1
443	есть та	1	1
444	и признаки	1	1
445	большинстве случаев	2	1
446	из чего	1	1
447	мыслей к	1	1
448	мысли но	3	1
449	наш взгляд	1	1
450	и такое	3	1
451	стремления к	1	1
452	в одно	8	1
453	значило бы	1	1
454	известно не	1	1
455	в з	1	1
456	именно потому	1	1
457	стремление к	1	1
458	на то	6	1
459	бы эти	1	1
460	но нужно	1	1
461	от многих	1	1
462	поэзии с	1	1
463	и по	5	1
464	чем было	1	1
465	в природе	3	1
466	к следующему	1	1
467	и я	3	1
468	это значение	1	1
469	отольется в	1	1
470	там где	6	1
471	т д	5	1
472	тех пор	5	1
473	или что	4	1
474	и только	5	1
475	что именно	5	1
476	друг с	1	1
477	поэзии и	8	1
478	всяком случае	3	1
479	половины xix	1	1
480	нисколько не	1	1
481	о котором	2	1
482	бы мы	2	1
483	она получила	1	1
484	не все	5	1
485	эти последние	3	1
486	когда в	2	1
487	друг друга	6	1
488	в себя	1	1
489	в это	2	1
490	без которой	2	1
491	и разных	1	1
492	для этого	1	1
493	в известном	1	1
494	тот мир	1	1
495	с другом	1	1
496	и чем	3	1
497	во времени	2	1
498	гораздо более	1	1
499	он был	1	1
500	пусть эта	1	1
501	на каждом	1	1
502	не внешнее	1	1
503	не имеет	10	1
504	есть и	3	1
505	за тем	3	1
506	одно из	6	1
507	или менее	6	1
508	и ее	1	1
509	есть знак	1	1
510	в бытии	1	1
511	особенно в	1	1
512	относиться к	2	1
513	к более	1	1
514	словах в	1	1
515	последние в	1	1
516	в душе	17	1
517	и быть	3	1
518	нет сомнения	1	1
519	никогда не	2	1
520	еще не	9	1
