N	2gram	Berdyaev_N	Formalny
153	и это	2	6
154	в смысле	2	6
155	должны быть	1	6
156	за пределы	3	6
157	в статье	1	6
158	от нее	1	6
159	на ее	1	6
160	с ним	1	6
161	в россии	3	6
162	из этих	1	6
163	нет и	2	6
164	уже в	1	6
165	в формах	1	6
166	не по	1	6
167	такой же	2	6
168	в виду	1	5
169	равно как	2	5
170	значительной степени	1	5
171	в мире	3	5
172	и истории	1	5
173	перестает быть	4	5
174	можно сказать	1	5
175	в котором	1	5
176	то это	1	5
177	вопрос о	3	5
178	должно было	2	5
179	и формы	2	5
180	как на	1	5
181	к которому	1	5
182	к нему	1	5
183	не останется	1	5
184	хотя и	2	5
185	не столько	1	5
186	что не	1	5
187	в эту	1	5
188	мы уже	1	5
189	и что	2	5
190	не могла	2	5
191	этом смысле	2	5
192	приводит к	1	5
193	не имеет	4	5
194	то он	1	5
195	в значительной	1	5
196	как например	1	5
197	в отличие	1	5
198	значение в	1	5
199	в эпоху	9	5
200	в такой	1	5
201	отличие от	1	5
202	она должна	1	5
203	тому как	3	5
204	мы должны	1	5
205	еще в	1	5
206	от того	1	5
207	слова в	1	5
208	все более	1	5
209	возможно лишь	1	4
210	к этой	1	4
211	в каких	1	4
212	превращается в	1	4
213	в основу	1	4
214	одна из	2	4
215	того же	1	4
216	все в	1	4
217	на протяжении	2	4
218	что такое	3	4
219	бы к	1	4
220	жизнь не	1	4
221	всех своих	1	4
222	от других	1	4
223	не будет	7	4
224	истории и	9	4
225	он в	1	4
226	не значит	3	4
227	на западе	1	4
228	подобно тому	3	4
229	как не	8	4
230	есть лишь	4	4
231	мы говорим	2	4
232	это время	1	4
233	нет в	1	4
234	эпоху и	1	4
235	думать что	2	4
236	дальнейшее развитие	1	4
237	и нового	1	4
238	и во	1	4
239	но если	1	4
240	новые формы	1	4
241	пришли к	1	4
242	зависит от	2	4
243	не для	1	4
244	а на	1	4
245	а к	1	4
246	к ней	1	4
247	к новому	7	4
248	не к	2	4
249	во всем	1	3
250	для всех	1	3
251	и очень	1	3
252	это значит	1	3
253	в социальной	1	3
254	из ее	2	3
255	ни одна	2	3
256	к отрицанию	1	3
257	в это	1	3
258	связано с	1	3
259	во все	1	3
260	не всегда	1	3
261	это было	3	3
262	ней и	1	3
263	том чтобы	2	3
264	и через	1	3
265	но он	1	3
266	быть только	1	3
267	xviii века	2	3
268	в чем	1	3
269	вопроса о	1	3
270	в нее	1	3
271	в новое	3	3
272	культуры и	7	3
273	всех сторон	4	3
274	и особенно	1	3
275	лишь к	1	3
276	и этот	1	3
277	и изнутри	1	3
278	смысле слова	3	3
279	и из	1	3
280	от этой	1	3
281	сами эти	1	3
282	можно назвать	2	3
283	том смысле	1	3
284	на их	1	3
285	в каком	1	3
286	к созданию	2	3
287	но оно	1	3
288	все они	2	3
289	заложенных в	1	3
290	и заключается	2	3
291	том числе	1	3
292	вступает в	1	3
293	он может	1	3
294	оно должно	1	3
295	формы к	1	3
296	с их	2	3
297	на нее	1	3
298	вообще не	1	3
299	и извне	1	3
300	есть только	1	3
301	перейти к	3	3
302	значение для	1	3
303	к одному	1	3
304	может иметь	1	3
305	человек не	1	3
306	одну из	1	3
307	не с	1	3
308	эпохи и	4	3
309	числе и	1	3
310	нуждается в	1	3
311	бытия в	2	3
312	мир не	1	2
313	все что	1	2
314	мире а	1	2
315	своем развитии	1	2
316	социальная жизнь	1	2
317	был и	1	2
318	или нет	1	2
319	к реальному	3	2
320	их не	1	2
321	к более	2	2
322	от всякого	2	2
323	в природе	2	2
324	история в	3	2
325	в какие	1	2
326	тогда не	1	2
327	также что	1	2
328	и того	1	2
329	переходит в	1	2
330	не могли	2	2
331	она могла	1	2
332	из их	1	2
333	в этот	1	2
334	особое место	1	2
335	что она	2	2
336	мысли в	2	2
337	они сами	1	2
338	который в	2	2
339	распадается на	1	2
340	себя в	2	2
341	но сама	1	2
342	чтобы понять	1	2
343	внутреннего единства	1	2
344	верховной цели	1	2
345	господствующей в	1	2
346	мы конечно	1	2
347	какую угодно	1	2
348	и периодов	1	2
349	они будут	1	2
350	есть еще	1	2
351	не их	1	2
352	или не	1	2
353	не знает	6	2
354	смысле и	1	2
355	характер и	1	2
356	лишь на	1	2
357	так на	1	2
358	к вопросу	1	2
359	в другие	1	2
360	не был	1	2
361	вопрос об	1	2
362	и мир	1	2
363	или к	1	2
364	что его	1	2
365	на нем	1	2
366	можно было	2	2
367	центр тяжести	2	2
368	был понят	1	2
369	только так	1	2
370	эпохи в	1	2
371	и есть	10	2
372	жизни с	1	2
373	на место	1	2
374	значит что	4	2
375	для чего	2	2
376	эти формы	3	2
377	с душой	1	2
378	жизни а	1	2
379	но она	2	2
380	что оставалось	1	2
381	групп и	1	2
382	это уже	1	2
383	мы в	1	2
384	или иная	1	2
385	нет никакого	1	2
386	и вполне	1	2
387	особого рода	1	2
388	времени не	1	2
389	и отдельных	1	2
390	движения в	1	2
391	лишается всякого	1	2
392	жизни мы	1	2
393	ни к	2	2
394	не должно	1	2
395	россии и	1	2
396	и вся	1	2
397	ко времени	1	2
398	времени и	2	2
399	было и	1	2
400	переход от	1	2
401	к ним	3	2
402	только одна	1	2
403	глубже чем	1	2
404	и исключительно	1	2
405	только потому	1	2
406	и нет	1	2
407	во времени	1	2
408	жизни не	3	2
409	в более	1	2
410	выходит за	1	2
411	истории как	1	2
412	может остаться	1	2
413	в русском	2	2
414	говорим о	1	2
415	особого типа	1	2
416	и техники	1	2
417	что будет	1	2
418	в силу	1	2
419	и начинается	2	2
420	борьба и	2	2
421	что этот	1	2
422	что мы	1	2
423	мира и	2	2
424	к единству	1	2
425	за его	1	2
426	связаны с	2	2
427	людей в	1	2
428	том случае	1	2
429	человека в	1	2
430	со всех	4	2
431	пр в	1	2
432	в наши	3	2
433	и жизни	1	2
434	человека и	3	2
435	и явления	1	2
436	явление в	1	2
437	во многом	1	2
438	та или	1	2
439	философии жизни	1	2
440	в эти	1	2
441	ведь и	2	2
442	жизнью и	1	2
443	более не	2	1
444	получает свое	1	1
445	с кризисом	1	1
446	нет они	1	1
447	более высокой	1	1
448	из сторон	1	1
449	быть принята	1	1
450	изнутри и	1	1
451	и имеет	1	1
452	лишь там	1	1
453	вопросу о	1	1
454	в нашу	2	1
455	мысли и	2	1
456	если нет	2	1
457	с собой	1	1
458	есть результат	1	1
459	и которые	1	1
460	двумя путями	1	1
461	которые будут	1	1
462	а белый	1	1
463	в средневековой	1	1
464	вступить на	1	1
465	в духе	3	1
466	это должно	1	1
467	новое время	4	1
468	вот что	1	1
469	жизнь в	1	1
470	не хотят	2	1
471	метода и	1	1
472	духа в	2	1
473	и вместе	1	1
474	и русский	1	1
475	только для	1	1
476	стремление к	2	1
477	он стремится	1	1
478	обращения к	1	1
479	борьба за	1	1
480	культуры в	5	1
481	нем нет	2	1
482	английский итальянский	1	1
483	было быть	1	1
484	нет у	1	1
485	делается в	1	1
486	всего они	1	1
487	на человека	1	1
488	не существует	3	1
489	и индивидуальности	2	1
490	совершенную пустоту	1	1
491	силы и	2	1
492	своей природе	1	1
493	существенным моментом	1	1
494	все свои	1	1
495	вот почему	2	1
496	времени в	2	1
497	заключается что	2	1
498	это делали	1	1
499	которых не	2	1
500	для себя	1	1
501	всего как	1	1
502	и когда	1	1
503	людей и	1	1
504	нужно быть	1	1
505	в раскрытии	1	1
506	небольшое место	1	1
507	от формализма	1	1
508	и еще	1	1
509	быть понята	1	1
510	же так	1	1
511	моментом в	1	1
512	жизни как	2	1
513	наряду с	3	1
514	социальные и	1	1
515	и культуры	2	1
516	о кризисе	1	1
517	и научной	1	1
518	что все	2	1
519	противоположного характера	1	1
520	как будто	2	1
521	и искать	1	1
522	смысле как	1	1
523	ближе к	1	1
524	значение все	1	1
525	эпохи не	1	1
526	него как	1	1
527	и мы	4	1
528	по природе	1	1
529	нельзя сказать	1	1
530	явление культуры	1	1
531	такого рода	2	1
532	смысле в	1	1
533	в недрах	1	1
534	xix века	5	1
535	и никакой	1	1
536	у него	2	1
537	производят впечатление	1	1
538	право и	3	1
539	неизбежно будет	1	1
540	на себя	1	1
541	возможности в	1	1
542	возможны только	1	1
543	находящийся в	1	1
544	времени что	1	1
545	борьбы за	1	1
546	того и	1	1
547	находится во	1	1
548	связанный с	1	1
549	себе и	1	1
550	начало нового	3	1
551	и у	1	1
552	искусство не	1	1
553	бог не	1	1
554	перестал быть	1	1
555	к новой	1	1
556	и быть	1	1
557	что нет	1	1
558	станет более	1	1
559	стремится к	3	1
560	самый процесс	2	1
561	мы всегда	1	1
562	быть признана	1	1
563	более всего	1	1
564	реакция в	1	1
565	он также	1	1
566	возможен лишь	1	1
567	это совсем	2	1
568	не были	1	1
569	французский немецкий	1	1
570	других людей	1	1
571	ни одно	1	1
572	историческую эпоху	1	1
573	по своей	1	1
574	другая сторона	1	1
575	истории не	3	1
576	возможно что	1	1
577	рода в	1	1
578	вера в	1	1
579	был в	1	1
580	и целостности	1	1
581	оно может	1	1
582	к политической	1	1
583	он создает	1	1
584	приобщается к	1	1
585	в одну	2	1
586	одного и	1	1
587	лишь по	1	1
588	она сама	1	1
589	своего рода	1	1
590	что совершается	1	1
591	по-новому и	1	1
592	к лицу	3	1
593	характерная для	1	1
594	наши дни	3	1
595	она продолжает	1	1
596	с миром	1	1
597	в материальную	1	1
598	нашего времени	2	1
599	формы познания	1	1
600	самой жизни	2	1
601	истории в	5	1
602	переходит от	1	1
603	человека во	2	1
604	и ярче	1	1
605	и творчества	2	1
606	это формы	1	1
607	не ставит	2	1
608	том и	2	1
609	под этим	1	1
610	не привела	1	1
611	потребность в	1	1
612	от старой	1	1
613	есть проблема	1	1
614	разложения и	1	1
615	так называемый	1	1
616	о самом	1	1
617	оно есть	1	1
618	ведь прежде	1	1
619	быть понят	1	1
620	то время	1	1
621	к таким	1	1
622	не знал	2	1
623	самая постановка	1	1
624	привела бы	1	1
625	которые могут	1	1
626	техникой и	1	1
627	должна обнаружиться	1	1
628	человека на	1	1
629	отнесены к	1	1
630	который не	1	1
631	для настоящего	1	1
632	знает что	1	1
633	дальше и	1	1
634	к природе	1	1
635	нет ничего	1	1
636	что новое	1	1
637	что никаких	1	1
638	не имеют	2	1
639	той роли	1	1
640	быть не	1	1
641	но под	1	1
642	отчетливость в	1	1
643	знаний о	1	1
644	он есть	1	1
645	и а	1	1
646	и роста	1	1
647	легче чем	1	1
648	предметного содержания	1	1
649	жизни этих	1	1
650	в образе	1	1
651	их место	1	1
652	бы сказать	1	1
653	гораздо больше	1	1
654	не имел	1	1
655	понять что	1	1
656	понять смысл	1	1
657	идей и	1	1
658	если взять	1	1
659	мира не	1	1
660	движения и	1	1
661	который и	1	1
662	обратиться к	1	1
663	к содержанию	2	1
664	сам этот	1	1
665	творчества не	1	1
666	что единство	1	1
667	и развивается	1	1
668	слова новым	1	1
669	должна стать	2	1
670	мир в	1	1
671	ориентироваться в	1	1
672	не во	4	1
673	воля к	6	1
674	совсем особое	1	1
675	этого она	1	1
676	получает все	1	1
677	осознавать себя	1	1
678	же мере	1	1
679	а это	1	1
680	роли какую	1	1
681	от истины	1	1
682	лицом к	3	1
683	слова а	1	1
684	порядок дня	1	1
685	и верованиями	1	1
686	ее роли	1	1
687	он конечно	1	1
688	жизни это	1	1
689	этого не	1	1
690	в свои	2	1
691	а также	1	1
692	не больше	1	1
693	всегда есть	1	1
694	этого нельзя	1	1
695	и реальном	1	1
696	что сами	1	1
697	всех сферах	3	1
698	чтобы быть	1	1
699	мы скорее	1	1
700	каким путем	1	1
701	и совсем	1	1
702	в познании	1	1
703	осуществляется не	1	1
704	нас к	1	1
705	свое и	1	1
706	соединение а	1	1
707	есть в	2	1
708	не начало	1	1
709	перестать быть	1	1
710	по своему	4	1
711	есть уже	1	1
712	как результат	1	1
713	этой системы	1	1
714	ему не	1	1
715	на них	1	1
716	тоже не	1	1
717	немецкий английский	1	1
718	и хочет	1	1
719	это конечно	1	1
720	и человека	1	1
721	стремиться к	2	1
722	как ни	1	1
723	возвращается к	2	1
724	и всеми	1	1
725	она осуществляется	1	1
726	это связано	2	1
727	случае если	1	1
728	культуре и	1	1
729	ее отрицание	1	1
730	может идти	1	1
731	должны занять	1	1
732	то нужно	1	1
733	на всех	1	1
734	речи о	1	1
735	истории а	2	1
736	есть всегда	1	1
737	связана с	2	1
738	к тем	1	1
739	могли не	1	1
740	есть и	1	1
741	совершенно невозможно	1	1
742	и элементы	1	1
743	не через	1	1
744	своей основе	1	1
745	и всех	1	1
746	была уже	1	1
747	техникой с	1	1
748	жизни эпохи	1	1
749	с окончанием	1	1
750	партии и	1	1
751	всякого содержания	1	1
752	дня и	3	1
753	понята как	1	1
754	бытия и	1	1
755	как часто	1	1
756	все еще	1	1
757	все другие	1	1
758	вот этот	1	1
759	не удалось	1	1
760	в каком-то	1	1
761	и оно	1	1
762	основе их	1	1
763	к идее	1	1
