N	2gram	Tiupa_Lite	SlovoVZh
527	и только	4	1
528	один и	1	1
529	приходится признать	1	1
530	по своей	3	1
531	поэт и	1	1
532	и художественного	2	1
533	художественное восприятие	1	1
534	может и	1	1
535	друг друга	5	1
536	любовной лирики	1	1
537	в эти	1	1
538	лучшем случае	1	1
539	но уже	2	1
540	для этой	2	1
541	себе как	2	1
542	в последующем	1	1
543	для этого	5	1
544	и искусство	1	1
545	как явление	1	1
546	себе и	2	1
547	искусства в	2	1
548	а эти	1	1
549	внутренней и	1	1
550	не всегда	1	1
551	определяется в	1	1
552	чтобы не	2	1
553	она как	1	1
554	но особенно	1	1
555	в одной	1	1
556	дело и	1	1
557	в целом	10	1
558	ничего общего	2	1
559	художественное творчество	2	1
560	культуры в	5	1
561	себя в	7	1
562	крайней мере	2	1
563	вовсе не	3	1
564	специфической социальной	1	1
565	сам поэт	1	1
566	другого и	1	1
567	русской литературе	7	1
568	я и	10	1
569	на эту	1	1
570	тем более	2	1
571	по крайней	2	1
572	обращение к	1	1
573	мы видели	1	1
574	перед нами	1	1
575	автора на	1	1
576	бы это	1	1
577	вне человеческого	1	1
578	всяком случае	2	1
579	только для	1	1
