N	3gram	Propp_Russ	Vladivir
146	и раньше но	1	1
147	во многих случаях	4	1
148	полной уверенности что	1	1
149	в разные стороны	1	1
150	и в нашем	1	1
151	а в других	1	1
152	есть вместе с	1	1
153	по возвращении из	1	1
154	том чтобы установить	1	1
155	что в основе	1	1
156	ii таким образом	1	1
157	ни в одном	1	1
158	значит что все	1	1
159	из всего этого	1	1
160	себя и не	1	1
161	что подобного рода	1	1
162	а именно с	1	1
163	с места на	1	1
164	значении этого слова	1	1
165	как это часто	1	1
166	но все же	2	1
167	i и сл	1	1
168	а именно в	1	1
169	не только у	2	1
170	никак не может	1	1
171	только тогда когда	3	1
172	так же в	1	1
173	пока еще не	1	1
174	не без основания	1	1
175	но и из	1	1
176	однако и на	1	1
177	в этой же	1	1
178	все это нужно	1	1
179	можно найти в	1	1
180	во многих отношениях	2	1
181	что во время	1	1
182	этого так же	1	1
183	этому поводу с	1	1
184	однако здесь еще	1	1
185	необходимо указать еще	1	1
186	тому что в	1	1
187	о чем можно	1	1
188	всего этого видно	1	1
189	на другой день	2	1
190	те и другие	1	1
191	указать еще на	1	1
192	как нет и	1	1
193	к ней как	1	1
194	места на место	1	1
195	но и в	1	1
196	все то же	1	1
197	то что по	1	1
198	и в первый	1	1
199	каждый из этих	2	1
200	чем можно судить	1	1
201	подробнее об этом	1	1
202	у греков и	1	1
203	в одно целое	1	1
204	что здесь в	1	1
205	том что это	2	1
206	что не только	1	1
207	его по существу	1	1
208	одна из них	1	1
209	быть и не	1	1
210	что для этого	1	1
211	тем и другим	1	1
212	это время не	1	1
213	здесь мы имеем	2	1
214	об этом мы	1	1
215	пишет что касается	1	1
216	один от другого	1	1
217	на этот вопрос	1	1
218	в нашем сознании	1	1
219	состоит в том	16	1
220	все же не	2	1
221	одно из этих	2	1
222	которые можно было	1	1
223	в противном случае	1	1
224	в дом его	1	1
225	это подтверждается и	1	1
226	они ничего не	1	1
227	в особенности же	1	1
228	он здесь не	1	1
229	из этих элементов	1	1
230	но мы здесь	1	1
231	только потому что	1	1
232	что в этот	2	1
233	данном случае мы	1	1
234	но тем не	2	1
235	и а н	3	1
236	а вместе с	1	1
237	этого видно что	1	1
238	и то и	1	1
239	видно что к	1	1
240	же как и	3	1
241	у него нет	1	1
242	в собственном смысле	1	1
243	так и из	1	1
244	и то почему	1	1
245	в этой теории	1	1
246	на две партии	1	1
247	в таком виде	2	1
248	состояла в том	3	1
249	москве и в	1	1
250	привело к тому	2	1
251	такая точка зрения	1	1
252	что в истории	1	1
253	такой взгляд на	1	1
254	вопрос о том	1	1
255	с полной уверенностью	1	1
256	главным образом на	1	1
257	и не только	1	1
258	не только как	1	1
259	в виду что	2	1
260	себя к этой	1	1
261	мы не можем	5	1
262	потому что они	1	1
263	мы остановимся ниже	1	1
264	только в тех	1	1
