N	2gram	Berdyaev_N	DiskursI
375	всего что	1	1
376	и еще	1	1
377	же так	1	1
378	ней и	1	1
379	вернуться к	2	1
380	наряду с	3	1
381	быть в	2	1
382	как я	1	1
383	есть по	1	1
384	в атмосфере	1	1
385	к расширению	1	1
386	или нет	1	1
387	но сама	1	1
388	на них	1	1
389	но власть	1	1
390	в религиозном	2	1
391	последних вопросов	1	1
392	и мы	4	1
393	и разложения	1	1
394	как другие	1	1
395	и большая	2	1
396	котором и	1	1
397	в состоянии	1	1
398	философия как	1	1
399	не должна	1	1
400	не хочет	1	1
401	xix века	5	1
402	они будут	1	1
403	что его	1	1
404	чем современная	1	1
405	про себя	1	1
406	быть только	1	1
407	в конце	1	1
408	или иная	1	1
409	не сознается	1	1
410	исторический период	1	1
411	лишь на	1	1
412	чего оно	1	1
413	личности с	1	1
414	так на	1	1
415	человеке и	1	1
416	от этого	1	1
417	уже давно	1	1
418	исторического периода	1	1
419	лишь для	1	1
420	античной культуры	1	1
421	теперь и	1	1
422	сих пор	1	1
423	и мир	1	1
424	войне и	1	1
425	как того	1	1
426	что такое	3	1
427	власть тогда	1	1
428	не знающая	1	1
429	права на	2	1
430	жизни для	1	1
431	не означает	3	1
432	самый процесс	2	1
433	и про	1	1
434	суждено было	1	1
435	истории из	1	1
436	идей и	1	1
437	не будет	7	1
438	на нем	1	1
439	других людей	1	1
440	к ее	3	1
441	этом смысле	2	1
442	была уже	1	1
443	когда мы	2	1
444	известном смысле	1	1
445	о русском	1	1
446	жизни с	1	1
447	которого происходит	1	1
448	ж де	1	1
449	формы и	2	1
450	оно может	1	1
451	к политической	1	1
452	во время	1	1
453	приобщается к	1	1
454	к реальному	3	1
455	от нее	1	1
456	до сих	1	1
457	существования и	1	1
458	я уже	2	1
459	более глубоком	1	1
460	он стремится	1	1
461	протекающей в	1	1
462	и сейчас	1	1
463	целостности но	1	1
464	групп и	1	1
465	на иной	1	1
466	это уже	1	1
467	не были	1	1
468	переходит от	1	1
469	мы в	1	1
470	мира то	1	1
471	для них	1	1
472	в переходе	1	1
473	можно было	2	1
474	под этим	1	1
475	в более	1	1
476	вопросов бытия	1	1
477	до этого	1	1
478	более широкого	1	1
479	а само	1	1
480	тоже не	1	1
481	необходимой для	1	1
482	то время	1	1
483	это время	1	1
484	истории что	1	1
485	отнесены к	1	1
486	стоят на	2	1
487	зависимости от	1	1
488	в известном	1	1
489	явление культуры	1	1
490	в каком	1	1
491	к созданию	2	1
492	который и	1	1
493	к богу	2	1
494	дальнейшее развитие	1	1
495	нет ничего	1	1
496	но тут	1	1
497	замкнутой и	1	1
498	и заключается	2	1
499	нет у	1	1
500	связана с	2	1
501	того чтобы	2	1
502	не быть	1	1
503	вступление в	1	1
504	мне представляется	1	1
505	с большей	1	1
506	россии в	1	1
507	раскрытие тайны	1	1
508	в мир	1	1
509	как например	1	1
510	и иерархическое	1	1
511	нет и	2	1
512	он в	1	1
513	и роста	1	1
514	в образе	1	1
515	власти от	1	1
516	она направлена	1	1
517	но если	1	1
518	связано с	1	1
519	только потому	1	1
520	начало новой	1	1
521	движения и	1	1
522	движение к	1	1
523	сам этот	1	1
524	т.п так	1	1
525	обращена к	1	1
526	двойственно и	1	1
527	то они	1	1
528	общества его	1	1
529	николая i	1	1
530	ничем не	1	1
531	так как	1	1
532	мир в	1	1
533	есть нарушение	1	1
534	все еще	1	1
535	не во	4	1
536	этого она	1	1
537	от мира	1	1
538	быть отнесены	1	1
539	же мере	1	1
540	на началах	1	1
541	он и	1	1
542	этом он	1	1
543	истории как	1	1
544	не способен	1	1
545	слова а	1	1
546	от своих	1	1
547	века и	2	1
548	от всех	1	1
549	жизни это	1	1
550	этого не	1	1
551	я ни	1	1
552	общества в	1	1
553	в необходимость	1	1
554	в глубине	1	1
555	всей нашей	1	1
556	на власть	3	1
557	чтобы быть	1	1
558	что этот	1	1
559	в исторический	1	1
560	помнить что	2	1
561	должен быть	5	1
562	мысли в	2	1
563	этой системы	1	1
564	людей в	1	1
565	еще до	2	1
566	бытия как	1	1
567	в будущем	2	1
568	основ жизни	1	1
569	не могу	1	1
570	не их	1	1
571	в обнаружении	1	1
572	истории а	2	1
573	ли это?	1	1
574	прошлом в	1	1
575	в человеческом	1	1
576	это была	1	1
577	от того	1	1
578	думать что	2	1
579	дай бог	1	1
580	и особенно	1	1
581	истории ее	1	1
582	та или	1	1
583	возвращения к	1	1
584	человека это	1	1
585	существу а	1	1
586	мужчине и	1	1
587	жизненной энергии	1	1
588	и оно	1	1
589	становится в	1	1
590	основе их	1	1
591	дня а	1	1
