N	2gram	Vinokur_Ku	Morfolog
198	такие случаи	2	3
199	и что	11	3
200	рассматриваться как	1	3
201	связана с	1	3
202	для того	23	3
203	но эти	1	3
204	и тогда	4	3
205	или не	1	3
206	целый ряд	8	3
207	здесь прежде	1	3
208	состоит в	4	3
209	настоящее время	2	3
210	пр а	1	3
211	и вне	1	3
212	так например	3	3
213	здесь не	5	3
214	с его	4	3
215	кроме того	2	3
216	для этой	2	3
217	в настоящее	2	3
218	с того	1	3
219	он должен	2	3
220	к нему	1	3
221	бы то	1	3
222	очень многое	1	3
223	что эти	4	3
224	они не	4	3
225	сам он	1	3
226	того что	11	3
227	что такое	8	3
228	ее в	2	3
229	но как	2	3
230	у нас	19	3
231	это и	6	3
232	и есть	3	3
233	в виде	1	3
234	а на	3	3
235	в таких	7	3
236	как же	1	3
237	к чему	1	3
238	но для	4	3
239	а то	2	3
240	в какой	7	3
241	приходим к	2	3
242	большинстве случаев	3	3
243	даже не	1	3
244	это было	2	3
245	и у	3	3
246	вопроса о	7	3
247	последнем случае	1	3
248	реагирует на	1	3
249	том случае	3	3
250	то ни	2	3
251	совсем не	1	3
252	в ход	1	3
253	если бы	21	3
254	вопрос как	1	3
255	иное чем	1	3
256	мы должны	2	3
257	из ряда	1	3
258	и тем	7	3
259	не в	18	3
260	в которой	7	3
261	на нем	1	3
262	а по	1	3
263	и их	2	3
264	в начале	1	3
265	в пределах	8	3
266	пр и	2	3
267	в большинстве	3	3
268	значение и	2	3
269	в этой	8	3
270	приводит к	3	3
271	но есть	2	3
272	приводят к	1	3
273	не значит	2	3
274	мы будем	1	3
275	же в	5	3
276	на то	6	3
277	и его	8	3
278	и по	4	3
279	и только	2	3
280	встречается и	1	3
281	не так	2	2
282	а потому	6	2
283	к другу	1	2
284	и этот	1	2
285	как таковой	2	2
286	самого себя	1	2
287	должна быть	6	2
288	научной литературе	1	2
289	из таких	1	2
290	вопросу о	4	2
291	не с	4	2
292	или нет	1	2
293	которые хотя	1	2
294	случае он	1	2
295	лишь на	1	2
296	не на	4	2
297	оно не	5	2
298	как они	2	2
299	в своих	2	2
300	более или	3	2
301	с этого	1	2
302	образом если	2	2
303	это положение	2	2
304	в россии	1	2
305	но вот	3	2
306	во вторых	1	2
307	чего следует	1	2
308	например в	5	2
309	в числе	2	2
310	мы получаем	2	2
311	с тем	5	2
312	многих других	1	2
313	их в	1	2
314	вряд ли	5	2
315	совершенно одинаково	1	2
316	в которых	8	2
317	таких случаях	3	2
318	себя и	1	2
319	только для	3	2
320	не имеет	6	2
321	когда в	4	2
322	роль в	6	2
323	поставить вопрос	2	2
324	в каком	6	2
325	а а	4	2
326	у нее	1	2
327	но оно	2	2
328	во всяком	8	2
329	его и	1	2
330	можно сказать	6	2
331	ответить на	1	2
332	того как	6	2
333	в данном	8	2
334	сразу же	1	2
335	к другой	1	2
336	можно установить	1	2
337	и более	3	2
338	на новые	1	2
339	что этот	2	2
340	что мы	6	2
341	в очень	1	2
342	как например	3	2
343	нельзя было	2	2
344	в круг	1	2
345	на той	1	2
346	но здесь	2	2
347	это делается	1	2
348	одной стороны	2	2
349	и иных	1	2
350	в другом	2	2
351	в каких	2	2
352	том как	3	2
353	к себе	4	2
354	в середине	1	2
355	с большой	2	2
356	и больше	1	2
357	увидим что	2	2
358	мы получим	1	2
359	точно так	4	2
360	в одном	4	2
361	в различных	1	2
362	и когда	2	2
363	превращается в	4	2
364	то как	1	2
365	не что	2	2
366	в совершенно	2	2
367	тогда как	2	2
368	действия и	2	2
369	так называемых	3	2
370	например на	1	2
371	что же	11	2
372	или вообще	1	2
373	стороны ее	1	2
374	без всякого	2	2
375	в данной	1	2
376	тем же	2	2
377	таких случаев	1	2
378	тех случаях	2	2
379	одной из	1	2
380	или очень	1	2
381	на этот	4	2
382	что она	5	2
383	он может	1	2
384	момент в	1	2
385	который в	1	2
386	что именно	2	2
387	а вовсе	1	2
388	всяком случае	8	2
389	следует еще	3	2
390	но так	2	2
391	д а	1	2
392	себя в	1	2
393	для него	2	2
394	д все	1	2
395	в свое	4	2
396	ответ на	2	2
397	то они	1	2
398	знать что	1	2
399	приведены в	1	2
400	в научной	1	2
401	ничем не	1	2
402	как такового	2	2
403	же роль	1	2
404	что иное	2	2
405	ниже мы	1	2
406	данном случае	2	2
407	после чего	2	2
408	с одной	3	2
409	иных случаях	3	2
410	ни было	1	2
411	этом отношении	8	2
412	лишь после	1	2
413	их как	2	2
414	нам еще	1	2
415	для нас	6	2
416	все это	10	2
417	чем в	3	2
418	но с	2	2
419	что действительно	1	2
420	не знает	4	2
421	этого не	5	2
422	наших дней	1	2
423	как таковая	1	2
424	о характере	2	2
425	это мы	1	2
426	одним из	2	2
427	это еще	1	2
428	вообще не	2	2
429	между собою	3	2
430	очень много	3	2
431	далее мы	1	2
432	за которым	1	2
433	лишь с	3	2
434	также в	1	2
435	случаях когда	2	2
436	живой и	1	2
437	у него	3	2
438	по своему	1	2
439	к вопросу	4	2
440	в чем	2	2
441	но никто	1	2
442	или менее	3	2
443	и таким	1	2
444	это так	2	2
445	в одной	1	2
446	чтобы его	1	2
447	бы в	8	2
448	без всякой	1	2
449	могли бы	4	2
450	обычно в	1	2
451	о происхождении	1	2
452	а с	3	2
453	наука о	3	2
454	бы считать	1	2
455	случае если	3	2
456	в наши	2	2
457	и даже	5	2
458	подобные же	1	2
459	явление это	1	2
460	в самых	1	2
461	во избежание	2	2
462	она не	1	2
463	чтобы овладеть	1	2
464	далее можно	1	2
465	ту же	6	2
466	здесь только	2	2
467	дело не	4	2
468	быть и	1	2
469	в частности	6	2
470	из этих	5	2
471	должны быть	4	2
472	или иные	2	2
473	что эта	1	2
474	сюда относятся	1	2
475	один раз	1	2
476	тем и	1	2
477	что некоторые	1	2
478	б в	1	2
479	теряет свое	1	2
480	как то	2	2
481	ли этот	1	2
482	из его	1	2
483	однако в	2	2
484	от вопроса	1	2
485	это можно	1	2
486	ее из	1	2
487	что о	1	2
488	до наших	1	2
489	если они	1	2
490	как будто	2	2
491	д и	3	2
492	сказать о	1	2
493	несколько случаев	1	2
494	способные к	1	2
495	но они	1	2
496	иное как	3	2
497	я разумею	1	2
498	совершается в	1	2
499	мы определяем	1	2
500	во второй	1	2
501	в той	6	1
502	он пользуется	1	1
503	в особенности	6	1
504	были бы	2	1
505	во всем	1	1
506	это на	1	1
507	они имеют	1	1
508	однако и	2	1
509	и может	3	1
510	очень простой	1	1
511	отношении между	1	1
512	все что	1	1
513	до сих	5	1
514	еще раз	2	1
515	всего в	2	1
516	можно говорить	4	1
517	не нужна	1	1
518	и на	8	1
519	наши дни	1	1
520	только те	1	1
521	же и	4	1
522	как с	2	1
523	этот закон	1	1
524	время я	1	1
525	имеют целью	1	1
526	должны привести	1	1
527	себе представить	2	1
528	которые не	1	1
529	на западе	1	1
530	на анализе	1	1
531	на приветствие	1	1
532	следует ли	1	1
533	убедиться что	2	1
534	средства и	1	1
535	считать вообще	1	1
536	с такой	1	1
537	или иных	1	1
538	теперь несколько	2	1
539	дело с	2	1
540	в применении	1	1
541	большую роль	2	1
542	момента в	1	1
543	и далее	3	1
544	при этом	6	1
545	даже в	4	1
546	которые находят	1	1
547	формы в	2	1
548	видели в	1	1
549	не вносят	1	1
550	это значит	1	1
551	всей совокупности	1	1
552	сюда относится	1	1
553	о так	1	1
554	особенности этого	1	1
555	же относится	2	1
556	тем как	1	1
557	такое требование	1	1
558	привести к	1	1
559	те же	1	1
560	но ведь	3	1
561	быть заменено	2	1
562	вообще однако	1	1
563	его но	1	1
564	одна за	1	1
565	одно из	3	1
566	не достигается	1	1
567	не столько	2	1
568	и делает	1	1
569	ссылкой на	1	1
570	борьбы с	2	1
571	же два	1	1
572	то не	2	1
573	или другого	1	1
574	под этим	2	1
575	для данного	2	1
576	связанная с	2	1
577	она становится	1	1
578	это определение	2	1
579	в них	10	1
580	характере этого	1	1
581	иными средствами	1	1
582	вообще с	1	1
583	чтобы в	2	1
584	практически это	1	1
585	же представляет	1	1
586	если не	4	1
587	стоит в	5	1
588	этой точки	4	1
589	по пути	2	1
590	вместо того	1	1
591	в некое	1	1
592	конечно и	3	1
593	тяготеют к	1	1
594	и с	11	1
595	однако что	1	1
596	некоторые другие	1	1
597	им можно	1	1
598	которым он	1	1
599	лет в	1	1
600	знает где	1	1
601	следовательно в	1	1
602	каким образом	1	1
603	с известными	1	1
604	и все	4	1
605	легко и	1	1
606	их следует	1	1
607	из самых	1	1
608	весь этот	1	1
609	обращается к	1	1
610	превращаются в	1	1
611	именно в	7	1
612	ведет к	1	1
613	уже известны	1	1
614	лишь к	2	1
615	систему и	1	1
616	том или	1	1
617	отношения к	2	1
618	пропасть и	1	1
619	пр таким	1	1
620	дело совсем	1	1
621	также не	1	1
622	необходимо для	1	1
623	как не	4	1
624	с ними	6	1
625	самая постановка	1	1
626	таких ситуаций	1	1
627	а именно	4	1
628	это время	1	1
629	даже просто	1	1
630	в своей	4	1
631	отца а	1	1
632	и просто	1	1
633	на эту	2	1
634	связанные с	3	1
635	явлений и	1	1
636	увидим как	1	1
637	они ни	1	1
638	бы не	1	1
639	интересно что	2	1
640	е на	1	1
641	о котором	4	1
642	важное значение	1	1
643	в это	3	1
644	как частная	1	1
645	которая не	1	1
646	на своем	1	1
647	нет в	2	1
648	является то	1	1
649	ничего общего	2	1
650	здесь нет	1	1
651	раз при	1	1
652	таковая не	1	1
653	в которые	2	1
654	таких слов	2	1
655	такими словами	1	1
656	об отношении	1	1
657	они по	1	1
658	не прав	1	1
659	существу не	1	1
660	все они	1	1
661	если с	1	1
662	очень большую	1	1
663	или что-либо	2	1
664	изучения но	1	1
665	помощью этого	1	1
666	еще и	7	1
667	для сравнения	1	1
668	совершенно не	4	1
669	во все	2	1
670	задним числом	1	1
671	этим мы	1	1
672	так мы	2	1
673	к этой	3	1
674	собственно говоря	1	1
675	в котором	4	1
676	формы мы	1	1
677	понятия и	1	1
678	можно считать	2	1
679	как целое	1	1
680	в последней	1	1
681	мы имели	1	1
682	применении к	1	1
683	в пример	1	1
684	вспомним что	1	1
685	случаи когда	3	1
686	дает себя	1	1
687	во первых	1	1
688	в свою	4	1
689	по земле	1	1
690	значение этого	1	1
691	так чтобы	1	1
692	ii и	1	1
693	не должно	2	1
694	но во	1	1
695	это все	2	1
696	ему хочется	1	1
697	е о	2	1
698	какие же	2	1
699	явления и	1	1
700	он является	1	1
701	только как	3	1
702	во многих	3	1
703	а через	1	1
704	громким голосом	1	1
705	тех пор	2	1
706	к своей	1	1
707	следует остановиться	1	1
708	эти могут	1	1
709	после смерти	1	1
710	всегда так	1	1
711	точно и	1	1
712	как эта	1	1
713	и разве	1	1
714	с помощью	12	1
715	так скоро	1	1
716	те или	2	1
717	именно на	1	1
718	для меня	1	1
719	то все	1	1
720	не носит	1	1
721	значение для	1	1
722	только на	1	1
723	первом и	1	1
724	которые можно	3	1
725	предположение если	1	1
726	смысл который	1	1
727	которые должны	1	1
728	в особую	1	1
729	же относятся	1	1
730	указать что	1	1
731	пример дает	1	1
732	правда и	1	1
733	собственно не	1	1
734	втором случае	2	1
735	поступки героев	1	1
736	приходит к	1	1
737	язык есть	7	1
738	не потому	6	1
739	говорит что	1	1
740	на примере	3	1
741	укладываются в	1	1
742	не будет	1	1
743	ни были	3	1
744	история науки	1	1
745	более и	1	1
746	и те	1	1
747	можно ли	6	1
748	что ее	1	1
749	это необходимо	1	1
750	типы и	1	1
751	же время	4	1
752	свою очередь	4	1
753	ними и	2	1
754	не представляет	1	1
755	перед ним	1	1
756	она все	1	1
757	всего этого	1	1
758	их значения	1	1
759	оно также	2	1
760	как функции	1	1
761	простейший случай	1	1
762	и а	2	1
763	разряд а	1	1
764	из одной	1	1
765	видели выше	1	1
766	на те	3	1
767	так то	1	1
768	как на	4	1
769	что здесь	1	1
770	из наиболее	1	1
771	и там	2	1
772	одно и	1	1
773	известным образом	1	1
774	отношение к	2	1
775	за другой	1	1
776	ср также	5	1
777	не как	2	1
778	ее не	1	1
779	она может	1	1
780	к следующему	1	1
781	от учителей	1	1
782	мог бы	1	1
783	то для	2	1
784	русском языке	14	1
785	языке нет	1	1
786	жизни языка	1	1
787	а сам	1	1
788	о тех	1	1
789	наиболее яркие	1	1
790	отсюда для	1	1
791	что я	4	1
792	в известных	3	1
793	только во	1	1
794	на улице	2	1
795	то она	2	1
796	бы сказать	3	1
797	то во	1	1
798	же из	2	1
799	как действие	1	1
800	как во	1	1
801	деле в	1	1
802	непосредственно к	1	1
803	и возможно	1	1
804	в противном	2	1
805	для достижения	1	1
806	по происхождению	1	1
807	что даже	2	1
808	лишь при	1	1
809	идут в	1	1
810	к основной	1	1
811	представить что	1	1
812	в эти	1	1
813	есть категория	1	1
814	о чем	2	1
815	она есть	2	1
816	вещи которые	1	1
817	у вас	1	1
818	здесь действительно	2	1
819	но там	1	1
820	только о	3	1
821	в ее	2	1
822	и становится	3	1
823	тот же	7	1
824	не то	1	1
825	действительно в	2	1
826	прав он	2	1
827	в подобных	1	1
828	два круга	1	1
829	не выдерживает	1	1
830	выше было	1	1
831	с перенесением	1	1
832	как к	2	1
833	строится по	1	1
834	она имеет	1	1
835	дает нам	1	1
836	бьют по	1	1
837	и попутно	1	1
838	быть распределены	1	1
839	и то	7	1
840	на лбу	1	1
841	можно себе	1	1
842	в себе	4	1
843	это законы	1	1
844	но на	1	1
845	что ему	1	1
846	собой и	1	1
847	действия это	1	1
848	с большим	4	1
849	то оно	2	1
850	ниже не	1	1
851	после того	3	1
852	этой области	3	1
853	пр с	1	1
854	но прежде	1	1
855	один пример	3	1
856	часто повторяющиеся	1	1
857	указать на	5	1
858	должно быть	6	1
859	и уж	1	1
860	в первый	2	1
861	еще до	1	1
862	и вот	4	1
863	в состоянии	2	1
864	в его	16	1
865	это ограничение	1	1
866	все таки	1	1
867	е все	1	1
868	сравнить с	1	1
869	отдельные функции	1	1
870	целого а	1	1
871	пор как	1	1
872	бы на	4	1
873	об обмане	1	1
874	из моментов	1	1
875	а ведь	1	1
876	он называет	1	1
877	помимо того	1	1
878	с тех	1	1
879	находится в	2	1
880	ее можно	1	1
881	должен решаться	1	1
882	две основные	1	1
883	на ряду	1	1
884	как раз	10	1
885	что так	3	1
886	это дает	2	1
887	для данной	3	1
888	о нем	2	1
889	что с	2	1
890	мало того	2	1
891	сам остается	1	1
892	что несмотря	1	1
893	где он	1	1
894	выбор и	1	1
895	теряет свою	2	1
896	которыми она	1	1
897	чтобы получить	2	1
898	же не	1	1
899	иными словами	10	1
900	относятся такие	1	1
901	что все	6	1
902	в их	3	1
903	бежать за	1	1
904	что например	1	1
905	мы находим	2	1
906	совершенно ясно	2	1
907	д словом	1	1
908	раз обратное	1	1
909	в г	3	1
910	вне этой	1	1
911	в рамках	5	1
912	и притом	1	1
913	материал для	1	1
914	о возможности	2	1
915	утверждение что	2	1
916	или иной	3	1
917	и некоторые	1	1
918	что элементы	1	1
919	это один	1	1
920	и говорит	2	1
921	за этим	2	1
922	д это	2	1
923	и где	2	1
924	в виду	7	1
925	что за	3	1
926	во внимание	1	1
927	дело в	2	1
928	которое в	2	1
929	нужно только	1	1
930	говорить лишь	2	1
931	что не	10	1
932	как его	1	1
933	здесь возможны	1	1
934	уже совершенно	1	1
935	где нет	2	1
936	предпосылки что	1	1
937	и хорошо	1	1
938	в таком	3	1
939	на тот	1	1
940	или чтобы	2	1
941	учреждений и	1	1
942	приемов и	3	1
943	кто в	5	1
944	бы быть	1	1
945	литературе и	2	1
946	когда говорят	1	1
947	между ними	2	1
948	этой цели	2	1
949	помнить что	1	1
950	е не	2	1
951	есть в	6	1
952	не есть	4	1
953	от одной	1	1
954	говорят о	1	1
955	особую функцию	1	1
956	а их	1	1
957	между прочим	4	1
958	не дают	1	1
959	слова не	2	1
960	для примера	2	1
961	так в	2	1
962	противном случае	2	1
963	постановка вопроса	2	1
964	предложения и	1	1
965	на все	3	1
966	и со	1	1
967	со своей	1	1
968	что им	1	1
969	может рассматриваться	1	1
970	по его	1	1
971	о которых	2	1
972	больше всего	3	1
973	только и	3	1
974	нисколько не	6	1
975	же касается	4	1
976	и должны	1	1
977	и это	3	1
978	явление мы	1	1
979	из одного	3	1
980	не нужно	1	1
981	пришлось бы	2	1
982	словами не	1	1
983	могло бы	1	1
984	сих пор	5	1
985	и вообще	1	1
986	как результат	1	1
987	свое место	2	1
988	той или	1	1
989	другом случае	1	1
990	я был	1	1
991	в каждом	3	1
992	здесь как	3	1
993	предположить что	2	1
994	того или	6	1
995	разница между	1	1
996	но можно	2	1
997	может иметь	3	1
998	более чем	1	1
999	и эти	3	1
1000	что от	1	1
1001	ряду с	2	1
1002	что очень	1	1
1003	бы к	1	1
1004	не умещается	1	1
1005	же с	1	1
1006	таким же	1	1
1007	отличие от	3	1
1008	в предисловии	1	1
1009	области изучения	1	1
1010	такие же	2	1
1011	данный момент	3	1
1012	бы только	1	1
1013	в основных	1	1
1014	отец и	1	1
1015	может возникнуть	1	1
1016	так называемой	2	1
1017	при отсутствии	2	1
1018	что новые	1	1
1019	вопрос на	1	1
1020	с какой	1	1
1021	только об	1	1
1022	но он	2	1
1023	в быту	1	1
1024	не исчерпывают	1	1
1025	обстоит дело	1	1
1026	ряда других	1	1
1027	отношение между	1	1
1028	так что	5	1
1029	не более	1	1
1030	вывод который	1	1
1031	является его	1	1
1032	показать наличность	1	1
1033	это по	2	1
1034	кажется что	1	1
1035	имеет целью	1	1
1036	случаях перед	1	1
1037	что касается	4	1
1038	к тем	1	1
1039	его не	1	1
1040	не приходится	2	1
1041	значение или	2	1
1042	как он	1	1
1043	это или	1	1
1044	не дает	1	1
1045	оказывается что	1	1
1046	конечно в	1	1
1047	общие основания	2	1
1048	почти всегда	3	1
1049	иметь в	1	1
1050	в нашей	4	1
1051	принадлежит и	1	1
1052	имеем здесь	1	1
1053	на отношении	1	1
1054	особого внимания	1	1
1055	свист и	1	1
1056	сомневаться в	1	1
1057	здесь несомненно	1	1
1058	лишь как	3	1
1059	можно утверждать	1	1
1060	думать что	1	1
1061	и всякая	1	1
1062	или иное	2	1
1063	когда мы	3	1
1064	заметок о	1	1
1065	рассматривать как	1	1
1066	борьба в	1	1
1067	на это	3	1
1068	первоначальном виде	1	1
1069	роль играют	1	1
1070	привести в	3	1
1071	функций которые	1	1
1072	образом они	1	1
1073	водовоз и	1	1
1074	отделаться от	1	1
1075	выходят за	1	1
1076	целом и	2	1
1077	быть не	2	1
1078	возможно что	1	1
1079	но морфологически	1	1
1080	относятся только	1	1
1081	что подобные	1	1
1082	и целые	1	1
1083	форма как	1	1
1084	оно имеет	1	1
1085	точно также	2	1
1086	точку зрения	2	1
1087	в систему	1	1
1088	действующего лица	1	1
1089	друг другу	1	1
1090	которые в	2	1
1091	говорилось выше	1	1
1092	все содержание	1	1
1093	бы он	1	1
1094	этом и	1	1
1095	них не	1	1
1096	узнает в	1	1
1097	эта черта	1	1
1098	действительно не	1	1
1099	иначе но	1	1
1100	общим признаком	1	1
1101	и гораздо	1	1
1102	в силу	16	1
1103	например о	1	1
1104	сущности к	1	1
1105	другой и	1	1
1106	не считаться	1	1
1107	такой же	1	1
1108	могут рассматриваться	1	1
1109	еще что	1	1
1110	по законам	1	1
1111	очень редко	1	1
1112	в области	15	1
1113	его к	5	1
1114	тех или	1	1
1115	все более	2	1
1116	все другие	1	1
1117	но кроме	1	1
1118	является ли	2	1
1119	показывает что	1	1
1120	ли в	3	1
1121	на чужих	1	1
1122	многое не	1	1
1123	происходит при	1	1
1124	может и	2	1
1125	для чего	1	1
1126	ведь и	2	1
1127	в него	1	1
1128	всех этих	4	1
1129	он был	1	1
1130	нет не	1	1
1131	дело обстоит	1	1
1132	как выше	1	1
1133	из этой	1	1
1134	здесь следует	2	1
1135	в лице	1	1
1136	мы скажем	2	1
1137	еще одно	3	1
1138	есть не	2	1
1139	нужно однако	2	1
1140	быть поставлен	1	1
1141	вопросом о	1	1
1142	изложения которая	1	1
